--------------------
BDMEP - INMET
--------------------
Esta?o           : MONTEIRO - PB (OMM: 82792)
Latitude  (graus) : -7.88
Longitude (graus) : -37.06
Altitude  (metros): 603.66
Esta?o Operante
Inicio de opera?o: 14/01/1940
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82792;31/01/2000;0000;128.3;31.264516;20.658065;66.959677;
82792;29/02/2000;0000;238.7;31.434483;20.37931;71.525862;
82792;31/03/2000;0000;58.8;30.754839;20.36129;70.943548;
82792;30/04/2000;0000;176.1;30.1;19.873333;73.775;
82792;31/05/2000;0000;46.1;29.932258;18.980645;71.701613;
82792;30/06/2000;0000;43.2;28.46;18.126667;74.566667;
82792;31/07/2000;0000;93.3;27.793548;18;74.540323;
82792;31/08/2000;0000;22.1;28.987097;17.270968;;
82792;30/09/2000;0000;52.6;30.013333;17.846667;69.991667;
82792;31/10/2000;0000;0;31.877419;17.612903;62.104839;
82792;30/11/2000;0000;7.4;32.786667;18.858621;59.708333;
82792;31/12/2000;0000;143.3;31.306667;19.129032;65.663793;
82792;31/01/2001;0000;22.9;32.280645;17.912903;62.733871;
82792;28/02/2001;0000;16.4;33.760714;18.782143;59.336538;
82792;31/03/2001;0000;198.2;31.816129;18.625806;;
82792;30/04/2001;0000;12.2;31.41;18.573333;;
82792;31/05/2001;0000;0;33.045161;18.693548;60.133333;
82792;30/06/2001;0000;137.8;28.296667;17.743333;78.816667;
82792;31/07/2001;0000;82.7;27.467742;17.616129;81.112903;
82792;31/08/2001;0000;10.9;28.729032;15.980645;72.451613;
82792;30/09/2001;0000;29.3;31.8;17.006667;63.596154;
82792;31/10/2001;0000;59.8;31.848387;18.806452;64.258065;
82792;30/11/2001;0000;0;33.74;19.936667;60.358333;
82792;31/12/2001;0000;45.9;33.731034;20.511111;61.953704;
82792;31/01/2002;0000;194.2;30.3;20.422581;77.516129;
82792;28/02/2002;0000;124.6;30.857143;19.153571;71.598214;
82792;31/03/2002;0000;150.7;31.13871;19.506452;72.274194;
82792;30/04/2002;0000;75.3;30.943333;19.473333;68.441667;
82792;31/05/2002;0000;128.1;29.7;19.173077;74.209677;
82792;30/06/2002;0000;48.3;27.98;19.743333;78.975;
82792;31/07/2002;0000;16.9;29.641935;20.525806;68.895161;
82792;31/08/2002;0000;3.4;29.958065;17.454839;66.137097;
82792;30/09/2002;0000;0.1;31.544444;18.455556;57.517241;
82792;31/10/2002;0000;1.1;32.467742;19.035484;63.846774;
82792;30/11/2002;0000;2.3;33.303333;20.6;63.45;
82792;31/12/2002;0000;79.2;33.4;21.509677;68.362903;
82792;31/01/2003;0000;100.9;32.841935;21.625806;68.782258;
82792;28/02/2003;0000;90.7;31.607143;21.032143;72.526786;
82792;31/03/2003;0000;122;31.5;21.1;76.274194;
82792;30/04/2003;0000;34.3;31.53;20.436667;81.1;
82792;31/05/2003;0000;73.3;30.280645;20.419355;87.112903;
82792;30/06/2003;0000;35.1;29.68;18.41;85.316667;
82792;31/07/2003;0000;32.2;28.574194;17.609677;82.548387;
82792;31/08/2003;0000;1.6;30.409677;18.041935;78.33871;
82792;30/09/2003;0000;15.6;30.88;18.493333;81;
82792;31/10/2003;0000;19.3;32.364516;19.619355;79.066667;
82792;30/11/2003;0000;1.6;33.616667;21.05;76.433333;
82792;31/12/2003;0000;6.2;33.59;21.519355;76.193548;
82792;29/02/2004;0000;73.4;29.544828;21.041379;93.310345;
82792;31/03/2004;0000;60.2;30.56129;20.790323;92.129032;
82792;30/04/2004;0000;91.6;30.7;21.123333;92.833333;
82792;31/05/2004;0000;64;29.419355;19.864516;93.870968;
82792;30/06/2004;0000;69.8;27.436667;18.773333;93.333333;
82792;31/07/2004;0000;45.9;27.103226;18.33871;91.233333;
82792;31/08/2004;0000;5.8;28.967742;17.277419;75.933333;
82792;30/09/2004;0000;0;30.43;17.896667;67.896552;
82792;31/10/2004;0000;0;32.480645;19.335484;63.233333;
82792;30/11/2004;0000;0;32.996667;19.946667;60.366667;
82792;31/12/2004;0000;3.7;33.448387;20.548387;60.806452;
82792;31/01/2005;0000;23.8;33.348387;21.37;62.766667;
82792;31/03/2005;0000;254.8;32.65;21.536667;73.206897;
82792;30/04/2005;0000;32.4;30.06;20.44;81.966667;
82792;31/05/2005;0000;54.2;28.373333;19.853333;85.580645;
82792;30/06/2005;0000;123.2;26.926667;18.746667;88.466667;
82792;31/07/2005;0000;27.5;27.222581;16.493548;83.096774;
82792;31/08/2005;0000;26.7;28.577419;16.619355;75.927419;
82792;30/09/2005;0000;0;31.033333;17.77;66.725;
82792;31/10/2005;0000;1.6;32.896774;18.848387;58.645161;
82792;30/11/2005;0000;0;33.256667;19.94;60.108333;
82792;31/12/2005;0000;82.5;31.612903;19.625806;68.612903;
82792;31/01/2006;0000;0;33.551613;19.419355;61.556452;
82792;28/02/2006;0000;102.3;33.15;21.203571;74.169643;
82792;31/03/2006;0000;99.1;31.635484;20.86129;82.08871;
82792;30/04/2006;0000;200.5;30.183333;20.73;87.133333;
82792;31/05/2006;0000;250.6;28.541935;19.370968;87.032258;
82792;30/06/2006;0000;56.1;27.233333;17.73;81.083333;
82792;31/07/2006;0000;8.9;28.154839;16.945161;76.362903;
82792;31/08/2006;0000;3;29.696774;16.667742;66.741935;
82792;30/09/2006;0000;6.7;31.633333;18.193333;59.691667;
82792;31/10/2006;0000;0.8;32.819355;19.470968;56.516129;
82792;30/11/2006;0000;73;33.35;19.856667;57.041667;
82792;31/12/2006;0000;5.1;33.577419;20.56129;57.137097;
82792;31/01/2007;0000;5.4;33.712903;20.796774;55.741935;
82792;28/02/2007;0000;230;32.196429;20.971429;70.607143;
82792;31/03/2007;0000;95.6;30.125806;19.490323;77.572581;
82792;30/04/2007;0000;63.1;31.476667;20.14;71.966667;
82792;31/05/2007;0000;114.5;29.364516;19;77.66129;
82792;30/06/2007;0000;32.4;28.296667;17.86;76.908333;
82792;31/07/2007;0000;24.1;29.109677;16.751613;75.346774;
82792;31/08/2007;0000;16.2;28.790323;17.070968;68.169355;
82792;30/09/2007;0000;2.6;30.01;17.066667;62.133333;
82792;31/10/2007;0000;2.6;32.312903;18.26129;55.572581;
82792;30/11/2007;0000;2.1;33.22;19.74;53.525;
82792;31/12/2007;0000;6.8;32.977419;20.187097;57.637097;
82792;31/01/2008;0000;24.8;33.209677;20.490323;57.758065;
82792;29/02/2008;0000;94.3;32.827586;20.496552;61.112069;
82792;31/03/2008;0000;285;30.403226;20.680645;76.645161;
82792;30/04/2008;0000;55.5;29.45;20.123333;81.533333;
82792;31/05/2008;0000;227.2;27.835484;18.906452;83.395161;
82792;30/06/2008;0000;64;26.913333;17.06;84.158333;
82792;31/07/2008;0000;19.1;26.919355;16.706452;82.75;
82792;31/08/2008;0000;55.6;28.541935;16.754839;76.451613;
82792;30/09/2008;0000;4.1;30.583333;16.766667;67.208333;
82792;31/10/2008;0000;0;32.151613;18.335484;58.766129;
82792;30/11/2008;0000;0;33.273333;19.423333;54.75;
82792;31/12/2008;0000;7.6;33.377419;20.364516;56.475806;
82792;31/01/2009;0000;130.4;33.077419;20.551613;59.282258;
82792;28/02/2009;0000;82.5;30.825;20.4;72.517857;
82792;31/03/2009;0000;76.8;31.66129;20.690323;71.387097;
82792;30/04/2009;0000;245.8;29.61;20.716667;84.35;
82792;31/05/2009;0000;336.8;28.003226;20.148387;87.193548;
82792;30/06/2009;0000;33.5;27.053333;18.14;84.725;
82792;31/07/2009;0000;49.1;27.683871;17.148387;93.451613;
82792;31/08/2009;0000;66.9;28.329032;17.022581;82.193548;
82792;30/09/2009;0000;0.2;31.166667;17.806667;61.775;
82792;31/10/2009;0000;29;32.529032;19.483871;56.540323;
82792;30/11/2009;0000;5.9;32.713333;19.496667;57.7;
82792;31/12/2009;0000;16.6;32.835484;20.351613;64.258065;
82792;31/01/2010;0000;64;31.296774;20.022581;72.322581;
82792;28/02/2010;0000;46.3;32.392857;20.328571;70.928571;
82792;30/04/2010;0000;110.3;31.413333;20.536667;79.7;
82792;31/05/2010;0000;14.7;31.935484;19.180645;73.032258;
82792;30/06/2010;0000;134.7;28.023333;18.293333;82.5;
82792;31/07/2010;0000;19.2;27.612903;16.522581;79.967742;
82792;31/08/2010;0000;0;28.922581;15.580645;66.193548;
82792;30/09/2010;0000;6;30.533333;16.6;61.8;
82792;31/10/2010;0000;160.4;32.458065;19.083871;60.75;
82792;30/11/2010;0000;0;32.466667;19.213333;57.241667;
82792;31/12/2010;0000;172.4;31.019355;19.567742;63.701613;
82792;31/01/2011;0000;231.1;30.870968;19.33871;67.83871;
82792;28/02/2011;0000;108.1;30.771429;19.471429;72.767857;
82792;31/03/2011;0000;124.7;31.03871;19.93871;71.846774;
82792;30/04/2011;0000;48.7;30.813333;19.273333;73.55;
82792;31/05/2011;0000;186.9;28.16129;19.103226;79.862903;
82792;30/06/2011;0000;49.8;28.453333;17.246667;74.75;
82792;31/07/2011;0000;48.8;27.341935;16.13871;76.35;
82792;31/08/2011;0000;11;29.419355;15.922581;65.419355;
82792;30/09/2011;0000;2.8;30.44;16.224138;58.925;
82792;31/10/2011;0000;45;31.896774;18.683871;56.314516;
82792;30/11/2011;0000;52.5;31.906667;19.276667;59.158333;
82792;31/12/2011;0000;0;33.303226;19.716129;55.16129;
82792;31/01/2012;0000;110.7;31.967742;19.122581;60.016129;
82792;29/02/2012;0000;21.6;31.917241;18.806897;60.991379;
82792;31/03/2012;0000;0.8;33.393548;19.374194;55.282258;
82792;30/04/2012;0000;5.4;33.493333;19.086667;52.95;
82792;31/05/2012;0000;35.2;32.083871;18.922581;57.564516;
82792;30/06/2012;0000;12.9;30.2;17.933333;64.5;
82792;31/07/2012;0000;12.4;29.232258;16.167742;69.725806;
82792;31/08/2012;0000;10.5;29.722581;16;64.967742;
82792;30/09/2012;0000;0;31.573333;16.38;58.366667;
82792;31/10/2012;0000;0.3;32.519355;18.058065;56.216667;
82792;30/11/2012;0000;5.1;33.633333;19.444828;52.066667;
82792;31/12/2012;0000;3.8;33.864516;19.96129;53.798387;
82792;31/01/2013;0000;82.8;33.316129;20.206452;55.895161;
82792;28/02/2013;0000;5.1;33.935714;19.925;50.651786;
82792;31/03/2013;0000;94.2;33.780645;20.93871;53.58871;
