--------------------
BDMEP - INMET
--------------------
Esta?o           : MORRO DO CHAPEU - BA (OMM: 83184)
Latitude  (graus) : -11.21
Longitude (graus) : -41.21
Altitude  (metros): 1003.27
Esta?o Operante
Inicio de opera?o: 13/01/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83184;31/01/2000;0000;165.4;26.667742;18.003226;76.725806;
83184;29/02/2000;0000;76.6;27.089655;18.22069;79.991379;
83184;31/03/2000;0000;64.1;26.558065;18.067742;76.419355;
83184;30/04/2000;0000;109.9;25.763333;17.973333;80.15;
83184;31/05/2000;0000;30.3;24.074194;16.883871;82.427419;
83184;30/06/2000;0000;35;22.753333;15.566667;83.791667;
83184;31/07/2000;0000;27.9;23.490323;14.751613;77.066667;
83184;31/08/2000;0000;17.1;24.293548;15.345161;72.427419;
83184;30/09/2000;0000;21.9;24.793333;15.763333;74.433333;
83184;31/10/2000;0000;9.7;28.093548;16.709677;59.58871;
83184;30/11/2000;0000;252.7;26.573333;17.98;73.908333;
83184;31/12/2000;0000;129.2;26.119355;18.041935;77.072581;
83184;31/01/2001;0000;29.5;26.912903;17.3;69.290323;
83184;28/02/2001;0000;1.4;29.289286;17.567857;58.973214;
83184;31/03/2001;0000;53;27.696774;18.177419;70.443548;
83184;30/04/2001;0000;18.2;26.823333;17.466667;72.566667;
83184;31/05/2001;0000;25.9;27.570968;17.835484;70.145161;
83184;30/06/2001;0000;59.6;22.94;15.713333;83.233333;
83184;31/07/2001;0000;28.2;23.535484;15.125806;77.451613;
83184;31/08/2001;0000;54.1;22.377419;14.516129;80.967742;
83184;30/09/2001;0000;48.8;25.6;15.96;73.858333;
83184;31/10/2001;0000;11.2;27.73871;17.064516;66.895161;
83184;30/11/2001;0000;0.6;29.503333;17.786667;57.108333;
83184;31/12/2001;0000;94.2;27.680645;18.229032;70.379032;
83184;31/01/2002;0000;216.2;26.612903;18.241935;79.677419;
83184;28/02/2002;0000;108.6;26.75;17.742857;69.285714;
83184;31/03/2002;0000;59.7;27.035484;18.122581;72.75;
83184;30/04/2002;0000;13.8;25.92;17.783333;78.083333;
83184;31/05/2002;0000;21.4;25.393548;16.816129;74.733871;
83184;30/06/2002;0000;32.5;23.137931;15.862069;85.016667;
83184;31/07/2002;0000;17.3;23.832258;15.43871;82.612903;
83184;31/08/2002;0000;38.5;23.725806;15.048387;77.645161;
83184;30/09/2002;0000;10.6;25.946667;16.233333;75.641667;
83184;31/10/2002;0000;0;28.477419;16.767742;61.451613;
83184;30/11/2002;0000;16.4;29.026667;17.5;65.925;
83184;31/12/2002;0000;74.4;29.019355;18.335484;67.677419;
83184;31/01/2003;0000;83.3;29.235484;18.816129;69.443548;
83184;28/02/2003;0000;18.7;27.971429;18.164286;69.705357;
83184;31/03/2003;0000;23.1;28.56129;18.712903;72;
83184;30/04/2003;0000;13.7;28.533333;18.533333;70.883333;
83184;31/05/2003;0000;64;25.332258;17.403226;81.629032;
83184;30/06/2003;0000;33.5;22.993333;15.863333;84.583333;
83184;31/07/2003;0000;28.7;22.312903;14.645161;84.072581;
83184;31/08/2003;0000;13.3;24.141935;15.367742;78.637097;
83184;30/09/2003;0000;24.1;25.303333;15.663333;74.633333;
83184;31/10/2003;0000;2.3;27.374194;16.451613;64.25;
83184;30/11/2003;0000;100.1;27.163333;17.506667;73.575;
83184;31/12/2003;0000;1.2;28.745161;17.993333;63.580645;
83184;31/01/2004;0000;244.9;26.496774;18.612903;77.379032;
83184;29/02/2004;0000;64.9;26.475862;18.296552;77.672414;
83184;31/03/2004;0000;116.9;25.925806;18.312903;79.58871;
83184;30/04/2004;0000;35.9;25.733333;18.073333;78.791667;
83184;31/05/2004;0000;25.5;24.264516;16.841935;81.959677;
83184;30/06/2004;0000;28.8;22.646667;15.67;84.766667;
83184;31/07/2004;0000;15.1;22.358065;14.532258;80.096774;
83184;31/08/2004;0000;3.8;24.445161;14.63871;72.790323;
83184;30/09/2004;0000;8.7;25.593333;15.026667;69.108333;
83184;31/10/2004;0000;8.8;27.454839;16.880645;67.064516;
83184;30/11/2004;0000;127.7;27.986667;17.786667;67.733333;
83184;31/12/2004;0000;5;27.964516;17.864516;65.870968;
83184;31/01/2005;0000;49;28.145161;18.932258;69.314516;
83184;28/02/2005;0000;182.7;27.678571;18.828571;77.241071;
83184;31/03/2005;0000;41;27.477419;19.090323;75.290323;
83184;30/04/2005;0000;42.5;25.276667;18.303333;82.491667;
83184;31/05/2005;0000;31;24.125806;16.96129;81.258065;
83184;30/06/2005;0000;48;22.373333;16.243333;84.975;
83184;31/07/2005;0000;24.6;21.993548;14.632258;84.354839;
83184;31/08/2005;0000;29.3;23.058065;14.909677;79.024194;
83184;30/09/2005;0000;13.2;25.883333;16.103333;70.833333;
83184;31/10/2005;0000;2.9;28.874194;16.56129;62.153226;
83184;30/11/2005;0000;150.2;28.04;17.306667;69.025;
83184;31/12/2005;0000;41.7;27.06129;17.693548;74.395161;
83184;31/01/2006;0000;1;28.783871;17.53871;62.612903;
83184;28/02/2006;0000;33.8;30.153571;18.689286;66.401786;
83184;31/03/2006;0000;196;28.2;19.080645;76.870968;
83184;30/04/2006;0000;204.8;25.406667;18.543333;86.458333;
83184;31/05/2006;0000;16.3;23.532258;16.890323;83.822581;
83184;30/06/2006;0000;23.3;21.57;15.016667;85.008333;
83184;31/07/2006;0000;14.1;22.270968;14.070968;81.080645;
83184;31/08/2006;0000;18.7;23.709677;14.954839;76.33871;
83184;30/09/2006;0000;7.9;25.496667;15.676667;71.375;
83184;31/10/2006;0000;62.1;26.035484;17.258065;77.177419;
83184;30/11/2006;0000;161.3;26.613333;17.673333;78.7;
83184;31/12/2006;0000;3;28.203226;18.16129;68.096774;
83184;31/01/2007;0000;32.6;29.803226;18.535484;64.491935;
83184;28/02/2007;0000;444.3;26.976923;18.488462;81.298077;
83184;31/03/2007;0000;48.9;26.103226;17.790323;82.290323;
83184;30/04/2007;0000;18;25.873333;17.843333;82.133333;
83184;31/05/2007;0000;8.3;24.945161;16.612903;83.846774;
83184;30/06/2007;0000;30.2;23.3;15.29;83.133333;
83184;31/07/2007;0000;13.2;23.177419;14.980645;79.935484;
83184;31/08/2007;0000;34.5;23.077419;14.351613;80.991935;
83184;30/09/2007;0000;22;24.333333;14.786667;75.275;
83184;31/10/2007;0000;8.4;26.964516;16.074194;68.330645;
83184;30/11/2007;0000;62.6;28.54;17.17;65.95;
83184;31/12/2007;0000;37;28.209677;17.696774;68.919355;
83184;31/01/2008;0000;5.2;29.009677;17.622581;60.153226;
83184;29/02/2008;0000;95.7;29.227586;18.45;67.758621;
83184;31/03/2008;0000;66.2;27.696774;18.480645;75.072581;
83184;30/04/2008;0000;46.5;27.65;18.433333;74.425;
83184;31/05/2008;0000;21.6;25.132258;16.709677;78.290323;
83184;30/06/2008;0000;36.8;23.046667;15.26;82.8;
83184;31/07/2008;0000;22;22.006452;13.951613;81.620968;
83184;31/08/2008;0000;16.5;24.332258;15.006452;73.016129;
83184;30/09/2008;0000;11.4;26.09;15.973333;71.283333;
83184;31/10/2008;0000;12.8;27.822581;16.645161;70.612903;
83184;30/11/2008;0000;2.6;29.283333;17.543333;60.566667;
83184;31/12/2008;0000;129.4;27.296774;18.232258;77.266129;
83184;31/01/2009;0000;112;28.306452;18.458065;72.951613;
83184;28/02/2009;0000;29.3;28.678571;18.460714;70.651786;
83184;31/03/2009;0000;13.8;30.63871;19.283871;64.217742;
83184;30/04/2009;0000;160.1;26.59;18.66;82.358333;
83184;31/05/2009;0000;26.6;24.067742;17.309677;84.596774;
83184;30/06/2009;0000;23.5;23.493333;16.35;84.808333;
83184;31/07/2009;0000;22.8;24.090323;15.693548;79.870968;
83184;31/08/2009;0000;25.2;24.074194;15.470968;78.451613;
83184;30/09/2009;0000;8.9;27.8;16.8;64.283333;
83184;31/10/2009;0000;208.8;27.222581;18.129032;74.766129;
83184;30/11/2009;0000;8.7;27.42;17.64;67.691667;
83184;31/12/2009;0000;66.8;27.587097;18.467742;70.370968;
83184;31/01/2010;0000;45.9;28.158065;18.329032;69.016129;
83184;28/02/2010;0000;29.4;28.560714;18.760714;67.9375;
83184;31/03/2010;0000;235.6;28.216129;19.316129;79.346774;
83184;30/04/2010;0000;137.4;26.073333;18.55;82.358333;
83184;31/05/2010;0000;14.3;25.990323;18.206452;78.919355;
83184;30/06/2010;0000;17.3;23.663333;15.893333;80.041667;
83184;31/07/2010;0000;58;22.151613;15.21;85.75;
83184;31/08/2010;0000;10.1;22.935484;14.264516;77.967742;
