--------------------
BDMEP - INMET
--------------------
Esta?o           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Esta?o Operante
Inicio de opera?o: 01/01/1911
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82598;31/01/2000;0000;50;30.045161;20.696774;88.112903;
82598;29/02/2000;0000;84;30.675862;20.775862;89.732759;
82598;31/03/2000;0000;114.9;30.574194;21.070968;89.387097;
82598;30/04/2000;0000;177.4;30.073333;19.933333;91.533333;
82598;31/05/2000;0000;222.4;29.412903;19.593548;91.209677;
82598;30/06/2000;0000;577.4;28.486667;18.296552;93.208333;
82598;31/07/2000;0000;482.3;27.567742;17.709677;;
82598;31/08/2000;0000;288.8;28.309677;18.2;;
82598;30/09/2000;0000;205.1;28.78;19.316667;89.683333;
82598;31/10/2000;0000;8.7;29.43871;20.458065;;
82598;30/11/2000;0000;12.1;29.82;20.853333;;
82598;31/12/2000;0000;23;29.76129;21.173333;;
82598;31/01/2001;0000;30.1;30.025806;20.548387;80.8375;
82598;28/02/2001;0000;6.8;30.807143;21.185714;79.805556;
82598;31/03/2001;0000;133.8;30.541935;20.319355;80.403226;
82598;30/04/2001;0000;360.9;29.653333;19.4;84.358333;
82598;31/05/2001;0000;14.4;30.129032;20.187097;80.366667;
82598;30/06/2001;0000;373.8;28.413333;18.113333;;
82598;31/07/2001;0000;145.4;28.270968;17.890323;;
82598;31/08/2001;0000;104.4;27.993548;17.174194;;
82598;30/09/2001;0000;28.4;28.806667;19.003333;80.775;
82598;31/10/2001;0000;4.7;29.651613;20.651613;76.129032;
82598;30/11/2001;0000;12.7;30.14;21.62;75.191667;
82598;31/12/2001;0000;51.2;30.625806;25.309677;77.435484;
82598;31/01/2002;0000;113.9;29.987097;24.870968;81.051724;
82598;28/02/2002;0000;82.3;30.635714;24.792857;79.413462;
82598;31/03/2002;0000;483.8;30.296774;24.167742;81.922414;
82598;30/04/2002;0000;137.7;29.973333;23.726667;82.517241;
82598;31/05/2002;0000;122.9;30.090323;23.787097;81.935484;
82598;30/06/2002;0000;405.6;28.88;22.573333;84.183333;
82598;31/07/2002;0000;209.7;28.490323;22.16129;83.612903;
82598;31/08/2002;0000;314.4;28.309677;21.896774;82.548387;
82598;30/09/2002;0000;1;29.233333;23.66;77.858333;
82598;31/10/2002;0000;29.2;29.63871;24.387097;79.403226;
82598;30/11/2002;0000;98.2;29.86;24.82;78.925;
82598;31/12/2002;0000;19.4;30.116129;24.948387;79.733871;
82598;31/01/2003;0000;84.1;30.573333;25.333333;79.040323;
82598;28/02/2003;0000;139.9;30.557143;24.292857;81.053571;
82598;31/03/2003;0000;312;30.232258;24.167742;81.774194;
82598;30/04/2003;0000;136.8;30.206897;24.165517;82.291667;
82598;31/05/2003;0000;194.4;29.980645;24.103226;81.5;
82598;30/06/2003;0000;244.3;29.013333;22.533333;84.241667;
82598;31/07/2003;0000;202.3;28.6;21.632258;82.008065;
82598;31/08/2003;0000;51.2;28.858065;21.973333;80.282258;
82598;30/09/2003;0000;38.5;29.46;22.873333;79.2;
82598;31/10/2003;0000;21.7;30.025806;24.445161;77.782258;
82598;30/11/2003;0000;16.1;30.466667;25.086667;77.45;
82598;31/12/2003;0000;22.5;30.490323;25.103226;78.266129;
82598;31/01/2004;0000;376.3;30.122581;24.406452;83.008065;
82598;29/02/2004;0000;284.2;30.082759;24.068966;82.344828;
82598;31/03/2004;0000;252;30.470968;24.270968;80.524194;
82598;30/04/2004;0000;172.5;30.12;24.14;81.516667;
82598;31/05/2004;0000;160.9;29.516129;22.851613;82.758065;
82598;30/06/2004;0000;643.4;28.46;21.546667;87.4;
82598;31/07/2004;0000;393.9;28.316129;20.870968;87.669355;
