--------------------
BDMEP - INMET
--------------------
Esta?o           : NHUMIRIM  NHECOLANDIA  - MS (OMM: 83513)
Latitude  (graus) : -18.98
Longitude (graus) : -56.62
Altitude  (metros): 89.00
Esta?o Operante
Inicio de opera?o: 01/07/1984
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83513;31/01/2000;0000;88.1;35.087097;23.403226;75.016129;
83513;29/02/2000;0000;245.3;32.693103;23.672414;82.051724;
83513;31/03/2000;0000;340.9;31.680645;22.387097;86.346774;
83513;30/04/2000;0000;127;32.866667;;81.583333;
83513;31/05/2000;0000;1.4;30.270968;;80.241935;
83513;30/06/2000;0000;3;28.956667;17.152174;80.141667;
83513;31/07/2000;0000;9;26.358065;12.116129;73.403226;
83513;31/08/2000;0000;124;31.664516;16.993548;76.040323;
83513;30/09/2000;0000;21;30.37;18.846667;73.033333;
83513;31/10/2000;0000;51;34.681481;21.774074;74.37037;
83513;30/11/2000;0000;223.4;32.763333;21.856667;78.016667;
83513;31/12/2000;0000;193.8;33.029032;22.5;77.298387;
83513;31/01/2001;0000;168.2;32.680645;23.677419;81.782258;
83513;28/02/2001;0000;74.4;33.403571;23.603571;83.964286;
83513;31/03/2001;0000;67.4;33.167742;22.780645;85;
83513;30/04/2001;0000;113.6;32.83;20.923333;81.891667;
83513;31/05/2001;0000;88.2;28.932258;16.816129;80.153226;
83513;30/06/2001;0000;11;27.8;13.826667;79.316667;
83513;31/07/2001;0000;10.4;30.490323;15.912903;76.677419;
83513;31/08/2001;0000;10;34.054839;16.716129;67.806452;
83513;30/09/2001;0000;124.9;34.233333;19.248276;70.816667;
83513;31/10/2001;0000;219.6;33.603226;21.554839;76.282258;
83513;30/11/2001;0000;141.1;33.726667;22.28;80.733333;
83513;31/12/2001;0000;176.3;32.145161;22.493333;81.322581;
83513;31/01/2002;0000;40.6;34.03871;23.509677;76.427419;
