--------------------
BDMEP - INMET
--------------------
Esta?o           : NOVA XAV  XAVANTINA  - MT (OMM: 83319)
Latitude  (graus) : -14.7
Longitude (graus) : -52.35
Altitude  (metros): 316.00
Esta?o Operante
Inicio de opera?o: 05/08/1987
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83319;31/01/2000;0000;238.6;30.554839;21.216129;87.879032;
83319;29/02/2000;0000;215.2;30.448276;21.206897;92.353448;
83319;31/03/2000;0000;279.7;31.035484;21.1;91.233871;
83319;30/04/2000;0000;86.4;32.193333;19.55;88.325;
83319;31/05/2000;0000;3;32.606452;16.222581;78.508333;
83319;30/06/2000;0000;0;32.733333;13.106667;75.35;
83319;31/07/2000;0000;2.8;31.790323;12.835484;65.491935;
83319;31/08/2000;0000;7;35.490323;15.458065;56.177419;
83319;30/09/2000;0000;82;33.56;19.746667;67.325;
83319;31/10/2000;0000;65;35.412903;20.048387;67.733871;
83319;30/11/2000;0000;179.6;30.94;21.25;85.941667;
83319;31/12/2000;0000;205.5;31.746667;21.696296;85.965517;
83319;31/01/2001;0000;241.1;32.151613;20.367857;85.435484;
83319;28/02/2001;0000;105.1;33.407143;20.564286;82.455357;
83319;31/03/2001;0000;154.2;32.1;20.254839;86.524194;
83319;30/04/2001;0000;34.8;33.92;18.273333;78.043103;
83319;31/05/2001;0000;2.5;32.525806;17.151613;76.919355;
83319;30/06/2001;0000;0;32.066667;13.613333;72.077586;
83319;31/07/2001;0000;0;33.990323;13.512903;65.895161;
83319;31/08/2001;0000;0;35.254839;14.486667;50.75;
83319;30/09/2001;0000;38.3;35.855556;18.744828;57.375;
83319;31/10/2001;0000;101.5;33.351613;19.712903;73.308333;
83319;30/11/2001;0000;290.6;31.546667;21.06;86.616667;
83319;31/12/2001;0000;346.1;30.725806;21.322581;89.153226;
83319;31/01/2002;0000;334;31.764286;20.975862;88.413043;
83319;28/02/2002;0000;139;31.892308;21.071429;88.067308;
83319;31/03/2002;0000;223;32.793333;20.344444;86.526786;
83319;30/04/2002;0000;4;34.237931;19.003571;81.833333;
83319;31/05/2002;0000;4;34.013333;17.083871;80.466667;
83319;30/06/2002;0000;0;33.656667;13.144828;74.108333;
83319;31/07/2002;0000;4;34.72;14.556667;68.308333;
83319;31/08/2002;0000;0;36.824138;14.964516;60.543103;
83319;30/09/2002;0000;56.2;35.838462;17.631034;63.836207;
83319;31/10/2002;0000;24.8;37.190323;20.265517;67.58871;
83319;30/11/2002;0000;99.3;34.296296;20.641379;85.027778;
83319;31/12/2002;0000;69.2;32.890323;20.817241;86.120968;
83319;31/01/2003;0000;276.8;31.093548;21.035484;91.25;
83319;28/02/2003;0000;164.2;31.95;20.075;89.705357;
83319;31/03/2003;0000;391.7;31.674194;20.164516;89.475806;
83319;30/04/2003;0000;100;33.3;19.196667;84.275;
83319;31/05/2003;0000;3.9;32.583871;15.8;76.637097;
83319;30/06/2003;0000;0;33.44;13.233333;73.175;
83319;31/07/2003;0000;0;33.474194;10.919355;65.572581;
83319;31/08/2003;0000;0;35.609677;14.403226;54.548387;
83319;30/09/2003;0000;26.4;35.678571;18.713333;59.033333;
83319;31/10/2003;0000;92.8;34.545161;21.083871;72.416667;
83319;30/11/2003;0000;242.2;33;21.673333;83.075;
83319;31/12/2003;0000;171.6;32.958065;21.454839;84.233871;
83319;31/01/2004;0000;596.7;29.629032;22.109677;92.298387;
83319;29/02/2004;0000;271;30.410345;21.57931;89.525862;
83319;31/03/2004;0000;100.6;32.809677;21.332258;85.443548;
83319;30/04/2004;0000;125.8;32.506667;20.826667;85.466667;
83319;31/05/2004;0000;7.8;32.035484;18.274194;82.282258;
83319;30/06/2004;0000;0;31.946667;13.773333;75.716667;
83319;31/07/2004;0000;7.1;32.3;13.932258;72.83871;
83319;31/08/2004;0000;0;35.358065;13.545161;57.975806;
83319;30/09/2004;0000;29.3;37.94;16.613333;53.62069;
83319;31/10/2004;0000;196.6;35.022581;21.083871;72.322581;
83319;30/11/2004;0000;234.6;33.74;21.456667;80.566667;
83319;31/12/2004;0000;196.7;32.693548;21.283871;83.362903;
83319;31/01/2005;0000;224.8;31.106452;22.219355;87.596774;
83319;28/02/2005;0000;148.2;33.442857;21.235714;84.018519;
83319;31/03/2005;0000;240;31.616129;21.9;89.475806;
83319;30/04/2005;0000;71.3;33.72;19.53;83.1;
83319;31/05/2005;0000;0;33.258065;17.303226;78.080645;
83319;30/06/2005;0000;0;32.936667;15.64;75.344828;
83319;31/07/2005;0000;0;33.487097;13.633333;68.5;
83319;31/08/2005;0000;0;35.906452;14.706452;59.258065;
83319;30/09/2005;0000;41.5;36.08;19.393333;66.658333;
83319;31/10/2005;0000;58.3;37.635484;21.506452;72.612903;
83319;30/11/2005;0000;126.5;33.293333;21.523333;83.533333;
83319;31/12/2005;0000;404.4;30.622581;21.258065;88.798387;
83319;31/01/2006;0000;293.6;33.745161;20.958065;84.475;
83319;28/02/2006;0000;257;32.535714;21.221429;88.196429;
83319;31/03/2006;0000;263.8;32.9;21.683871;87.316667;
83319;30/04/2006;0000;135.5;32.396667;20.183333;87.666667;
83319;31/05/2006;0000;0.8;32.229032;14.506452;78.612903;
83319;30/06/2006;0000;0;32.786667;13.22;76.566667;
83319;31/07/2006;0000;0;33.596774;13.306667;72.935484;
83319;31/08/2006;0000;0.3;36.274194;15.38;62.443548;
83319;30/09/2006;0000;45.3;36.046667;19.02;66.075;
83319;31/10/2006;0000;188;32.977419;21.496774;83.435484;
83319;30/11/2006;0000;428.2;33.103333;20.54;81.025;
83319;31/12/2006;0000;245.6;32.235484;21.377419;88.145161;
83319;31/01/2007;0000;221.9;32.774194;22.013333;87.741935;
83319;28/02/2007;0000;311.1;31.514286;21.842857;88.973214;
83319;31/03/2007;0000;64.3;34.18;20.146667;84.330645;
83319;30/04/2007;0000;11.8;34.633333;19.736667;81.941667;
83319;31/05/2007;0000;6.2;33.977419;15.322581;72.016129;
83319;30/06/2007;0000;0;33.74;12.793333;71.45;
83319;31/07/2007;0000;0;34.235484;12.983333;67.072581;
83319;31/08/2007;0000;0;36.196774;13.086667;52.798387;
83319;30/09/2007;0000;0;38.424138;16.49;47.267241;
83319;31/10/2007;0000;101.6;36.667742;20.077419;65.645161;
83319;30/11/2007;0000;70.2;35.206667;21.693103;75.15;
83319;31/12/2007;0000;170;33.070968;21.53871;83.717742;
83319;31/01/2008;0000;331;32.106452;21.306452;86.862903;
83319;29/02/2008;0000;284.1;31.782759;21.17931;89.706897;
83319;31/03/2008;0000;184.6;31.964516;21.177419;89.008065;
83319;30/04/2008;0000;91.3;32.473333;20.953333;87.641667;
83319;31/05/2008;0000;0;32.751613;16.577419;79.333333;
83319;30/06/2008;0000;0;33.12;13.873333;76.725;
83319;31/07/2008;0000;0;33.803226;11.76129;67.217742;
83319;31/08/2008;0000;0;36.893548;13.883871;58.733871;
83319;30/09/2008;0000;16.8;37.693333;19.466667;54.55;
83319;31/10/2008;0000;59.1;36.980645;22.022581;59.362903;
83319;30/11/2008;0000;167.4;33.206667;22.366667;78.908333;
83319;31/12/2008;0000;281.5;31.267742;22.251613;85.370968;
83319;31/01/2009;0000;191.7;32.764516;21.677419;82.903226;
83319;28/02/2009;0000;186.9;32.582143;21.732143;86.044643;
83319;31/03/2009;0000;156.3;33.235484;21.835484;84.717742;
83319;30/04/2009;0000;164;32.266667;20.5;85.025;
83319;31/05/2009;0000;1;32.919355;18.206452;80.379032;
83319;30/06/2009;0000;43;32.193333;15.506667;75.975;
83319;31/07/2009;0000;0;34.425806;15.070968;69.604839;
83319;31/08/2009;0000;37.6;35.132258;16.780645;63.75;
83319;30/09/2009;0000;35.3;35.84;21.103333;67.95;
