--------------------
BDMEP - INMET
--------------------
Esta?o           : PADRE RICARDO REMETTER - MT (OMM: 83364)
Latitude  (graus) : -15.78
Longitude (graus) : -56.06
Altitude  (metros): 140.00
Esta?o Operante
Inicio de opera?o: 01/01/1986
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83364;31/01/2000;0000;48.6;33.409677;23.880645;81.439655;
83364;29/02/2000;0000;25.5;31.924138;23.462069;86.405172;
83364;31/03/2000;0000;132.1;31.8;22.564516;88.580645;
83364;30/04/2000;0000;41.2;33.1;22.4;87.758333;
83364;31/05/2000;0000;6.8;32.309677;19.432258;85.991379;
83364;30/06/2000;0000;0.2;32.41;17.46;79.456897;
83364;31/07/2000;0000;10.8;30.967742;14.370968;74.782258;
83364;31/08/2000;0000;25.6;35.693548;19.258065;66.6;
83364;30/09/2000;0000;6.9;33.38;20.810345;68.625;
83364;31/10/2000;0000;84.5;35.37;23.53;73.282258;
83364;30/11/2000;0000;172.9;32.763333;22.8;79.775862;
83364;31/12/2000;0000;119.4;32.677419;23.736667;82.383333;
83364;31/01/2001;0000;203;32.967742;23.287097;86.65;
83364;28/02/2001;0000;86.2;33.540741;23.840741;81.907407;
83364;31/03/2001;0000;137.3;33.025806;23.396774;84.5;
83364;30/04/2001;0000;41.6;33.716667;22.47;80.991667;
83364;31/05/2001;0000;40.4;30.719355;19.580645;81.846774;
83364;30/06/2001;0000;6.2;31.625926;15.96;77.141667;
83364;31/07/2001;0000;11.2;33.325806;18.346667;73.433333;
83364;31/08/2001;0000;29.8;36.516129;18.996667;51.663793;
83364;30/09/2001;0000;41.5;35.813333;22.586207;60.8;
83364;31/10/2001;0000;151.8;34.722581;22.954839;69.814516;
83364;30/11/2001;0000;168.8;33.936667;23.546667;77.9;
83364;31/12/2001;0000;168.7;31.896774;23.467742;84.33871;
83364;31/01/2002;0000;150;32.95;23.608;80.5;
83364;28/02/2002;0000;74.6;32.772727;23.825926;87.952381;
83364;31/03/2002;0000;104.8;34.175;23.496429;83.951923;
83364;30/04/2002;0000;46;34.462069;22.542308;82.08;
83364;31/05/2002;0000;12;33.256667;20.525806;80.841667;
83364;30/06/2002;0000;0.8;31.767857;15.981481;76.848214;
83364;31/07/2002;0000;0.6;32.15;16.537037;73.827586;
83364;31/08/2002;0000;17.6;36.058621;20.172727;66.405172;
83364;30/09/2002;0000;60.5;34.473077;21.154167;59.905172;
83364;31/10/2002;0000;25.6;36.917857;24.53913;65.862069;
83364;30/11/2002;0000;45.6;35.139286;24.473077;69.839286;
83364;31/12/2002;0000;268.3;34.05;24.155172;77.035714;
83364;31/01/2003;0000;346.8;32.123333;23.9;84.443548;
83364;28/02/2003;0000;250.6;32.653571;23.074074;83.107143;
83364;31/03/2003;0000;152.2;32.309677;23.306452;85.403226;
83364;30/04/2003;0000;200.7;31.82;22.246667;83.431034;
83364;31/05/2003;0000;43.3;31.477419;19.580645;82.604839;
83364;30/06/2003;0000;0.4;32.103846;17.919231;76.865385;
83364;31/07/2003;0000;0;30.486667;;;
83364;30/09/2003;0000;0;;;;
83364;31/12/2003;0000;94.2;34.419355;23.85;76.541667;
83364;31/01/2004;0000;167.6;32.403226;24.134483;83.33871;
83364;29/02/2004;0000;166.1;32.07931;23.596552;84.344828;
83364;31/03/2004;0000;111.6;34.23871;22.916129;80.443548;
83364;30/04/2004;0000;106.7;33.01;22.7;82.258333;
83364;31/05/2004;0000;22.4;27.9;18.377419;86.33871;
83364;30/06/2004;0000;1.1;31.186667;16.366667;76.216667;
83364;31/07/2004;0000;65.7;30.387097;16.764516;76.798387;
83364;31/08/2004;0000;2.4;34.164516;16.448387;64.758065;
83364;30/09/2004;0000;0;36.248276;19.813333;56.366667;
83364;31/10/2004;0000;105.5;34.919355;22.941935;67.266129;
83364;30/11/2004;0000;198.2;33.516667;22.596667;76.058333;
83364;31/12/2004;0000;223.2;33.641935;23.13871;76.677419;
83364;31/01/2005;0000;265.9;32.3;23.922581;83.266129;
83364;28/02/2005;0000;124.6;33.288889;23.285714;80.321429;
83364;31/03/2005;0000;156.6;32.7;23.406452;83.217742;
83364;30/04/2005;0000;83.9;32.303333;21.73;79.433333;
83364;31/05/2005;0000;5.8;33.048387;19.819355;73.733871;
83364;30/06/2005;0000;6.3;33.6;17.833333;70.875;
83364;31/07/2005;0000;0.4;31.403226;15.483333;63.435484;
83364;31/08/2005;0000;7.1;35.709677;17.045161;49.451613;
83364;30/09/2005;0000;73;32.4;19.023333;64.841667;
83364;31/10/2005;0000;134.9;34.793548;23.312903;70.879032;
83364;30/11/2005;0000;99.3;33.268966;23.541379;77.325;
83364;31/12/2005;0000;164.3;33.319355;23.209677;78.516129;
83364;31/01/2006;0000;182.1;32.966667;23.4;82.943548;
83364;28/02/2006;0000;177.1;32.967857;23.353571;83.508929;
83364;31/03/2006;0000;200.6;32.626667;23.66;85.85;
83364;30/04/2006;0000;178.5;31.776667;22.556667;85.034483;
83364;31/05/2006;0000;11.6;28.832258;16.674194;79.040323;
83364;30/06/2006;0000;0;32.786667;17.856667;73.575;
83364;31/07/2006;0000;31.6;32.745161;16.464516;68.629032;
83364;31/08/2006;0000;100.7;34.919355;18.193548;56.808333;
83364;30/09/2006;0000;78;33.02;21.114286;71.3;
83364;31/10/2006;0000;136.9;32.735484;23.135484;81.814516;
83364;30/11/2006;0000;131.4;34.243333;23.046667;74.691667;
83364;31/12/2006;0000;147.9;33.023333;23.706897;81.7;
83364;31/01/2007;0000;160.7;32.93871;24.183333;81.653226;
83364;28/02/2007;0000;274.6;32.25;23.321429;84.883929;
83364;31/03/2007;0000;189.2;33.56129;23.080645;80.290323;
83364;30/04/2007;0000;58.4;33.813333;22.593333;78.541667;
83364;31/05/2007;0000;7.9;30.406452;17.826667;77.637097;
83364;30/06/2007;0000;0;31.826667;16.624138;73.375;
83364;31/07/2007;0000;38.2;31.33871;15.526667;69.548387;
83364;31/08/2007;0000;0;32.93871;15.16129;60.225806;
83364;30/09/2007;0000;0.3;37.366667;20.193333;51.483333;
83364;31/10/2007;0000;52.9;35.525806;22.935484;65.467742;
83364;30/11/2007;0000;147.4;33.196552;23.085714;76.566667;
83364;31/12/2007;0000;186.8;33.216129;23.206667;78.733871;
83364;31/01/2008;0000;332.2;31.516129;22.987097;84.467742;
83364;29/02/2008;0000;155.5;32.662069;22.786207;81.37931;
83364;31/03/2008;0000;164.8;32.519355;22.86129;82.645161;
83364;30/04/2008;0000;159.6;31.563333;21.323333;83.025;
83364;31/05/2008;0000;52.5;29.848387;18.23871;82.41129;
83364;30/06/2008;0000;0;29.433333;16.723333;82.016667;
83364;31/07/2008;0000;0;34.316667;15.275862;63.125;
83364;31/08/2008;0000;12;36.351613;17.490323;55.387097;
83364;30/09/2008;0000;28.7;35.183333;18.863333;57.016667;
83364;31/10/2008;0000;82.4;35.309677;22.454839;66.91129;
83364;30/11/2008;0000;84.6;35.22;23.396552;71.301724;
83364;31/12/2008;0000;460.6;33.523333;22.723333;78.066667;
83364;31/01/2009;0000;152.9;33.76129;22.845161;78.153226;
83364;28/02/2009;0000;243.6;32.928571;23.025;83.071429;
83364;31/03/2009;0000;272.9;32.93871;23.358065;85.524194;
83364;30/04/2009;0000;111.4;32.57;22.41;82.575;
83364;31/05/2009;0000;43.2;31.716129;20.158065;81.137097;
83364;30/06/2009;0000;60.5;28.703333;16.723333;83.575;
83364;31/07/2009;0000;13.4;31.480645;17.26129;78.475806;
83364;31/08/2009;0000;22;33.580645;17.448387;68.935484;
83364;30/09/2009;0000;77.1;33.663333;20.833333;68.675;
83364;31/10/2009;0000;142.3;34.6;22.964516;72.354839;
83364;30/11/2009;0000;183.2;33.686667;23.782759;76.55;
83364;31/12/2009;0000;364.4;32.654839;23.219355;82.048387;
83364;31/01/2010;0000;290.5;32.558065;23.222581;82.266129;
83364;28/02/2010;0000;170.4;33.342857;23.953571;80.5;
