--------------------
BDMEP - INMET
--------------------
Esta?o           : PALMAS - TO (OMM: 83033)
Latitude  (graus) : -10.19
Longitude (graus) : -48.3
Altitude  (metros): 280.00
Esta?o Operante
Inicio de opera?o: 08/10/1993
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83033;31/01/2000;0000;288.3;30.709677;21.670968;81.774194;
83033;29/02/2000;0000;526.7;30.124138;21.351724;84.723214;
83033;31/03/2000;0000;286.9;31.254839;21.787097;82.193548;
83033;30/04/2000;0000;134;31.633333;21.79;77.691667;
83033;31/05/2000;0000;42.2;33.706452;20.96129;64.314516;
83033;30/06/2000;0000;0;33.96;20.156667;54.422414;
83033;31/07/2000;0000;21.1;34.174194;19.993548;51.075;
83033;31/08/2000;0000;3.7;35.251613;21.619355;43.516129;
83033;30/09/2000;0000;46.3;34.356667;22.54;56.683333;
83033;31/10/2000;0000;142.4;34.045161;22.493548;65.540323;
83033;30/11/2000;0000;284.1;31.946667;22;74.577586;
83033;31/12/2000;0000;430.3;31.312903;22.029032;79.473214;
83033;31/01/2001;0000;234.4;31.777419;21.916129;77.766129;
83033;28/02/2001;0000;147.3;31.485714;21.807143;80.169643;
83033;31/03/2001;0000;387.5;31.380645;21.741935;83.024194;
83033;30/04/2001;0000;117.4;32.703333;21.78;74.741667;
83033;31/05/2001;0000;22.2;34.041935;21.7;70.717742;
83033;30/06/2001;0000;1.2;34.056667;20.173333;56.758333;
83033;31/07/2001;0000;0;34.793548;19.819355;46.975;
83033;31/08/2001;0000;0;34.990323;21.029032;41.370968;
83033;30/09/2001;0000;129.1;35.103333;22.806667;56.033333;
83033;31/10/2001;0000;373.4;32.7;21.809677;78.314516;
83033;30/11/2001;0000;420.4;32.24;21.94;81.966667;
83033;31/12/2001;0000;338.6;32;22.16129;82.467742;
83033;31/01/2002;0000;431.7;30.422581;22.196774;84.782258;
83033;28/02/2002;0000;195.1;32.792857;22.775;76.589286;
83033;31/03/2002;0000;233;32.064516;22.180645;81.419355;
83033;30/04/2002;0000;107.8;33.19;22.023333;74.208333;
83033;31/05/2002;0000;55;33.987097;21.464516;68.532258;
83033;30/06/2002;0000;0;34.146667;20.493333;53.908333;
83033;31/07/2002;0000;0;35.309677;20.906452;49.346774;
83033;31/08/2002;0000;0;36.696774;21.596774;39.193548;
83033;30/09/2002;0000;76.1;35.613333;22.81;52.066667;
83033;31/10/2002;0000;145;35.064516;22.267742;68.612903;
83033;30/11/2002;0000;214.5;34.69;22.476667;71.65;
83033;31/12/2002;0000;238.6;32.012903;22.467742;79.846774;
83033;31/01/2003;0000;487.1;32.719355;22.383871;79.846774;
83033;28/02/2003;0000;241.4;32.432143;22.371429;78.160714;
83033;31/03/2003;0000;236.8;31.53871;21.780645;83.33871;
83033;30/04/2003;0000;231.6;33.75;21.926667;76.433333;
83033;31/05/2003;0000;129.9;33.293548;21.619355;71.266129;
83033;30/06/2003;0000;0;34.456667;18.7;55.866667;
83033;31/07/2003;0000;0;34.674194;19.051613;47.645161;
83033;31/08/2003;0000;18.6;36.322581;21.367742;49.024194;
83033;30/09/2003;0000;22.6;37.196667;23.473333;48.666667;
83033;31/10/2003;0000;179.6;33.890323;22.706667;68.983871;
83033;30/11/2003;0000;303.1;31.85;22.256667;77.716667;
83033;31/12/2003;0000;193;32.035484;22.219355;77.701613;
83033;31/01/2004;0000;490.7;30.690323;22.451613;83.5;
83033;29/02/2004;0000;204.5;30.496552;22.503448;83.775862;
83033;31/03/2004;0000;299.4;31.551613;22.632258;81.895161;
83033;30/04/2004;0000;246.9;32.686667;22.56;78.05;
83033;31/05/2004;0000;2.3;34.587097;22.474194;65.33871;
83033;30/06/2004;0000;27.4;34.243333;20.423333;56.266667;
83033;31/07/2004;0000;0;34.516129;20.245161;49.895161;
83033;31/08/2004;0000;0;36.196774;20.813333;43.16129;
83033;30/09/2004;0000;41.8;37.186667;23.9;41.716667;
83033;31/10/2004;0000;160.2;33.587097;22.680645;70.887097;
83033;30/11/2004;0000;172.1;33.23;22.776667;74.316667;
