--------------------
BDMEP - INMET
--------------------
Esta?o           : PARNAIBA - PI (OMM: 82287)
Latitude  (graus) : -3.08
Longitude (graus) : -41.76
Altitude  (metros): 79.50
Esta?o Operante
Inicio de opera?o: 16/11/1970
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82287;31/01/2000;0000;168;31.664516;22.7;82.524194;
82287;29/02/2000;0000;231.3;30.513793;22.455172;86.551724;
82287;31/03/2000;0000;156.1;30.770968;22.683871;87.451613;
82287;30/04/2000;0000;388.2;30.936667;22.53;88.383333;
82287;31/05/2000;0000;199.5;31.035484;22.635484;86.935484;
82287;30/06/2000;0000;73.5;31.016667;21.906667;;
82287;31/07/2000;0000;91.1;31.351613;22.083871;;
82287;31/08/2000;0000;16.1;32.648387;22.154839;;
82287;30/09/2000;0000;3.1;33.983333;23.296667;;
82287;30/04/2001;0000;324.1;30.096667;22.793333;;
82287;30/09/2001;0000;0;;;;
82287;31/10/2001;0000;0;34.212903;23.645161;67.927419;
82287;30/11/2001;0000;0;34.093103;24.43;71.433333;
82287;31/12/2001;0000;3.6;33.886207;24.692857;71.907407;
82287;31/01/2002;0000;160.2;31.363333;23.423333;85.215517;
82287;28/02/2002;0000;126.8;31.811111;23.317857;84.648148;
82287;31/03/2002;0000;153.9;30.89;22.932258;88.458333;
82287;30/04/2002;0000;246.1;30.482759;22.803333;91.275862;
82287;31/05/2002;0000;68.4;31.222581;22.712903;88.556452;
82287;30/06/2002;0000;77.4;30.846667;22.286667;87.25;
82287;31/07/2002;0000;38.9;32.180645;21.993548;78.645161;
82287;31/08/2002;0000;0;33.996667;22.329032;74.941667;
82287;30/09/2002;0000;0;34.49;23.141379;70.291667;
82287;31/10/2002;0000;0;34.729032;24.067742;70.491935;
82287;30/11/2002;0000;0;34.47;23.923333;70.041667;
82287;31/12/2002;0000;11.1;34.054839;24.354839;75.693548;
82287;31/01/2003;0000;178.5;32.622581;23.625806;79.895161;
82287;28/02/2003;0000;380;30.392857;22.935714;90.196429;
