--------------------
BDMEP - INMET
--------------------
Esta?o           : PATOS - PB (OMM: 82791)
Latitude  (graus) : -7.01
Longitude (graus) : -37.26
Altitude  (metros): 249.09
Esta?o Operante
Inicio de opera?o: 17/10/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82791;31/01/2000;0000;133.6;33.216129;22.819355;60.387097;
82791;29/02/2000;0000;151.3;33.396552;22.586207;65.922414;
82791;31/03/2000;0000;155.6;33.148387;22.358065;66.395161;
82791;30/04/2000;0000;92.4;32.64;22.363333;67.841667;
82791;31/05/2000;0000;32.3;33.619355;21.848387;57.516129;
82791;30/06/2000;0000;21.5;32.793333;21.406667;58.983333;
82791;31/07/2000;0000;16.9;32.535484;21.090323;;
82791;31/08/2000;0000;64.2;32.648387;21.858065;;
82791;30/09/2000;0000;9.7;34.136667;22.893333;;
82791;30/09/2001;0000;0;;;;
82791;31/10/2001;0000;2.6;35.606452;23.325806;45.983871;
82791;30/11/2001;0000;0;36.558621;23.934483;48.387931;
82791;31/12/2001;0000;21.5;36.044828;24.217857;52.178571;
82791;31/01/2002;0000;393.8;32.362069;22.753333;74.196429;
82791;28/02/2002;0000;96.4;33.296296;22.353571;65.990385;
82791;31/03/2002;0000;223.4;33.006452;22.541935;70.516667;
82791;30/04/2002;0000;56.2;32.593103;22.596552;72.203704;
82791;31/05/2002;0000;117.8;31.970968;21.912903;54.151786;
82791;30/06/2002;0000;64.1;31.1;20.45;68.891667;
82791;31/07/2002;0000;1.2;33.383871;20.887097;56.879032;
82791;31/08/2002;0000;0.4;33.693333;21.445161;52.7;
82791;30/09/2002;0000;3.8;35.24;22.05;44.058333;
82791;31/10/2002;0000;0;36.053333;22.777419;44.6;
82791;30/11/2002;0000;1.3;36.456667;23.424138;46.766667;
82791;31/12/2002;0000;26.7;36.109677;23.835484;50.387097;
82791;31/01/2003;0000;167.8;35.477419;23.283871;57.185484;
82791;28/02/2003;0000;118.8;33.967857;23.189286;64.875;
82791;31/03/2003;0000;208.5;33.451613;22.648387;72.362903;
82791;30/04/2003;0000;75.9;34.146667;21.436667;66.475;
82791;31/05/2003;0000;34.6;33.93871;21.564516;59.145161;
82791;30/06/2003;0000;13.9;33.49;20.696667;54.933333;
82791;31/07/2003;0000;7.4;33.129032;19.72;52.177419;
82791;31/08/2003;0000;2;34.419355;19.953333;47.225806;
82791;30/09/2003;0000;0.8;34.93;20.32;45.25;
82791;31/10/2003;0000;0.2;36.116129;21.051613;43.217742;
82791;30/11/2003;0000;0;36.696667;21.92;43.308333;
