--------------------
BDMEP - INMET
--------------------
Esta?o           : PAULO AFONSO - BA (OMM: 82986)
Latitude  (graus) : -9.36
Longitude (graus) : -38.21
Altitude  (metros): 252.69
Esta?o Operante
Inicio de opera?o: 01/02/1951
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82986;31/01/2000;0000;103.5;32.780645;22.803226;67.387097;
82986;29/02/2000;0000;122.4;32.289655;22.617241;68.043103;
82986;31/03/2000;0000;63;32.658065;22.774194;66.024194;
82986;30/04/2000;0000;79.4;32.336667;22.636667;71.2;
82986;31/05/2000;0000;15.9;31.119355;21.354839;70.217742;
82986;30/06/2000;0000;45.1;28.996667;20.84;76.408333;
82986;31/07/2000;0000;19.6;28.829032;19.870968;73.290323;
82986;31/08/2000;0000;29.8;29.870968;20.451613;70.733871;
82986;30/09/2000;0000;30;31.286667;21.35;65.833333;
82986;31/10/2000;0000;0;33.2;22.177419;57.935484;
82986;30/11/2000;0000;35.9;33.486667;22.533333;58.625;
82986;31/12/2000;0000;58.5;32.787097;22.203226;60.120968;
82986;31/01/2001;0000;0.2;33.580645;21.993548;56.129032;
82986;28/02/2001;0000;0.6;34.767857;22.842857;55.723214;
82986;31/03/2001;0000;127.2;33.612903;22.745161;62.16129;
82986;30/04/2001;0000;3.1;32.44;22.323333;61.433333;
82986;31/05/2001;0000;1.1;33.645161;22.776667;59.016129;
82986;30/06/2001;0000;32;29.633333;20.893333;72.483333;
82986;31/07/2001;0000;77.4;27.912903;19.896774;79.129032;
82986;31/08/2001;0000;37.9;28.090323;18.63871;73.45;
82986;30/09/2001;0000;5.4;32.086667;20.4;60.758333;
82986;31/10/2001;0000;21.5;33.532258;21.177419;59.58871;
82986;30/11/2001;0000;0.4;34.896667;21.79;53.983333;
82986;31/12/2001;0000;56;34.358065;22.712903;60.169355;
82986;31/01/2002;0000;226;30.532258;21.945161;76.491935;
82986;28/02/2002;0000;102.2;30.875;21.707143;68.481481;
82986;31/03/2002;0000;11.6;31.025806;22.13871;62.193548;
82986;30/04/2002;0000;16;31.273333;21.796667;64.183333;
82986;31/05/2002;0000;29.2;30.351613;21.141935;73.403226;
82986;30/06/2002;0000;57.5;27.956667;19.903333;79.913793;
82986;31/07/2002;0000;54.5;28.751613;19.277419;75.564516;
82986;31/08/2002;0000;16.2;29.503226;18.916129;69.83871;
82986;30/09/2002;0000;2.8;32.703333;19.973333;58.925;
82986;31/10/2002;0000;0.1;34.1;20.929032;54.193548;
82986;30/11/2002;0000;0;35.066667;22.126667;52.125;
82986;31/12/2002;0000;5.4;34.935484;22.67;56.580645;
82986;31/01/2003;0000;123.5;35.545161;23.229032;55.096774;
82986;28/02/2003;0000;41.2;32.682143;22.517857;63.767857;
82986;31/03/2003;0000;39.9;33.774194;22.880645;62.048387;
82986;30/04/2003;0000;9.6;34.143333;22.466667;59.191667;
82986;31/05/2003;0000;30.1;31.9;21.970968;67.758065;
82986;30/06/2003;0000;10.5;29.853333;20.316667;69.383333;
82986;31/07/2003;0000;24.4;28.93871;19.206667;67.459677;
82986;31/08/2003;0000;13.7;30.503226;19.816129;66.008065;
82986;30/09/2003;0000;3;32.326667;20.66;58.466667;
82986;31/10/2003;0000;8;32.9;21.448387;59.362903;
82986;30/11/2003;0000;2.6;34.006667;22.53;58.333333;
82986;31/12/2003;0000;0;35.312903;23.045161;52.629032;
82986;31/01/2004;0000;227.5;32.319355;23.293548;70.491935;
82986;29/02/2004;0000;40;31.57931;22.944828;70;
82986;31/03/2004;0000;70.4;33.770968;22.858065;61.758065;
82986;30/04/2004;0000;0.2;33.903333;22.85;61.15;
82986;31/05/2004;0000;121.7;31.293548;22.041935;68.766129;
82986;30/06/2004;0000;49.8;28.246667;20.466667;75.683333;
82986;31/07/2004;0000;18.2;28.5;19.8;72.056452;
82986;31/08/2004;0000;35.8;29.051613;19.822581;70.733871;
82986;30/09/2004;0000;7.1;31.276667;20.246667;62.416667;
82986;31/10/2004;0000;0;34.387097;21.825806;54.395161;
82986;30/11/2004;0000;10.2;34.976667;22.43;52.891667;
82986;31/12/2004;0000;4;35.141935;22.916129;50.395161;
82986;31/01/2005;0000;22.5;35.296774;23.483871;54.475806;
82986;28/02/2005;0000;71.3;34.185714;23.714286;60.758929;
82986;31/03/2005;0000;280.1;33.554839;23.516129;63.379032;
82986;30/04/2005;0000;112.8;31.343333;22.666667;72.033333;
82986;31/05/2005;0000;73.8;28.593548;22.13871;83.008065;
82986;30/06/2005;0000;86.4;27.541379;20.851724;82.916667;
82986;31/07/2005;0000;71;26.66129;19.532258;83.016129;
82986;31/08/2005;0000;44.2;27.909677;19.245161;78.193548;
82986;30/09/2005;0000;5.9;32.063333;20.126667;62.85;
82986;31/10/2005;0000;0.2;34.716129;21.374194;55.096774;
82986;30/11/2005;0000;16.8;35.61;22.586667;52.75;
82986;31/12/2005;0000;36.7;33.858065;22.506452;60.266129;
82986;31/01/2006;0000;0;34.754839;22.26129;55.379032;
82986;28/02/2006;0000;39.7;36.225;23.921429;58.589286;
82986;31/03/2006;0000;66.7;34.406452;23.629032;68.217742;
82986;30/04/2006;0000;26.4;33.226667;23.42;74.325;
82986;31/05/2006;0000;54.2;30.503226;21.935484;77.362903;
82986;30/06/2006;0000;129.9;27.266667;20.346667;84.975;
82986;31/07/2006;0000;104.1;26.36129;19.554839;85.483871;
82986;31/08/2006;0000;20;28.880645;19.229032;76.645161;
82986;30/09/2006;0000;42.8;30.716667;20.093333;75.608333;
82986;31/10/2006;0000;30.6;33.622581;21.667742;70.048387;
82986;30/11/2006;0000;8.7;35;22.263333;61.533333;
82986;31/12/2006;0000;8.6;35.874194;23.096774;55.403226;
82986;31/01/2007;0000;1.7;36.029032;23.296774;54.048387;
82986;28/02/2007;0000;74;33.657143;23.378571;65.625;
82986;31/03/2007;0000;81.2;31.274194;22.348387;74.290323;
82986;30/04/2007;0000;40.8;32.503333;22.316667;68.108333;
82986;31/05/2007;0000;76.9;29.596774;21.770968;81.725806;
82986;30/06/2007;0000;59.8;28.426667;20.31;78.325;
82986;31/07/2007;0000;32.2;28.922581;19.441935;77.387097;
82986;31/08/2007;0000;51.1;28.390323;19.132258;74.435484;
82986;30/09/2007;0000;18.6;30.676667;19.606667;66.775;
82986;31/10/2007;0000;0.7;33.480645;20.867742;59.943548;
82986;30/11/2007;0000;0;35.19;21.933333;53.608333;
82986;31/12/2007;0000;40.3;34.680645;22.53871;56.314516;
82986;31/01/2008;0000;0;34.912903;22.564516;58.846774;
82986;29/02/2008;0000;55;33.751724;23.048276;62.922414;
82986;31/03/2008;0000;97;32.622581;22.793548;69.782258;
82986;30/04/2008;0000;59.6;32.073333;22.87;72.35;
82986;31/05/2008;0000;64.6;29.758065;21.73871;77.741935;
82986;30/06/2008;0000;32.6;28.286667;19.413793;77.425;
82986;31/07/2008;0000;91;27.493548;19.041935;78.717742;
82986;31/08/2008;0000;36.2;29.212903;19.803226;73.209677;
82986;30/09/2008;0000;2.2;31.643333;20.626667;64.6;
82986;31/10/2008;0000;2.6;33.833333;21.751613;61.137097;
82986;30/11/2008;0000;0;36.313333;24.096667;54.425;
82986;31/12/2008;0000;153.7;34.654839;23.216129;59.024194;
82986;31/01/2009;0000;5.7;34.977419;25.206452;58.725806;
82986;28/02/2009;0000;4.1;34.7;24.357143;60.285714;
82986;31/03/2009;0000;8.1;35.96;25.13871;55.080645;
82986;30/04/2009;0000;169.5;31.668;23.386667;70.4;
82986;31/05/2009;0000;188.4;28.464516;22.254839;83.5;
82986;30/06/2009;0000;67.1;27.953333;20.77;83.616667;
82986;31/07/2009;0000;37.1;28.064516;20.154839;81.516129;
82986;31/08/2009;0000;54.3;28.670968;19.73;79.887097;
82986;30/09/2009;0000;1.7;32.453333;20.64;66.366667;
82986;31/10/2009;0000;72.8;34.36129;21.632258;60.032258;
82986;30/11/2009;0000;5.3;35.19;21.806667;54.566667;
82986;31/12/2009;0000;38.8;34.780645;22.651613;59.766129;
82986;31/01/2010;0000;34.6;34.245161;22.474194;61.870968;
82986;28/02/2010;0000;36.5;35.121429;23.017857;62.419643;
82986;31/03/2010;0000;54.9;34.980645;23.412903;64.209677;
82986;30/04/2010;0000;147.9;31.923333;22.893333;73.875;
82986;31/05/2010;0000;59.4;31.06129;21.66129;74.645161;
82986;30/06/2010;0000;51.9;28.324138;20.036667;79.766667;
82986;31/07/2010;0000;41.4;28.2;19.303226;78.943548;
82986;31/08/2010;0000;32.5;28.86129;18.806452;72.725806;
82986;30/09/2010;0000;28.2;30.536667;19.516667;68.85;
82986;31/10/2010;0000;13.5;34.129032;21.622581;62.33871;
82986;30/11/2010;0000;0;35.59;22.243333;54.95;
82986;31/12/2010;0000;17.9;34.654839;22.493548;60.508065;
82986;31/01/2011;0000;31.7;34.583871;22.416129;60.064516;
82986;28/02/2011;0000;43;34.682143;22.553571;63.0625;
82986;31/03/2011;0000;88.3;33.926316;23.273684;66.052632;
82986;30/04/2011;0000;19.5;32.407692;22.226923;72.019231;
82986;31/05/2011;0000;51.4;29.470968;20.506452;78.943548;
82986;30/06/2011;0000;15.4;29.8;19.873333;73.516667;
82986;31/07/2011;0000;38.7;28.475;19.470833;77.010417;
82986;31/08/2011;0000;19.7;29.994444;18.9;68.444444;
82986;30/09/2011;0000;8.8;30.847059;19.652941;66.029412;
82986;31/10/2011;0000;13;33.403226;21.8;66.83871;
82986;30/11/2011;0000;2;33.573333;21.853333;64.491667;
82986;31/12/2011;0000;0;35.519355;22.716129;56.604839;
82986;31/01/2012;0000;0;35;22.667742;57.645161;
82986;29/02/2012;0000;57.5;33.689655;22.503448;62.448276;
82986;31/03/2012;0000;0;34.558065;22.574194;59.475806;
82986;30/04/2012;0000;0;34.023333;22.293103;59.37931;
82986;31/05/2012;0000;18.4;32.067742;21.703226;64.943548;
82986;30/06/2012;0000;20.3;30.756667;21.2;68.541667;
82986;31/07/2012;0000;41;28.035484;19.683871;77.967742;
82986;31/08/2012;0000;27.4;28.777419;19.293548;73.201613;
82986;30/09/2012;0000;14.9;31.446667;19.763333;63.266667;
82986;31/10/2012;0000;1.6;32.477419;21.032258;63.129032;
82986;30/11/2012;0000;9.5;35.36;22.876667;57.141667;
82986;31/12/2012;0000;0;35.229032;23.125806;56.416667;
82986;31/01/2013;0000;50.7;34.329032;23.358065;60.056452;
82986;28/02/2013;0000;0;34.639286;23.266667;55.892857;
82986;31/03/2013;0000;0;35.245161;23.609677;55.548387;
82986;30/04/2013;0000;55.8;33.864286;23.21;61.883333;
82986;31/05/2013;0000;46.7;30.33871;22.145161;76.516129;
82986;30/06/2013;0000;11.6;31.1;21.37931;69.933333;
82986;31/07/2013;0000;80.4;28.567742;20.38;77.137097;
82986;31/08/2013;0000;21.2;29.835484;20.196667;70.596774;
82986;30/09/2013;0000;2;32.956667;20.666667;60.266667;
82986;31/10/2013;0000;59.7;33.003226;21.583871;62.177419;
82986;30/11/2013;0000;0;33.293333;22.033333;58.05;
82986;31/12/2013;0000;67.6;33.851613;23;60.548387;
82986;31/01/2014;0000;7.6;33.919355;22.454839;55.854839;
82986;28/02/2014;0000;20.2;33.7;22.725;58.732143;
82986;31/03/2014;0000;38.7;33.541935;23.36129;62.201613;
82986;30/04/2014;0000;53.8;32.323333;23.35;68.066667;
82986;31/05/2014;0000;53.4;28.758065;21.674194;78.3;
82986;30/06/2014;0000;31.6;29.913333;20.79;73.533333;
82986;31/07/2014;0000;71.2;28.967742;20.090323;73.387097;
82986;31/08/2014;0000;39.6;28.829032;19.454839;70.451613;
82986;30/09/2014;0000;17.7;32.213333;20.493103;62.941667;
82986;31/10/2014;0000;11.8;32.787097;21.474194;60.75;
82986;30/11/2014;0000;32.7;34.346667;22.38;58.266667;
82986;31/12/2014;0000;5.2;34.345161;22.587097;59.717742;
82986;31/01/2015;0000;4.3;35.290323;22.983871;58.08871;
82986;28/02/2015;0000;53.3;34.803571;23.382143;58.883929;
82986;31/03/2015;0000;12.5;35.470968;23.596774;55.193548;
82986;30/04/2015;0000;43.3;35.11;23.746667;60.933333;
