--------------------
BDMEP - INMET
--------------------
Esta?o           : PEDRA AZUL - MG (OMM: 83393)
Latitude  (graus) : -16
Longitude (graus) : -41.28
Altitude  (metros): 648.91
Esta?o Operante
Inicio de opera?o: 01/10/1918
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83393;31/01/2000;0000;104.8;30.16129;20.025806;78.354839;
83393;29/02/2000;0000;37;30.927586;20.234483;77.241379;
83393;31/03/2000;0000;143.6;29.306452;19.470968;79.798387;
83393;30/04/2000;0000;44.1;28.2;19.146667;80.525;
83393;31/05/2000;0000;12.4;27.606452;17.054839;80.403226;
83393;30/06/2000;0000;2.2;25.913333;15.203333;80.441667;
83393;31/07/2000;0000;20.5;25.73871;15.593548;76.25;
83393;31/08/2000;0000;14.2;26.383871;15.345161;70.475806;
83393;30/09/2000;0000;40.7;26.94;17.366667;72.425;
83393;31/10/2000;0000;1;30.635484;18.690323;61.572581;
83393;30/11/2000;0000;187.1;29.37;19.953333;71.966667;
83393;31/12/2000;0000;426.9;28.545161;20.283871;82.112903;
83393;31/01/2001;0000;22.7;29.954839;19.435484;69.419355;
83393;28/02/2001;0000;16.9;32.717857;20.242857;62.946429;
83393;31/03/2001;0000;46.3;30.451613;20.564516;71.717742;
83393;30/04/2001;0000;20.7;29.566667;18.783333;70.375;
83393;31/05/2001;0000;117.2;28.990323;18.73871;74.653226;
83393;30/06/2001;0000;12.3;25.726667;17.026667;76.85;
83393;31/07/2001;0000;19.6;26.229032;16.216129;73.346774;
83393;31/08/2001;0000;6.3;25.958065;15.919355;68.887097;
83393;30/09/2001;0000;20.1;27.86;17.17;66.483333;
83393;31/10/2001;0000;166.4;27.648387;18.635484;74.75;
83393;30/11/2001;0000;182.2;29.593333;20.156667;74.508333;
83393;31/12/2001;0000;138;29.551613;20.267742;73.870968;
83393;31/01/2002;0000;376.7;29.293548;20.270968;78.451613;
83393;28/02/2002;0000;96.6;30.332143;20.171429;72.544643;
83393;31/03/2002;0000;36;29.76129;20.164516;74.75;
83393;30/04/2002;0000;30;29.37;19.453333;74.483333;
83393;31/05/2002;0000;11.7;27.806667;17.158065;77.830645;
83393;30/06/2002;0000;17.7;25.562069;16.733333;80.833333;
83393;31/07/2002;0000;8.8;26.087097;16.232258;78.870968;
83393;31/08/2002;0000;14.2;27.103571;16.306452;74.669643;
83393;30/09/2002;0000;48.9;26.965517;18.306667;76.387931;
83393;31/10/2002;0000;13.1;30.977419;18.822581;61.66129;
83393;30/11/2002;0000;107.9;29.789655;20.153333;68.465517;
83393;31/12/2002;0000;211.3;31.503226;20.870968;69.975806;
83393;31/01/2003;0000;132.7;31.051613;21.187097;76.427419;
83393;28/02/2003;0000;3.3;31.792857;20.232143;65.651786;
83393;31/03/2003;0000;34.5;32.219355;20.886667;66.064516;
83393;30/04/2003;0000;56.2;30.06;19.846667;73.041667;
83393;31/05/2003;0000;22.2;28.296774;18.096774;74.75;
83393;30/06/2003;0000;1.5;27.703333;14.393333;69.941667;
83393;31/07/2003;0000;8.8;26.006452;14.848387;71.814516;
