--------------------
BDMEP - INMET
--------------------
Esta?o           : PEDRO AFONSO - TO (OMM: 82863)
Latitude  (graus) : -8.96
Longitude (graus) : -48.18
Altitude  (metros): 187.00
Esta?o Operante
Inicio de opera?o: 04/03/1977
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82863;31/01/2000;0000;200.3;31.274194;22.183871;85.491935;
82863;29/02/2000;0000;271.7;31.003448;21.748276;84.87931;
82863;31/03/2000;0000;250.3;31.567742;21.929032;84.862903;
82863;30/04/2000;0000;171.5;32.143333;22.036667;84.733333;
82863;31/05/2000;0000;19.8;33.577419;21.112903;77.193548;
82863;30/06/2000;0000;0;34.033333;19.59;72.666667;
82863;31/07/2000;0000;3.1;34.729032;19.529032;69.08871;
82863;31/08/2000;0000;0.6;36.264516;20.112903;61.354839;
82863;30/09/2000;0000;50;34.306667;22.016667;70.891667;
82863;31/10/2000;0000;151.8;33.664516;21.883871;76.25;
82863;30/11/2000;0000;167.1;32.146667;22.37;80.958333;
82863;31/12/2000;0000;246.6;31.635484;22.135484;85.201613;
82863;31/01/2001;0000;124.7;31.764516;22.196774;82.459677;
82863;28/02/2001;0000;127.8;31.582143;21.8;84.464286;
82863;31/03/2001;0000;331.7;31.3;22.090323;87.758065;
82863;30/04/2001;0000;132.3;32.14;22.213333;85.008333;
82863;31/05/2001;0000;51.4;33.706452;22.433333;83.798387;
82863;30/06/2001;0000;5.4;33.73;20.243333;78.333333;
82863;31/07/2001;0000;0;35.116129;18.929032;70.620968;
82863;31/08/2001;0000;0;35.325806;18.758065;63.808333;
82863;30/09/2001;0000;70.3;35.343333;22.155172;70.060345;
82863;31/10/2001;0000;237.2;32.554839;22.409677;82.516129;
82863;30/11/2001;0000;295.2;32.293333;22.63;84.4;
82863;31/12/2001;0000;222.2;31.719355;22.535484;87.274194;
82863;31/01/2002;0000;460.3;31.106667;22.432258;90.524194;
82863;28/02/2002;0000;154.2;32.360714;22.860714;86.866071;
82863;31/03/2002;0000;217;31.525806;22.36129;87.806452;
82863;30/04/2002;0000;92.1;32.993333;22.446667;85.783333;
82863;31/05/2002;0000;30.9;33.325806;22.277419;80.709677;
82863;30/06/2002;0000;0.1;34.19;19.91;72.675;
82863;31/07/2002;0000;15.6;35.287097;19.932258;69.258065;
82863;31/08/2002;0000;0;36.632258;19.419355;57.346774;
82863;30/09/2002;0000;105.4;35.316667;22.143333;66.866667;
82863;31/10/2002;0000;147.3;34.074194;22.232258;77.572581;
82863;30/11/2002;0000;150.5;33.65;22.246667;78.291667;
82863;31/12/2002;0000;293;32.196552;22.823333;84.616667;
82863;31/01/2003;0000;281.9;32.364516;22.693548;83.951613;
82863;28/02/2003;0000;227.4;31.728571;22.582143;84.928571;
82863;31/03/2003;0000;139.4;31.470968;22.66129;86.120968;
82863;30/04/2003;0000;55.2;32.99;;83.7;
82863;31/05/2003;0000;69.5;32.690323;;81.064516;
82863;30/06/2003;0000;0.7;34.003333;;72.891667;
82863;31/07/2003;0000;0;34.846667;;64.693548;
82863;31/08/2003;0000;12.8;35.909677;20.66129;58.887097;
82863;30/09/2003;0000;48.1;36.243333;22.21;58.85;
82863;31/10/2003;0000;106.1;33.593548;22.977419;73;
82863;30/11/2003;0000;288.3;31.936667;22.553333;82.083333;
82863;31/12/2003;0000;154;32.896774;22.516129;81.395161;
82863;31/01/2004;0000;505.4;30.589655;22.7;86.483871;
82863;29/02/2004;0000;189.5;31.172414;22.855172;83.732759;
82863;31/03/2004;0000;313.4;31.735484;23.035484;83.217742;
82863;30/04/2004;0000;184.8;33.11;23.25;80.35;
