--------------------
BDMEP - INMET
--------------------
Esta?o           : PETROLINA - PE (OMM: 82983)
Latitude  (graus) : -9.38
Longitude (graus) : -40.48
Altitude  (metros): 370.46
Esta?o Operante
Inicio de opera?o: 01/01/1941
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82983;31/01/2000;0000;76.6;31.545161;23.051613;;
82983;29/02/2000;0000;170.4;31.282759;22.551724;67.078125;
82983;31/03/2000;0000;57.3;31.241935;22.72;63.169355;
82983;30/04/2000;0000;67.2;31.736667;22.79;62.25;
82983;31/05/2000;0000;12.6;31.416129;22.054839;58.225806;
82983;30/06/2000;0000;8.2;29.88;21.21;60.883333;
82983;31/07/2000;0000;0.4;30.077419;20.196774;53.833333;
82983;31/08/2000;0000;0;30.932258;20.8;;
82983;30/09/2000;0000;3;32.203333;21.67931;;
82983;31/10/2000;0000;6.6;34.125806;22.716129;40.927419;
82983;30/11/2000;0000;125.3;32.126667;23.023333;;
82983;31/12/2000;0000;109.7;32.232143;22.996774;;
82983;31/01/2001;0000;9.6;33.064516;22.86129;56.604167;
82983;28/02/2001;0000;70.7;33.696429;23.682143;;
82983;31/03/2001;0000;107;32.906452;23.177419;58.629032;
82983;30/04/2001;0000;0.4;32.893333;22.903333;;
82983;31/05/2001;0000;0.4;33.753846;23.473077;;
82983;30/06/2001;0000;41.3;29.543333;20.946667;62.931034;
82983;31/07/2001;0000;7.2;29.625806;20.345161;61.14;
82983;31/08/2001;0000;1.2;29.741935;19.922581;57.702381;
82983;30/09/2001;0000;20.8;32.653333;21.616667;;
82983;31/10/2001;0000;0;34.358065;22.964516;49.008065;
82983;30/11/2001;0000;1.8;35.326667;23.97;43.041667;
82983;31/12/2001;0000;67.2;34.3;23.948387;;
82983;31/01/2002;0000;256.4;30.141935;22.390323;;
82983;28/02/2002;0000;38.3;32.471429;23.053571;58.428571;
82983;31/03/2002;0000;4.2;33.593548;23.819355;50.677419;
82983;30/04/2002;0000;20.3;32.943333;23.196667;52.2;
82983;31/05/2002;0000;10.3;32.19;22.441935;55.16129;
82983;30/06/2002;0000;2.6;30.2;21.286667;57.733333;
82983;31/07/2002;0000;1.6;30.632258;21.046667;56.612903;
82983;31/08/2002;0000;0;31.074194;20.632258;50.275;
82983;30/09/2002;0000;1.6;33.406667;21.983333;47.141667;
82983;31/10/2002;0000;0;34.706452;22.86129;39.491935;
82983;30/11/2002;0000;11.7;35.216667;23.856667;42.7;
82983;31/12/2002;0000;74.2;34.129032;24.254839;55.524194;
82983;31/01/2003;0000;134.4;34.458065;24.032258;56.782258;
82983;28/02/2003;0000;1.6;33.317857;23.928571;54.107143;
82983;31/03/2003;0000;101.4;33.741935;23.948387;54.540323;
82983;30/04/2003;0000;43.9;33.226667;23.773333;54.658333;
82983;31/05/2003;0000;0.6;31.619355;22.916129;60.814516;
82983;30/06/2003;0000;0;30.753333;21.266667;64.733333;
82983;31/07/2003;0000;0.8;29.341935;20.170968;66.258065;
82983;31/08/2003;0000;0.4;31.832258;20.916129;62.870968;
82983;30/09/2003;0000;3.8;32.913333;21.5;54.641667;
82983;31/10/2003;0000;3.8;34.058065;22.703226;47.629032;
82983;30/11/2003;0000;40.2;33.72;23.326667;50.708333;
82983;31/12/2003;0000;44.6;35.519355;24.373333;47.193548;
82983;31/01/2004;0000;416.8;31.593548;23.206452;69.669355;
82983;29/02/2004;0000;138.6;31.255172;22.972414;67.215517;
82983;31/03/2004;0000;73.8;31.651613;23.135484;64.104839;
82983;30/04/2004;0000;27.8;32.933333;23.526667;55;
82983;31/05/2004;0000;17.6;31.554839;21.954839;57.258065;
82983;30/06/2004;0000;0;30.46;21.16;54.291667;
82983;31/07/2004;0000;0.8;29.806452;20.4;53.669355;
82983;31/08/2004;0000;0;31.064516;20.683871;50.104839;
82983;30/09/2004;0000;0;32.34;21.073333;44.216667;
82983;31/10/2004;0000;6.6;34.445161;23.477419;46.16129;
82983;30/11/2004;0000;7;34.673333;23.966667;44.5;
82983;31/12/2004;0000;2.4;35.206452;24.432258;42.120968;
82983;31/01/2005;0000;35.5;34.690323;24.303226;52.596774;
82983;28/02/2005;0000;151;33.021429;24.05;59.419643;
82983;31/03/2005;0000;69.2;32.451613;24.06129;63.870968;
82983;30/04/2005;0000;29;31.966667;23.313333;61.791667;
82983;31/05/2005;0000;21.6;30.529032;22.367742;63.58871;
82983;30/06/2005;0000;19;30.38;21.323333;61.825;
82983;31/07/2005;0000;4.4;29.664516;20.306452;59.016129;
82983;31/08/2005;0000;3.8;31.167742;20.535484;51.66129;
82983;30/09/2005;0000;0;33.48;22.146667;48.866667;
82983;31/10/2005;0000;0;34.967742;23.077419;41.443548;
82983;30/11/2005;0000;58.8;34.793333;22.913333;43.558333;
82983;31/12/2005;0000;16.6;33.106452;23.245161;53.217742;
82983;31/01/2006;0000;0;34.932258;23.36129;42.193548;
82983;28/02/2006;0000;29.2;34.717857;23.817857;54.919643;
82983;31/03/2006;0000;139.9;32.525806;23.916129;64.806452;
82983;30/04/2006;0000;51.7;30.87;23.423333;69.375;
82983;31/05/2006;0000;29.4;30.964516;22.367742;62.564516;
82983;30/06/2006;0000;3.1;29.096667;20.58;64.591667;
82983;31/07/2006;0000;4.8;29.277419;19.719355;60.209677;
82983;31/08/2006;0000;2.2;30.990323;19.796774;54.072581;
82983;30/09/2006;0000;7;32.873333;21.023333;49.508333;
82983;31/10/2006;0000;19.1;34.196774;22.829032;49.846774;
82983;30/11/2006;0000;46.7;33.62;22.496667;54.475;
82983;31/12/2006;0000;37.2;34.790323;23.570968;46.725806;
82983;31/01/2007;0000;0.2;35.8;23.987097;44.306452;
82983;28/02/2007;0000;227.8;31.478571;22.459259;67.017857;
82983;31/03/2007;0000;7.8;31.93871;22.022581;59.16129;
82983;30/04/2007;0000;77.3;32.903333;22.143333;54.933333;
82983;31/05/2007;0000;0.7;31.403226;21.348387;59.016129;
82983;30/06/2007;0000;1.9;30.39;19.716667;56.408333;
82983;31/07/2007;0000;3;29.880645;19.222581;56.016129;
82983;31/08/2007;0000;3.3;30.083871;18.741935;53.532258;
82983;30/09/2007;0000;0.3;31.633333;19.606667;48.516667;
82983;31/10/2007;0000;0;33.680645;20.796774;42.459677;
82983;30/11/2007;0000;30.5;34.873333;22.083333;42.916667;
82983;31/12/2007;0000;23.2;34.212903;22.709677;48.266129;
82983;31/01/2008;0000;74.6;34.509677;;42.830645;
82983;29/02/2008;0000;151.2;33.12069;;54.275862;
82983;31/03/2008;0000;275.2;31.364516;21.86;66.951613;
82983;30/04/2008;0000;75.9;30.77;22.33;68.041667;
82983;31/05/2008;0000;3.1;30.525806;20.887097;62.33871;
82983;30/06/2008;0000;5.7;29.653333;18.98;58.308333;
82983;31/07/2008;0000;0.2;28.835484;18.367742;58.572581;
82983;31/08/2008;0000;0;30.93871;19.190323;53.33871;
82983;30/09/2008;0000;0;32.863333;20.05;46.65;
82983;31/10/2008;0000;0;34.187097;21.045161;41.951613;
82983;30/11/2008;0000;0;35.58;22.517241;38.183333;
82983;31/12/2008;0000;63.1;33.464516;22.348387;51.919355;
82983;31/01/2009;0000;40.4;34.167742;22.883871;50.443548;
82983;28/02/2009;0000;140.4;32.139286;22.132143;62.196429;
82983;31/03/2009;0000;145.4;33.070968;23.993548;61.927419;
82983;30/04/2009;0000;181.2;30.64;23.48;71.85;
82983;31/05/2009;0000;59.3;29.077419;22.658065;70.346774;
82983;30/06/2009;0000;8.1;29.573333;21.466667;65.258333;
82983;31/07/2009;0000;3.4;30.293548;20.951613;57.612903;
82983;31/08/2009;0000;3.4;31.093548;21.080645;54.290323;
82983;30/09/2009;0000;0;34.076667;22.496667;43.375;
82983;31/10/2009;0000;106.1;33.429032;23.506452;52.645161;
82983;30/11/2009;0000;0;34.58;23.736667;44.975;
82983;31/12/2009;0000;60;33.867742;24.216129;51.387097;
82983;31/01/2010;0000;28.3;33.490323;23.609677;54.25;
82983;28/02/2010;0000;28.4;34.775;24.489286;52.705357;
82983;31/03/2010;0000;26.8;34.26129;24.670968;56.798387;
82983;30/04/2010;0000;84.2;32.133333;23.62;63.725;
82983;31/05/2010;0000;9.6;32.964516;23.058065;54.354839;
82983;30/06/2010;0000;10.3;29.886667;21.473333;62.108333;
82983;31/07/2010;0000;21.6;29.087097;20.354839;62.919355;
82983;31/08/2010;0000;0;30.122581;19.845161;54.548387;
82983;30/09/2010;0000;4;31.813333;20.81;49.925;
82983;31/10/2010;0000;54;34.232258;23.209677;46.403226;
82983;30/11/2010;0000;1.1;35.193103;23.810345;41.983333;
82983;31/12/2010;0000;151.2;32.729032;23.5;57.919355;
82983;31/01/2011;0000;62.2;32.403226;23.174194;56.975806;
82983;28/02/2011;0000;66.4;33.260714;23.489286;58.053571;
82983;31/03/2011;0000;63.5;32.677419;23.548387;64.975806;
