--------------------
BDMEP - INMET
--------------------
Esta?o           : PICOS - PI (OMM: 82780)
Latitude  (graus) : -7.03
Longitude (graus) : -41.48
Altitude  (metros): 207.93
Esta?o Operante
Inicio de opera?o: 01/11/1923
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82780;31/01/2000;0000;122.6;31.951613;22.364516;72.177419;
82780;29/02/2000;0000;243.5;31.168966;22.144828;80.965517;
82780;31/03/2000;0000;106;31.606452;21.993548;74.322581;
82780;30/04/2000;0000;279.9;31.523333;22.136667;78.6;
82780;31/05/2000;0000;13.5;33.132258;20.654839;64.91129;
82780;30/06/2000;0000;0.4;33.403333;20.776667;55.041667;
82780;31/07/2000;0000;2.8;33.793548;20.174194;;
82780;31/08/2000;0000;0;35.164516;21.354839;;
82780;30/09/2000;0000;8.1;35.986667;23.606667;;
82780;31/03/2001;0000;145;32.329032;21.896774;;
82780;30/09/2001;0000;22;;;;
82780;31/10/2001;0000;6.3;37.777419;24.854839;37.41129;
82780;30/11/2001;0000;0;37.24;25.67;43.266667;
82780;31/12/2001;0000;135.3;34.831034;23.3;58.916667;
82780;31/01/2002;0000;198.2;30.843333;22.19;78.214286;
82780;28/02/2002;0000;18;34.288889;22.017857;60.675926;
82780;31/03/2002;0000;128.4;32.977419;22.151613;71.883333;
82780;30/04/2002;0000;179.4;32.951724;21.746667;67.310345;
82780;31/05/2002;0000;28.4;34.703226;22.036667;54.354839;
82780;30/06/2002;0000;1;34.006667;21.276667;50.616667;
82780;31/07/2002;0000;1.7;34.425806;21.145161;44.846774;
82780;31/08/2002;0000;0;34.833333;21.367742;44.608333;
82780;30/09/2002;0000;7.2;36.6;23.686667;39.983333;
82780;31/10/2002;0000;10.7;37.616129;25.322581;36.91129;
82780;30/11/2002;0000;13.2;37.9;25.823333;39.475;
82780;31/12/2002;0000;111.5;35.709677;24.145161;54.25;
82780;31/01/2003;0000;129.3;34.064516;23.141935;59.435484;
82780;28/02/2003;0000;67.8;32.825;22.960714;66.705357;
82780;31/03/2003;0000;214.3;32.274194;22.554839;71.725806;
82780;30/04/2003;0000;72.6;32.833333;22.303333;69.266667;
82780;31/05/2003;0000;52;33.76129;21.519355;58.580645;
82780;30/06/2003;0000;0.7;34.733333;20.53;44.85;
82780;31/07/2003;0000;10.7;33.883871;19.248387;43.5;
82780;31/08/2003;0000;0;35.948387;21.377419;38.782258;
82780;30/09/2003;0000;0;36.956667;23.78;35.291667;
