--------------------
BDMEP - INMET
--------------------
Esta?o           : PIRAPORA - MG (OMM: 83483)
Latitude  (graus) : -17.35
Longitude (graus) : -44.91
Altitude  (metros): 505.24
Esta?o Operante
Inicio de opera?o: 23/12/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83483;31/01/2000;0000;314;31.36129;21.374194;80.064516;
83483;29/02/2000;0000;88.4;32.003448;21.334483;77.318966;
83483;31/03/2000;0000;114.3;31.248387;21.219355;78.080645;
83483;30/04/2000;0000;10.5;31.046667;18.636667;72.308333;
83483;31/05/2000;0000;0.1;30.345161;15.351613;68.556452;
83483;30/06/2000;0000;0;29.473333;12.94;66.141667;
83483;31/07/2000;0000;5.5;29.241935;13.977419;61.677419;
83483;31/08/2000;0000;41.2;31.254839;15.53871;55.854839;
83483;30/09/2000;0000;37.8;31.303333;19.03;58.808333;
83483;31/10/2000;0000;13;35.235484;20.954839;49.943548;
83483;30/11/2000;0000;186.9;30.923333;20.736667;75.383333;
83483;31/12/2000;0000;277.8;31.119355;21.358065;79.5;
83483;31/01/2001;0000;135.9;32.770968;20.645161;70.08871;
83483;28/02/2001;0000;57.8;34.417857;21.060714;66.901786;
83483;31/03/2001;0000;132.7;32.2;20.790323;76.475806;
83483;30/04/2001;0000;26.6;33.213333;19.106667;64.816667;
83483;31/05/2001;0000;54.7;30.829032;17.145161;68.346774;
83483;30/06/2001;0000;0;30.17;14.75;63.15;
83483;31/07/2001;0000;1;30.390323;14.332258;59.451613;
83483;31/08/2001;0000;5;30.419355;16.174194;52.225;
83483;30/09/2001;0000;28.5;32.213333;19.346667;53.041667;
83483;31/10/2001;0000;88.8;31.548387;20.206452;65.75;
83483;30/11/2001;0000;266.3;30.666667;21.286667;78.525862;
83483;31/12/2001;0000;257.7;30.474194;21.232258;76.475806;
83483;31/01/2002;0000;146.9;32.341935;21.729032;74.241935;
83483;28/02/2002;0000;272.1;30.446429;21.125;82.642857;
83483;31/03/2002;0000;82.9;32.183871;20.790323;74.693548;
83483;30/04/2002;0000;13.2;32.27;19.15;70.141667;
83483;31/05/2002;0000;6;31.15;17.225806;70.120968;
83483;30/06/2002;0000;0;30.19;14.45;68.066667;
83483;31/07/2002;0000;5;30.703226;15.741935;65.693548;
83483;31/08/2002;0000;0;32.196552;16.86129;54.577586;
83483;30/09/2002;0000;68;32.389655;19.582759;55.62931;
83483;31/10/2002;0000;12.8;35.390323;21.264516;47.741935;
83483;30/11/2002;0000;219.9;32.166667;21.03;71.191667;
83483;31/12/2002;0000;172;31.387097;21.896774;77.532258;
83483;31/01/2003;0000;375.9;30.941935;21.487097;82.66129;
83483;28/02/2003;0000;21.6;32.889286;21.15;68.508929;
83483;31/03/2003;0000;50.7;32.151613;21.506452;73.975806;
83483;30/04/2003;0000;10.2;31.893333;19.406667;70.95;
83483;31/05/2003;0000;87.8;29.841935;16.058065;69.056452;
83483;30/06/2003;0000;0;29.833333;13.693333;68.95;
83483;31/07/2003;0000;0;29.43871;13.225806;59.419355;
