--------------------
BDMEP - INMET
--------------------
Esta?o           : PORTO ALEGRE - RS (OMM: 83967)
Latitude  (graus) : -30.05
Longitude (graus) : -51.16
Altitude  (metros): 46.97
Esta?o Operante
Inicio de opera?o: 09/12/1909
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83967;31/01/2000;0000;41.3;30.629032;20.351613;72.790323;
83967;29/02/2000;0000;108.4;29.931034;19.937931;74.827586;
83967;31/03/2000;0000;107.9;27.851613;18.490323;77.508065;
83967;30/04/2000;0000;141.2;26.316667;17;79.925;
83967;31/05/2000;0000;129.6;21.777419;13.203226;80.532258;
83967;30/06/2000;0000;231.9;21.496667;12.92;81.933333;
83967;31/07/2000;0000;123.1;17.587097;7.251613;76.709677;
83967;31/08/2000;0000;93.9;20.845161;9.13871;73.612903;
83967;30/09/2000;0000;240.2;22.253333;12.346667;75.225;
83967;31/10/2000;0000;141.6;24.019355;16.135484;78.427419;
83967;30/11/2000;0000;141.2;26.866667;16.75;70.558333;
83967;31/12/2000;0000;72;29.509677;19.122581;71.395161;
83967;30/09/2001;0000;52;;;;
83967;31/10/2001;0000;129.6;26.619231;17.476667;76.16;
83967;30/11/2001;0000;135.6;27.924138;17.52;75.017241;
83967;31/12/2001;0000;49.7;28.733333;18.896429;76.442308;
83967;31/01/2002;0000;72.4;30.435484;20.935484;73.060345;
83967;28/02/2002;0000;83;30.135714;19.703571;73.480769;
83967;31/03/2002;0000;152.2;31.270968;22.116129;79.048387;
83967;30/04/2002;0000;139.4;25.493333;17.6;81.598214;
83967;31/05/2002;0000;140.4;23.809677;15.970968;84.830645;
83967;30/06/2002;0000;181.4;19.789655;11.626667;84.183333;
83967;31/07/2002;0000;186.6;19.056667;11.1;83.572581;
83967;31/08/2002;0000;154.6;21.906667;13.290323;82;
83967;30/09/2002;0000;167.8;21.17;11.566667;76.683333;
83967;31/10/2002;0000;177.6;25.43871;17.470968;80.225806;
83967;30/11/2002;0000;114.7;27.36;18.29;73.766667;
83967;31/12/2002;0000;137.2;29.041935;19.793548;75.516129;
83967;31/01/2003;0000;130.8;31.029032;20.722581;70.25;
83967;28/02/2003;0000;199.1;31.332143;21.996429;75.205357;
83967;31/03/2003;0000;108.2;29.692308;20.373077;77.080645;
83967;30/04/2003;0000;88.9;25.233333;16.263333;78.158333;
83967;31/05/2003;0000;46;23.154839;13.758065;78.653226;
83967;30/06/2003;0000;167;20.82;14.053333;85.916667;
83967;31/07/2003;0000;159.1;20.048387;11.422581;82.306452;
83967;31/08/2003;0000;57.8;20.412903;9.893548;74.491935;
83967;30/09/2003;0000;56.6;22.52;12.153333;75.416667;
83967;31/10/2003;0000;190.2;26.041935;15.829032;72.991935;
83967;30/11/2003;0000;137.2;27.456667;17.31;71.416667;
83967;31/12/2003;0000;185;27.848387;18.464516;70.290323;
83967;31/01/2004;0000;58.1;30.832258;20.496774;72.701613;
