--------------------
BDMEP - INMET
--------------------
Esta?o           : PORTO DE MOZ - PA (OMM: 82184)
Latitude  (graus) : -1.73
Longitude (graus) : -52.23
Altitude  (metros): 15.93
Esta?o Operante
Inicio de opera?o: 23/04/1928
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82184;31/01/2000;0000;367;30.864516;23.53871;90.322581;
82184;29/02/2000;0000;229.9;30.106897;23.565517;90.465517;
82184;31/03/2000;0000;323.9;30.832258;23.577419;91.564516;
82184;30/04/2000;0000;497;30.593333;23.543333;92.316667;
82184;31/05/2000;0000;392.7;30.767742;24.022581;93.298387;
82184;30/06/2000;0000;307.1;31.586667;23.566667;90.391667;
82184;31/07/2000;0000;236.3;31.706452;23.658065;89.83871;
82184;31/08/2000;0000;73.7;33.280645;23.719355;86.362903;
82184;30/09/2000;0000;98.8;33.403333;23.66;84.166667;
82184;31/10/2000;0000;80.3;33.264516;23.941935;83.766129;
82184;30/11/2000;0000;71.7;33.43;24.436667;85.625;
82184;31/12/2000;0000;43.9;32.712903;23.948387;84.008065;
82184;31/01/2001;0000;225.6;30.777419;23.393548;93.225806;
82184;28/02/2001;0000;283.5;30.632143;23.153571;89.714286;
82184;31/03/2001;0000;208.3;30.983871;23.696774;89.459677;
82184;30/04/2001;0000;367.9;30.823333;23.623333;89.491667;
82184;31/05/2001;0000;308;31.354839;23.93871;89.685484;
82184;30/06/2001;0000;357.8;30.9;23.326667;92.075;
82184;31/07/2001;0000;137.3;31.683871;23.509677;86.927419;
82184;31/08/2001;0000;38.8;33.312903;23.541935;82.653226;
82184;30/09/2001;0000;60.3;33.476667;23.943333;82.516667;
