--------------------
BDMEP - INMET
--------------------
Esta?o           : PORTO NACIONAL - TO (OMM: 83064)
Latitude  (graus) : -10.71
Longitude (graus) : -48.41
Altitude  (metros): 239.20
Esta?o Operante
Inicio de opera?o: 01/01/1915
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83064;31/01/2000;0000;271.7;;22.387097;81.120968;
83064;29/02/2000;0000;320.5;;21.955172;83.353448;
83064;31/03/2000;0000;150.2;;22.270968;81.459677;
83064;30/04/2000;0000;174.1;32.443333;22.25;78.175;
83064;31/05/2000;0000;15.6;34.070968;21.212903;66.120968;
83064;30/06/2000;0000;0;34.616667;19.533333;58.75;
83064;31/07/2000;0000;0;35.703846;19.877419;52.927419;
83064;31/08/2000;0000;0;37.125806;20.677419;45.991935;
83064;30/09/2000;0000;102;35.18;22.553333;60.816667;
83064;31/10/2000;0000;172.4;35.312903;22.387097;67.116667;
83064;30/11/2000;0000;303.1;32.106667;22.35;79.383333;
83064;31/12/2000;0000;425.9;31.7;22.554839;82.16129;
83064;31/01/2001;0000;172.9;32.464516;22.154839;78.879032;
83064;28/02/2001;0000;169.5;31.878571;21.822222;81.598214;
83064;31/03/2001;0000;215.8;32.232258;22.03871;82.782258;
83064;30/04/2001;0000;106.7;32.99;22.32;77.375;
83064;31/05/2001;0000;36.5;33.977419;22.503333;71.040323;
83064;30/06/2001;0000;14.3;34.356667;20.206667;60.425;
83064;31/07/2001;0000;0;35.406452;19.148387;52.620968;
83064;31/08/2001;0000;0;36.225806;19.848387;42.814516;
83064;30/09/2001;0000;59;36.15;22.91;56.594828;
83064;31/10/2001;0000;178.5;33.629032;22.364516;78.133333;
83064;30/11/2001;0000;289.5;32.91;22.36;80.225;
83064;31/12/2001;0000;243.1;32.174194;22.590323;81.790323;
83064;31/01/2002;0000;434.8;30.196774;22.11;84.064516;
83064;28/02/2002;0000;130.5;32.85;22.825926;78.196429;
83064;31/03/2002;0000;191;32.541935;22.62;77.919355;
83064;30/04/2002;0000;139.4;33.553333;22.573333;72.448276;
83064;31/05/2002;0000;43.9;34.462069;21.745161;65.959677;
83064;30/06/2002;0000;0;34.636667;19.883333;58.666667;
83064;31/07/2002;0000;0.6;;20.593333;53.056452;
83064;31/08/2002;0000;29.3;;20.470968;44.612903;
83064;30/09/2002;0000;151.7;;22.556667;57.208333;
83064;31/10/2002;0000;55;;23.390323;62.790323;
83064;30/11/2002;0000;203.2;34.696667;22.976667;68.791667;
83064;31/12/2002;0000;244.6;32.664516;22.696667;79.16129;
83064;31/01/2003;0000;253.2;32.796774;23.13871;77.58871;
83064;28/02/2003;0000;220.8;32.4;22.775;79.428571;
83064;31/03/2003;0000;350.8;32.122581;22.270968;79.895161;
83064;30/04/2003;0000;118.5;33.766667;23.166667;74.916667;
83064;31/05/2003;0000;61.4;33.263333;22.606897;70.160714;
83064;30/06/2003;0000;0;34.481481;19.97037;59.307692;
83064;31/07/2003;0000;0;35.02;18.439286;50.160714;
83064;31/08/2003;0000;26.2;36.296774;21.077419;50.714286;
83064;30/09/2003;0000;1.4;36.793333;23.79;51.6;
83064;31/10/2003;0000;56.3;35.616129;23.683871;65.560345;
83064;30/11/2003;0000;106.6;33.48;22.876667;74.101852;
83064;31/12/2003;0000;78.5;33.666667;22.98;76.108333;
83064;31/01/2004;0000;357.9;31.164286;22.618519;81.269231;
83064;29/02/2004;0000;325.9;31.241379;22.403448;83.044643;
83064;31/03/2004;0000;183.1;32.074074;23.014815;80.101852;
83064;30/04/2004;0000;195.4;33.462069;23.18;75.975;
83064;31/05/2004;0000;0;35.206452;22.890323;65.540323;
83064;30/06/2004;0000;0.9;34.756667;20.353333;58.066667;
83064;31/07/2004;0000;0.4;35.374194;20.074194;51.691667;
83064;31/08/2004;0000;0;37.03871;20.525806;45.306452;
83064;30/09/2004;0000;3;38.427586;22.617241;42.25;
83064;31/10/2004;0000;106.7;35.270968;23.258065;66.620968;
83064;30/11/2004;0000;110.8;33.933333;23.386667;72.775;
83064;31/12/2004;0000;215.7;33.251613;22.909677;75.137097;
83064;31/01/2005;0000;286.1;32.619355;23.154839;80.016129;
83064;28/02/2005;0000;296.1;32.707143;23.221429;80.553571;
83064;31/03/2005;0000;337.2;31.870968;22.735484;82.6;
83064;30/04/2005;0000;107.7;33.67;23.56;77.525;
83064;31/05/2005;0000;101.3;33.209677;21.883871;71.241935;
83064;30/06/2005;0000;0;34.416667;21.006667;62.658333;
83064;31/07/2005;0000;0;35.345161;19.022581;55.346774;
83064;31/08/2005;0000;0;37.416129;20.712903;44.516667;
83064;30/09/2005;0000;53.9;37.81;23.106667;49.366667;
83064;31/10/2005;0000;70.5;36.26129;23.467742;63.387097;
83064;30/11/2005;0000;142.2;34.62;23.643333;71.025;
83064;31/12/2005;0000;435.1;31.83871;22.651613;80.475806;
83064;31/01/2006;0000;76.7;33.948387;22.935484;73.612903;
83064;28/02/2006;0000;179.8;32.292857;22.689286;80.714286;
83064;31/03/2006;0000;365.1;31.680645;22.812903;82.685484;
83064;30/04/2006;0000;218.4;30.563333;22.64;83.833333;
83064;31/05/2006;0000;59.3;32.264516;22.474194;76.032258;
83064;30/06/2006;0000;0;33.643333;19.456667;60.641667;
83064;31/07/2006;0000;0;34.609677;18.787097;56.274194;
83064;31/08/2006;0000;0.5;36.458065;20.419355;48.5;
83064;30/09/2006;0000;103.2;36.166667;22.49;57.125;
83064;31/10/2006;0000;164.7;33.7;23.687097;71.83871;
83064;30/11/2006;0000;193.2;32.793333;23.043333;76.166667;
83064;31/12/2006;0000;131.4;33.070968;23.003226;78.080645;
83064;31/01/2007;0000;99.8;33.154839;23.383871;78.709677;
83064;28/02/2007;0000;350.4;29.978571;22.282143;88.723214;
83064;31/03/2007;0000;215.3;32.7;22.251613;77.556452;
83064;30/04/2007;0000;140.6;32.783333;22.926667;79.433333;
83064;31/05/2007;0000;32.9;33.974194;22;69.935484;
83064;30/06/2007;0000;0;34.636667;19.48;57.916667;
83064;31/07/2007;0000;0;35.509677;20.193548;52.508065;
83064;31/08/2007;0000;0;36.706452;20.690323;42.258065;
83064;30/09/2007;0000;69.3;37.483333;22.443333;44.35;
83064;31/10/2007;0000;41.7;36.103226;24.206452;56.709677;
83064;30/11/2007;0000;143.1;33.84;23.926667;73.266667;
83064;31/12/2007;0000;175.3;32.745161;24.158065;75.733871;
83064;31/01/2008;0000;449;32.546667;23.096774;81.016129;
83064;29/02/2008;0000;292.3;;23.310345;84.594828;
83064;31/03/2008;0000;207.8;30.887097;23.429032;85.209677;
83064;30/04/2008;0000;203.9;31.943333;;82.862069;
83064;31/05/2008;0000;28.8;33.329032;;73.116667;
83064;30/06/2008;0000;0;34.24;18.988235;62.15;
83064;31/07/2008;0000;0;34.958065;19.196774;53.451613;
83064;31/08/2008;0000;0;37.151613;21.241935;42.709677;
83064;30/09/2008;0000;33.1;38.23;23.216667;46.341667;
