--------------------
BDMEP - INMET
--------------------
Esta?o           : POSSE - GO (OMM: 83332)
Latitude  (graus) : -14.1
Longitude (graus) : -46.36
Altitude  (metros): 825.64
Esta?o Operante
Inicio de opera?o: 04/08/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83332;31/01/2000;0000;207.8;29.345161;19.987097;76.806452;
83332;29/02/2000;0000;405;28.824138;19.993103;78.939655;
83332;31/03/2000;0000;187.8;29.567742;20.506452;74.459677;
83332;30/04/2000;0000;141.7;29.786667;20.296667;70.458333;
83332;31/05/2000;0000;0;29.916129;19.454839;56.741935;
83332;30/06/2000;0000;0;29.223333;18.266667;53.416667;
83332;31/07/2000;0000;0;29.225806;18.216129;53.685484;
83332;31/08/2000;0000;6.1;30.725806;19.412903;45.556452;
83332;30/09/2000;0000;3.6;30.896667;20.643333;48.4;
83332;31/10/2000;0000;63.1;32.803226;21.687097;47.370968;
83332;30/11/2000;0000;310.7;28.496667;20.563333;74.083333;
83332;31/12/2000;0000;310.2;28.303226;20.022581;78.612903;
83332;31/01/2001;0000;61.4;;;63.903226;
83332;28/02/2001;0000;126.5;;;68.669643;
83332;31/03/2001;0000;347.3;29.05;19.925;75.580645;
83332;30/04/2001;0000;36.3;30.28;20.796667;62.458333;
83332;31/05/2001;0000;14.3;30.280645;20.56129;61.193548;
83332;30/06/2001;0000;0.1;28.846667;18.18;55.25;
83332;31/07/2001;0000;2.5;29.148387;18.122581;48.080645;
83332;31/08/2001;0000;0;28.816129;18.312903;46.330645;
83332;30/09/2001;0000;11.7;31.846667;20.84;43.966667;
83332;31/10/2001;0000;177.8;29.922581;20.603226;64.612903;
83332;30/11/2001;0000;307;28.946667;20.503333;77.2;
83332;31/12/2001;0000;264.9;28.964516;20.277419;74.443548;
83332;31/01/2002;0000;303.8;28.63871;20.612903;77.483871;
83332;28/02/2002;0000;209.1;29.146429;20.267857;73.444444;
83332;31/03/2002;0000;115.8;29.970968;21.022581;67.467742;
83332;30/04/2002;0000;43.1;30.45;21.1;60.325;
83332;31/05/2002;0000;65.2;30.383871;19.825806;53.258065;
83332;30/06/2002;0000;0;28.463333;18.58;52.45;
83332;31/07/2002;0000;6;30.019355;19.270968;48.379032;
83332;31/08/2002;0000;0;30.677419;19.829032;41.620968;
83332;30/09/2002;0000;21.2;31.74;20.55;46.975;
83332;31/10/2002;0000;111.7;34.509677;22.751613;44.112903;
83332;30/11/2002;0000;113.7;31.58;21.67;63.683333;
83332;31/12/2002;0000;231.6;30.2;21.429032;72.362903;
83332;31/01/2003;0000;186.1;29.522581;20.522581;77.975806;
83332;28/02/2003;0000;206.6;30.078571;20.735714;73.821429;
83332;31/03/2003;0000;386.2;29.2;20.354839;81.508065;
83332;30/04/2003;0000;138.6;29.651724;20.931034;72.689655;
83332;31/05/2003;0000;6.2;29.077419;19.758065;62.258065;
83332;30/06/2003;0000;0;29.29;18.386667;52.408333;
83332;31/07/2003;0000;0;28.480645;17.480645;49.483871;
83332;31/08/2003;0000;5;30.380645;19.970968;50.387097;
83332;30/09/2003;0000;4.7;32.226667;21.26;45.883333;
83332;31/10/2003;0000;28.9;31.909677;22.293548;52.032258;
83332;30/11/2003;0000;136.3;30.316667;21.123333;66.75;
83332;31/12/2003;0000;138.5;30.73871;21.509677;63.693548;
83332;31/01/2004;0000;379.1;28.022581;20.787097;82.322581;
83332;29/02/2004;0000;311.1;27.513793;20.337931;82.87931;
83332;31/03/2004;0000;316.8;28.35;20.335484;78.177419;
83332;30/04/2004;0000;54.7;29.21;20.963333;70.391667;
83332;31/05/2004;0000;0.8;29.883333;20.26;61.9;
83332;30/06/2004;0000;0;28.353333;17.663333;53.341667;
83332;31/07/2004;0000;0.9;27.790323;17.083333;50.080645;
83332;31/08/2004;0000;0.7;30.480645;18.629032;41.395161;
83332;30/09/2004;0000;3.9;32.3;20.696667;34.95;
83332;31/10/2004;0000;87.3;32.474194;21.780645;55.008065;
83332;30/11/2004;0000;55.5;31.110345;21.71;59.208333;
83332;31/12/2004;0000;119.8;30.43871;20.967742;70;
83332;31/01/2005;0000;192.3;29.155172;20.854839;76.75;
83332;28/02/2005;0000;252.8;29.446429;21.035714;75.580357;
83332;31/03/2005;0000;261;28.783871;20.896774;81.491935;
83332;30/04/2005;0000;33.9;30.183333;21.12;67.892857;
83332;31/05/2005;0000;16.3;28.841935;19.354839;60.556452;
83332;30/06/2005;0000;0;28.248276;18.510345;57.206897;
83332;31/07/2005;0000;0;28.441935;17.548387;53.766129;
83332;31/08/2005;0000;0;30.425806;19.109677;46.282258;
83332;30/09/2005;0000;52.1;32.47;21.51;48.075;
83332;31/10/2005;0000;26.6;34.229032;23.029032;41.758065;
83332;30/11/2005;0000;313.4;29.455172;20.7;73.482759;
83332;31/12/2005;0000;464.8;28.119355;20.241935;73.806452;
83332;31/01/2006;0000;163.7;31.003226;20.783871;60.104839;
83332;28/02/2006;0000;269.5;29.378571;20.685714;76.964286;
83332;31/03/2006;0000;337.1;28.854839;20.522581;78.266129;
83332;30/04/2006;0000;245.2;28.696667;20.22;72.358333;
83332;31/05/2006;0000;3.2;28.796774;19.145161;59.096774;
83332;30/06/2006;0000;0.6;27.636667;17.173333;50.558333;
83332;31/07/2006;0000;0;28.690323;17.606452;45.217742;
83332;31/08/2006;0000;4;31.167742;19.348387;45.322581;
83332;30/09/2006;0000;18.5;31.703333;20.686667;56.316667;
83332;31/10/2006;0000;309;29.2;20.516129;77.564516;
83332;30/11/2006;0000;274.7;28.883333;20.193333;76.3;
83332;31/12/2006;0000;204.2;29.641935;20.787097;79.330645;
83332;31/01/2007;0000;163.7;29.693548;21.029032;76.572581;
83332;28/02/2007;0000;197.5;28.503571;20.478571;82.875;
83332;31/03/2007;0000;86.2;30.590323;20.654839;65.887097;
83332;30/04/2007;0000;45;30.944828;20.92069;65.387931;
83332;31/05/2007;0000;19.4;30.777419;19.716129;58.830645;
83332;30/06/2007;0000;0;28.84;18.08;57.591667;
83332;31/07/2007;0000;0;30.006452;18.393548;51.612903;
83332;31/08/2007;0000;0;30.072414;17.544828;45.698276;
83332;30/09/2007;0000;0;32.313333;19.75;37.325;
83332;31/10/2007;0000;47;33.570968;21.754839;42.951613;
83332;30/11/2007;0000;58.6;31.873333;21.783333;59.591667;
83332;31/12/2007;0000;203.4;29.490323;20.258065;68.266129;
83332;31/01/2008;0000;183.6;29.841935;20.5;69.217742;
83332;29/02/2008;0000;181.7;28.968966;19.889655;77.112069;
83332;31/03/2008;0000;249.7;28.870968;19.880645;78.112903;
83332;30/04/2008;0000;149.4;29.603333;20.16;74.366667;
83332;31/05/2008;0000;5.4;29.622581;18.774194;56.258065;
83332;30/06/2008;0000;0;28.64;17.826667;54.341667;
83332;31/07/2008;0000;0;28.309677;16.583871;47.306452;
83332;31/08/2008;0000;0;30.532258;19.048387;39.782258;
83332;30/09/2008;0000;24.9;32.773333;20.943333;44.941667;
83332;31/10/2008;0000;30;33.76129;21.870968;40.741935;
83332;30/11/2008;0000;329.5;28.758621;20.737931;75.344828;
83332;31/12/2008;0000;269.1;28.174194;19.996774;80.91129;
83332;31/01/2009;0000;168.5;30.1;20.393548;73.25;
83332;28/02/2009;0000;164.2;29.867857;20.364286;73.892857;
83332;31/03/2009;0000;160.2;30.3;20.86129;73.193548;
83332;30/04/2009;0000;242.5;28.213793;20.1;80.2;
83332;31/05/2009;0000;88.5;27.683871;18.709677;71.330645;
83332;30/06/2009;0000;2.1;28.66;18.383333;61.341667;
83332;31/07/2009;0000;0;30.025806;18.535484;49.016129;
83332;31/08/2009;0000;17.4;30.474194;19.119355;47.201613;
83332;30/09/2009;0000;39.2;32.62;21.686667;51.725;
83332;31/10/2009;0000;253.3;30.651613;20.780645;69.903226;
83332;30/11/2009;0000;218.2;30.073333;20.5;70.225;
83332;31/12/2009;0000;325.2;29.190323;19.774194;75.870968;
83332;31/01/2010;0000;133.8;30.270968;20.148387;70.137097;
83332;28/02/2010;0000;86.7;31.310714;20.828571;66.044643;
83332;31/03/2010;0000;217.1;30.141935;20.745161;76.5;
83332;30/04/2010;0000;58.5;30.353333;20.036667;61.616667;
83332;31/05/2010;0000;68.4;30.796774;20.380645;60.169355;
83332;30/06/2010;0000;0;29.59;17.536667;50.783333;
83332;31/07/2010;0000;0;28.654839;17.619355;50.741935;
83332;31/08/2010;0000;0;29.870968;17.622581;43.306452;
83332;30/09/2010;0000;26.8;32.466667;20.06;40.241667;
83332;31/10/2010;0000;151;32.696774;21.922581;61.653226;
83332;30/11/2010;0000;230.9;29.043333;20.05;78.866667;
83332;31/12/2010;0000;280.2;29.632258;20.122581;76.967742;
83332;31/01/2011;0000;341.6;29.580645;19.677419;76.403226;
83332;28/02/2011;0000;128.4;29.367857;19.839286;77.107143;
83332;31/03/2011;0000;234.2;28.922581;19.925806;81.08871;
83332;30/04/2011;0000;106.5;29.703333;19.786667;69.008333;
83332;31/05/2011;0000;14.2;29.296774;18.835484;60.459677;
83332;30/06/2011;0000;0;29.633333;18.1;53.791667;
83332;31/07/2011;0000;0;29.525806;17.583871;48.032258;
83332;31/08/2011;0000;0;31.970968;19.519355;41.064516;
83332;30/09/2011;0000;0;32.936667;20.253333;36.783333;
83332;31/10/2011;0000;192;29.916129;20.019355;69.733871;
83332;30/11/2011;0000;184;27.91;19.15;76.858333;
83332;31/12/2011;0000;296.3;28.383871;19.790323;76.483871;
83332;31/01/2012;0000;373.8;28.158065;18.98;80.193548;
83332;29/02/2012;0000;106.1;30.22069;19.944828;69.051724;
83332;31/03/2012;0000;70.7;31.335484;20.425806;66.379032;
83332;30/04/2012;0000;39.9;32.2;20.996667;59.691667;
83332;31/05/2012;0000;19.7;29.064516;18.848387;64.41129;
83332;30/06/2012;0000;0;30.258621;19.69;54.275;
83332;31/07/2012;0000;0;29.683871;18.487097;46.258065;
83332;31/08/2012;0000;0;29.129032;17.629032;45.25;
83332;30/09/2012;0000;6.4;33.11;21.016667;41.583333;
83332;31/10/2012;0000;13.6;33.516129;21.66129;46.080645;
83332;30/11/2012;0000;379.8;28.863333;20.243333;78.5;
83332;31/12/2012;0000;150.4;32.390323;21.570968;61.435484;
83332;31/01/2013;0000;301.2;27.974194;20.3;83.048387;
83332;28/02/2013;0000;80;31.385714;21.357143;65.75;
83332;31/03/2013;0000;299.7;30.274194;20.787097;73.758065;
83332;30/04/2013;0000;211.5;29.146667;19.943333;72.666667;
83332;31/05/2013;0000;12.1;30.016129;19.583871;59.66129;
83332;30/06/2013;0000;11.6;29.506667;19.556667;58.75;
83332;31/07/2013;0000;0;29.658065;18.86129;50.66129;
83332;31/08/2013;0000;0;30.7;18.967742;44.854839;
83332;30/09/2013;0000;10.5;32.4;20.853333;47.733333;
83332;31/10/2013;0000;54.2;31.954839;21.129032;57.08871;
83332;30/11/2013;0000;156;30.206667;20.26;69.516667;
83332;31/12/2013;0000;324.7;28.490323;20.070968;81.064516;
83332;31/01/2014;0000;151.9;30.229032;19.929032;66.362903;
83332;28/02/2014;0000;121.1;29.810714;20.614286;69.125;
83332;31/03/2014;0000;303.2;28.616129;20.048387;79.370968;
83332;30/04/2014;0000;130.4;29.746667;20.196667;72.791667;
83332;31/05/2014;0000;66.9;29.532258;19.709677;63.177419;
83332;30/06/2014;0000;0;29.02;18.516667;57.866667;
83332;31/07/2014;0000;0;29.096774;17.770968;50.862903;
83332;31/08/2014;0000;0;30.854839;19.241935;40.846774;
83332;30/09/2014;0000;1.1;33.533333;21.23;40.475;
83332;31/10/2014;0000;118.2;33.119355;21.448387;48.491935;
83332;30/11/2014;0000;201.2;30.52069;20.7;71.836207;
83332;31/12/2014;0000;204.5;29;19.993548;75.572581;
83332;31/01/2015;0000;58.1;32.367742;21.512903;58.572581;
83332;28/02/2015;0000;62.4;29.714286;20.425;69.928571;
83332;31/03/2015;0000;168.8;29.016129;20.219355;78.306452;
83332;30/04/2015;0000;252.9;29.113333;20.203333;79.508333;
83332;31/05/2015;0000;60.1;28.635484;19.145161;67.814516;
83332;30/06/2015;0000;0;28.866667;18.563333;55.716667;
83332;31/07/2015;0000;0.4;29.554839;18.377419;50.887097;
83332;31/08/2015;0000;0;30.851613;18.619355;44.048387;
83332;30/09/2015;0000;0.2;35.141379;22.696667;36.016667;
83332;31/10/2015;0000;83.5;34.882759;22.664516;45.508065;
83332;30/11/2015;0000;317.2;33.336667;21.767857;60.741667;
83332;31/12/2015;0000;91.9;32.603226;21.209677;60.983871;
