--------------------
BDMEP - INMET
--------------------
Esta?o           : PRESIDENTE PRUDENTE - SP (OMM: 83716)
Latitude  (graus) : -22.11
Longitude (graus) : -51.38
Altitude  (metros): 435.55
Esta?o Operante
Inicio de opera?o: 01/10/1940
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83716;31/01/2000;0000;91.1;32.23871;21.783871;66.830645;
83716;29/02/2000;0000;304.7;30.489655;21.310345;75.181034;
83716;31/03/2000;0000;188.9;29.477419;20.683871;73.370968;
83716;30/04/2000;0000;13.2;30.106667;19.316667;56.991667;
83716;31/05/2000;0000;15.5;26.535484;15.76129;62.330645;
83716;30/06/2000;0000;36;27.716667;16.656667;56.925;
83716;31/07/2000;0000;60.8;23.83871;11.548387;56.153226;
83716;31/08/2000;0000;51.6;27.729032;16.006452;58.516129;
83716;30/09/2000;0000;131.6;27.703333;17.286667;66.65;
83716;31/10/2000;0000;73.9;32.993548;20.729032;54.290323;
83716;30/11/2000;0000;166.5;31.383333;20.873333;64.633333;
83716;31/12/2000;0000;167.7;30.977419;21.26129;70.217742;
83716;31/01/2001;0000;97.8;31.83871;22.041935;67.895161;
83716;28/02/2001;0000;274.7;31.278571;21.910714;75.276786;
83716;31/03/2001;0000;151.3;31.293548;22.145161;69.83871;
83716;30/04/2001;0000;47.5;31.093333;20.843333;62.55;
83716;31/05/2001;0000;113.5;25.329032;16.077419;69.048387;
83716;30/06/2001;0000;42;24.136667;14.636667;70.041667;
83716;31/07/2001;0000;28.6;26.974194;15.319355;61.258065;
83716;31/08/2001;0000;19.7;28.683871;17.493548;52.072581;
83716;30/09/2001;0000;43.1;30.01;17.92069;56.025;
83716;31/10/2001;0000;90.3;30.432258;19.856667;61.064516;
83716;30/11/2001;0000;184.2;30.823333;20.876667;70.933333;
83716;31/12/2001;0000;147;30.135484;20.86129;70.032258;
83716;31/01/2002;0000;203.8;31.393548;21.458065;70.693548;
83716;28/02/2002;0000;66.2;30.503571;21.253571;70.285714;
83716;31/03/2002;0000;36.6;33.506452;23.168966;62.395161;
83716;30/04/2002;0000;0.1;33.92;21.96;52.675;
83716;31/05/2002;0000;168.2;27.783871;18.093548;68.08871;
83716;30/06/2002;0000;0.7;29.026667;17.483333;59.183333;
83716;31/07/2002;0000;64.7;25.9;14.709677;61.758065;
83716;31/08/2002;0000;75.4;29.787097;18.467742;54.58871;
83716;30/09/2002;0000;98.6;28.09;16.63;57.6;
83716;31/10/2002;0000;60.3;33.664516;22.006452;56.282258;
83716;30/11/2002;0000;181.3;31.203448;20.565517;67.833333;
83716;31/12/2002;0000;100.7;32.609677;22.087097;66.919355;
83716;31/01/2003;0000;390.3;30.56;22.433333;78.330645;
83716;28/02/2003;0000;210.5;31.939286;22.792857;72.223214;
83716;31/03/2003;0000;91.7;31.06129;21.61;67.459677;
83716;30/04/2003;0000;83.6;29.613333;19.713793;67.366667;
83716;31/05/2003;0000;28.8;26.564516;15.583871;62.217742;
83716;30/06/2003;0000;73.8;28.123333;17.806897;63.658333;
83716;31/07/2003;0000;13;27.677419;16.66;54.395161;
83716;31/08/2003;0000;31.8;26.487097;13.745161;52.169355;
83716;30/09/2003;0000;80.8;29.333333;17.036667;55.175;
83716;31/10/2003;0000;69;30.709677;18.606452;59.508065;
83716;30/11/2003;0000;62.5;31.043333;19.67;60.125;
83716;31/12/2003;0000;162;32.251613;21.354839;69.75;
83716;31/01/2004;0000;119.1;31.135484;21.335484;68.758065;
83716;29/02/2004;0000;95.5;31.231034;21.058621;67.310345;
83716;31/03/2004;0000;175.7;31.112903;20.532258;64.419355;
83716;30/04/2004;0000;35.2;30.026667;20.66;69.525;
83716;31/05/2004;0000;166.5;23.232258;15.048387;77.467742;
83716;30/06/2004;0000;64.5;24.46;15.063333;69.25;
83716;31/07/2004;0000;65.8;24.054839;14.9;67.169355;
83716;31/08/2004;0000;0;28.609677;15.816129;48.225806;
83716;30/09/2004;0000;17.5;33.233333;20.389655;44.366667;
83716;31/10/2004;0000;227;28.890323;18.254167;65.543478;
83716;30/11/2004;0000;161.4;29.936667;;;
