--------------------
BDMEP - INMET
--------------------
Esta?o           : PROPRIA - SE (OMM: 83097)
Latitude  (graus) : -10.21
Longitude (graus) : -36.84
Altitude  (metros): 19.92
Esta?o Operante
Inicio de opera?o: 10/05/1925
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83097;31/01/2000;0000;56;32.796774;23.209677;75.975806;
83097;29/02/2000;0000;124.4;32.282759;23.3;77;
83097;31/03/2000;0000;74.6;31.922581;23.219355;78.717742;
83097;30/04/2000;0000;291.3;30.813333;23.133333;84.733333;
83097;31/05/2000;0000;87.6;30.019355;21.870968;85.379032;
83097;30/06/2000;0000;188.9;28.806667;21.21;87.95;
83097;31/07/2000;0000;143.4;28.609677;20.348387;86.241935;
83097;31/08/2000;0000;92.3;28.877419;20.351613;83.677419;
83097;30/09/2000;0000;140.8;29.556667;20.603333;81.7;
83097;31/10/2000;0000;14.8;31.674194;20.335484;73.959677;
83097;30/11/2000;0000;24.4;33.54;22.4;70.416667;
83097;31/12/2000;0000;102.6;33.245161;22.629032;73.693548;
83097;31/01/2001;0000;10.8;32.722581;21.432258;69.967742;
83097;28/02/2001;0000;0.2;34.185714;22.7;67.803571;
83097;31/03/2001;0000;77;33.329032;22.96129;73.16129;
83097;30/04/2001;0000;85.8;32.096667;21.726667;73.733333;
83097;31/05/2001;0000;38.9;31.603226;21.806452;79.677419;
83097;30/06/2001;0000;265.8;28.663333;20.573333;84.608333;
83097;31/07/2001;0000;224.4;27.922581;19.626667;86.209677;
83097;31/08/2001;0000;112.1;27.874194;20.148387;83.346774;
83097;30/09/2001;0000;36.8;30.046667;20.653333;78.9;
83097;31/10/2001;0000;102.5;31.46129;21.758065;77.612903;
83097;30/11/2001;0000;3;32.83;22.3;72.241667;
83097;31/12/2001;0000;62.9;32.229032;23.170968;76.185484;
83097;31/01/2002;0000;207.8;30.951613;22.903226;81.419355;
83097;28/02/2002;0000;62;31.878571;;77.509259;
83097;31/03/2002;0000;43.4;32.53871;;76.55;
83097;30/04/2002;0000;48.4;31.76;22.546667;77.325;
83097;31/05/2002;0000;212.2;29.774194;22.193548;84.685484;
83097;30/06/2002;0000;153.8;28.54;21.333333;84.866667;
83097;31/07/2002;0000;131.7;28.729032;20.583333;84.322581;
83097;31/08/2002;0000;81.2;28.693548;20.258065;81.629032;
83097;30/09/2002;0000;25.3;30.916667;20.746667;75.758333;
83097;31/10/2002;0000;7.9;32.216129;21.135484;70.104839;
83097;30/11/2002;0000;15.5;33.45;22.39;67.525;
83097;31/12/2002;0000;16;34.509677;23.445161;68.983871;
83097;31/01/2003;0000;11.8;35.129032;24.358065;67.870968;
83097;28/02/2003;0000;21.8;33.389286;23.803571;71.107143;
83097;31/03/2003;0000;103.4;33.483871;24.164516;73.983871;
83097;30/04/2003;0000;65.8;32.74;23.166667;75.283333;
83097;31/05/2003;0000;135.1;31.180645;23.035484;81.419355;
83097;30/06/2003;0000;104.7;28.97;21.076667;83.416667;
83097;31/07/2003;0000;107.5;28.36129;20.316129;81.798387;
83097;31/08/2003;0000;46.7;29.180645;20.774194;80.024194;
83097;30/09/2003;0000;36.5;30.903333;20.673333;74.975;
83097;31/10/2003;0000;68.5;31.590323;21.167742;72.685484;
83097;30/11/2003;0000;106.1;32.153333;22.5;74.833333;
83097;31/12/2003;0000;6.7;33.870968;22.974194;68.459677;
83097;31/01/2004;0000;425.8;31.941935;23.277419;79.129032;
83097;29/02/2004;0000;51.6;32.462069;23.458621;75.758621;
83097;31/03/2004;0000;34.8;33.158065;23.206452;71.846774;
83097;30/04/2004;0000;99.7;32.286667;22.792593;75.466667;
83097;31/05/2004;0000;120.9;30.567742;21.993548;80.903226;
83097;30/06/2004;0000;153.8;28.073333;20.933333;85.3;
83097;31/07/2004;0000;88.3;27.751613;20.312903;84.5;
83097;31/08/2004;0000;123.5;27.858065;20.135484;83.677419;
83097;30/09/2004;0000;85.6;28.89;20.023333;79.316667;
83097;31/10/2004;0000;0.6;32.36129;20.964516;71.693548;
83097;30/11/2004;0000;2.1;33.846667;22.176667;67.775;
83097;31/12/2004;0000;0.7;34.016129;22.325806;67.145161;
83097;31/01/2005;0000;9.2;35.145161;23.470968;66.620968;
83097;28/02/2005;0000;22.6;34.65;24.164286;70.642857;
83097;31/03/2005;0000;11.1;34.929032;24.216129;69.951613;
83097;30/04/2005;0000;102.3;32.08;23.043333;77.266667;
83097;31/05/2005;0000;310.8;29.574194;22.826667;85.080645;
83097;30/06/2005;0000;173.8;28.676667;21.61;85.716667;
83097;31/07/2005;0000;99.8;27.677419;20.009677;85.266129;
83097;31/08/2005;0000;86;27.790323;19.919355;82.927419;
83097;30/09/2005;0000;28.8;30.133333;20.42;78.65;
83097;31/10/2005;0000;1.5;32.506452;21.206452;73.822581;
83097;30/11/2005;0000;1.9;33.526667;22.4;72.458333;
83097;31/12/2005;0000;33.4;32.996774;22.396774;73.612903;
83097;31/01/2006;0000;10.1;32.670968;22.183871;70.814516;
83097;28/02/2006;0000;0.2;35.003571;23.574074;69.080357;
83097;31/03/2006;0000;14.6;34.53871;23.925806;71.233871;
83097;30/04/2006;0000;118.5;32.373333;23.52;78.658333;
83097;31/05/2006;0000;181.4;29.464516;22.3;84.048387;
83097;30/06/2006;0000;217.5;27.766667;21.096667;86.366667;
83097;31/07/2006;0000;166.4;27.529032;20.390323;86.298387;
83097;31/08/2006;0000;65.6;28.509677;19.680645;81.387097;
83097;30/09/2006;0000;200.6;29.793333;20.56;79.25;
83097;31/10/2006;0000;77.2;31.7;21.548387;74.959677;
83097;30/11/2006;0000;20.1;32.856667;22.153333;72.933333;
83097;31/12/2006;0000;1.4;34.022581;22.532258;73.330645;
83097;31/01/2007;0000;3.6;33.880645;23.067742;72.072581;
83097;28/02/2007;0000;70.1;33.546429;23.292857;76.75;
83097;31/03/2007;0000;177.6;31.264516;22.690323;80.459677;
83097;30/04/2007;0000;178.3;31.356667;22.093333;77.291667;
83097;31/05/2007;0000;224.5;29.587097;22.16129;80.016129;
83097;30/06/2007;0000;73.4;28.89;21.033333;82.308333;
83097;31/07/2007;0000;161;27.906452;20.048387;83.612903;
83097;31/08/2007;0000;158.1;27.629032;20.035484;82.419355;
83097;30/09/2007;0000;38.1;28.643333;19.876667;79.775;
83097;31/10/2007;0000;21.7;30.812903;20.293548;75.580645;
83097;30/11/2007;0000;2.1;32.933333;21.966667;71.683333;
83097;31/12/2007;0000;11.7;33.119355;22.383871;71.83871;
83097;31/01/2008;0000;7;33.187097;22.319355;72.645161;
83097;29/02/2008;0000;71.6;34.465517;23.093103;72.336207;
83097;31/03/2008;0000;192.3;32.776667;23.380645;80.346774;
83097;30/04/2008;0000;76.5;31.78;23.073333;82.216667;
83097;31/05/2008;0000;167.4;29.025806;22.245161;86.596774;
83097;30/06/2008;0000;101.9;28.3;20.753333;86.216667;
83097;31/07/2008;0000;134.6;27.354839;19.916129;86.491935;
83097;31/08/2008;0000;59.3;28.1;19.903226;85.733871;
83097;30/09/2008;0000;18;29.916667;20.343333;80.608333;
83097;31/10/2008;0000;6.8;31.829032;21.051613;76.072581;
83097;30/11/2008;0000;2;33.65;22.043333;70.291667;
83097;31/12/2008;0000;10;34.196774;22.73871;52.177419;
83097;31/01/2009;0000;18.6;34.393548;22.648387;51.967742;
83097;28/02/2009;0000;54.3;33.067857;22.975;58.794643;
83097;31/03/2009;0000;17.3;34.458065;23.174194;55.854839;
83097;30/04/2009;0000;82.9;33.633333;23.613333;60.908333;
83097;31/05/2009;0000;472;29.506452;22.7;81.733871;
83097;30/06/2009;0000;158.2;29.18;21.693333;78.241667;
83097;31/07/2009;0000;146.5;28.641935;21.019355;82.887097;
83097;31/08/2009;0000;186.9;28.329032;20.858065;83.637097;
83097;30/09/2009;0000;30.9;30.33;20.696667;77.241667;
83097;31/10/2009;0000;11.6;33.312903;22.345161;69.104839;
83097;30/11/2009;0000;3.6;33.423333;21.65;66.408333;
83097;31/12/2009;0000;38.1;33.903226;22.822581;68.403226;
83097;31/01/2010;0000;43.7;33.232258;22.693548;70.209677;
83097;28/02/2010;0000;33.3;33.4;23.432143;71.607143;
83097;31/03/2010;0000;13;35.109677;24.483871;68.080645;
83097;30/04/2010;0000;200.6;32.576667;23.353333;76.9;
83097;31/05/2010;0000;103.3;31.151613;22.425806;81.225806;
83097;30/06/2010;0000;231.8;28.953333;21.526667;82.858333;
83097;31/07/2010;0000;164.2;28.290323;20.419355;82.580645;
83097;31/08/2010;0000;99.1;27.958065;19.793548;83.516129;
83097;30/09/2010;0000;87.1;28.976667;19.88;83.308333;
83097;31/10/2010;0000;12.5;32.345161;21.609677;78.282258;
83097;30/11/2010;0000;1.4;33.403333;22.15;70.975;
83097;31/12/2010;0000;1.9;34.006452;23.212903;70.879032;
83097;31/01/2011;0000;49.7;32.996774;22.745161;73.137097;
83097;28/02/2011;0000;20.3;33.228571;22.835714;74.205357;
83097;31/03/2011;0000;7.7;35.180645;23.590323;71.556452;
83097;30/04/2011;0000;273.1;31.82;22.96;81.916667;
83097;31/05/2011;0000;261.3;29.206452;22.448387;87.314516;
83097;30/06/2011;0000;72.5;29.066667;20.836667;85.683333;
83097;31/07/2011;0000;155;27.748387;20.032258;85.798387;
83097;31/08/2011;0000;67.6;29.1;19.535484;80.959677;
83097;30/09/2011;0000;70.9;28.746667;19.786667;79.558333;
83097;31/10/2011;0000;32.9;31.522581;21.76129;72.806452;
83097;30/11/2011;0000;79.4;31.94;21.893333;69.7;
83097;31/12/2011;0000;9;33.687097;22.603226;62.362903;
83097;31/01/2012;0000;7.7;33.158065;22.735484;63.75;
83097;29/02/2012;0000;61.4;32.465517;22.851724;65.198276;
83097;31/03/2012;0000;45.1;32.487097;22.96129;66.241935;
83097;30/04/2012;0000;8.5;32.88;22.906667;66.216667;
83097;31/05/2012;0000;73.1;31.680645;22.506452;70.290323;
83097;30/06/2012;0000;110;29.663333;22.486667;80.25;
83097;31/07/2012;0000;120;27.841935;20.787097;81.75;
83097;31/08/2012;0000;98.4;28.235484;20.003226;76.274194;
83097;30/09/2012;0000;52.6;29.6;21.206667;76.15;
83097;31/10/2012;0000;41.4;30.132258;22.025806;75.387097;
83097;30/11/2012;0000;7.4;33.97;22.466667;67.066667;
83097;31/12/2012;0000;7.4;33.63871;23.232258;66.66129;
83097;31/01/2013;0000;44.8;34.206452;23.503333;67.370968;
83097;28/02/2013;0000;6.1;33.896429;23.6;66.0625;
83097;31/03/2013;0000;27;34.264516;23.703226;66.024194;
83097;30/04/2013;0000;127.2;33.333333;23.636667;69.891667;
83097;31/05/2013;0000;117.5;30.429032;22.090323;78.58871;
83097;30/06/2013;0000;108.5;29.87;21.533333;77.575;
83097;31/07/2013;0000;203;28.493548;20.83;79.685484;
83097;31/08/2013;0000;79.3;28.551613;20.646667;79.419355;
83097;30/09/2013;0000;28.9;30.503333;20.486667;73.016667;
83097;31/10/2013;0000;150.1;31.148387;21.6;72.532258;
83097;30/11/2013;0000;17.8;31.666667;22.063333;70.475;
83097;31/12/2013;0000;51.3;34.048387;23.532258;67.903226;
83097;31/01/2014;0000;7.3;33.545161;22.396774;65.395161;
83097;28/02/2014;0000;37.6;33.042857;22.803571;68.553571;
83097;31/03/2014;0000;37.7;33.441935;23.3;68.258065;
83097;30/04/2014;0000;95.8;32.589655;23.506667;76.483333;
83097;31/05/2014;0000;195.4;29.970968;22.022581;80.032258;
83097;30/06/2014;0000;93.4;29.553333;21.203333;80.333333;
83097;31/07/2014;0000;153.6;28.412903;20.245161;80.693548;
83097;31/08/2014;0000;71;28.687097;19.541935;79.919355;
83097;30/09/2014;0000;63.2;30.086667;20.61;78.841667;
83097;31/10/2014;0000;124.4;30.219355;21.316129;79.008065;
83097;30/11/2014;0000;17.6;32.836667;22.403333;74.808333;
83097;31/12/2014;0000;33.7;33.022581;22.554839;74.112903;
83097;31/01/2015;0000;6.8;33.887097;22.267742;67.991935;
83097;28/02/2015;0000;45.6;33.753571;23.057143;70.964286;
83097;31/03/2015;0000;40.5;34.106452;23.241935;69.895161;
83097;30/04/2015;0000;37;34.431034;23.4;71.708333;
83097;31/05/2015;0000;125.8;32.335484;22.848387;77.556452;
83097;30/06/2015;0000;152;29.536667;21.966667;84.483333;
83097;31/07/2015;0000;177;28.432258;21.966667;82.766129;
83097;31/08/2015;0000;28.7;28.045161;22.928571;74.637097;
83097;30/09/2015;0000;23.8;30.163333;23.55;69.816667;
83097;31/10/2015;0000;20.6;31.722581;24.203226;65.596774;
83097;30/11/2015;0000;0.8;34.796667;23.706667;62.5;
83097;31/12/2015;0000;4.6;34.293548;22.580645;67.766129;
