--------------------
BDMEP - INMET
--------------------
Esta?o           : REMANSO - BA (OMM: 82979)
Latitude  (graus) : -9.63
Longitude (graus) : -42.1
Altitude  (metros): 400.51
Esta?o Operante
Inicio de opera?o: 01/10/1927
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82979;31/01/2000;0000;157.2;30.987097;;72.814516;
82979;29/02/2000;0000;210.6;30.972414;;76.060345;
82979;31/03/2000;0000;126.4;31.341935;;72.112903;
82979;30/04/2000;0000;30;32.14;;66.991667;
82979;31/05/2000;0000;0.2;31.541935;;62.616667;
82979;30/06/2000;0000;0.8;30.86;;59.558333;
82979;31/07/2000;0000;0;31.251613;;57.306452;
82979;31/08/2000;0000;0;31.929032;;54.620968;
82979;30/09/2000;0000;0.6;33.123333;;53.15;
82979;31/10/2000;0000;0;34.5;22.628571;49.096774;
82979;30/11/2000;0000;287.2;31.586667;22.11;67.816667;
82979;31/12/2000;0000;215.7;30.703226;21.283871;71.91129;
82979;31/01/2001;0000;29.1;32.006452;21.987097;64.330645;
82979;28/02/2001;0000;85.4;31.885714;19.7;68.5;
82979;31/03/2001;0000;83.4;31.306452;21.26129;72.080645;
82979;30/04/2001;0000;1;33.163333;21.513333;60.633333;
82979;31/05/2001;0000;4.2;33.616129;20.848387;59.604839;
82979;30/06/2001;0000;1.9;31.213333;20.143333;62.558333;
82979;31/07/2001;0000;0.6;31.487097;19.758065;55.137097;
82979;31/08/2001;0000;0;31.093548;20.041935;53.629032;
82979;30/09/2001;0000;0;33.833333;21.334483;50.15;
82979;31/10/2001;0000;0.8;35.487097;23.170968;46.467742;
82979;30/11/2001;0000;53.3;35.7;23.796667;47.825;
82979;31/12/2001;0000;75.9;33.596774;24.309677;57.306452;
82979;31/01/2002;0000;283.2;30.467742;21.835484;75.354839;
82979;28/02/2002;0000;17.2;32.207143;21.8;62.901786;
82979;31/03/2002;0000;17.6;32.906452;23.864516;59.35;
82979;30/04/2002;0000;5.8;33.153333;23.383333;61.95;
82979;31/05/2002;0000;6.4;29.854839;22.9;60.935484;
82979;30/06/2002;0000;2.8;31.907692;22.003333;58.541667;
82979;31/07/2002;0000;0;31.809677;20.456667;57.645161;
82979;31/08/2002;0000;0;31.5;17.686667;49.758065;
82979;30/09/2002;0000;6.9;33.14;21.69;47.741667;
82979;31/10/2002;0000;0;35.119355;21.932258;41.104839;
82979;30/11/2002;0000;35.7;34.713333;21.486667;47.608333;
82979;31/12/2002;0000;141.8;33.003226;21.741935;58.709677;
82979;31/01/2003;0000;105.5;32.312903;20.367742;65.564516;
82979;28/02/2003;0000;14.5;32.925;23.140741;55.919643;
82979;31/03/2003;0000;202.4;32.587097;23.283333;58.669355;
82979;30/04/2003;0000;1.8;32;23.265517;58.408333;
82979;31/05/2003;0000;8;30.796774;21.593548;64.475806;
82979;30/06/2003;0000;0.2;30.613333;20.703333;63.233333;
82979;31/07/2003;0000;0.2;29.645161;19.358065;59.709677;
82979;31/08/2003;0000;0;31.945161;19.932258;55.357143;
82979;30/09/2003;0000;0.2;32.586667;;50.466667;
82979;31/10/2003;0000;0;34.229032;;44.903226;
82979;30/11/2003;0000;100.3;33.26;;58.5;
82979;31/12/2003;0000;1.2;34.687097;;47.83871;
82979;31/01/2004;0000;350.2;28.961905;;82.857143;
82979;29/02/2004;0000;159.3;30.024138;;76.482759;
82979;31/03/2004;0000;70.6;30.409677;;73.290323;
82979;30/04/2004;0000;0;31.026667;;68.5;
82979;31/05/2004;0000;0;30.86129;;65.096774;
82979;30/06/2004;0000;1.6;29.586667;;62.366667;
82979;31/07/2004;0000;0.4;29.180645;;60.387097;
82979;31/08/2004;0000;0;30.274194;;57.774194;
82979;30/09/2004;0000;0;31.58;21.853333;52.785714;
82979;31/10/2004;0000;40.2;32.945161;24.370968;;
82979;30/11/2004;0000;71;32.606667;24.096667;;
82979;31/12/2004;0000;29.9;32.73;23.058065;;
82979;31/01/2005;0000;189.7;31.048387;22.745161;;
82979;28/02/2005;0000;100.7;30.835714;23.092857;;
82979;31/03/2005;0000;89.5;31.312903;22.783871;;
82979;30/04/2005;0000;49.9;31.2;23.606667;;
82979;31/05/2005;0000;50.2;29.893548;22.890323;;
82979;30/06/2005;0000;8.3;29.76;22.363333;;
82979;31/07/2005;0000;0.2;29.525806;21.167742;;
82979;31/08/2005;0000;0;30.970968;21.587097;;
82979;30/09/2005;0000;0;32.68;22.993333;61.791667;
82979;31/10/2005;0000;1;34.383871;24.164516;59.846774;
82979;30/11/2005;0000;34;33.406667;24.003333;65.991667;
82979;31/12/2005;0000;75.6;31.574194;22.667742;73.633333;
82979;31/01/2006;0000;0;33.996774;23.8;63.870968;
82979;28/02/2006;0000;140.7;32.014286;22.464286;75.401786;
82979;31/03/2006;0000;111.6;30.254839;22.177419;81.91129;
82979;30/04/2006;0000;75.3;30.333333;22.566667;73.258333;
82979;31/05/2006;0000;0.6;30.506452;22.364516;63.887097;
82979;30/06/2006;0000;3;29.353333;21.596667;62.1;
82979;31/07/2006;0000;0.6;29.609677;20.629032;69.056452;
82979;31/08/2006;0000;0;30.712903;21.612903;64.774194;
82979;30/09/2006;0000;3.8;32.366667;22.456667;63.225;
82979;31/10/2006;0000;42.2;33.306452;23.716129;67.137097;
82979;30/11/2006;0000;69.4;32.146667;23.18;76.608333;
82979;31/12/2006;0000;12.9;33.513333;23.813333;72.225806;
82979;31/01/2007;0000;38;34.458065;24.606452;72.556452;
82979;28/02/2007;0000;283.2;29.628571;22.414286;86.803571;
82979;31/03/2007;0000;0.1;31.416129;23.648387;76.919355;
82979;30/04/2007;0000;47.7;31.6;23.566667;79.125;
82979;31/05/2007;0000;5.4;30.893548;23.219355;73.693548;
82979;30/06/2007;0000;0;30.141379;22.051724;77.525;
82979;31/07/2007;0000;0.3;30.203226;21.463333;78.120968;
82979;31/08/2007;0000;0;30.170968;20.816129;75.209677;
82979;30/09/2007;0000;0;31.72;21.72;72.2;
82979;31/10/2007;0000;0;33.522581;23.132258;74.91129;
82979;30/11/2007;0000;83.7;34.086667;23.77;73.716667;
82979;31/12/2007;0000;139.3;32.532258;22.796774;72.427419;
82979;31/01/2008;0000;26.6;33.674194;23.358065;66.024194;
82979;29/02/2008;0000;213.9;33.237931;23.060714;69.155172;
82979;31/03/2008;0000;150.8;30.43871;22.293548;81.943548;
82979;30/04/2008;0000;231;30.116667;22.203333;83.258333;
82979;31/05/2008;0000;2.4;30.109677;22.33871;72.975806;
82979;30/06/2008;0000;0.3;29.513333;21.053333;69.091667;
82979;31/07/2008;0000;0;29.254839;20.603226;66.524194;
82979;31/08/2008;0000;0;30.874194;21.406452;63.669355;
82979;30/09/2008;0000;0;32.686667;22.553333;58.766667;
82979;31/10/2008;0000;0;34.209677;23.277419;57.75;
82979;30/11/2008;0000;34.6;34.593333;24.576667;67.125;
82979;31/12/2008;0000;46.4;32.512903;22.893548;73.346774;
82979;31/01/2009;0000;274.9;32.341935;22.877419;75.991935;
82979;28/02/2009;0000;115.2;31.178571;22.232143;77.464286;
82979;31/03/2009;0000;168.4;31.46129;22.5;80.475806;
82979;30/04/2009;0000;185.3;29.373333;22.253333;87.658333;
82979;31/05/2009;0000;31.2;29.519355;22.883871;79.362903;
82979;30/06/2009;0000;2.7;29.92;21.853333;74.725;
82979;31/07/2009;0000;0;30.5;21.964516;69.919355;
82979;31/08/2009;0000;0;31.054839;22.341935;65.548387;
82979;30/09/2009;0000;0;33.37;23.566667;60.316667;
82979;31/10/2009;0000;156.7;32.070968;23.990323;71.75;
82979;30/11/2009;0000;0;32.9;23.75;66.266667;
82979;31/12/2009;0000;49.6;31.964516;23.7;74.532258;
82979;31/01/2010;0000;115.2;31.796774;23.225806;75.669355;
82979;28/02/2010;0000;44.9;33.778571;25.064286;69.616071;
82979;31/03/2010;0000;148.7;31.813333;23.383333;80.701613;
82979;30/04/2010;0000;104.1;31.1;23.473333;78.841667;
82979;31/05/2010;0000;0;32.087097;23.23871;71.064516;
82979;30/06/2010;0000;17.7;30.38;22.306667;64.341667;
82979;31/07/2010;0000;3.1;29.783871;21.412903;60.975806;
82979;31/08/2010;0000;0;30.796774;20.516129;54.669355;
82979;30/09/2010;0000;0;32.04;21.763333;50.958333;
82979;31/10/2010;0000;28.9;34.174194;24.296774;50.967742;
82979;30/11/2010;0000;5.9;34.426667;24.3;50.708333;
82979;31/12/2010;0000;170.7;31.783871;22.593548;67.129032;
82979;31/01/2011;0000;33.7;31.364516;22.503226;67.177419;
82979;28/02/2011;0000;93.7;31.742857;23.271429;67.517857;
82979;31/03/2011;0000;280.5;30.822581;22.274194;79.83871;
82979;30/04/2011;0000;23.6;31.146667;23.32;70.033333;
82979;31/05/2011;0000;3.2;30.719355;22.964516;64.75;
82979;30/06/2011;0000;1.4;30.766667;21.716667;62.541667;
82979;31/07/2011;0000;0;29.854839;21.3;61.435484;
82979;31/08/2011;0000;0.8;31.613333;21.803333;55.516129;
82979;30/09/2011;0000;0;31.914815;21.518519;51.975;
82979;31/10/2011;0000;72.4;32.829032;23.574194;57.387097;
82979;30/11/2011;0000;72.9;31.513333;23.113793;62.141667;
82979;31/12/2011;0000;20.9;32.603226;23.753333;57.790323;
82979;31/01/2012;0000;8.2;32.854839;24.029032;56.951613;
82979;29/02/2012;0000;79.3;31.562069;23.448276;62.112069;
82979;31/03/2012;0000;15.6;33.458065;24.141935;55.354839;
82979;30/04/2012;0000;0;33.733333;24.316667;52.525;
82979;31/05/2012;0000;0;32.235484;23.464516;56.741935;
82979;30/06/2012;0000;0;31.133333;22.86;57.2;
82979;31/07/2012;0000;0;30.564516;21.325806;57.209677;
82979;31/08/2012;0000;0;30.687097;20.335484;55.217742;
82979;30/09/2012;0000;0;32.962069;22.241379;47.775;
82979;31/10/2012;0000;0;34.332258;23.290323;45.024194;
82979;30/11/2012;0000;106.4;32.86;23.786667;64.108333;
82979;31/12/2012;0000;16.1;34.130435;23.322727;59.141304;
82979;31/01/2013;0000;47.4;32.958065;23.954839;65.612903;
82979;28/02/2013;0000;0;35.103571;24.575;55.366071;
82979;31/03/2013;0000;78.3;34.532258;24.425806;58.685484;
82979;30/04/2013;0000;87.1;32.54;23.596667;63.8;
82979;31/05/2013;0000;0;32.216129;23.363333;61.120968;
82979;30/06/2013;0000;0;31.72;22.473333;59.291667;
82979;31/07/2013;0000;1.6;31.483871;21.26129;58.556452;
82979;31/08/2013;0000;0;31.867742;21.106452;57.951613;
82979;30/09/2013;0000;0;33.603333;22.186667;55.158333;
82979;31/10/2013;0000;9.8;34.616129;23.506452;51.298387;
82979;30/11/2013;0000;68.7;33.305556;23.403333;57.3;
82979;31/12/2013;0000;219.9;30.183333;22.274194;74.669355;
82979;31/01/2014;0000;0;32.46129;23.354839;60.903226;
82979;28/02/2014;0000;68.2;32.010714;23.603571;64.553571;
82979;31/03/2014;0000;75.4;32.129032;23.612903;67.5;
82979;30/04/2014;0000;173.7;30.576667;22.68;70.866667;
82979;31/05/2014;0000;0.4;30.206452;22.587097;65.895161;
82979;30/06/2014;0000;0;30.513333;21.583333;62.983333;
82979;31/07/2014;0000;3.2;29.906452;21.270968;62.233871;
82979;31/08/2014;0000;3.6;30.78;20.764516;58.201613;
82979;30/09/2014;0000;0;32.853333;21.983333;56.116667;
82979;31/10/2014;0000;0;33.290323;23.283871;54.153226;
82979;30/11/2014;0000;61.8;32.78;23.193333;61.925;
82979;31/12/2014;0000;151;31.174194;22.522581;67.475806;
82979;31/01/2015;0000;0.7;33.574194;23.277419;56.943548;
82979;28/02/2015;0000;37.7;32.764286;23.442857;63.714286;
82979;31/03/2015;0000;25.5;33.706452;23.612903;58.153226;
82979;30/04/2015;0000;81.4;33.053333;23.273333;63.133333;
82979;31/05/2015;0000;0.5;32.316129;22.516129;59.983871;
82979;30/06/2015;0000;0.1;31.366667;21.376667;57.266667;
82979;31/07/2015;0000;1.8;31.425806;20.619355;55.782258;
82979;31/08/2015;0000;0;31.83871;20.76129;51.112903;
82979;30/09/2015;0000;0;34.6;22.406667;43.65;
82979;31/10/2015;0000;0.8;35.309677;23.941935;44.814516;
82979;30/11/2015;0000;12.1;36.013333;24.8;45.283333;
82979;31/12/2015;0000;0;36.23871;25.203226;44.516129;
