--------------------
BDMEP - INMET
--------------------
Esta?o           : RIO BRANCO - AC (OMM: 82915)
Latitude  (graus) : -9.96
Longitude (graus) : -67.8
Altitude  (metros): 160.00
Esta?o Operante
Inicio de opera?o: 01/01/1929
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82915;31/01/2000;0000;188.8;30.503226;22.416129;92.040323;
82915;29/02/2000;0000;258.4;30.506897;22.051724;91.887931;
82915;31/03/2000;0000;151.2;30.503226;22.070968;90.967742;
82915;30/04/2000;0000;244.6;30.44;21.816667;94.6;
82915;31/05/2000;0000;60.2;30.4;20.396774;91.943548;
82915;30/06/2000;0000;8.9;29.763333;19.11;89;
82915;31/07/2000;0000;54.2;29.335484;;85.717742;
82915;31/08/2000;0000;29.4;32.193548;19.103226;85;
82915;30/09/2000;0000;140.1;32.726667;19.893333;83.658333;
82915;31/10/2000;0000;168.9;32.396774;21.929032;88.66129;
82915;30/11/2000;0000;187.2;31.423333;22.53;87.458333;
82915;31/12/2000;0000;211.6;31.73871;22.564516;88.217742;
82915;31/01/2001;0000;317.2;30.306452;22.325806;92.616667;
82915;28/02/2001;0000;220.7;30.178571;22.614286;92.25;
82915;31/03/2001;0000;361.5;30.606452;22.335484;91.83871;
82915;30/04/2001;0000;199.9;31.336667;22.26;92.308333;
82915;31/05/2001;0000;125.9;30.080645;20.6;91.298387;
82915;30/06/2001;0000;41.8;29.26;17.333333;88.183333;
82915;31/07/2001;0000;36.8;30.629032;19.141935;88.491935;
82915;31/08/2001;0000;2.5;34.080645;19.280645;78.419355;
82915;30/09/2001;0000;25.7;33.713333;21.183333;81.516667;
82915;31/10/2001;0000;148.7;33.5;22.441935;82.716667;
82915;30/11/2001;0000;159.5;32.116667;24.006667;88.091667;
82915;31/12/2001;0000;286.7;30.790323;22.703448;89.709677;
82915;31/01/2002;0000;217.3;31.225806;22.958621;88.201613;
82915;28/02/2002;0000;323.5;30.867857;23.08;90.946429;
82915;31/03/2002;0000;225.5;30.812903;22.693333;90.524194;
82915;30/04/2002;0000;261.3;30.773333;22.272414;89.793103;
82915;31/05/2002;0000;104.3;31.096774;21.793333;88.959677;
82915;30/06/2002;0000;45;29.513333;19.016667;85.883333;
82915;31/07/2002;0000;16.7;30.719355;19.173333;81.169355;
82915;31/08/2002;0000;124.7;33.422581;20.193548;78.580645;
82915;30/09/2002;0000;45.5;32.746667;21.03;79.55;
82915;31/10/2002;0000;173.3;33.383871;22.445161;80.217742;
82915;30/11/2002;0000;126.9;32.263333;21.71;82.758333;
82915;31/12/2002;0000;245.9;30.529032;23.009677;90.594828;
82915;31/01/2003;0000;286.5;31.664516;22.954839;87.663793;
82915;28/02/2003;0000;266.5;30.603571;22.075;88.116071;
82915;31/03/2003;0000;246.3;30.509677;22.564516;90.314516;
82915;30/04/2003;0000;172.6;30.89;21.86;89.375;
82915;31/05/2003;0000;131.6;31.096774;21.3;87.75;
82915;30/06/2003;0000;28.2;31.766667;20.35;86.775;
82915;31/07/2003;0000;17;32.070968;17.645161;81.104839;
82915;31/08/2003;0000;93;31.677419;17.870968;80.887097;
82915;30/09/2003;0000;155.9;33.233333;19.57;81.408333;
82915;31/10/2003;0000;36.2;33.477419;21.53871;83.387097;
82915;30/11/2003;0000;116.7;32.526667;22.026667;85.641667;
82915;31/12/2003;0000;246.6;31.906452;22.754839;88.201613;
82915;31/01/2004;0000;214.5;31.774194;22.848387;89.677419;
82915;29/02/2004;0000;271.6;31.282759;22.341379;88.568966;
82915;31/03/2004;0000;469.5;31.26129;22.83871;91;
82915;30/04/2004;0000;104.2;31.763333;22.72;89.025;
82915;31/05/2004;0000;123.7;28.277419;19.054839;89.322581;
82915;30/06/2004;0000;53.5;30.476667;18.84;86.933333;
82915;31/07/2004;0000;46.6;30.674194;18.970968;85.177419;
82915;31/08/2004;0000;58.5;32.545161;18.845161;81.217742;
82915;30/09/2004;0000;35.6;33.323333;20.165517;80.966667;
82915;31/10/2004;0000;256.9;32.287097;22.258065;87.217742;
82915;30/11/2004;0000;288.2;31.413333;22.023333;89.066667;
82915;31/12/2004;0000;167.6;30.977419;22.670968;90.975806;
82915;31/01/2005;0000;140;31.780645;22.890323;89.419355;
82915;28/02/2005;0000;394.5;30.764286;22.878571;91.267857;
82915;31/03/2005;0000;218.8;31.283871;22.570968;89.91129;
82915;30/04/2005;0000;229.4;31.106667;21.946667;89.983333;
82915;31/05/2005;0000;49.4;31.977419;21.396774;88.903226;
