--------------------
BDMEP - INMET
--------------------
Esta?o           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Esta?o Operante
Inicio de opera?o: 01/01/1917
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83743;31/05/2002;0000;99.8;29.458065;22.264516;76.169355;
83743;30/06/2002;0000;63.8;29.593333;21.813333;74.983333;
83743;31/07/2002;0000;21;26.467742;19.503226;73.75;
83743;31/08/2002;0000;10.6;30.006452;21.054839;71.333333;
83743;30/09/2002;0000;88.8;27.34;19.363333;72.183333;
83743;31/10/2002;0000;26;32.293548;23.309677;67.483871;
83743;30/11/2002;0000;144.4;32.413333;23.44;68.775;
83743;31/12/2002;0000;242.8;32.825806;24.441935;72.435484;
83743;31/01/2003;0000;250.4;32.816129;25.141935;75.580645;
83743;28/02/2003;0000;6.4;37.235714;26.135714;63.633929;
83743;31/03/2003;0000;257.1;32.689655;24.251724;75.275862;
83743;30/04/2003;0000;101.3;31.84;23.566667;72;
83743;31/05/2003;0000;45.4;28.448387;20.487097;73.129032;
83743;30/06/2003;0000;32.9;29.784211;21.557895;73.223684;
83743;31/07/2003;0000;19.8;28.093548;19.241935;71.983871;
83743;31/08/2003;0000;125.2;26.103226;18.583871;72.846774;
83743;30/09/2003;0000;80.3;27.77;19.736667;73.658333;
83743;31/10/2003;0000;171.4;29.164516;21.035484;72.314516;
83743;30/11/2003;0000;228.2;31.006667;22.23;71.766667;
83743;31/12/2003;0000;90.4;32.26129;23.903226;72.637097;
83743;31/01/2004;0000;113.2;31.464516;23.558065;71.524194;
83743;29/02/2004;0000;141.5;31.4;23.7;74.327586;
83743;31/03/2004;0000;66.7;31.309677;23.146667;70.91129;
83743;30/04/2004;0000;99.5;31.17;23.343333;75.241667;
83743;31/05/2004;0000;45.3;27.596774;20.409677;74.540323;
83743;30/06/2004;0000;26.5;27.903333;19.156667;71.116667;
