--------------------
BDMEP - INMET
--------------------
Esta?o           : RONCADOR - DF (OMM: 83373)
Latitude  (graus) : -15.93
Longitude (graus) : -47.88
Altitude  (metros): 1100.57
Esta?o Operante
Inicio de opera?o: 28/05/1979
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83373;31/01/2000;0000;182.8;27.183871;16.587097;81.798387;
83373;29/02/2000;0000;181.2;27.334483;16.344828;79.241379;
83373;31/03/2000;0000;230;26.622581;16.848387;82.419355;
83373;30/04/2000;0000;171.8;27.193333;14.836667;75.75;
83373;31/05/2000;0000;0;27.132258;12.387097;65.991935;
83373;30/06/2000;0000;0;26.44;10.546667;59.75;
83373;31/07/2000;0000;0;26.125806;10.793548;60.983871;
83373;31/08/2000;0000;44.6;28.587097;12.625806;49.258065;
83373;30/09/2000;0000;138.6;27.69;15.173333;63.691667;
83373;31/10/2000;0000;115.6;30.109677;15.480645;56.766129;
83373;30/11/2000;0000;276;26.753333;15.583333;82.425;
83373;31/12/2000;0000;355.4;27.641935;17.558065;81.758065;
83373;31/01/2001;0000;145.2;28.1;15.623333;74.083333;
83373;28/02/2001;0000;105.7;29.446429;14.889286;71.222222;
83373;31/03/2001;0000;192;27.287097;15.95;79.895161;
83373;30/04/2001;0000;54.1;27.94;15.313333;69.141667;
83373;31/05/2001;0000;41.1;26.996774;14.293548;70.716667;
83373;30/06/2001;0000;0;25.94;12;63.441667;
83373;31/07/2001;0000;0;26.558065;11.325806;57.629032;
83373;31/08/2001;0000;23.5;26.770968;12.780645;55.080645;
83373;30/09/2001;0000;49.1;29.293333;15.38;57.939655;
83373;31/10/2001;0000;162.3;27.332258;16.058065;72.798387;
83373;30/11/2001;0000;193.2;27.18;16.83;81.116667;
83373;31/12/2001;0000;194.4;26.829032;17.248387;79.266129;
83373;31/01/2002;0000;166.7;27.758065;17.419355;77.790323;
83373;28/02/2002;0000;191.5;27.592593;17.685714;82.526786;
83373;31/03/2002;0000;173;28.209677;16.670968;75.798387;
83373;30/04/2002;0000;55.4;28.18;15.48;71.191667;
83373;31/05/2002;0000;4.6;27.370968;13.896774;67.193548;
83373;30/06/2002;0000;0;26.226667;11.910345;61.6;
83373;31/07/2002;0000;4.2;27.229032;12.4;59.693548;
83373;31/08/2002;0000;0.6;28.829032;13.780645;48.048387;
83373;30/09/2002;0000;123.8;29.093103;15.256667;58.808333;
83373;31/10/2002;0000;24.3;31.629032;16.141935;53.185484;
83373;30/11/2002;0000;256.2;28.453333;16.851724;72.625;
83373;31/12/2002;0000;154.6;28.519355;17.929032;77.983333;
83373;31/01/2003;0000;273.6;27.858065;18.158065;80.951613;
83373;28/02/2003;0000;100.1;28.557143;16.639286;74.446429;
83373;31/03/2003;0000;208;27.13871;16.7;82.903226;
83373;30/04/2003;0000;39;27.916667;15.973333;75.633333;
83373;31/05/2003;0000;76.4;26.032258;13.15;72.322581;
83373;30/06/2003;0000;0;26.393333;11.586667;61.191667;
83373;31/07/2003;0000;0;26.083871;11.425806;57.395161;
83373;31/08/2003;0000;33.5;28.432258;12.732258;57.604839;
83373;30/09/2003;0000;25.7;28.975862;15.093103;56.965517;
83373;31/10/2003;0000;71;29.241935;15.654839;62.572581;
83373;30/11/2003;0000;120.3;27.873333;16.763333;77.3;
83373;31/12/2003;0000;147.5;28.946667;16.88;71.316667;
83373;31/01/2004;0000;326;26.464516;19.17;85.943548;
83373;29/02/2004;0000;335.8;26.607143;17.958621;86.077586;
83373;31/03/2004;0000;231.8;26.909677;16.48;82.333333;
83373;30/04/2004;0000;161.7;26.433333;15.663333;79.508929;
83373;31/05/2004;0000;0.6;26.696774;14.448387;75.290323;
83373;30/06/2004;0000;3.5;25.075862;11.11;69.133333;
83373;31/07/2004;0000;0;25.36;11.016667;64.925;
83373;31/08/2004;0000;0;28.258065;11.270968;47.653226;
83373;30/09/2004;0000;3.3;31.093333;13.721429;38.016667;
83373;31/10/2004;0000;89;30.016129;16.485714;64.387097;
83373;30/11/2004;0000;89;28.496667;16.836667;75.891667;
83373;31/12/2004;0000;238;27.303226;16.317241;80.032258;
83373;31/01/2005;0000;181.5;27.633333;17.625806;81.766129;
83373;28/02/2005;0000;273.8;28.178571;17.05;78.339286;
83373;31/03/2005;0000;336.2;27.5;17.406667;84.983333;
83373;30/04/2005;0000;29.1;28.04;15.896667;76.566667;
83373;31/05/2005;0000;12;25.912903;13.467742;73.422414;
83373;30/06/2005;0000;0;25.606667;12.5;71.125;
83373;31/07/2005;0000;0;25.922581;11.851613;61.137097;
83373;31/08/2005;0000;20.6;28.33871;12.777419;53.241935;
83373;30/09/2005;0000;33.1;30.003448;15.5;55.169643;
83373;31/10/2005;0000;87.8;31.877419;16.448387;51.467742;
83373;30/11/2005;0000;327.1;27.373333;17.33;81.05;
83373;31/12/2005;0000;334.6;26.248387;16.332258;82.08871;
83373;31/01/2006;0000;171;28.403226;15.364516;74.717742;
83373;28/02/2006;0000;201;28.046429;16.714286;79.321429;
83373;31/03/2006;0000;321.7;27.306452;16.848387;84.064516;
83373;30/04/2006;0000;90.4;27.21;15.55;80.383333;
83373;31/05/2006;0000;74.2;26.235484;12.083871;74.467742;
83373;30/06/2006;0000;17;24.813333;10.296667;71.408333;
83373;31/07/2006;0000;2;25.751613;9.9;67.483871;
83373;31/08/2006;0000;18;28.76129;12.129032;61.370968;
83373;30/09/2006;0000;63.7;29.09;13.66;63.233333;
83373;31/10/2006;0000;303.8;27.016129;16.083871;82.612903;
83373;30/11/2006;0000;137;27.51;15.676667;80.575;
83373;31/12/2006;0000;268.2;27.490323;16.506452;82.725806;
83373;31/01/2007;0000;289.9;27.283871;16.577419;83.5;
83373;28/02/2007;0000;173.2;27.157143;16.457143;84.008929;
83373;31/03/2007;0000;11.9;28.790323;14.445161;73.266129;
83373;30/04/2007;0000;116.3;28.083333;13.796667;75.275;
83373;31/05/2007;0000;2.4;27.090323;11.977419;67.080645;
83373;30/06/2007;0000;0;26.646667;11;62.383333;
83373;31/07/2007;0000;0;27.525806;10.541935;60.040323;
83373;31/08/2007;0000;0;27.745161;11.26129;49.217742;
83373;30/09/2007;0000;23.2;30.406667;13.323333;40.116667;
83373;31/10/2007;0000;104;31.177419;14.487097;53.669355;
83373;30/11/2007;0000;196.2;28.723333;15.766667;73.725;
83373;31/12/2007;0000;286.6;27.716129;15.119355;77.774194;
83373;31/01/2008;0000;379.7;27.325806;15.074194;80.774194;
83373;29/02/2008;0000;251.6;27.358621;15.572414;82.456897;
83373;31/03/2008;0000;254.8;27.074194;15.103226;82.169355;
83373;30/04/2008;0000;194.6;27.633333;13.743333;79.55;
83373;31/05/2008;0000;0.3;26.267742;10.016129;69.645161;
83373;30/06/2008;0000;0;25.916667;8.98;63.883333;
83373;31/07/2008;0000;0;25.623333;7.8;54.016667;
83373;31/08/2008;0000;3;28.480645;10.383871;48.943548;
83373;30/09/2008;0000;32.4;30.796667;14.263333;49.816667;
83373;31/10/2008;0000;29.8;31.277419;16.909677;54.935484;
83373;30/11/2008;0000;196.9;28.506667;16.776667;78.125;
83373;31/12/2008;0000;270.6;26.925806;17.080645;83.008065;
83373;31/01/2009;0000;179.8;27.76129;16.909677;81.169355;
83373;28/02/2009;0000;153.3;28.078571;16.482143;80.267857;
83373;31/03/2009;0000;171.7;28.487097;15.929032;79.282258;
83373;30/04/2009;0000;225.2;26.546667;15.846667;83.508333;
83373;31/05/2009;0000;43.3;25.777419;12.767742;77.387097;
83373;30/06/2009;0000;4.6;25.246667;10.856667;73.291667;
83373;31/07/2009;0000;0;27.196296;10.766667;60.583333;
83373;31/08/2009;0000;29.1;27.722222;13.076923;61.057692;
83373;30/09/2009;0000;36.2;29.103333;16.343333;67.158333;
83373;31/10/2009;0000;202.9;28.5;16.719355;80.322581;
83373;30/11/2009;0000;120.4;28.413793;16.886207;78.025862;
83373;31/12/2009;0000;230.1;26.680645;16.887097;83.072581;
83373;31/01/2010;0000;252.9;28.086957;16.5;77.73913;
83373;28/02/2010;0000;90.9;29.055556;16.611111;75.722222;
83373;31/03/2010;0000;201.7;28.616129;17.103226;80.887097;
83373;30/04/2010;0000;81;27.703333;14.74;72.887931;
83373;31/05/2010;0000;6.4;28.49;12.693333;68.982759;
83373;30/06/2010;0000;1.6;26.789655;10.031034;63.198276;
83373;31/07/2010;0000;0;26.407407;11.433333;59.037037;
83373;31/08/2010;0000;0;28.168966;10.710345;46.327586;
83373;30/09/2010;0000;0;31.051724;13.724138;44.008929;
83373;31/10/2010;0000;224.8;29.746429;17.066667;71.491071;
83373;30/11/2010;0000;297;26.926667;16.433333;82.483333;
83373;31/12/2010;0000;320.6;27.683333;17.1;82.706897;
83373;31/01/2011;0000;79.3;27.441935;16.406452;79.443548;
83373;28/02/2011;0000;128.6;28.478261;15.643478;78.152174;
83373;31/03/2011;0000;249.7;27.672414;17.103448;83.801724;
83373;30/04/2011;0000;59.8;27.575862;14.77931;77.698276;
83373;31/05/2011;0000;24.6;26.445161;11.741935;70.991935;
83373;30/06/2011;0000;0;26.176667;11.09;68.458333;
83373;31/07/2011;0000;0;26.947059;9.941176;57.632353;
83373;31/08/2011;0000;0;30;11.516;42.625;
83373;30/09/2011;0000;7;30.396;14.654167;39.141304;
83373;31/10/2011;0000;245.8;26.725806;16.56129;78.975806;
83373;30/11/2011;0000;208.3;26.626667;16.84;77.075;
83373;31/12/2011;0000;366.8;26.460714;17.607143;82.589286;
83373;31/01/2012;0000;174.4;25.648;16.804;;
83373;29/02/2012;0000;175.3;27.595455;16.272727;;
83373;31/03/2012;0000;194;27.864286;16.735714;77.258929;
83373;30/04/2012;0000;62.9;28.137931;16.593103;75.008621;
83373;31/05/2012;0000;61.4;24.979167;13.8875;77.413043;
83373;30/06/2012;0000;14.1;26.010526;13.128571;71.321429;
83373;31/07/2012;0000;0;25.826316;12.273684;;
83373;31/08/2012;0000;0;26.233333;12.561905;;
83373;30/09/2012;0000;54.8;30.146429;15.685714;39.866667;
83373;31/10/2012;0000;63.1;30.235484;16.009677;56.814516;
83373;30/11/2012;0000;330.9;26.84;17.885714;82.205357;
83373;31/12/2012;0000;43.3;28.704762;17.019048;;
83373;31/01/2013;0000;291.5;26.142308;17.52;82.09;
83373;28/02/2013;0000;163.8;28.596429;16.503571;73.231481;
83373;31/03/2013;0000;176.9;28.163333;17.373333;79.9;
83373;30/04/2013;0000;116.4;26.39;15.136667;80;
83373;31/05/2013;0000;29.5;26.9;12.845161;70.645161;
83373;30/06/2013;0000;11.8;25.813333;14.64;74.033333;
83373;31/07/2013;0000;0;26.356522;12.311538;63.576087;
83373;31/08/2013;0000;0;28.125;12.626667;49.03125;
83373;30/09/2013;0000;49.6;29.595833;16.1;56.645833;
83373;31/10/2013;0000;125.9;28.123333;16.353333;70.283333;
83373;30/11/2013;0000;110.8;27.465517;17.048276;77.931034;
83373;31/12/2013;0000;180.6;27.189286;17.851852;83.258929;
83373;31/01/2014;0000;34.7;27.873913;16.433333;75.75;
83373;28/02/2014;0000;109.5;27.25;16.979167;78.510417;
83373;31/03/2014;0000;441.1;26.813333;17.01;84.525;
83373;30/04/2014;0000;169.8;27.193333;16.426667;80.15;
83373;31/05/2014;0000;11.8;26.503571;13.567857;71.464286;
83373;30/06/2014;0000;6;25.747826;13.032143;70.695652;
83373;31/07/2014;0000;1.1;25.35;12.2;65.297619;
83373;31/08/2014;0000;0;28.705556;14.978261;49.805556;
83373;30/09/2014;0000;8.8;30.932143;16.556667;50.901786;
83373;31/10/2014;0000;156.2;30.326667;16.312903;59.275;
83373;30/11/2014;0000;314.4;27.716667;16.693333;78.508621;
83373;31/12/2014;0000;260.3;25.818182;15.953846;82.988636;
83373;31/01/2015;0000;54.2;29.7875;15.403704;68.0625;
83373;28/02/2015;0000;69.2;27.5;16.9375;76.97619;
83373;31/03/2015;0000;334.1;26.26;16.016129;85.724138;
83373;30/04/2015;0000;3.6;27.110345;15.806667;82.887931;
83373;31/05/2015;0000;;24.990323;12.816129;81.241935;
83373;30/06/2015;0000;13.4;25.256;11.110714;70.822917;
83373;31/07/2015;0000;0.8;26.782609;11.151724;;
83373;31/08/2015;0000;10;;11.322727;;
83373;30/09/2015;0000;44.5;31.265217;14.415385;;
83373;31/10/2015;0000;75.4;32.463333;15.92;;
83373;30/11/2015;0000;236.2;30.613333;16.553333;;
83373;31/12/2015;0000;159.5;29.741379;16.506897;;
