--------------------
BDMEP - INMET
--------------------
Esta?o           : RONDONOPOLIS - MT (OMM: 83410)
Latitude  (graus) : -16.45
Longitude (graus) : -54.56
Altitude  (metros): 284.00
Esta?o Operante
Inicio de opera?o: 01/01/1992
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83410;31/01/2000;0000;160.4;32.842857;22.207143;82.221154;
83410;29/02/2000;0000;22.9;31.827586;21.368966;88.206897;
83410;31/03/2000;0000;37.8;31.722581;21.503226;86.685484;
83410;30/04/2000;0000;35.6;32.986667;19.863333;77.55;
83410;31/05/2000;0000;5;32.016129;17.622581;76.104839;
83410;30/06/2000;0000;0;32.846667;16.386667;65.619048;
83410;31/07/2000;0000;2;31.519355;13.125806;59.596774;
83410;31/08/2000;0000;1.8;35.780645;17.770968;54.403226;
83410;30/09/2000;0000;9.7;33.313333;19.013333;69.033333;
83410;31/10/2000;0000;19.1;34.874194;20.719355;74.25;
83410;30/11/2000;0000;0;;;;
83410;31/01/2001;0000;176.4;33.203448;21.078571;86.333333;
83410;28/02/2001;0000;112.1;33.471429;21.535714;83.852273;
83410;31/03/2001;0000;171.6;32.527273;21.457143;88.173913;
83410;30/04/2001;0000;126.5;33.16;20.313333;81.571429;
83410;31/05/2001;0000;48.4;30.1;17.86;84.0125;
83410;30/06/2001;0000;0.8;30.903846;14.05;74.141304;
83410;31/07/2001;0000;0.2;33.087097;15.05;65.357143;
83410;31/08/2001;0000;8.6;35.293548;15.812903;50.193548;
83410;30/09/2001;0000;26.2;;;;
83410;31/10/2001;0000;86.4;33.805263;20.896154;;
83410;30/11/2001;0000;150.4;32.306897;21.716667;84.033333;
83410;31/12/2001;0000;229.1;31.192308;22.081818;88.727273;
83410;31/01/2002;0000;267;32.412;22.007407;82.473684;
83410;28/02/2002;0000;316;31.442857;21.65;88.75;
83410;31/03/2002;0000;166.9;32.98;;86.27;
83410;30/04/2002;0000;17;33.860714;20.978947;79.0375;
83410;31/05/2002;0000;8;32.796552;18.796429;77.685185;
83410;30/06/2002;0000;0;32.223333;15.207143;68.425;
83410;31/07/2002;0000;5;33.142308;16.672727;62.413462;
83410;31/08/2002;0000;19;34.992857;18.6;54.083333;
83410;30/09/2002;0000;14;35.666667;19.435;56.805556;
83410;31/10/2002;0000;94.2;35.632143;22.726667;65.321429;
83410;30/11/2002;0000;112.7;34.325926;22.903571;75.712963;
83410;31/12/2002;0000;194.2;32.516;22.863333;82.31;
