--------------------
BDMEP - INMET
--------------------
Esta?o           : S G DA CACHOEIRA UAUPES  - AM (OMM: 82106)
Latitude  (graus) : -0.11
Longitude (graus) : -67
Altitude  (metros): 90.00
Esta?o Operante
Inicio de opera?o: 01/04/1920
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82106;31/01/2000;0000;290.4;32.174194;21.690323;88.669355;
82106;29/02/2000;0000;215;33.041379;21.793103;87.043103;
82106;31/03/2000;0000;384.5;33.412903;21.654839;87.024194;
82106;30/04/2000;0000;221.6;32.58;21.853333;89.434783;
82106;31/05/2000;0000;500;30.570968;21.577419;89.152174;
82106;30/06/2000;0000;489.5;31.733333;21.146667;88.933333;
82106;31/07/2000;0000;192.9;30.990323;21.274194;88.233333;
82106;31/08/2000;0000;167.9;32.806452;21.593548;86.806452;
82106;30/09/2000;0000;181;33.293333;21.953333;86.9;
82106;31/10/2000;0000;296;31.703226;22.019355;87.278846;
82106;30/11/2000;0000;128.6;33.483333;22.22;86.816667;
82106;31/12/2000;0000;263.1;33.329032;21.970968;87.5;
82106;31/01/2001;0000;214.6;33.074194;21.706452;88.225806;
82106;28/02/2001;0000;179.5;32.432143;21.785714;89.098214;
82106;31/03/2001;0000;230.2;33.174194;21.777419;86.693548;
82106;30/04/2001;0000;322.4;33.38;21.956667;87.144231;
82106;31/05/2001;0000;295.2;32.187097;21.658065;89.405172;
82106;30/06/2001;0000;220.4;30.75;20.83;88.45;
82106;31/07/2001;0000;190.6;32.741935;21.493548;87.685484;
82106;31/08/2001;0000;201.7;32.906452;21.732258;87.396552;
82106;30/09/2001;0000;284.7;33.366667;21.893333;84.903846;
82106;31/10/2001;0000;82.4;35.283871;22.451613;83.548387;
82106;30/11/2001;0000;65.8;34.98;22.96;81.770833;
82106;31/12/2001;0000;326.6;33.53871;22.658065;86.096774;
82106;31/01/2002;0000;229.4;33.596774;22.948387;86.266129;
82106;28/02/2002;0000;207;33.175;23.178571;87.1;
82106;31/03/2002;0000;221;33.277419;22.625806;86.182692;
82106;30/04/2002;0000;397.6;33.373333;22.4;86.633929;
82106;31/05/2002;0000;399.9;32.139286;22.246429;87.833333;
82106;30/06/2002;0000;351.7;32.07;21.516667;89.941667;
82106;31/07/2002;0000;264.6;32.875;21.538462;86.8;
82106;31/08/2002;0000;356.1;33.176667;20.870968;87.853448;
82106;30/09/2002;0000;168.1;35.403333;21.12;83.816667;
82106;31/10/2002;0000;279.7;34.803226;21.383871;84.83871;
