--------------------
BDMEP - INMET
--------------------
Esta?o           : SALVADOR  ONDINA  - BA (OMM: 83229)
Latitude  (graus) : -13.01
Longitude (graus) : -38.53
Altitude  (metros): 51.41
Esta?o Operante
Inicio de opera?o: 01/01/1903
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83229;31/01/2000;0000;29.5;30.551613;24.335484;80.483871;
83229;29/02/2000;0000;85.3;31.048276;24.531034;80.637931;
83229;31/03/2000;0000;191.9;30.029032;24.090323;81.935484;
83229;30/04/2000;0000;365.4;28.846667;23.563333;85.308333;
83229;31/05/2000;0000;248.5;28.119355;23.122581;83.620968;
83229;30/06/2000;0000;310.5;26.9;22.493333;83.091667;
83229;31/07/2000;0000;201.1;26.422581;21.332258;83.072581;
83229;31/08/2000;0000;136.2;26.580645;21.519355;83.209677;
83229;30/09/2000;0000;161.6;27.376667;21.93;80.866667;
83229;31/10/2000;0000;15.9;29.567742;23.235484;76.330645;
83229;30/11/2000;0000;74.3;30.14;23.88;79.375;
83229;31/12/2000;0000;88;30.116129;23.890323;79.362903;
83229;31/01/2001;0000;95.2;30.212903;23.651613;78.435484;
83229;28/02/2001;0000;28.6;31.671429;24.835714;76.258929;
83229;31/03/2001;0000;264.1;30.412903;24.445161;80.870968;
83229;30/04/2001;0000;103.5;29.973333;24.353333;79.991667;
83229;31/05/2001;0000;199.2;29.183871;23.867742;84.491935;
83229;30/06/2001;0000;195.9;27.293333;22.413333;82.5;
83229;31/07/2001;0000;220.3;26.619355;21.754839;82.354839;
83229;31/08/2001;0000;149.7;26.390323;21.083871;80.596774;
83229;30/09/2001;0000;190.8;27.19;21.37;81.416667;
83229;31/10/2001;0000;202.3;28.251613;22.603226;82.303226;
83229;30/11/2001;0000;30.3;30.136667;23.223333;77.708333;
83229;31/12/2001;0000;97.4;30.170968;23.829032;78.548387;
83229;31/01/2002;0000;252.4;29.754839;23.635484;80.564516;
83229;28/02/2002;0000;102.8;30.510714;24.132143;78.222222;
83229;31/03/2002;0000;98.7;30.890323;24.296774;78.862903;
83229;30/04/2002;0000;69.3;30.186667;24.07;78.083333;
83229;31/05/2002;0000;351.6;27.970968;22.980645;81.282258;
83229;30/06/2002;0000;209.2;27.41;22.436667;84.05;
83229;31/07/2002;0000;254.8;26.651613;21.896774;86.854839;
83229;31/08/2002;0000;162.8;27.177419;21.674194;82.298387;
83229;30/09/2002;0000;258.8;27.77;22.41;84.133333;
83229;31/10/2002;0000;16;29.474194;22.95;77.709677;
83229;30/11/2002;0000;25.2;30.736667;23.356667;78.425;
83229;31/12/2002;0000;22.7;31.516129;23.919355;78.475806;
83229;31/01/2003;0000;26.7;32.36129;24.632258;77.580645;
83229;28/02/2003;0000;97.3;31.496429;24.485714;78.482143;
83229;31/03/2003;0000;206.3;30.619355;24.16129;81.677419;
83229;30/04/2003;0000;186.8;30.036667;24.226667;81.35;
83229;31/05/2003;0000;550.5;28.687097;22.854839;85.08871;
83229;30/06/2003;0000;237.5;27.466667;22.44;82.933333;
83229;31/07/2003;0000;186.5;27.019355;21.543333;79.790323;
83229;31/08/2003;0000;136.7;27.093548;21.316129;83.274194;
83229;30/09/2003;0000;168.7;27.886667;21.653333;78.966667;
83229;31/10/2003;0000;69.2;29.064516;22.803226;75.943548;
83229;30/11/2003;0000;132.8;29.76;23.403333;78.516667;
83229;31/12/2003;0000;15.2;31.416129;23.948387;75.16129;
83229;31/01/2004;0000;319.4;30.570968;23.709677;80.903226;
83229;29/02/2004;0000;165.3;30.506897;23.982759;80.474138;
83229;31/03/2004;0000;121.9;30.206452;24.012903;82.637097;
83229;30/04/2004;0000;278.4;29.423333;23.626667;83.791667;
83229;31/05/2004;0000;159.5;28.641935;22.848387;83.427419;
83229;30/06/2004;0000;326.3;27.423333;21.636667;83.008333;
83229;31/07/2004;0000;218.4;26.225806;20.690323;81.798387;
83229;31/08/2004;0000;129.5;26.690323;20.525806;82.443548;
83229;30/09/2004;0000;40.5;28.146667;21.416667;76.616667;
83229;31/10/2004;0000;82;29.248387;21.906452;80.233871;
83229;30/11/2004;0000;167.6;29.823333;22.496667;81;
83229;31/12/2004;0000;10.9;31.164516;23.403333;76.451613;
83229;31/01/2005;0000;42.9;31.777419;24.070968;78.548387;
83229;28/02/2005;0000;349.4;30.439286;23.835714;83.205357;
83229;31/03/2005;0000;349.4;31.016129;24.132258;82.604839;
83229;30/04/2005;0000;415;29.486667;23.72;85.825;
83229;31/05/2005;0000;198.2;28.73871;23.487097;85.185484;
83229;30/06/2005;0000;421.1;27.266667;22.37;88.05;
83229;31/07/2005;0000;204.1;26.609677;21.416129;83.919355;
83229;31/08/2005;0000;117.1;27.416129;21.806452;81.290323;
83229;30/09/2005;0000;50.6;28.53;22.683333;80.375;
83229;31/10/2005;0000;32.9;30.180645;23.16;76.677419;
83229;30/11/2005;0000;72.8;30.076667;23.7;78.016667;
83229;31/12/2005;0000;75.5;30.603226;23.896774;79.008065;
83229;31/01/2006;0000;40.1;31.983871;23.832258;73.951613;
