--------------------
BDMEP - INMET
--------------------
Esta?o           : SANTANA DO LIVRAMENTO - RS (OMM: 83953)
Latitude  (graus) : -30.83
Longitude (graus) : -55.6
Altitude  (metros): 328.00
Esta?o Operante
Inicio de opera?o: 01/06/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83953;31/01/2000;0000;212;31.2;17.964516;63.637097;
83953;29/02/2000;0000;128.2;28.468966;;74.491379;
83953;31/03/2000;0000;140.8;25.33871;;78.91129;
83953;30/04/2000;0000;61.1;24.423333;;82.825;
83953;31/05/2000;0000;311.7;18.764516;;86.540323;
83953;30/06/2000;0000;179.5;17.736667;;86.816667;
83953;31/07/2000;0000;93;14.390323;;80.467742;
83953;31/08/2000;0000;63.8;19.7;8.412903;72.153226;
83953;30/09/2000;0000;137.3;20.37;9.32;75.941667;
83953;31/10/2000;0000;136.1;22.625806;13.803226;81.725806;
83953;30/11/2000;0000;97.3;24.596667;14.123333;71.433333;
83953;31/12/2000;0000;55.6;29.164516;17.290323;67.612903;
83953;30/09/2001;0000;140;;;;
83953;31/10/2001;0000;158;23.074074;13.256667;84.961538;
83953;30/11/2001;0000;107;25.365517;14.01;80.017241;
83953;31/12/2001;0000;38.8;26.867857;16.657143;77;
83953;31/01/2002;0000;84.8;29.036667;17.845161;73.275;
83953;28/02/2002;0000;23.4;27.525;17.060714;79.403846;
83953;31/03/2002;0000;342.6;27.703226;19.245161;87.58871;
83953;30/04/2002;0000;416.3;21.073333;13.533333;89.330357;
83953;31/05/2002;0000;186.5;20.632258;12.945161;89.354839;
83953;30/06/2002;0000;125;16.22;7.06;86.516667;
83953;31/07/2002;0000;178;16.169231;7.303226;86.887097;
83953;31/08/2002;0000;154.5;;9.493548;81.177419;
83953;30/09/2002;0000;235.6;20.18;8.72;77.75;
83953;31/10/2002;0000;325.1;24.454839;15.077419;85.443548;
83953;30/11/2002;0000;192.4;25.476667;15.473333;74.141667;
83953;31/12/2002;0000;383.6;27.567742;17.122581;79.725806;
83953;31/01/2003;0000;57.5;30.658065;18.1;71.040323;
83953;28/02/2003;0000;355.7;29.582143;18.167857;79.330357;
83953;31/03/2003;0000;175.3;26.222581;15.322581;84.129032;
83953;30/04/2003;0000;212.8;22.41;13.233333;82.416667;
83953;31/05/2003;0000;194.6;21.045161;11.390323;81.282258;
83953;30/06/2003;0000;137.9;17.78;9.753333;91.933333;
83953;31/07/2003;0000;38.5;17.570968;7.477419;81.298387;
83953;31/08/2003;0000;130.2;18.1;6.996774;77.572581;
83953;30/09/2003;0000;102.7;20.493333;9.158621;74.008333;
83953;31/10/2003;0000;80.5;24.858065;12.641935;74.274194;
83953;30/11/2003;0000;175.3;26.553333;14.276667;73.641667;
83953;31/12/2003;0000;219.4;26.145161;14.929032;74.766129;
83953;31/01/2004;0000;35.7;30.806452;18.712903;73.008065;
83953;29/02/2004;0000;65.6;29.227586;16.768966;73.543103;
83953;31/03/2004;0000;53.6;28.5;16.316129;74.419355;
83953;30/04/2004;0000;160.7;26.31;15.653333;77.266667;
83953;31/05/2004;0000;58.3;17.470968;9.309677;84.741935;
83953;30/06/2004;0000;88.6;17.973333;9.993333;86.883333;
83953;31/07/2004;0000;66.8;17.23871;7.354839;77.524194;
83953;31/08/2004;0000;14.1;19.854839;9.403226;74.637097;
83953;30/09/2004;0000;151.5;21.2;11.766667;78.566667;
83953;31/10/2004;0000;117.1;23.606452;11.287097;71.370968;
83953;30/11/2004;0000;155.7;24.726667;14.206667;77.666667;
83953;31/12/2004;0000;91.9;28.164516;16.86129;67.870968;
83953;31/01/2005;0000;67.3;31.658065;18.677419;62.346774;
83953;28/02/2005;0000;22.8;29.957143;18.257143;68.098214;
83953;31/03/2005;0000;76.9;28.741935;16.474194;67.435484;
83953;30/04/2005;0000;167.9;21.833333;13.27;85.066667;
83953;31/05/2005;0000;161.9;20.16129;12.067742;86.483871;
83953;30/06/2005;0000;93.1;19.026667;13.136667;92.5;
83953;31/07/2005;0000;49.9;18.4;7.945161;83.733871;
83953;31/08/2005;0000;162.7;19.974194;9.103226;82.153226;
83953;30/09/2005;0000;150;17.846667;8.403333;81.858333;
83953;31/10/2005;0000;116.6;21.493548;11.574194;79.580645;
83953;30/11/2005;0000;57.7;27.663333;15.083333;66.475;
83953;31/12/2005;0000;53.7;28.545161;15.322581;64.314516;
83953;31/01/2006;0000;62.6;31.580645;19.709677;69.040323;
83953;28/02/2006;0000;22.8;32.042857;18.557143;64.8125;
83953;31/03/2006;0000;36.9;30.325806;17.858065;68.177419;
83953;30/04/2006;0000;104.1;24.956667;14.636667;72.525;
83953;31/05/2006;0000;82.1;18.106452;9.358065;79.951613;
