--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO FELIX DO XINGU - PA (OMM: 82668)
Latitude  (graus) : -6.63
Longitude (graus) : -51.96
Altitude  (metros): 206.00
Esta?o Operante
Inicio de opera?o: 07/07/1972
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82668;30/11/2003;0000;48.5;;;;
82668;31/12/2003;0000;198.2;30.954839;;85.346774;
82668;31/01/2004;0000;274.7;29.854839;;88.814516;
82668;29/02/2004;0000;347.4;28.924138;;89.215517;
82668;31/03/2004;0000;441.2;29.819355;;88.491935;
82668;30/04/2004;0000;183.5;30.978571;;85.571429;
82668;31/05/2004;0000;43.4;31.669231;;82.461538;
82668;30/06/2004;0000;22.6;31.861538;;78.615385;
82668;31/07/2004;0000;26.7;32.089474;;74.361111;
82668;31/08/2004;0000;41.4;32.419231;;76.086538;
82668;30/09/2004;0000;72.1;32.876923;;78.509615;
82668;31/10/2004;0000;300.1;31.557692;;83.576923;
82668;30/11/2004;0000;230.3;31.288462;22.622222;84.461538;
82668;31/12/2004;0000;51.4;;;;
82668;31/01/2005;0000;122.4;30.305263;23.063158;86.855263;
82668;28/02/2005;0000;304.4;30.3125;23.216667;88.15625;
82668;31/03/2005;0000;417.7;30.16;23.496;88.98;
82668;30/04/2005;0000;31.7;32.15625;23.78125;82.40625;
82668;31/05/2006;0000;126.4;30.434483;23.064;88.883929;
82668;30/06/2006;0000;0.4;32.06;21.263333;80.075;
82668;31/07/2006;0000;11.4;33.66129;20.783871;72.677419;
82668;31/08/2006;0000;15.6;35.093333;21.2;68.370968;
82668;30/09/2006;0000;83.3;33.89;23.036667;76.025;
82668;31/10/2006;0000;148.4;32.954839;23.641935;80.419355;
82668;30/11/2006;0000;157.8;31.43;23.38;84.475;
82668;31/12/2006;0000;153.6;30.948387;23.483871;86.774194;
82668;31/01/2007;0000;124.8;31.329032;23.816129;86.145161;
82668;28/02/2007;0000;373.7;29.025;23.029167;89.666667;
82668;31/03/2007;0000;333.9;30.214815;22.977778;88.62963;
