--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO GONCALO - PB (OMM: 82689)
Latitude  (graus) : -6.75
Longitude (graus) : -38.21
Altitude  (metros): 233.06
Esta?o Operante
Inicio de opera?o: 08/10/1938
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82689;31/01/2000;0000;195.6;32.13871;22.193548;73.491935;
82689;29/02/2000;0000;322.4;32.510345;21.944828;73.206897;
82689;31/03/2000;0000;206.7;31.567742;22.341935;75.25;
82689;30/04/2000;0000;157;31.273333;21.786667;75.891667;
82689;31/05/2000;0000;59.8;31.903226;20.806452;66.008065;
82689;30/06/2000;0000;35.4;31.99;21.006667;;
82689;31/07/2000;0000;63;31.932258;19.541935;;
82689;31/08/2000;0000;29.9;33.019355;20.283871;;
82689;31/03/2001;0000;358.7;32.290323;22.148387;;
82689;30/04/2001;0000;63.3;32;22.373333;;
82689;30/09/2001;0000;0;;;;
82689;31/10/2001;0000;17.1;35.464516;22.670968;53.685484;
82689;30/11/2001;0000;0;36.033333;23.813333;58.275;
82689;31/12/2001;0000;107.2;35.110345;23.757143;58.285714;
82689;31/01/2002;0000;351.4;30.74;22.193548;84.146552;
82689;28/02/2002;0000;115.2;31.62963;22.007143;79.163462;
82689;31/03/2002;0000;218.5;31.658065;22.174194;81.306452;
82689;30/04/2002;0000;152.2;31.086207;21.923333;82.396552;
82689;31/05/2002;0000;157.1;30.633333;21.446667;74.413793;
82689;30/06/2002;0000;36.1;30.766667;19.773333;64.4;
82689;31/07/2002;0000;11.2;33.148387;20.677419;50.040323;
82689;31/08/2002;0000;0.1;33.98;20.63871;54.275;
82689;30/09/2002;0000;0.6;35.013333;21.3;53.083333;
82689;31/10/2002;0000;2.2;35.96129;21.922581;51.427419;
82689;30/11/2002;0000;1;36.013333;22.613333;56.816667;
82689;31/12/2002;0000;7.4;35.825806;23.683871;59.145161;
82689;31/01/2003;0000;101.2;34.735484;22.741935;64.330645;
82689;28/02/2003;0000;266.1;31.764286;22.607143;75.026786;
82689;31/03/2003;0000;210.9;31.916129;22.554839;79.540323;
82689;30/04/2003;0000;234.7;31.546667;22.506667;78.716667;
82689;31/05/2003;0000;10.9;31.774194;21.283871;73.709677;
82689;30/06/2003;0000;10.7;32.873333;19.566667;58.308333;
82689;31/07/2003;0000;27.6;32.851613;18.954839;55.830645;
82689;31/08/2003;0000;7.3;34.303226;20.116129;53.366667;
82689;30/09/2003;0000;0.9;35.24;20.706667;55.285714;
82689;31/10/2003;0000;0;35.603226;21.425806;59.933333;
82689;30/11/2003;0000;5.2;35.76;22.313333;61;
82689;31/12/2003;0000;0;;;;
82689;31/01/2004;0000;309.7;32.248387;22.28;81.148148;
82689;29/02/2004;0000;227.9;31.242857;21.728571;86.333333;
82689;31/03/2004;0000;189.9;31.619355;21.154839;85.83871;
82689;30/04/2004;0000;99.2;32.24;21.28;84.233333;
82689;31/05/2004;0000;32.6;32.019355;20.574194;79.806452;
82689;30/06/2004;0000;120.5;30.34;19.466667;83.166667;
82689;31/07/2004;0000;27.9;31.206452;18.225806;70.333333;
82689;31/08/2004;0000;2.4;33.593548;18.974194;54.785714;
82689;31/10/2004;0000;0;35.783871;20.490323;66.935484;
82689;30/11/2004;0000;0;35.99;21.426667;66.666667;
82689;31/12/2004;0000;34.8;35.912903;21.651613;69.741935;
82689;31/01/2005;0000;42.8;34.926667;22.033333;65.433333;
