--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO JOAQUIM - SC (OMM: 83920)
Latitude  (graus) : -28.3
Longitude (graus) : -49.93
Altitude  (metros): 1415.00
Esta?o Operante
Inicio de opera?o: 01/08/1954
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83920;31/01/2000;0000;157;22.490323;13.612903;86.104839;
83920;29/02/2000;0000;162.4;21.465517;12.924138;89.155172;
83920;31/03/2000;0000;162;20.196774;11.635484;88.790323;
83920;30/04/2000;0000;135.5;19.333333;10.53;78.2;
83920;31/05/2000;0000;119.9;14.8;6.341935;84.145161;
83920;30/06/2000;0000;114.5;15.756667;8.3;81.966667;
83920;31/07/2000;0000;142.5;12.651613;2.467742;68.887097;
83920;31/08/2000;0000;84.8;16.248387;5.925806;67.25;
83920;30/09/2000;0000;232.2;16.123333;6.72;86.941667;
83920;31/10/2000;0000;281.6;19.551613;10.83871;81.774194;
83920;30/11/2000;0000;112.7;20.323333;10.683333;81.858333;
83920;31/12/2000;0000;150.2;22.345161;12.422581;81.354839;
83920;30/09/2001;0000;42.5;;;;
83920;31/10/2001;0000;253.7;19.353846;10.506897;83.096154;
83920;30/11/2001;0000;188.7;21.610345;11.863333;84.491379;
83920;31/12/2001;0000;79;21.367857;11.939286;82.62963;
83920;31/01/2002;0000;158.3;22.077419;13.329032;84.814815;
83920;28/02/2002;0000;55.2;21.335714;12.053571;83.519231;
83920;31/03/2002;0000;128.7;23.829032;15.329032;85.758065;
83920;30/04/2002;0000;118;20.206667;12.663333;89.5;
83920;31/05/2002;0000;99.3;17.151613;9.919355;85.685484;
83920;30/06/2002;0000;204.5;15.860714;8.65;87.141667;
83920;31/07/2002;0000;149.3;14.5;6.003226;78.532258;
83920;31/08/2002;0000;146.1;17.4;8.716129;78.016129;
83920;30/09/2002;0000;182.3;15.56;6.016667;77.4;
83920;31/10/2002;0000;278;20.390323;11.748387;83.669355;
83920;30/11/2002;0000;288.4;21.075;11.232143;80.416667;
83920;31/12/2002;0000;174.1;22.383333;13.193548;83.032258;
83920;31/01/2003;0000;141.3;22.825806;13.580645;84.887097;
83920;28/02/2003;0000;227.5;23.728571;15.396429;82.330357;
83920;31/03/2003;0000;128.3;21.819355;13.454839;84.427419;
83920;30/04/2003;0000;71.2;18.816667;10.066667;80.225;
83920;31/05/2003;0000;118;15.674194;7.177419;77.403226;
83920;30/06/2003;0000;102.9;16.1;9.14;86.508333;
83920;31/07/2003;0000;70.8;16.196774;8.370968;79.217742;
83920;31/08/2003;0000;46.6;14.993548;4.254839;70.120968;
83920;30/09/2003;0000;82.5;17.883333;6.992857;76.541667;
83920;31/10/2003;0000;137.7;19.677419;9.393548;83.846774;
83920;30/11/2003;0000;126.6;20.106667;10.44;79.283333;
83920;31/12/2003;0000;325.1;20.477419;11.619355;85.766129;
83920;31/01/2004;0000;92.9;22.16129;12.806452;86.685484;
83920;29/02/2004;0000;53.5;21.262069;11.655172;84.439655;
83920;31/03/2004;0000;128.7;21.387097;11.574194;86;
83920;30/04/2004;0000;82.1;20.123333;11.806667;88.216667;
83920;31/05/2004;0000;97.4;13.683871;6.089655;91.572581;
83920;30/06/2004;0000;46;15.996667;7.823333;78.241667;
83920;31/07/2004;0000;124;13.332258;5.093333;82.58871;
83920;31/08/2004;0000;41.6;17.206452;6.606452;73.725806;
83920;30/09/2004;0000;245.7;19.103333;10.13;78.233333;
83920;31/10/2004;0000;88.3;18.487097;7.996667;78.685484;
83920;30/11/2004;0000;84.5;19.93;10.503333;83.166667;
83920;31/12/2004;0000;38;20.806452;11.36129;80.91129;
83920;31/01/2005;0000;89.4;23.883871;13.041935;83.193548;
83920;28/02/2005;0000;120.1;22.360714;12.55;85.303571;
83920;31/03/2005;0000;165.3;22.512903;12.619355;82.991935;
83920;30/04/2005;0000;103.7;19.216667;10.88;87.525;
83920;31/05/2005;0000;146.9;17.36129;8.922581;80.758065;
83920;30/06/2005;0000;85.7;16.643333;9.253333;88.241667;
83920;31/07/2005;0000;89.7;13.3;4.996667;80.298387;
83920;31/08/2005;0000;130.8;17.590323;8.564516;76.685484;
83920;30/09/2005;0000;169.1;13.586667;5.686667;90.358333;
83920;31/10/2005;0000;269.2;18.532258;10.103226;87.822581;
83920;30/11/2005;0000;97.2;20.713333;10.34;76.458333;
83920;31/12/2005;0000;114.8;21.070968;10.770968;85.75;
83920;31/01/2006;0000;155.1;23.86129;13.932258;84.951613;
83920;28/02/2006;0000;54.2;23.035714;13.639286;84.866071;
83920;31/03/2006;0000;40.3;22.380645;13.087097;84.516129;
83920;30/04/2006;0000;53.4;18.673333;9.136667;83.1;
83920;31/05/2006;0000;57.5;13.874194;5.758065;87.08871;
83920;30/06/2006;0000;121.9;15.056667;7.64;85.941667;
83920;31/07/2006;0000;129.7;16.896774;8.6;81;
83920;31/08/2006;0000;197.2;16.593548;7.141935;73.032258;
83920;30/09/2006;0000;90.8;16.44;6.513333;76.175;
83920;31/10/2006;0000;103.9;20.725806;10.422581;81.572581;
83920;30/11/2006;0000;250.9;19.556667;10.266667;80.208333;
83920;31/12/2006;0000;121.9;23.816129;13.787097;77.854839;
83920;31/01/2007;0000;114;23.145161;13.719355;83.669355;
83920;28/02/2007;0000;192.8;22.332143;13.310714;85.107143;
83920;31/03/2007;0000;230.3;23.448387;14.893548;84.064516;
83920;30/04/2007;0000;79.4;20.19;11.71;85.841667;
83920;31/05/2007;0000;259.4;13.422581;6.06129;89.064516;
83920;30/06/2007;0000;82.1;15.626667;7.5;79.891667;
83920;31/07/2007;0000;338.2;13.290323;4.13871;80.580645;
83920;31/08/2007;0000;148.5;16.748387;6;78.870968;
83920;30/09/2007;0000;262.5;19.8;10.023333;74.158333;
83920;31/10/2007;0000;169.9;20.23871;11.006452;82.467742;
83920;30/11/2007;0000;208.3;19.563333;9.57;79.808333;
83920;31/12/2007;0000;162.6;23.219355;12.345161;80.854839;
83920;31/01/2008;0000;196.2;21.048387;12.583871;86.435484;
83920;29/02/2008;0000;195.8;21.872414;12.237931;85.163793;
83920;31/03/2008;0000;160.3;20.825806;12.306452;87.314516;
83920;30/04/2008;0000;214.6;18.323333;9.383333;83.933333;
83920;31/05/2008;0000;129.5;16.248387;7.064516;77;
83920;30/06/2008;0000;201.9;13.486667;4.55;80.558333;
83920;31/07/2008;0000;53.1;17.33871;8.345161;73.387097;
83920;31/08/2008;0000;129.9;16.596774;7.674194;77.08871;
83920;30/09/2008;0000;248.1;15.283333;5.226667;81.391667;
83920;31/10/2008;0000;382.8;17.529032;9.619355;85.677419;
83920;30/11/2008;0000;238.3;18.59;10.726667;87.241667;
