--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO LUIZ GONZAGA - RS (OMM: 83907)
Latitude  (graus) : -28.4
Longitude (graus) : -55.01
Altitude  (metros): 245.11
Esta?o Operante
Inicio de opera?o: 01/04/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83907;31/01/2000;0000;93.7;32.848387;20.348387;63.774194;
83907;29/02/2000;0000;81.1;32.57931;19.403448;63.525862;
83907;31/03/2000;0000;411.5;29.770968;17.264516;73.669355;
83907;30/04/2000;0000;156.4;27.273333;16.983333;73.983333;
83907;31/05/2000;0000;193.7;22.474194;11.780645;74.935484;
83907;30/06/2000;0000;336;20.89;13.036667;81.183333;
83907;31/07/2000;0000;81.6;17.735484;7.048387;72.169355;
83907;31/08/2000;0000;80;23.36129;11.229032;65.209677;
83907;30/09/2000;0000;129.7;24.416667;12.463333;70.666667;
83907;31/10/2000;0000;309;28.158065;16.893548;74.540323;
83907;30/11/2000;0000;130.4;29.416667;15.946667;64.983333;
83907;31/12/2000;0000;227;31.490323;18.635484;66.024194;
83907;30/09/2001;0000;65;;;;
83907;31/10/2001;0000;103.1;29.754545;16.57;71.038462;
83907;30/11/2001;0000;60.3;31.093103;18.14;69.801724;
83907;31/12/2001;0000;46;31.351852;18.921429;67.826923;
83907;31/01/2002;0000;96.5;32.596774;19.777419;62.508333;
83907;28/02/2002;0000;141;31.328571;19.246429;70.865385;
83907;31/03/2002;0000;297.8;31.225806;21.696774;80.951613;
83907;30/04/2002;0000;245.9;27.136667;17.29;81.172414;
83907;31/05/2002;0000;189.6;24.496774;15.690323;81.209677;
83907;30/06/2002;0000;102.4;20.053333;11.47;80.641667;
83907;31/07/2002;0000;201.1;19.806452;10.732258;80.637097;
83907;31/08/2002;0000;220.3;23.109677;13.496667;76.798387;
83907;30/09/2002;0000;278;23.16;11.633333;71.491667;
83907;31/10/2002;0000;538.3;26.809677;17.470968;80.758065;
83907;30/11/2002;0000;208.6;29.046667;17.823333;72.816667;
83907;31/12/2002;0000;345.5;30.774194;19.935484;73.354839;
83907;31/01/2003;0000;155.6;33.364516;20.532258;69.782258;
83907;28/02/2003;0000;225.7;31.385714;20.988889;74.625;
83907;31/03/2003;0000;134.1;29.329032;19.025806;80.322581;
83907;30/04/2003;0000;233.1;26.743333;15.28;74.016667;
83907;31/05/2003;0000;59.1;24.080645;12.896774;70.782258;
83907;30/06/2003;0000;99.1;23.823333;14.746667;80.283333;
83907;31/07/2003;0000;50.8;20.716129;10.793548;76.879032;
83907;31/08/2003;0000;97.9;21.864516;9.580645;67.822581;
83907;30/09/2003;0000;66.4;25.55;12.52;65.7;
83907;31/10/2003;0000;167.7;29.5;15.983871;65.612903;
83907;30/11/2003;0000;206.4;29.77931;16.476667;65.533333;
83907;31/12/2003;0000;368.7;29.929032;17.854839;69.677419;
83907;31/01/2004;0000;45.3;33.864516;19.948387;66.75;
83907;29/02/2004;0000;20.8;32.665517;18.362069;60.922414;
83907;31/03/2004;0000;33.3;32.9;17.719355;64.467742;
83907;30/04/2004;0000;208.8;29.83;17.876667;74.366667;
83907;31/05/2004;0000;50.4;20.158065;11.629032;85.758065;
83907;30/06/2004;0000;54.7;22.983333;13.006667;80.233333;
83907;31/07/2004;0000;85.6;20.883871;10.093548;75.758065;
83907;31/08/2004;0000;56.4;22.806452;11.551613;72.451613;
83907;30/09/2004;0000;91.1;25.866667;14.986667;73.375;
83907;31/10/2004;0000;174.7;28.487097;13.677419;64.193548;
83907;30/11/2004;0000;193.3;28.176667;15.986667;72.866667;
83907;31/12/2004;0000;108.5;32.222581;18.851613;65.314516;
83907;31/01/2005;0000;112.2;34.519355;20.054839;66.919355;
83907;28/02/2005;0000;78.3;33.332143;19.325;69.232143;
83907;31/03/2005;0000;79.9;32.803226;19.093548;68.177419;
83907;30/04/2005;0000;338.1;25.94;16.176667;81.883333;
83907;31/05/2005;0000;289.3;24.158065;15.16129;79.725806;
83907;30/06/2005;0000;392.2;22.903333;15.496667;85.833333;
83907;31/07/2005;0000;71.3;21.106452;10.416129;74.806452;
83907;31/08/2005;0000;137.4;23.906452;12.254839;69.685484;
83907;30/09/2005;0000;140.4;20.81;10.48;76.066667;
83907;31/10/2005;0000;342;25.6;15.019355;77.790323;
83907;30/11/2005;0000;94.3;31.606667;17.306667;60.033333;
83907;31/12/2005;0000;189.1;32.43871;18.164516;60.137097;
83907;31/01/2006;0000;84.4;33.812903;21.3;67.709677;
83907;28/02/2006;0000;63.6;33.196429;19.575;65.669643;
83907;31/03/2006;0000;179.6;31.087097;19.3;71.346774;
83907;30/04/2006;0000;104.2;27.736667;15.453333;69.558333;
83907;31/05/2006;0000;21.7;23.16129;10.451613;73.419355;
83907;30/06/2006;0000;102.3;22.776667;13.053333;79.025;
83907;31/07/2006;0000;96;24.36129;14.258065;75.177419;
83907;31/08/2006;0000;83.4;24.209677;11.703226;66.66129;
83907;30/09/2006;0000;165.6;24.71;11.943333;67.991667;
83907;31/10/2006;0000;263.6;30.093548;16.948387;69;
83907;30/11/2006;0000;255.3;29.793333;16.813333;66.225;
83907;31/12/2006;0000;172.4;33.822581;20.43871;65.637097;
83907;31/01/2007;0000;244;32.309677;20.541935;72.548387;
83907;28/02/2007;0000;164.1;32.235714;19.95;71.723214;
83907;31/03/2007;0000;155.1;32.058065;20.403226;74.564516;
83907;30/04/2007;0000;268.8;28.593333;17.653333;76;
83907;31/05/2007;0000;205.4;21.064516;10.251613;77.556452;
83907;30/06/2007;0000;53;21.73;12.086667;73.55;
83907;31/07/2007;0000;118.2;18.83871;8.096774;74.016129;
83907;31/08/2007;0000;51.6;20.793548;10.093548;75.733871;
83907;30/09/2007;0000;367.1;26.616667;15.73;69.8;
83907;31/10/2007;0000;222.9;27.954839;17.287097;74.096774;
83907;30/11/2007;0000;164.5;29.336667;15.163333;61.733333;
83907;31/12/2007;0000;105.4;33.364516;19.516129;61.814516;
83907;31/01/2008;0000;140.1;32.141935;20.051613;67.508065;
83907;29/02/2008;0000;136.9;32.268966;19.506897;67.310345;
83907;31/03/2008;0000;53.3;30.412903;18.545161;73.104839;
83907;30/04/2008;0000;195.2;26.743333;14.966667;72.9;
83907;31/05/2008;0000;89.4;22.454839;11.664516;76.516129;
83907;30/06/2008;0000;189;18.706667;9.473333;79.891667;
83907;31/07/2008;0000;50.9;23.574194;14.170968;76.120968;
83907;31/08/2008;0000;132.5;22.690323;11.277419;77.862903;
83907;30/09/2008;0000;80.9;22.75;10.713333;70.625;
83907;31/10/2008;0000;483.5;26.041935;15.467742;75.75;
83907;30/11/2008;0000;47.9;31.116667;17.483333;63.575;
83907;31/12/2008;0000;40.3;33.006452;18.948387;59.709677;
83907;31/01/2009;0000;126.3;31.512903;18.951613;67.879032;
83907;28/02/2009;0000;131.7;31.921429;20.289286;72.651786;
83907;31/03/2009;0000;44;31.654839;18.883871;72.556452;
83907;30/04/2009;0000;7.5;30.493333;15.47;65.158333;
83907;31/05/2009;0000;156.1;24.619355;14.229032;73.725806;
83907;30/06/2009;0000;102;18.876667;8.17;79.066667;
83907;31/07/2009;0000;122.1;17.567742;7.464516;76.137097;
83907;31/08/2009;0000;193.7;23.53871;12.8;72.580645;
83907;30/09/2009;0000;224.9;22.716667;12.686667;79.183333;
83907;31/10/2009;0000;176.3;27.948387;14.9;68.58871;
83907;30/11/2009;0000;672.2;30.463333;20.156667;78.341667;
83907;31/12/2009;0000;214.5;31.93871;19.803226;72.475806;
83907;31/01/2010;0000;399.1;32.225806;20.551613;76.258065;
83907;28/02/2010;0000;244.5;32.764286;21.960714;75.330357;
83907;31/03/2010;0000;93.3;31.406452;19.529032;73.274194;
83907;30/04/2010;0000;150.6;26.99;15.816667;70.025;
83907;31/05/2010;0000;138.6;21.280645;11.6;82.596774;
83907;30/06/2010;0000;73.3;21.493333;11.513333;77.316667;
83907;31/07/2010;0000;217.6;20.570968;9.816129;77.177419;
83907;31/08/2010;0000;13.6;22.035484;10.783871;71.451613;
83907;30/09/2010;0000;279.2;23.84;12.943333;77.308333;
83907;31/10/2010;0000;118;26.270968;13.954839;65.387097;
83907;30/11/2010;0000;48.6;29.943333;16.123333;57.25;
83907;31/12/2010;0000;231.4;31.890323;19.129032;64.903226;
83907;31/01/2011;0000;108.2;33.393548;21.477419;71.209677;
83907;28/02/2011;0000;193;30.492857;20.871429;80.241071;
83907;31/03/2011;0000;141.4;30.712903;18.425806;70.08871;
83907;30/04/2011;0000;178.2;27.893333;16.233333;71.925;
83907;31/05/2011;0000;82.5;22.477419;13.006452;77.16129;
83907;30/06/2011;0000;145.7;18.986667;10.55;79.2;
83907;31/07/2011;0000;162.9;19.293548;10.522581;76.854839;
83907;31/08/2011;0000;150;21.535484;11.383871;73.91129;
83907;30/09/2011;0000;90.1;25.216667;12.753333;66.191667;
83907;31/10/2011;0000;237.1;27.354839;15.019355;69.669355;
83907;30/11/2011;0000;82.7;30.473333;17.483333;59.175;
83907;31/12/2011;0000;38.3;32.045161;18.16129;57.056452;
83907;31/01/2012;0000;49.4;34.848387;20.022581;56.379032;
83907;29/02/2012;0000;48.7;34.972414;22.255172;61.534483;
83907;31/03/2012;0000;62.9;32.096774;18.251613;58.701613;
83907;30/04/2012;0000;94.2;27.323333;15.22;69.575;
83907;31/05/2012;0000;16.2;25.809677;13.954839;65.637097;
83907;30/06/2012;0000;59.8;21.25;11.556667;75.808333;
83907;31/07/2012;0000;81.1;19.809677;8.974194;74.298387;
83907;31/08/2012;0000;82.2;25.574194;15.429032;70.362903;
83907;30/09/2012;0000;113.4;25.72;14.38;67.908333;
83907;31/10/2012;0000;454.4;26.625806;16.854839;76.104839;
83907;30/11/2012;0000;67.2;32.22;18.133333;57.916667;
83907;31/12/2012;0000;348.1;31.4;20.248387;72.491935;
83907;31/01/2013;0000;198.3;31.593548;18.53871;66.25;
83907;28/02/2013;0000;160.3;31.246429;19.446429;73.642857;
83907;31/03/2013;0000;268.4;27.23871;16.609677;77.185484;
83907;30/04/2013;0000;273;27.71;15.446667;71.825;
83907;31/05/2013;0000;141.4;22.6;12.658065;77.516129;
83907;30/06/2013;0000;55.5;20.466667;11.64;83.408333;
83907;31/07/2013;0000;157.2;20.7;10.303226;75.217742;
83907;31/08/2013;0000;111.6;19.754839;8.725806;73.16129;
83907;30/09/2013;0000;104.2;23.593333;12.986667;73.091667;
83907;31/10/2013;0000;179;27.729032;15.1;67.427419;
83907;30/11/2013;0000;139.9;30.97;18.07;64.466667;
83907;31/12/2013;0000;179.1;33.503226;20.629032;66.66129;
83907;31/01/2014;0000;203.9;33.129032;21.706452;70.903226;
83907;28/02/2014;0000;118.3;33.321429;21.65;67.910714;
83907;31/03/2014;0000;170.9;29.51;17.5;73.604839;
83907;30/04/2014;0000;104.4;27.33;16.396667;75.775;
83907;31/05/2014;0000;329.8;22.729032;12.754839;82.693548;
83907;30/06/2014;0000;241.2;19.83;11.913333;84.95;
83907;31/07/2014;0000;167.7;21.967742;11.558065;77.701613;
83907;31/08/2014;0000;56.2;24.622581;12.077419;70.064516;
83907;30/09/2014;0000;284.8;24.433333;15.32;80.808333;
83907;31/10/2014;0000;253.5;29.13871;17.583871;71.556452;
83907;30/11/2014;0000;64.6;31.243333;18.363333;63.6;
83907;31/12/2014;0000;368.8;30.929032;19.748387;70.701613;
83907;31/01/2015;0000;316.5;31.545161;20.877419;79.056452;
83907;28/02/2015;0000;80;31.75;20.332143;76.116071;
83907;31/03/2015;0000;140.5;31.445161;19.035484;75.233871;
83907;30/04/2015;0000;210.9;28.336667;16.473333;73.383333;
83907;31/05/2015;0000;194.4;23.606452;14.358065;79.741935;
83907;30/06/2015;0000;265.1;21.69;12.78;79.258333;
83907;31/07/2015;0000;139.7;20.203226;12.225806;82.782258;
83907;31/08/2015;0000;64.4;26.512903;16.680645;68.790323;
83907;30/09/2015;0000;111;25.976667;14.32;70.35;
83907;31/10/2015;0000;203.1;26.551613;16.496774;74.846774;
83907;30/11/2015;0000;354.4;28.043333;17.373333;73.4;
83907;31/12/2015;0000;778.8;29.551613;20.648387;78.822581;
