--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO MATEUS - ES (OMM: 83550)
Latitude  (graus) : -18.7
Longitude (graus) : -39.85
Altitude  (metros): 25.04
Esta?o Operante
Inicio de opera?o: 26/06/1969
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83550;31/01/2000;0000;141.4;31.274194;22.087097;82.733871;
83550;29/02/2000;0000;144.5;31.968966;22.32069;82.844828;
83550;31/03/2000;0000;200;31.103226;22.122581;84.830645;
83550;30/04/2000;0000;175.8;29.42;21.076667;85.125;
83550;31/05/2000;0000;74.9;28.303226;19.329032;83.766129;
83550;30/06/2000;0000;51.2;28.12;17.65;83.1;
83550;31/07/2000;0000;80.7;26.177419;17.43871;83.475806;
83550;31/08/2000;0000;26.7;27.593548;17.393548;80.483871;
83550;30/09/2000;0000;305.9;27.593333;18.646667;83.383333;
83550;31/10/2000;0000;42;29.958065;19.822581;80.532258;
83550;30/11/2000;0000;573.1;29.25;21.556667;85.541667;
83550;31/12/2000;0000;247;30.574194;22.180645;84.274194;
83550;31/01/2001;0000;124.6;31.103226;22.090323;80.193548;
83550;28/02/2001;0000;46.1;33.3;22.767857;77.482143;
83550;31/03/2001;0000;96.1;32.587097;22.383871;81.346774;
83550;30/04/2001;0000;62.1;31.98;21.34;81.108333;
83550;31/05/2001;0000;166.3;29.758065;20.445161;82.83871;
83550;30/06/2001;0000;46.9;28.293333;18.666667;84.6;
83550;31/07/2001;0000;31.4;;;;
83550;31/08/2001;0000;111.7;;;;
83550;30/09/2001;0000;87.8;;;;
83550;31/10/2001;0000;272.9;27.303846;19.825926;85.697917;
83550;30/11/2001;0000;504.8;29.71;22.196667;86.458333;
83550;31/12/2001;0000;178.3;30.238462;22.275;85.385417;
83550;31/01/2002;0000;313.9;31.013333;23.064516;84;
83550;28/02/2002;0000;153.2;31.26;22.471429;85.9;
83550;31/03/2002;0000;90.7;32.386667;22.767742;83.301724;
83550;30/04/2002;0000;97.9;31.506897;21.743333;82.910714;
83550;31/05/2002;0000;72.3;30.370968;19.941935;80.854839;
83550;30/06/2002;0000;67.7;29.743333;19.106667;83.766667;
83550;31/07/2002;0000;40.7;28.303226;18.264516;83.33871;
83550;31/08/2002;0000;80.2;29.354839;18.390323;80.169355;
83550;30/09/2002;0000;146.9;27.57;19.083333;82.625;
83550;31/10/2002;0000;45.9;30.193548;20.016129;77.798387;
83550;30/11/2002;0000;174.4;30.2;21.46;79.016667;
83550;31/12/2002;0000;153.3;31.545161;22.564516;80.741935;
83550;31/01/2003;0000;310.6;32.106452;23.145161;82.774194;
83550;28/02/2003;0000;33.5;33.853571;22.775;76.928571;
83550;31/03/2003;0000;26.3;34.051613;22.751613;77.233871;
83550;30/04/2003;0000;98.7;32.173333;21.7;80.958333;
83550;31/05/2003;0000;44.3;29.741935;19.783871;79.669355;
83550;30/06/2003;0000;2.4;30.82;17.883333;78.9;
83550;31/07/2003;0000;116.6;28.541935;17.467742;80.919355;
83550;31/08/2003;0000;21.5;28.06129;18.019355;80.362903;
83550;30/09/2003;0000;32.7;29.4;18.84;78.625;
83550;31/10/2003;0000;149.2;29.480645;19.403226;75.41129;
83550;30/11/2003;0000;42.4;30.38;21.31;79.583333;
83550;31/12/2003;0000;241.4;31.845161;22.190323;80.612903;
83550;31/01/2004;0000;253.7;30.53871;22.583871;85.048387;
83550;29/02/2004;0000;160.1;31.803448;22.389655;82.224138;
83550;31/03/2004;0000;313.3;30.383871;22.003226;86.072581;
83550;30/04/2004;0000;172.7;30.36;21.413333;86.2;
83550;31/05/2004;0000;104.7;29.954839;20.177419;84.887097;
83550;30/06/2004;0000;137.8;27.886667;18.65;86.408333;
83550;31/07/2004;0000;150.5;26.825806;17.696774;84.387097;
83550;31/08/2004;0000;22.4;28.374194;17.335484;81.967742;
83550;30/09/2004;0000;24.7;29.45;18.03;76.608333;
83550;31/10/2004;0000;62.6;29.764516;19.935484;78.564516;
83550;30/11/2004;0000;84.2;30.596667;21.366667;80.341667;
83550;31/12/2004;0000;278.2;31.090323;22.022581;83.733871;
83550;31/01/2005;0000;59.9;33.180645;23.067742;81.185484;
83550;28/02/2005;0000;213.8;32.457143;22.364286;82.383929;
83550;31/03/2005;0000;389.7;32.235484;23.064516;84.741935;
83550;30/04/2005;0000;45.5;28.72;21.756667;83.15;
83550;31/05/2005;0000;99;30.251613;20.158065;83.879032;
83550;30/06/2005;0000;167.1;28.04;19.32;86.941667;
83550;31/07/2005;0000;23.4;28.316129;17.125806;82.572581;
83550;31/08/2005;0000;100.2;29.364516;18.780645;82.024194;
83550;30/09/2005;0000;132.6;28.69;19.556667;82.45;
83550;31/10/2005;0000;21.5;31.741935;20.358065;77.41129;
83550;30/11/2005;0000;259.4;28.763333;21.09;84.666667;
83550;31/12/2005;0000;161.8;30.703226;21.693548;82.379032;
83550;31/01/2006;0000;38.9;32.425806;22.145161;82.580645;
83550;28/02/2006;0000;9.1;34.667857;23.003571;80.866071;
83550;31/03/2006;0000;255.6;32.632258;23.019355;83.008065;
83550;30/04/2006;0000;62.5;31.04;21.556667;83.741667;
83550;31/05/2006;0000;2.6;29.774194;18.732258;78.758065;
83550;30/06/2006;0000;74.8;28.016667;17.573333;80.125;
83550;31/07/2006;0000;62.7;27.290323;16.464516;83.403226;
83550;31/08/2006;0000;49.3;27.845161;17.974194;81.830645;
83550;30/09/2006;0000;69.4;27.756667;18.38;80.191667;
83550;31/10/2006;0000;233.5;28.180645;20.883871;83.83871;
83550;30/11/2006;0000;341.8;29.126667;21.543333;86.008333;
83550;31/12/2006;0000;344.7;30.277419;22.732258;84.564516;
83550;31/01/2007;0000;46.4;32.629032;23.254839;85.322581;
83550;28/02/2007;0000;301.5;31.307143;22.621429;86.3125;
83550;31/03/2007;0000;85.4;32.903226;22.519355;79.774194;
83550;30/04/2007;0000;223.2;31.993333;21.806667;82.141667;
83550;31/05/2007;0000;25;29.941935;19.464516;80.080645;
83550;30/06/2007;0000;4.3;29.84;17.813333;81.4;
83550;31/07/2007;0000;21.5;29.054839;17.941935;80.354839;
83550;31/08/2007;0000;63.8;28.432258;17.751613;79.822581;
83550;30/09/2007;0000;77.8;28.216667;18.136667;76.85;
83550;31/10/2007;0000;18.4;30.370968;19.974194;75.258065;
83550;30/11/2007;0000;103.4;31.916667;21.51;74.55;
83550;31/12/2007;0000;149;31.232258;22.058065;79.137097;
83550;31/01/2008;0000;145.5;30.935484;21.664516;81.072581;
83550;29/02/2008;0000;156.5;32.248276;22.306897;81.327586;
83550;31/03/2008;0000;139.1;32.335484;22.667742;82.104839;
83550;30/04/2008;0000;88;32.683333;22.403333;82.216667;
83550;31/05/2008;0000;39.4;30.067742;19.364516;82.419355;
83550;30/06/2008;0000;29.6;28.896667;18.456667;80.85;
83550;31/07/2008;0000;26.5;27.870968;16.574194;84.080645;
83550;31/08/2008;0000;50.2;29.5;18.132258;79.314516;
83550;30/09/2008;0000;11.6;28.958621;18.883333;78.783333;
83550;31/10/2008;0000;67.3;30.370968;20.854839;78.056452;
83550;30/11/2008;0000;526.8;29.086667;21.763333;83.975;
83550;31/12/2008;0000;163.5;30.322581;21.935484;83.467742;
83550;31/01/2009;0000;231.9;31.548387;22.903226;82.306452;
83550;28/02/2009;0000;46;32.875;23.539286;78.196429;
83550;31/03/2009;0000;126.5;33.532258;23.209677;;
83550;30/04/2009;0000;168.5;31.443333;22.146667;87;
83550;31/05/2009;0000;14.2;29.790323;19.629032;82.879032;
83550;30/06/2009;0000;55.2;28.263333;18.733333;83.291667;
83550;31/07/2009;0000;34.2;29.3;18.745161;82.701613;
83550;31/08/2009;0000;51.7;28.764516;18.83871;80.725806;
83550;30/09/2009;0000;33.8;31.196667;20.486667;78.033333;
83550;31/10/2009;0000;281;30.535484;21.519355;82.120968;
83550;30/11/2009;0000;127.5;31.316667;22.303333;76.733333;
83550;31/12/2009;0000;29;33.245161;22.912903;75.548387;
83550;31/01/2010;0000;7.6;34.041935;23.319355;72.040323;
83550;28/02/2010;0000;31.4;34.128571;23.796429;74.776786;
83550;31/03/2010;0000;271.8;33.219355;23.577419;81.008065;
83550;30/04/2010;0000;146.4;30.63;21.8;81.816667;
83550;31/05/2010;0000;110.9;29.716129;20.254839;;
83550;30/06/2010;0000;39.6;27.676667;17.833333;;
83550;31/08/2010;0000;8.9;27.76129;16.690323;;
83550;30/09/2010;0000;29.8;29.196667;18.616667;75.5;
83550;31/10/2010;0000;107.4;28.513333;20.612903;;
83550;30/11/2010;0000;174.3;29.406667;21.446667;84.016667;
83550;31/12/2010;0000;105;32.245161;22.396774;79.459677;
83550;31/01/2011;0000;84.8;32.058065;22.719355;79.080645;
83550;28/02/2011;0000;87.4;33.417857;22.660714;76.955357;
83550;31/03/2011;0000;214;31.645161;22.970968;83.08871;
83550;30/04/2011;0000;271.2;30.886667;22.103333;84.283333;
83550;31/05/2011;0000;41.8;29.280645;19.116129;77.951613;
83550;30/06/2011;0000;29.5;28.276667;18.303333;80.375;
83550;31/07/2011;0000;120.7;27.967742;17.309677;;
83550;31/08/2011;0000;18.8;28.641935;18.019355;79.217742;
83550;30/09/2011;0000;33.8;28.19;17.366667;72.658333;
83550;31/10/2011;0000;213.3;28.2;20.46129;82.016129;
83550;30/11/2011;0000;193.8;28.213333;20.233333;81.3;
83550;31/12/2011;0000;127.6;30.222581;22.067742;81.895161;
83550;31/01/2012;0000;122.5;31.187097;22.587097;81.040323;
83550;29/02/2012;0000;103;32.1;21.965517;77.112069;
83550;31/03/2012;0000;36.8;32.36129;21.922581;76.862903;
