--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO S DO PARAISO - MG (OMM: 83631)
Latitude  (graus) : -20.91
Longitude (graus) : -47.11
Altitude  (metros): 820.00
Esta?o Operante
Inicio de opera?o: 29/04/1945
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83631;31/01/2000;0000;529.7;28.896552;18.337931;82.155172;
83631;29/02/2000;0000;258;28.410345;18.224138;83.62931;
83631;31/03/2000;0000;186.2;28.558065;17.793548;81.145161;
83631;30/04/2000;0000;34.9;28.53;14.613333;72.675;
83631;31/05/2000;0000;2;26.341935;11.780645;70.443548;
83631;30/06/2000;0000;0;26.746667;11;63.166667;
83631;31/07/2000;0000;26.6;25.187097;8.874194;60.274194;
83631;31/08/2000;0000;33;27.893548;13.164516;55.774194;
83631;30/09/2000;0000;108.9;26.85;15.223333;70.791667;
83631;31/10/2000;0000;68.9;32.135484;17.054839;58.524194;
83631;30/11/2000;0000;264.1;28.026667;17.503333;75.55;
83631;31/12/2000;0000;321.3;29.151613;18.377419;79.33871;
83631;31/01/2001;0000;142.9;29.893548;17.783871;77.717742;
83631;28/02/2001;0000;88.9;30.882143;18.321429;74.633929;
83631;31/03/2001;0000;187;29.896774;17.548387;77.08871;
83631;30/04/2001;0000;37;30.696667;16.103333;71.941667;
83631;31/05/2001;0000;74.2;25.974194;12.567742;71.943548;
83631;30/06/2001;0000;2.8;25.783333;11.593333;70.4;
83631;31/07/2001;0000;41.2;27.590323;11.545161;63.653226;
83631;31/08/2001;0000;30.8;26.887097;11.629032;59.580645;
83631;30/09/2001;0000;62.6;28.046667;14.433333;63.966667;
83631;31/10/2001;0000;114.1;28.864516;16.058065;65.806452;
83631;30/11/2001;0000;255.8;29.3;17.506667;73.958333;
83631;31/12/2001;0000;408.5;26.816129;16.506452;80.564516;
83631;31/01/2002;0000;280.1;28.470968;17.535484;79.419355;
83631;28/02/2002;0000;537.6;28.035714;18.157143;82.142857;
83631;31/03/2002;0000;123.5;30.812903;18.016129;75.830645;
83631;30/04/2002;0000;4.6;31.48;15.913333;69.308333;
83631;31/05/2002;0000;0;;;;
83631;30/06/2002;0000;0;;;;
83631;31/07/2002;0000;0;;;;
83631;31/08/2002;0000;0;;;;
83631;30/09/2002;0000;0;;;;
83631;31/01/2003;0000;647.2;28.093548;19.177419;86.435484;
83631;28/02/2003;0000;148.4;31.353571;17.382143;75.758929;
83631;31/03/2003;0000;228.5;29.564516;17.854839;79.322581;
83631;30/04/2003;0000;122.7;29.193333;15.54;73.75;
83631;31/08/2003;0000;45.3;27.73871;11.593548;61.177419;
83631;30/09/2003;0000;26.8;30.21;14.76;53.333333;
83631;31/10/2003;0000;72.2;30.629032;16.951613;58.064516;
83631;30/11/2003;0000;235.2;29.03;17.213333;72.541667;
83631;31/12/2003;0000;393.7;29.803226;18.867742;76.709677;
83631;31/01/2004;0000;359.3;28.922581;18.635484;77.451613;
83631;29/02/2004;0000;365.1;27.965517;17.596552;78.25;
83631;31/03/2004;0000;27.4;29.529032;16.258065;73.556452;
83631;30/04/2004;0000;152.7;28.506667;16.683333;77.1;
83631;31/05/2004;0000;116.6;25.412903;12.887097;77.782258;
83631;30/06/2004;0000;90.3;25.023333;11.51;74.383333;
83631;31/07/2004;0000;32.6;24.490323;11.032258;72.685484;
83631;31/08/2004;0000;0;28.280645;11.283871;55.58871;
83631;30/09/2004;0000;9.4;32.466667;15.433333;43.816667;
83631;31/10/2004;0000;282.7;28.074194;16.367742;67.774194;
83631;30/11/2004;0000;199.2;28.816667;17.546667;70.725;
83631;31/12/2004;0000;281.3;28.867742;17.903226;74.41129;
83631;31/01/2005;0000;348.9;29.125806;19.487097;78.25;
83631;28/02/2005;0000;102.7;30.525;17.132;68.481481;
83631;31/03/2005;0000;;;;73.556452;
83631;30/04/2005;0000;69.8;30.016667;16.89;70.85;
83631;31/05/2005;0000;202.4;26.358065;13.312903;73.104839;
83631;30/06/2005;0000;14.1;25.74;12.99;72.05;
83631;31/07/2005;0000;38;24.893548;11.254839;70.05;
83631;31/08/2005;0000;3.6;28.912903;11.919355;58.532258;
83631;30/09/2005;0000;75.7;28.383333;16.05;67.25;
83631;31/10/2005;0000;95.3;31.16129;18.377419;65.330645;
83631;30/11/2005;0000;294.1;28.146667;17.606667;76.6;
83631;31/12/2005;0000;161.3;27.454839;17.73871;78.774194;
83631;31/01/2006;0000;288.8;29.364516;17.770968;74.927419;
83631;28/02/2006;0000;206.4;29.614286;18.060714;82.616071;
83631;30/04/2006;0000;5;28.75;14.15;;
83631;31/05/2006;0000;2.6;26.009677;10.170968;71.443548;
83631;30/06/2006;0000;12;25.666667;10.946667;69.191667;
83631;31/07/2006;0000;0;27.406452;10.045161;63.379032;
83631;31/08/2006;0000;20.6;29.629032;11.987097;53.572581;
83631;30/09/2006;0000;42.6;28.8;13.783333;60.016667;
83631;31/10/2006;0000;183.6;28.587097;16.529032;70.685484;
83631;30/11/2006;0000;271.6;28.483333;17.47;73.533333;
83631;31/12/2006;0000;447;28.693548;19.145161;79.153226;
83631;31/01/2007;0000;554.8;27.780645;19.2;84.895161;
83631;28/02/2007;0000;295;29.796429;17.639286;76;
83631;31/03/2007;0000;1.6;;;;
83631;30/04/2007;0000;81.6;29.562069;16.234483;74.767241;
83631;31/05/2007;0000;84;25.935484;12.1;74.177419;
83631;30/06/2007;0000;7;26.553333;10.653333;70.35;
83631;31/07/2007;0000;86.6;25.96129;10.848387;68.266129;
83631;31/08/2007;0000;0;28.193548;11.909677;60.193548;
83631;30/09/2007;0000;30;30.706897;15.186207;56.034483;
83631;31/10/2007;0000;69.5;31.367742;16.270968;59.895161;
83631;30/11/2007;0000;159.6;28.72;17.473333;73.725;
83631;31/12/2007;0000;152.6;30.029032;17.490323;73.048387;
83631;31/01/2008;0000;520.3;28.593548;17.670968;78.951613;
83631;29/02/2008;0000;192.3;28.968966;17.631034;79.112069;
83631;30/04/2008;0000;174.4;28.386667;15.35;77.616667;
83631;31/05/2008;0000;74.8;25.777419;11.219355;;
83631;30/06/2008;0000;43.8;26.346667;11.38;;
83631;31/07/2008;0000;0;26.345161;8.790323;;
83631;31/08/2008;0000;27.5;28.316129;12.367742;;
83631;30/09/2008;0000;58.8;29.1;13.023333;;
83631;31/10/2008;0000;145;29.493548;16.719355;;
83631;30/11/2008;0000;218.6;29.316667;17.653333;;
83631;31/12/2008;0000;374;28.483871;17.154839;;
83631;31/01/2009;0000;223.8;28.783871;19.167742;79.072581;
83631;28/02/2009;0000;239.6;29.296429;19.371429;77.196429;
83631;30/04/2009;0000;70;27.894118;13.482353;78.411765;
83631;31/05/2009;0000;39.8;27.648387;13.109677;74.83871;
83631;30/06/2009;0000;18.4;24.326667;10.54;73.441667;
83631;31/07/2009;0000;27;27.18;12.436667;74.858333;
83631;31/08/2009;0000;46;27.454839;13.019355;71.798387;
83631;30/09/2009;0000;172.2;29.623333;16.113333;74.091667;
83631;31/10/2009;0000;265;29.570968;17.690323;77.403226;
83631;30/11/2009;0000;170.6;30.596667;19.056667;;
83631;31/12/2009;0000;586.3;27.919355;19.154839;;
83631;31/01/2010;0000;371.4;29.693548;18.73871;74.919355;
83631;28/02/2010;0000;257.4;31.078571;19.225;71.758929;
83631;31/03/2010;0000;105.2;;;;
83631;30/04/2010;0000;44;;;;
83631;31/05/2010;0000;16.4;26.993333;11.765517;72.405172;
83631;30/06/2010;0000;7.4;27.023333;9.63;68.416667;
83631;31/07/2010;0000;5;27.735484;12.1;62.427419;
83631;31/08/2010;0000;0;29.219355;10.341935;54.177419;
83631;30/09/2010;0000;70.2;30.276667;14.841379;56.208333;
83631;31/10/2010;0000;163.2;29.887097;15.683871;63.725806;
83631;30/11/2010;0000;371.6;28.87;17.256667;74.7;
83631;31/12/2010;0000;333.1;30.509677;18.96129;76.645161;
83631;31/01/2011;0000;356.9;29.474194;18.887097;77.967742;
83631;28/02/2011;0000;209.8;30.93913;;;
83631;31/03/2011;0000;268.2;26.421739;;;
83631;31/05/2011;0000;4;27.296774;11.693548;69.096774;
83631;30/06/2011;0000;26;25.753333;9.863333;69.908333;
83631;31/07/2011;0000;0.6;27.277419;10.503226;64.491935;
83631;31/08/2011;0000;14;29.609677;11.82;52.693548;
83631;30/09/2011;0000;8.8;31.38;13.62069;35.216667;
83631;31/10/2011;0000;158.6;29.019355;16.13871;47.620968;
83631;30/11/2011;0000;248.3;29.233333;16.24;60.733333;
83631;31/12/2011;0000;288.8;28.832258;17.919355;73.419355;
83631;31/01/2012;0000;338;27.267742;17.683871;76.451613;
83631;31/08/2012;0000;0;26.596429;;;
83631;30/09/2012;0000;83;31.348;;;
