--------------------
BDMEP - INMET
--------------------
Esta?o           : SERIDO  CAICO  - RN (OMM: 82690)
Latitude  (graus) : -6.46
Longitude (graus) : -37.08
Altitude  (metros): 169.85
Esta?o Operante
Inicio de opera?o: 14/03/1995
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82690;31/01/2000;0000;0;;;;
82690;29/02/2000;0000;185;34.041379;23.051724;72.086207;
82690;31/03/2000;0000;129.6;33.951613;23.009677;71.701613;
82690;30/04/2000;0000;176.8;33.03;22.79;76.666667;
82690;31/05/2000;0000;1.7;34.412903;22.406452;61.991935;
82690;30/06/2000;0000;37.6;33.296667;22.14;;
82690;31/07/2000;0000;37.8;32.709677;21.487097;;
82690;31/08/2000;0000;66.9;32.903226;21.154839;;
82690;31/03/2001;0000;147.6;35.370968;23.383871;;
82690;30/04/2001;0000;91;33.07;23.27;;
82690;30/09/2001;0000;0;;;;
82690;31/10/2001;0000;7;36.580645;23.587097;55.766129;
82690;30/11/2001;0000;0;37.406897;24.426667;55.689655;
82690;31/12/2001;0000;15.2;36.451724;24.614286;59.383929;
82690;31/01/2002;0000;218.5;32.907143;23.176667;80.555556;
82690;28/02/2002;0000;28.9;32.95;22.677778;76.615385;
82690;31/03/2002;0000;154.9;33.325806;22.809677;80.862903;
82690;30/04/2002;0000;151.1;33.096552;23.013333;80.474138;
82690;31/05/2002;0000;66;33.16;22.83;77.591667;
82690;30/06/2002;0000;11;32.541379;21.46;73.051724;
82690;31/07/2002;0000;1.8;34.077419;21.712903;64.653226;
82690;31/08/2002;0000;0;34.173333;21.464516;58.458333;
82690;30/09/2002;0000;0;36.210345;21.973333;49.905172;
82690;31/10/2002;0000;0;36.551613;23.074194;51.580645;
82690;30/11/2002;0000;3.8;37.316667;23.753333;51.125;
82690;31/12/2002;0000;0;37.286207;24.370968;52.051724;
82690;31/01/2003;0000;29.3;37.183871;24.048387;58.403226;
82690;28/02/2003;0000;63.3;35.353571;23.95;63.03125;
82690;31/03/2003;0000;147.3;34.519355;23.390323;73.233871;
82690;30/04/2003;0000;97.7;34.1;23.123333;72.491379;
82690;31/05/2003;0000;30.5;34.951613;22.958065;64.370968;
82690;30/06/2003;0000;16;33.99;22.176667;57.95;
82690;31/07/2003;0000;10.6;33.912903;21.545161;51.87069;
82690;31/08/2003;0000;5.2;34.996774;22.012903;50.064516;
82690;30/09/2003;0000;0;35.746667;22.623333;47.666667;
82690;31/10/2003;0000;0;37.164516;23.376667;46.15;
82690;30/11/2003;0000;0;37.7;24.07931;47.283333;
82690;31/12/2003;0000;0.3;37.729032;24.833333;47.395161;
82690;31/01/2004;0000;342.2;34.2;23.690323;69.758065;
82690;29/02/2004;0000;171.2;32.610345;23.032143;71.525862;
82690;31/03/2004;0000;42.1;33.970968;22.903226;64.927419;
82690;30/04/2004;0000;67.5;35.21;23.624138;64.663793;
82690;31/05/2004;0000;28.2;33.645161;22.396667;64.55;
82690;30/06/2004;0000;17.7;31.34;21.868966;67.841667;
82690;31/07/2004;0000;15;32.873333;21.412903;61.041667;
82690;31/08/2004;0000;2.3;34.367742;21.486667;53.285714;
82690;30/09/2004;0000;0.3;35.286207;22.175862;53.766667;
82690;31/10/2004;0000;0;36.613333;23.123333;49.379032;
82690;30/11/2004;0000;0;37.156667;23.646667;47.708333;
82690;31/12/2004;0000;1.3;37.529032;24.077419;48.596774;
82690;31/01/2005;0000;10.1;37.032258;24.654839;52.08871;
82690;28/02/2005;0000;29.3;36.539286;24.551852;57.5625;
82690;31/03/2005;0000;260.6;36.422581;24.396667;62.534483;
82690;30/04/2005;0000;43.5;34.596667;23.993333;66.391667;
82690;31/05/2005;0000;71.4;33.341935;23.096774;69.225806;
82690;30/06/2005;0000;27.1;31.92;22.246667;66.85;
82690;31/07/2005;0000;1.2;32.980645;21.629032;55.104839;
82690;31/08/2005;0000;2.7;33.474194;21.654839;54.879032;
82690;30/09/2005;0000;0;35.263333;21.803333;52.083333;
82690;31/10/2005;0000;0;37.032258;23.196774;47.798387;
82690;30/11/2005;0000;0;37.323333;23.846667;49.733333;
82690;31/12/2005;0000;50;36.145161;23.903226;55.919355;
