--------------------
BDMEP - INMET
--------------------
Esta?o           : SERRINHA - BA (OMM: 83190)
Latitude  (graus) : -11.63
Longitude (graus) : -38.96
Altitude  (metros): 359.63
Esta?o Operante
Inicio de opera?o: 01/02/1904
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83190;31/01/2000;0000;60;31.629032;21.703226;72.959677;
83190;29/02/2000;0000;82.1;32.113793;21.989655;71.603448;
83190;31/03/2000;0000;41.6;31.283871;21.664516;73.016129;
83190;30/04/2000;0000;88;30.026667;21.51;79.891667;
83190;31/05/2000;0000;96;28.467742;20.332258;82.145161;
83190;30/06/2000;0000;84.2;26.36;19.353333;84.958333;
83190;31/07/2000;0000;37.4;26.493548;18.16129;86.354839;
83190;31/08/2000;0000;64.8;26.554839;18.593548;86.427419;
83190;30/09/2000;0000;97.1;27.28;19.23;81.841667;
83190;31/10/2000;0000;15.3;30.554839;20.029032;71.693548;
83190;30/11/2000;0000;212.3;30.453333;21.113333;77.491667;
83190;31/12/2000;0000;138.5;30.664516;21.3;74.41129;
83190;31/01/2001;0000;40;31.141935;20.754839;74.306452;
83190;28/02/2001;0000;10.6;33.457143;21.721429;64.142857;
83190;31/03/2001;0000;186.9;31.987097;21.816129;70.217742;
83190;30/04/2001;0000;43.1;30.63;20.666667;76.041667;
83190;31/05/2001;0000;14.7;32.141935;21.177419;70.741935;
83190;30/06/2001;0000;132.4;27.436667;19.193333;81.725;
83190;31/07/2001;0000;78.1;26.870968;18.832258;81.653226;
83190;31/08/2001;0000;91.4;25.677419;18.077419;84.008065;
83190;30/09/2001;0000;83.3;27.486667;19.383333;78.956897;
83190;31/10/2001;0000;106.8;29.570968;20.53871;74.080645;
83190;30/11/2001;0000;0.6;32.143333;21.2;63.375;
83190;31/12/2001;0000;52.9;32.322581;22.193548;69.645161;
83190;31/01/2002;0000;276.8;29.909677;21.583871;79.179032;
83190;28/02/2002;0000;81.9;31.139286;21.396429;72.526786;
83190;31/03/2002;0000;51.3;31.967742;21.719355;67.782258;
83190;30/04/2002;0000;17.7;30.88;21.366667;71.975;
83190;31/05/2002;0000;43.1;29;20.332258;77.217742;
83190;30/06/2002;0000;106.7;27.5;19.69;84.8;
83190;31/07/2002;0000;98;26.780645;19.235484;84.653226;
83190;31/08/2002;0000;60.4;27.641935;18.258065;80.75;
83190;30/09/2002;0000;31.8;29.553333;19.726667;78.65;
83190;31/10/2002;0000;1.6;31.796774;20.122581;71.467742;
83190;30/11/2002;0000;27.8;32.456667;21.24;70.866667;
83190;31/12/2002;0000;104.7;33.583871;21.912903;70.693548;
83190;31/01/2003;0000;18.8;34.680645;22.529032;67.677419;
83190;28/02/2003;0000;23.8;33;21.875;70.294643;
83190;31/03/2003;0000;37.2;32.63871;22.503226;74.927419;
83190;30/04/2003;0000;17.7;32.68;22.053333;73.116667;
83190;31/05/2003;0000;134.1;28.951613;21.141935;83.854839;
83190;30/06/2003;0000;146.8;26.816667;19.606667;88.758333;
83190;31/07/2003;0000;77.3;26.309677;17.977419;85.145161;
83190;31/08/2003;0000;82.6;26.903226;18.63871;86.580645;
83190;30/09/2003;0000;68.7;28.643333;18.755172;79.508333;
83190;31/10/2003;0000;11.1;30.303226;21.05;68.258065;
83190;30/11/2003;0000;75.8;29.82;21.57;73.15;
83190;31/12/2003;0000;44.5;32.93871;22.183871;63.822581;
83190;31/01/2004;0000;344.5;30.723333;21.993548;78.217742;
83190;29/02/2004;0000;79.3;;22.285714;75.551724;
83190;31/03/2004;0000;20.1;30.955172;22.390323;74.556452;
83190;30/04/2004;0000;48.6;30.766667;21.936667;76.633333;
83190;31/05/2004;0000;53.5;28.877419;20.83871;83.782258;
83190;30/06/2004;0000;86.9;27.136667;19.53;84.616667;
83190;31/07/2004;0000;32.4;26.083871;18.574194;82.387097;
83190;31/08/2004;0000;31.8;27.93871;18.341935;80.75;
83190;30/09/2004;0000;4.2;30.076667;18.593333;72.683333;
83190;31/10/2004;0000;4.5;32.409677;20.512903;70.153226;
83190;30/11/2004;0000;66.1;32.94;21.183333;70.491667;
83190;31/12/2004;0000;0;34.16129;21.63871;64.919355;
83190;31/01/2005;0000;48;34.545161;22.390323;68.830645;
83190;28/02/2005;0000;115.2;32.942857;22.65;76.080357;
83190;31/03/2005;0000;62.5;33.580645;22.987097;74.233871;
83190;30/04/2005;0000;114.6;30.216667;21.426667;87.666667;
83190;31/05/2005;0000;105.5;28.703226;20.674194;89.209677;
83190;30/06/2005;0000;119.4;27.056667;19.423333;91.991667;
83190;31/07/2005;0000;69.3;26.525806;18.112903;87.177419;
83190;31/08/2005;0000;55.6;27.912903;18.032258;84.104839;
83190;30/09/2005;0000;9.2;30.506667;19.37;76.783333;
83190;31/10/2005;0000;4.1;33.03871;20.232258;67.185484;
83190;30/11/2005;0000;130.5;33.386667;20.78;68.633333;
83190;31/12/2005;0000;17.8;33.022581;21.022581;69.766129;
83190;31/01/2006;0000;3;34.183871;20.751613;64.491935;
83190;28/02/2006;0000;17.6;36.289286;22.35;62.455357;
83190;31/03/2006;0000;66.6;34.71;22.445161;69.66129;
83190;30/04/2006;0000;113.8;31.537931;21.882143;81.966667;
83190;31/05/2006;0000;97.8;28.476667;19.846667;86.701613;
83190;30/06/2006;0000;150.8;25.786667;18.3;92.175;
83190;31/07/2006;0000;85.5;26.209677;17.512903;88.524194;
83190;31/08/2006;0000;57.2;27.245161;17.548387;86.5;
83190;30/09/2006;0000;92.6;29.086667;18.526667;80.141667;
83190;31/10/2006;0000;59.8;29.783871;19.851613;81.822581;
83190;30/11/2006;0000;49.2;31.783333;20.263333;76.908333;
83190;31/12/2006;0000;11;34.054839;20.896774;68.395161;
83190;31/01/2007;0000;5.8;35.425806;21.419355;65.104839;
83190;28/02/2007;0000;164.1;32.710714;21.421429;78.714286;
83190;31/03/2007;0000;71.9;30.896774;20.477419;82.048387;
83190;30/04/2007;0000;40.9;31.743333;20.29;77.033333;
83190;31/05/2007;0000;103.1;28.8;19.409677;85.508065;
83190;30/06/2007;0000;87.5;27.643333;18.1;85.091667;
83190;31/07/2007;0000;61.5;27.706452;17.345161;83.895161;
83190;31/08/2007;0000;31.2;27.612903;16.6;79.766129;
83190;30/09/2007;0000;72.8;28.4;17.15;79.541667;
83190;31/10/2007;0000;15.1;31.148387;18.570968;69.806452;
83190;30/11/2007;0000;25.2;33.503333;20.02;64.725;
83190;31/12/2007;0000;56.5;33.609677;19.954839;64.83871;
83190;31/01/2008;0000;1.9;34.76129;20.519355;59.701613;
83190;29/02/2008;0000;75.4;33.948276;20.855172;67.612069;
83190;31/03/2008;0000;59.8;32.829032;20.929032;73.967742;
83190;30/04/2008;0000;19.5;32.383333;20.923333;77.875;
83190;31/05/2008;0000;60.2;29.029032;19.293548;85.927419;
83190;30/06/2008;0000;82.1;27.543333;17.59;85.841667;
83190;31/07/2008;0000;49.3;26.509677;17.741935;84.362903;
83190;31/08/2008;0000;44.8;27.748387;18.435484;82.782258;
83190;30/09/2008;0000;34.6;29.88;19.853333;75.191667;
83190;31/10/2008;0000;32.5;31.529032;20.625806;75.040323;
83190;30/11/2008;0000;32;34.51;21.646667;64.525;
83190;31/12/2008;0000;123.4;32.422581;21.829032;75.596774;
83190;31/01/2009;0000;41.7;34.032258;23.296774;69.524194;
83190;28/02/2009;0000;81.1;33.371429;23.242857;72.883929;
83190;31/03/2009;0000;2.3;35.319355;23.390323;64.266129;
83190;30/04/2009;0000;57.9;32.826667;;76.025;
83190;31/05/2009;0000;169.8;28.067742;21.07037;90.048387;
83190;30/06/2009;0000;71.9;28.19;20.176667;88.725;
