--------------------
BDMEP - INMET
--------------------
Esta?o           : SOROCABA - SP (OMM: 83851)
Latitude  (graus) : -23.48
Longitude (graus) : -47.43
Altitude  (metros): 645.00
Esta?o Operante
Inicio de opera?o: 01/01/1928
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83851;30/09/2001;0000;0;;;;
83851;31/10/2001;0000;154;28.883871;15.758065;75.064516;
83851;30/11/2001;0000;94;29.74;18.426667;76.375;
83851;31/12/2001;0000;197;28.658065;18.5;81.25;
83851;31/01/2002;0000;279.7;29.319355;19.296774;83.596774;
83851;28/02/2002;0000;172.5;28.071429;18.621429;84.732143;
83851;31/03/2002;0000;168.9;31.277419;19.719355;79.5;
83851;30/04/2002;0000;60.4;30.34;18.37;79.858333;
83851;31/05/2002;0000;96.4;25.767742;15.33871;82.913043;
83851;30/06/2002;0000;0.2;26.99;13.653333;79.65;
83851;31/07/2002;0000;29.7;23.716129;11.422581;80.483871;
83851;31/08/2002;0000;50.9;28.206452;14.93871;77.604839;
83851;30/09/2002;0000;52.1;26.52;14.075862;73.275;
83851;31/10/2002;0000;50.2;32.364516;18.82;68.846774;
83851;30/11/2002;0000;203.4;29.583333;18.316667;75.783333;
83851;31/12/2002;0000;122.2;30.6;19.658621;75.58871;
83851;31/01/2003;0000;446.3;28.825806;19.887097;82.653226;
83851;28/02/2003;0000;136.3;32.22963;20.884615;74.357143;
83851;31/03/2003;0000;119.3;29.256667;18.841935;77;
83851;30/04/2003;0000;75.1;27.976667;17.25;79.508333;
83851;31/05/2003;0000;45.7;24.945161;13.058065;78.766129;
83851;30/06/2003;0000;20;26.25;13.482759;77.333333;
83851;31/07/2003;0000;22.3;25.351613;12.187097;72.862903;
83851;31/08/2003;0000;33.1;24.267742;11.535484;71.104839;
83851;30/09/2003;0000;31;27.21;14.053333;69.533333;
83851;31/10/2003;0000;57.3;28.606452;15.748387;71.927419;
83851;30/11/2003;0000;188.4;28.266667;17.25;75.058333;
83851;31/12/2003;0000;120;29.8;19.503226;75.991935;
83851;31/01/2004;0000;427.4;28.012903;18.616129;81.596774;
83851;29/02/2004;0000;201.6;28.917241;18.47931;80.577586;
83851;31/03/2004;0000;91.9;28.403226;17.509677;81.048387;
83851;30/04/2004;0000;65.5;28.153333;17.68;83.625;
83851;31/05/2004;0000;91.5;23.429032;13.767742;85.677419;
83851;30/06/2004;0000;35.2;23.526667;12.036667;83.975;
83851;31/07/2004;0000;80;22.906452;12.351613;81.983871;
83851;31/08/2004;0000;10.8;25.925806;12.009677;75.919355;
83851;30/09/2004;0000;9;30.613333;16.063333;69.65;
83851;31/10/2004;0000;112.2;26.629032;15.967742;74.33871;
83851;30/11/2004;0000;152.8;28.28;17.53;72.808333;
83851;31/12/2004;0000;200.9;28.754839;18.129032;75.104839;
83851;31/01/2005;0000;313.3;28.241935;20.109677;80.844828;
83851;28/02/2005;0000;71.2;30.067857;18.428571;72.25;
83851;31/03/2005;0000;129.4;29.387097;19.425806;76.524194;
83851;30/04/2005;0000;15.9;29.136667;18.736667;74.95;
83851;31/05/2005;0000;177.4;26.677419;15.254839;74.233871;
83851;30/06/2005;0000;38.7;25.693333;14.286667;76.783333;
83851;31/07/2005;0000;23.9;23.987097;12.319355;74.330645;
83851;31/08/2005;0000;24.6;27.403226;13.222581;67.056452;
83851;30/09/2005;0000;67.6;25.07;14.8;75.25;
83851;31/10/2005;0000;159.6;28.66129;18.216129;76.822581;
83851;30/11/2005;0000;59.8;28.396667;17.446667;72.425;
83851;31/12/2005;0000;139.6;28.567742;17.987097;73.112903;
83851;31/01/2006;0000;287.4;30.525806;19.770968;73.370968;
83851;28/02/2006;0000;218.4;29.753571;19.857143;77.080357;
83851;31/03/2006;0000;184.7;30.132258;20.148387;76.225806;
83851;30/04/2006;0000;18.4;27.326667;16.476667;74.833333;
83851;31/05/2006;0000;2.1;24.070968;12.532258;73.25;
83851;30/06/2006;0000;23.3;24.94;12.33;73.6;
83851;31/07/2006;0000;83.3;25.980645;12.077419;73.306452;
83851;31/08/2006;0000;5.7;27.325806;13.316129;64.862903;
83851;30/09/2006;0000;67.2;26.536667;14.296667;68.366667;
83851;31/10/2006;0000;73.2;28.619355;17.148387;72.120968;
83851;30/11/2006;0000;121.9;28.71;17.772414;72.724138;
83851;31/12/2006;0000;137.7;30.164516;19.964516;77.895161;
83851;31/01/2007;0000;291.6;28.593548;20.170968;80.758065;
83851;28/02/2007;0000;110.1;30.921429;19.853571;73.633929;
83851;31/03/2007;0000;93.4;31.780645;19.545161;71.169355;
83851;30/04/2007;0000;21.1;29.203333;18.68;74.666667;
83851;31/05/2007;0000;57.3;24.73871;13.725806;76.209677;
83851;30/06/2007;0000;28.9;26.28;12.526667;73.758333;
83851;31/07/2007;0000;157.5;23.425806;11.377419;75.991935;
