--------------------
BDMEP - INMET
--------------------
Esta?o           : SOURE - PA (OMM: 82141)
Latitude  (graus) : -0.73
Longitude (graus) : -48.51
Altitude  (metros): 10.49
Esta?o Operante
Inicio de opera?o: 21/08/1928
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82141;31/01/2000;0000;462.4;30.154839;24.029032;82.887097;
82141;29/02/2000;0000;748;29.027586;23.168966;88.224138;
82141;31/03/2000;0000;588.7;29.548387;23.990323;87.717742;
82141;30/04/2000;0000;742.4;29.796667;24.083333;87.408333;
82141;31/05/2000;0000;302.3;30.390323;24.816129;84.830645;
82141;30/06/2000;0000;212;30.84;25.086667;80.041667;
82141;31/07/2000;0000;317.9;30.709677;24.290323;81.645161;
82141;31/08/2000;0000;85.3;30.709677;25.267742;77.596774;
82141;30/09/2000;0000;55.9;30.88;25.95;75.475;
82141;31/10/2000;0000;7.4;31.370968;26.235484;74.104839;
82141;30/11/2000;0000;0;31.566667;26.446667;72.683333;
82141;31/12/2000;0000;236.2;30.580645;25.664516;78.5;
82141;31/01/2001;0000;607.1;29.151613;23.551613;86.532258;
82141;28/02/2001;0000;295.9;28.71875;23.4;90.066667;
82141;31/03/2001;0000;661.3;29.11;24.11;88.866667;
82141;30/04/2001;0000;438.2;29.166667;24.196667;88.683333;
82141;31/05/2001;0000;115.6;30.822581;25.606452;82.056452;
82141;30/06/2001;0000;159.7;30.953333;24.686667;84.383333;
82141;31/07/2001;0000;113.7;30.983871;24.977419;81.604839;
82141;31/08/2001;0000;20.3;31.335484;25.57;78.524194;
82141;30/09/2001;0000;6.8;31.553333;25.033333;74.65;
82141;31/10/2001;0000;7;31.725806;26.693548;73.870968;
82141;30/11/2001;0000;1.8;31.893333;27.086667;73.816667;
82141;31/12/2001;0000;3.5;32.170968;27.490323;73.790323;
82141;31/01/2002;0000;574.8;30.029032;24.690323;85.443548;
82141;28/02/2002;0000;437.2;29.696429;24.757143;87.151786;
82141;31/03/2002;0000;524.9;29.967742;24.454839;88.064516;
82141;30/04/2002;0000;425.1;29.806897;24.39;87.125;
82141;31/05/2002;0000;298.1;30.824138;25.706667;84.483871;
82141;30/06/2002;0000;153.5;31.23;25.133333;81.983333;
82141;31/07/2002;0000;77.6;31.183333;26.253333;76.354839;
82141;31/08/2002;0000;16.6;31.403226;26.609677;75.58871;
82141;30/09/2002;0000;14.2;31.443333;26.62;73.025;
82141;31/10/2002;0000;1;31.612903;26.916129;71.830645;
82141;30/11/2002;0000;0;31.975;27.128571;73;
82141;31/12/2002;0000;88.1;31.26129;26.441935;78.346774;
82141;31/01/2003;0000;172.8;30.487097;25.348387;80.395161;
82141;28/02/2003;0000;491.1;28.5;23.882143;91.419643;
82141;31/03/2003;0000;719.9;29.045161;24.277419;87.5;
