--------------------
BDMEP - INMET
--------------------
Esta?o           : STa  R  DE CASSIA  IBIPETUBA  - BA (OMM: 83076)
Latitude  (graus) : -11.01
Longitude (graus) : -44.51
Altitude  (metros): 450.30
Esta?o Operante
Inicio de opera?o: 13/12/1911
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83076;31/01/2000;0000;259.8;31.064516;18.503226;78.870968;
83076;29/02/2000;0000;274.2;30.841379;19.862069;79.801724;
83076;31/03/2000;0000;81.6;30.612903;20.096774;78.467742;
83076;30/04/2000;0000;66.5;30.866667;20.266667;77.733333;
83076;31/05/2000;0000;2.1;30.916129;17.954839;70.931034;
83076;30/06/2000;0000;0;30.896667;15.81;66.25;
83076;31/07/2000;0000;0;31.629032;14.748387;56.814516;
83076;31/08/2000;0000;0.4;33.280645;15.151613;47.193548;
83076;30/09/2000;0000;17.3;34.193333;18.19;47.275;
83076;31/10/2000;0000;31.2;35.883871;18.774194;44.951613;
83076;30/11/2000;0000;316.6;31.85;18.796667;70.416667;
83076;31/12/2000;0000;319.2;30.593548;19.909677;80.91129;
83076;31/01/2001;0000;86.8;31.241935;18.616129;71.5;
83076;28/02/2001;0000;118.9;32.3;19.457143;72.294643;
83076;31/03/2001;0000;155;31.193548;19.348387;75.379032;
83076;30/04/2001;0000;51.1;31.966667;18.32;69.241667;
83076;31/05/2001;0000;25.3;33.03871;17.9;65.935484;
83076;30/06/2001;0000;0;32.453333;15.58;52.066667;
83076;31/07/2001;0000;0;32.816129;14.774194;58.25;
83076;31/08/2001;0000;0;32.519355;15.43871;54.524194;
83076;30/09/2001;0000;4.7;35.62;18.893333;56.612069;
83076;31/10/2001;0000;125.6;34.067742;21.419355;62.959677;
83076;30/11/2001;0000;141.2;33.056667;21.633333;64.291667;
83076;31/12/2001;0000;238.4;32;21.067742;75.620968;
83076;31/01/2002;0000;0;;;;
83076;28/02/2002;0000;19.2;32.782143;19.742857;79.537037;
83076;31/03/2002;0000;51.8;33.16129;20.267742;76.258065;
83076;30/04/2002;0000;74.9;32.566667;19.486207;72.133333;
83076;31/05/2002;0000;10.2;33.358065;17.825806;62.459677;
83076;30/06/2002;0000;0;32.48;15.203333;64.491667;
83076;31/07/2002;0000;0.3;33.73871;15.66129;61.169355;
83076;31/08/2002;0000;0.8;33.777419;15.609677;56.419355;
83076;30/09/2002;0000;61.9;34.94;19.726667;52.808333;
83076;31/10/2002;0000;6.3;36.590323;20.348387;47.41129;
83076;30/11/2002;0000;84;35.133333;19.84;56.775;
83076;31/12/2002;0000;158.9;33.590323;20.635484;68.580645;
83076;31/01/2003;0000;203.7;32.093548;20.193548;76.225806;
83076;28/02/2003;0000;101.8;31.992857;20.746429;67.678571;
83076;31/03/2003;0000;156.9;31.667742;21.229032;70.16129;
83076;30/04/2003;0000;21.9;33.193333;19.766667;62.666667;
83076;31/05/2003;0000;24.4;32.583871;19.077419;61.814516;
83076;30/06/2003;0000;0;32.93;14.553333;56.833333;
83076;31/07/2003;0000;0;32.329032;14.067742;46.266129;
83076;31/08/2003;0000;38.8;34.029032;15.758065;48.919355;
83076;30/09/2003;0000;0.9;35.22;17.286667;44.675;
83076;31/10/2003;0000;40.9;35.674194;19.83871;46.08871;
83076;30/11/2003;0000;51.3;34.556667;20.653333;52.55;
83076;31/12/2003;0000;50.8;35.487097;21.035484;56.145161;
83076;31/01/2004;0000;0;;;;
83076;29/02/2004;0000;146.9;30.744828;19.182759;65.568966;
83076;31/03/2004;0000;323;30.722581;18.770968;66.137097;
83076;30/04/2004;0000;1.3;32.163333;18.423333;66.916667;
83076;31/05/2004;0000;0.1;32.464516;17.780645;61.403226;
83076;30/06/2004;0000;0.3;31.67;15.026667;55.3;
83076;31/07/2004;0000;0;32.258065;14.577419;48.322581;
83076;31/08/2004;0000;0.1;34.109677;15.612903;43.08871;
83076;30/09/2004;0000;0.3;35.251852;17.159259;37.648148;
83076;31/10/2004;0000;3.2;36.03125;21.94;47.171875;
83076;30/11/2004;0000;253.3;35.746667;21.446667;54.816667;
83076;31/12/2004;0000;86.4;33.3;21.209677;68.362903;
83076;31/01/2005;0000;0;;;;
83076;28/02/2005;0000;180.7;31.167857;21.439286;73.9375;
83076;31/03/2005;0000;155.5;31.316129;21.935484;74.532258;
83076;30/04/2005;0000;63;31.75;20.53;69.241667;
83076;31/05/2005;0000;16.2;30.729032;18.367742;69.016129;
83076;30/06/2005;0000;0.1;31.603333;16.476667;55.45;
83076;31/07/2005;0000;0;32.609677;14.545161;46.774194;
83076;31/08/2005;0000;0;34.170968;15.490323;42.16129;
83076;30/09/2005;0000;4.2;35.673333;18.553333;39.75;
83076;31/10/2005;0000;43.2;37.490323;21.158065;39.024194;
83076;30/11/2005;0000;194.6;33.773333;21.236667;60.233333;
83076;31/12/2005;0000;136.9;31.651613;20.790323;72.193548;
83076;31/01/2006;0000;14.2;34.916129;20.487097;56.580645;
83076;28/02/2006;0000;114.1;32.321429;21.392857;69.419643;
83076;31/03/2006;0000;276.1;31.406452;21.070968;78.096774;
83076;30/04/2006;0000;178.6;29.913333;21.376667;81.091667;
83076;31/05/2006;0000;72.2;30.058065;19.396774;75.806452;
83076;30/06/2006;0000;0;30.136667;14.956667;66.166667;
83076;31/07/2006;0000;0;31.406452;14.041935;57.459677;
83076;31/08/2006;0000;0;33.570968;14.845161;45.943548;
83076;30/09/2006;0000;5.4;35.86;19.07;44.816667;
83076;31/10/2006;0000;146.6;35.474194;22.287097;57.645161;
83076;30/11/2006;0000;98.9;33.34;21.15;68.191667;
83076;31/12/2006;0000;58.4;34.712903;20.816129;62.685484;
83076;31/01/2007;0000;138.1;35.290323;21.132258;63.201613;
83076;28/02/2007;0000;230.8;31.796429;21.110714;74.910714;
83076;31/03/2007;0000;43.1;33.777419;19.925806;63.266129;
83076;30/04/2007;0000;24;34.473333;20.273333;62.866667;
83076;31/05/2007;0000;1.5;35.267742;18.364516;49.653226;
83076;30/06/2007;0000;0;33.436667;14.973333;49.483333;
83076;31/07/2007;0000;0;33.980645;15.209677;48.040323;
83076;31/08/2007;0000;0;33.687097;15.16129;49.290323;
83076;30/09/2007;0000;0;35.493333;18.262069;41.916667;
83076;31/10/2007;0000;6.8;37.409677;21.03871;43.5;
83076;30/11/2007;0000;211.8;36.62;22.33;46.091667;
83076;31/12/2007;0000;266.3;32.596774;20.958065;47.943548;
83076;31/01/2008;0000;101.4;31.774194;21.290323;55.798387;
83076;29/02/2008;0000;241.7;30.827586;21.448276;62.974138;
83076;31/03/2008;0000;143.5;29.658065;21.158065;69.419355;
83076;30/04/2008;0000;148.8;29.653333;20.32;69.541667;
83076;31/05/2008;0000;1.8;30.4;18.532258;59.572581;
