--------------------
BDMEP - INMET
--------------------
Esta?o           : TAGUATINGA - TO (OMM: 83235)
Latitude  (graus) : -12.4
Longitude (graus) : -46.41
Altitude  (metros): 603.59
Esta?o Operante
Inicio de opera?o: 22/12/1915
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83235;31/01/2000;0000;268.3;31.170968;20.525806;77.185484;
83235;29/02/2000;0000;166.5;30.503448;20.717241;82.232759;
83235;31/03/2000;0000;329.9;31.616129;20.848387;77.604839;
83235;30/04/2000;0000;80.2;31.763333;20.76;76.608333;
83235;31/05/2000;0000;0.1;32.725806;19.877419;59.919355;
83235;30/06/2000;0000;0;32.293333;19.31;54.416667;
83235;31/07/2000;0000;0;32.116129;19.383871;52.983871;
83235;31/08/2000;0000;1.8;33.916129;20.977419;44.532258;
83235;30/09/2000;0000;34.3;33.676667;22.1;50.525;
83235;31/10/2000;0000;46.6;34.487097;22.448387;54.354839;
83235;30/11/2000;0000;250.1;31.343333;21.083333;74.575;
83235;31/12/2000;0000;324.9;30.454839;20.980645;80.604839;
83235;31/01/2001;0000;115.6;32.190323;20.903226;71.233871;
83235;28/02/2001;0000;194.8;31.814286;20.25;79.366071;
83235;31/03/2001;0000;234.2;31.025806;20.674194;78.637097;
83235;30/04/2001;0000;149.2;32.376667;20.906667;69.841667;
83235;31/05/2001;0000;50.9;33.003226;21.355172;64.33871;
83235;30/06/2001;0000;0.5;32.143333;19.913333;54.341667;
83235;31/07/2001;0000;0;32.4;20.23;49.233871;
83235;31/08/2001;0000;0.1;32.170968;20.096774;47.112903;
83235;30/09/2001;0000;26.1;35.026667;22.5;47.725;
83235;31/10/2001;0000;240;32.26129;21.354839;65.483871;
83235;30/11/2001;0000;324.2;30.613333;21.076667;77.191667;
