--------------------
BDMEP - INMET
--------------------
Esta?o           : TARAUACA - AC (OMM: 82807)
Latitude  (graus) : -8.16
Longitude (graus) : -70.76
Altitude  (metros): 190.00
Esta?o Operante
Inicio de opera?o: 06/06/1966
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82807;31/01/2000;0000;194.6;30.932258;;89.58871;
82807;29/02/2000;0000;172;31.634483;;87.862069;
82807;31/03/2000;0000;250;31.383871;;89.096774;
82807;30/04/2000;0000;181.8;32.053333;;88.5;
82807;31/05/2000;0000;103.4;31.364516;;87.782258;
82807;30/06/2000;0000;89.3;31.573333;;88.983333;
82807;31/07/2000;0000;42.2;30.780645;;84.580645;
82807;31/08/2000;0000;69.5;32.793548;20.748387;84.266129;
82807;30/09/2000;0000;76;33.283333;20.856667;81.216667;
82807;31/10/2000;0000;269.1;32.822581;21.516129;87.112903;
82807;30/11/2000;0000;375.2;31.9;22.236667;87.091667;
82807;31/12/2000;0000;147.8;32.064516;22.674194;86.201613;
82807;31/01/2001;0000;281.8;29.812903;22.077419;88.532258;
82807;28/02/2001;0000;245.2;30.139286;22.303571;88.910714;
82807;31/03/2001;0000;361.2;30.729032;22.867742;88.814516;
82807;30/04/2001;0000;111.7;31.29;22.453333;88.208333;
82807;31/05/2001;0000;129.8;30.229032;21.709677;90.379032;
82807;30/06/2001;0000;67.1;29.8;18.943333;87.4;
82807;31/07/2001;0000;83;30.896774;20.077419;86.5;
82807;31/08/2001;0000;8;33.5;19.76129;79.120968;
82807;30/09/2001;0000;84.9;32.57;21.26;83.875;
82807;31/10/2001;0000;142.3;32.867742;22.477419;85.822581;
82807;30/11/2001;0000;335.3;31.97;22.23;88.858333;
82807;31/12/2001;0000;257.7;30.9;22.583871;87.66129;
82807;31/01/2002;0000;203.1;31.79;22.429032;84.129032;
82807;28/02/2002;0000;335.7;;22.692857;87.178571;
82807;31/03/2002;0000;383.5;;22.393548;87.056452;
82807;30/04/2002;0000;369.7;31.339286;22.5;86.933333;
82807;31/05/2002;0000;253;30.803226;22.019355;85.782258;
82807;30/06/2002;0000;27;30.856667;19.886667;82.566667;
82807;31/07/2002;0000;37.6;30.781481;19.78;82.822581;
82807;31/08/2002;0000;80.6;32.858065;20.206452;81.398148;
82807;30/09/2002;0000;162.8;32.99;20.946667;80.158333;
82807;31/10/2002;0000;170.6;32.945161;21.603226;83.016129;
82807;30/11/2002;0000;277.7;31.253333;21.063333;85.833333;
82807;31/12/2002;0000;258.2;31.109677;22.551613;85.725806;
82807;31/01/2003;0000;303.1;31.677419;22.196774;86.302083;
82807;28/02/2003;0000;238.3;30.971429;21.857143;86.858696;
82807;31/03/2003;0000;263.8;30.948387;21.590323;86.370968;
82807;30/04/2003;0000;267.2;31.103333;21.2;84.925;
82807;31/05/2003;0000;218.2;31.422581;20.790323;84.330645;
82807;30/06/2003;0000;133;31.568966;20.333333;85.441667;
82807;31/07/2003;0000;4;31.493548;18.870968;81.08871;
82807;31/08/2003;0000;130;31.241935;18.787097;79.330645;
82807;30/09/2003;0000;157.8;31.92;20.67;82.725;
82807;31/10/2003;0000;119;32.696774;22.619355;81.41129;
82807;30/11/2003;0000;175.6;32.006667;22.69;84.716667;
82807;31/12/2003;0000;192.4;31.506452;23.06129;85.983871;
82807;31/01/2004;0000;360.6;31.670968;23.125806;87.137097;
82807;29/02/2004;0000;360.8;30.896552;22.572414;87.301724;
82807;31/03/2004;0000;427.8;31.177419;23.406452;87.290323;
82807;30/04/2004;0000;209.2;31.573333;23.1;86.025;
82807;31/05/2004;0000;90.2;29.36129;20.677419;85.991935;
82807;30/06/2004;0000;92;30.076667;20.433333;86.375;
82807;31/07/2004;0000;116.6;30.416129;20.416129;85.16129;
82807;31/08/2004;0000;132.6;31.725806;19.987097;82.379032;
82807;30/09/2004;0000;156.2;31.793103;21.313333;83.525;
82807;31/10/2004;0000;206.4;32.058065;22.877419;85.290323;
82807;30/11/2004;0000;264.6;31.710345;22.84;85.741379;
82807;31/12/2004;0000;302.6;31.267742;23.329032;87.33871;
