--------------------
BDMEP - INMET
--------------------
Esta?o           : TAUA - CE (OMM: 82683)
Latitude  (graus) : -6
Longitude (graus) : -40.41
Altitude  (metros): 398.77
Esta?o Operante
Inicio de opera?o: 01/02/1962
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82683;31/01/2000;0000;179.6;30.854839;21.535484;69.346774;
82683;29/02/2000;0000;78.2;31.624138;21.268966;69.060345;
82683;31/03/2000;0000;199.9;30.603226;21.158065;73.879032;
82683;30/04/2000;0000;92.8;30.443333;21.276667;74.65;
82683;31/05/2000;0000;51.1;31.241935;20.5;66.201613;
82683;30/06/2000;0000;9.2;30.823333;20.733333;;
82683;31/07/2000;0000;30.1;31.303226;20.270968;;
82683;31/08/2000;0000;11.7;32.712903;20.690323;;
82683;31/03/2001;0000;82.7;31.506452;20.841935;;
82683;30/04/2001;0000;149;30.81;20.343333;;
82683;30/09/2001;0000;16;;;;
82683;31/10/2001;0000;14.7;34.741935;22.425806;45.217742;
82683;30/11/2001;0000;0;34.627586;23.263333;49.077586;
82683;31/12/2001;0000;22.2;34.192857;23.153571;52.768519;
82683;31/01/2002;0000;145.9;30.44;21.251852;76.692308;
82683;28/02/2002;0000;67.1;32.018519;20.642857;67.711538;
82683;31/03/2002;0000;107.9;30.99;20.970968;74.583333;
82683;30/04/2002;0000;73.7;30.841379;21.26;76.87069;
82683;31/05/2002;0000;41.5;31.3;21.306452;72.556452;
82683;30/06/2002;0000;5.6;31.68;20.817241;60.375;
82683;31/07/2002;0000;0.9;32.903226;20.948387;48.790323;
82683;31/08/2002;0000;0.1;33.543333;21.309677;45.8;
82683;30/09/2002;0000;0;34.386207;22.08;41.75;
82683;31/10/2002;0000;0;35.280645;22.9;39.806452;
82683;30/11/2002;0000;0;35.353333;23.46;41.275;
82683;31/12/2002;0000;0.9;34.867742;24.445161;45.333333;
82683;31/01/2003;0000;38.8;33.925806;23.6;59.040323;
82683;28/02/2003;0000;168.6;31.617857;22.639286;73.883929;
82683;31/03/2003;0000;202.8;30.690323;22.093548;79.451613;
82683;30/04/2003;0000;56.1;31.096667;21.973333;73.017241;
82683;31/05/2003;0000;60.9;31.006452;20.893548;70.008065;
82683;30/06/2003;0000;34.2;31.44;20.096667;61.866667;
82683;31/07/2003;0000;0.1;32.287097;19.509677;47.895161;
82683;31/08/2003;0000;0;34.025806;21.590323;42.983871;
82683;30/09/2003;0000;0;34.74;22.443333;40.275;
82683;31/10/2003;0000;0;35.464516;22.93871;38.919355;
82683;30/11/2003;0000;0;35.61;24.106667;40.108333;
82683;31/12/2003;0000;24.6;35.135484;23.990323;44.548387;
82683;31/01/2004;0000;339.3;31.222581;22.922581;69.33871;
82683;29/02/2004;0000;135.7;30.4;21.858621;74.862069;
82683;31/03/2004;0000;56.2;31.045161;21.864516;71.080645;
82683;30/04/2004;0000;89.4;31.19;21.726667;72.733333;
82683;31/05/2004;0000;25;31.225806;20.751613;67.564516;
82683;30/06/2004;0000;10.5;30.113333;19.896667;63.883333;
82683;31/07/2004;0000;12.9;31.373333;20.187097;55.072581;
82683;31/08/2004;0000;0;33.432258;21.229032;43.225806;
82683;30/09/2004;0000;3.9;34.196667;22.04;40.808333;
82683;31/10/2004;0000;0;35.029032;22.722581;39.040323;
82683;30/11/2004;0000;0;34.973333;22.956667;40.2;
82683;31/12/2004;0000;0.5;34.758065;23.209677;42.854839;
82683;31/01/2005;0000;91.6;33.619355;23.322581;53.693548;
82683;28/02/2005;0000;40;33.796429;23.3;56.732143;
82683;31/03/2005;0000;204.1;33.490323;23.083871;60.096774;
82683;30/04/2005;0000;15.8;31.966667;22.176667;66;
82683;31/05/2005;0000;48.7;30.835484;21.380645;69.129032;
82683;30/06/2005;0000;35.8;31.626667;21.226667;57.516667;
82683;31/07/2005;0000;0.2;32.377419;20.558065;47.306452;
82683;31/08/2005;0000;0.2;33.229032;20.922581;42.217742;
82683;30/09/2005;0000;0;34.323333;21.75;38.925;
82683;31/10/2005;0000;0;35.603226;22.396774;;
82683;30/11/2005;0000;0;35.246667;23.126667;;
82683;31/12/2005;0000;35.1;33.632258;23.319355;49.362903;
82683;31/01/2006;0000;29.7;34.516129;23.296774;48.653226;
82683;28/02/2006;0000;121.1;32.210714;22.489286;64.553571;
82683;31/03/2006;0000;125.4;31.764516;21.722581;71.145161;
82683;30/04/2006;0000;112.8;30.733333;21.42;76.308333;
82683;31/05/2006;0000;109.3;30.477419;21.232258;74.290323;
82683;30/06/2006;0000;47.1;31.166667;20.346667;60.441667;
82683;31/07/2006;0000;2;32.096774;20.574194;51.403226;
