--------------------
BDMEP - INMET
--------------------
Esta?o           : TRACUATEUA - PA (OMM: 82145)
Latitude  (graus) : -1.06
Longitude (graus) : -46.9
Altitude  (metros): 36.00
Esta?o Operante
Inicio de opera?o: 08/09/1972
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82145;31/01/2000;0000;229;31.216129;22.822581;87;
82145;29/02/2000;0000;687;30.286207;22.555172;92.163793;
82145;31/03/2000;0000;390.2;30.280645;22.532258;91;
82145;30/04/2000;0000;384.4;30.393333;18.53125;91.791667;
82145;31/05/2000;0000;374.6;30.816129;21.529032;91.645161;
82145;30/06/2000;0000;274.7;31.26;21.916667;91.125;
82145;31/07/2000;0000;283.2;31.241935;21.993548;89.975806;
82145;31/08/2000;0000;76.7;31.641935;21.193548;85.346774;
82145;30/09/2000;0000;14.6;32.3;21.583333;85.008333;
82145;31/10/2000;0000;9.1;32.93871;21.625806;81.419355;
82145;30/11/2000;0000;0;33.38;21.68;75.141667;
82145;31/12/2000;0000;61.8;32.880645;22.290323;80.153226;
82145;31/01/2001;0000;436.1;30.251613;22.167742;89.620968;
82145;28/02/2001;0000;336.9;30.078571;22.142857;90.6875;
82145;31/03/2001;0000;477.6;30.212903;22.432258;90.814516;
82145;30/04/2001;0000;435.2;30.173333;22.486667;90.725;
82145;31/05/2001;0000;298.3;31.735484;22.664516;88.106452;
82145;30/06/2001;0000;204.5;31.42;21.913333;86.766667;
82145;31/07/2001;0000;217.4;31.329032;21.490323;86.75;
82145;31/08/2001;0000;67.4;31.832258;21.064516;83.967742;
82145;30/09/2001;0000;4.1;32.723333;21.216667;78.233333;
82145;31/10/2001;0000;3.7;33.274194;21.141935;73.991935;
82145;30/11/2001;0000;0;33.833333;21.206667;71.95;
82145;31/12/2001;0000;0.2;33.964516;22.348387;74.943548;
82145;31/01/2002;0000;346.8;31.045161;21.890323;86.306452;
82145;28/02/2002;0000;294.9;31.292857;21.885714;86.357143;
82145;31/03/2002;0000;408.6;30.474194;21.812903;88.403226;
82145;30/04/2002;0000;476.8;30.603704;21.507143;90.083333;
82145;31/05/2002;0000;306;31.177419;21.634483;87.75;
82145;30/06/2002;0000;175.4;31.21;20.92;87.891667;
82145;31/07/2002;0000;81.7;31.454839;20.2;86.379032;
82145;31/08/2002;0000;39.8;32.122581;20.103226;82.306452;
82145;30/09/2002;0000;1.4;33.246667;19.66;78.025;
82145;31/10/2002;0000;1.5;33.506452;20.245161;74.887097;
82145;30/11/2002;0000;4.9;33.886667;20.386667;76.875;
82145;31/12/2002;0000;35.1;33.3;21.806452;78.491935;
82145;31/01/2003;0000;413.9;32.680645;21.225806;81.508065;
82145;28/02/2003;0000;697.8;30.582143;21.128571;90.883929;
82145;31/03/2003;0000;519.8;30.193548;20.951613;90.919355;
82145;30/04/2003;0000;498.6;30.65;20.8;91.533333;
82145;31/05/2003;0000;232.6;31.554839;20.722581;88.451613;
82145;30/06/2003;0000;224.2;31.826667;20.22;88.666667;
82145;31/07/2003;0000;265.4;31.387097;19.677419;89.201613;
82145;31/08/2003;0000;65.1;32.306452;19.222581;83.612903;
82145;30/09/2003;0000;8.2;33.223333;19.36;79.091667;
82145;31/10/2003;0000;2.2;33.077419;19.348387;77.08871;
82145;30/11/2003;0000;6.8;33.646667;20.06;74.683333;
82145;31/12/2003;0000;6.4;33.425806;20.916129;75.604839;
82145;31/01/2004;0000;245.2;31.377419;21.16129;84.016129;
82145;29/02/2004;0000;501.7;29.934483;20.586207;89.948276;
82145;31/03/2004;0000;750.3;30.003226;20.612903;91.241935;
82145;30/04/2004;0000;390.4;31.523333;20.64;89.025;
82145;31/05/2004;0000;171.9;31.967742;20.341935;87.975806;
82145;30/06/2004;0000;226;31.376667;21.346667;87.783333;
82145;31/07/2004;0000;158.9;31.216129;21.187097;88.217742;
82145;31/08/2004;0000;84;31.593548;21.070968;84.814516;
82145;30/09/2004;0000;8.9;33.003333;20.806667;78.091667;
