--------------------
BDMEP - INMET
--------------------
Esta?o           : TRIUNFO - PE (OMM: 82789)
Latitude  (graus) : -7.81
Longitude (graus) : -38.11
Altitude  (metros): 1105.00
Esta?o Operante
Inicio de opera?o: 01/06/1953
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82789;31/01/2000;0000;152.6;27.341935;18.770968;66.419355;
82789;29/02/2000;0000;183.8;27.310345;18.724138;71.655172;
82789;31/03/2000;0000;138.7;26.583871;18.73871;79.959677;
82789;30/04/2000;0000;341.1;25.87;18.446667;84.908333;
82789;31/05/2000;0000;90.9;25.366667;17.519355;79.653226;
82789;30/06/2000;0000;179.2;24.336667;16.906667;85.933333;
82789;31/07/2000;0000;173.6;24.093548;16.141935;;
82789;31/08/2000;0000;126.6;25.267742;15.822581;;
82789;30/09/2000;0000;127.1;26.723333;16.71;74.315217;
82789;31/10/2000;0000;0;;;;
82789;30/11/2000;0000;0;29.776667;18.093333;59.608333;
82789;31/12/2000;0000;96;28.583333;18.190323;66.890625;
82789;31/01/2001;0000;47.4;28.641935;17.570968;;
82789;28/02/2001;0000;131.6;28.535714;18.45;;
82789;31/03/2001;0000;168.3;27.209677;18.2;;
82789;30/04/2001;0000;30;27.34;17.966667;;
82789;31/05/2001;0000;29;28.670968;18.286667;;
82789;30/06/2001;0000;193.5;23.963333;16.45;83.8;
82789;31/07/2001;0000;177.8;23.93871;16.267742;;
82789;31/08/2001;0000;98.4;24.807143;15.04;;
82789;30/09/2001;0000;12.9;28.616667;16.47;59.35;
82789;31/10/2001;0000;108;29.206452;17.719355;64.766129;
82789;30/11/2001;0000;6.4;30.403333;18.146667;55.383333;
82789;31/12/2001;0000;23.5;29.982759;18.6125;66.098214;
82789;31/01/2002;0000;299.1;25.880645;18.53871;83.443548;
82789;28/02/2002;0000;112.6;26.964286;18.360714;78.517857;
82789;31/03/2002;0000;286.3;26.854839;18.367742;79.370968;
82789;30/04/2002;0000;51.2;26.413333;18.28;78.291667;
82789;31/05/2002;0000;105.8;26.367742;17.809677;88.4375;
82789;30/06/2002;0000;82.3;23.903333;16.833333;90.103448;
82789;31/07/2002;0000;120;25.622581;16.293548;78.991935;
82789;31/08/2002;0000;47.9;26.248387;15.496774;73.951613;
82789;30/09/2002;0000;5.2;28.906667;16.376667;67.008333;
82789;31/10/2002;0000;0.2;30.016129;17.296774;60.991935;
82789;30/11/2002;0000;1;30.8;18.17;54.816667;
82789;31/12/2002;0000;35;30.529032;18.929032;63.830645;
82789;31/01/2003;0000;136.3;29.925806;19.190323;66.282258;
