--------------------
BDMEP - INMET
--------------------
Esta?o           : UBERABA - MG (OMM: 83577)
Latitude  (graus) : -19.73
Longitude (graus) : -47.95
Altitude  (metros): 737.00
Esta?o Operante
Inicio de opera?o: 11/10/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83577;31/01/2000;0000;523.1;29.516129;19.419355;80.201613;
83577;29/02/2000;0000;350;29.82069;19.517241;78.818966;
83577;31/03/2000;0000;392.6;29.522581;19.116129;80.483871;
83577;30/04/2000;0000;85.2;29.86;16.466667;66.883333;
83577;31/05/2000;0000;6.2;27.851613;13.825806;67.193548;
83577;30/06/2000;0000;0;28.486667;13.303333;60.341667;
83577;31/07/2000;0000;9.1;26.829032;11.109677;55.991935;
83577;31/08/2000;0000;6.4;30.587097;15.283871;49.201613;
83577;30/09/2000;0000;112.6;28.973333;17.006667;67.191667;
83577;31/10/2000;0000;54.6;33.041935;18.854839;55.983871;
83577;30/11/2000;0000;190.6;29.22;18.88;72.033333;
83577;31/12/2000;0000;351.1;29.735484;19.474194;76.467742;
83577;31/01/2001;0000;175.2;30.783871;19.067742;73.629032;
83577;28/02/2001;0000;146.9;31.878571;18.896429;75.455357;
83577;31/03/2001;0000;173.9;30.645161;18.741935;76.564516;
83577;30/04/2001;0000;24.9;30.976667;17.576667;67.55;
83577;31/05/2001;0000;27.7;27.287097;13.432258;68.887931;
83577;30/06/2001;0000;0.4;27.1;13.09;64.266667;
83577;31/07/2001;0000;23.9;28.980645;14.122581;55.782258;
83577;31/08/2001;0000;74.1;28.990323;13.932258;48.604839;
83577;30/09/2001;0000;30;30.32;16.75;55.633333;
83577;31/10/2001;0000;94;30.145161;17.33871;60.725;
83577;30/11/2001;0000;212.4;30.373333;19.227586;76.425;
83577;31/12/2001;0000;242.7;29.112903;19.148387;75.625;
83577;31/01/2002;0000;308.8;29.983333;19.651613;76.895161;
83577;28/02/2002;0000;354.7;29.171429;19.067857;83.044643;
