--------------------
BDMEP - INMET
--------------------
Esta?o           : VALE DO GURGUEIA  CRISTIANO CASTRO  - PI (OMM: 82870)
Latitude  (graus) : -8.41
Longitude (graus) : -43.71
Altitude  (metros): 265.00
Esta?o Operante
Inicio de opera?o: 01/08/1978
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82870;31/01/2000;0000;213.1;31.425806;21.225806;82.870968;
82870;29/02/2000;0000;281.6;31.613793;21.565517;82.017241;
82870;31/03/2000;0000;134.4;31.290323;21.051613;83.354839;
82870;30/04/2000;0000;95.7;31.533333;21.526667;82.816667;
82870;31/05/2000;0000;3.5;32.929032;19.451613;75.5;
82870;30/06/2000;0000;1.2;33.56;18.793333;;
82870;31/07/2000;0000;0;34.432258;17.832258;;
82870;31/08/2000;0000;0;36.103226;19.051613;;
82870;30/09/2000;0000;0;36.7;21.606667;;
82870;30/04/2001;0000;64.8;32.56;20.26;;
82870;30/09/2001;0000;0;;;;
82870;31/10/2001;0000;114;36.122581;22.574194;52.266129;
82870;30/11/2001;0000;0;;;;
82870;31/12/2001;0000;0;;;;
82870;31/01/2002;0000;0;;;;
82870;28/02/2002;0000;0;;;;
82870;31/03/2002;0000;0;;;;
82870;30/04/2002;0000;0;;;;
82870;31/05/2002;0000;0;;;;
82870;30/06/2002;0000;0;;;;
82870;31/07/2002;0000;0;35.722581;;45.620968;
82870;31/08/2002;0000;0;;;;
82870;30/09/2002;0000;0;;;;
82870;30/11/2002;0000;33.4;36.526667;21.82;52.112069;
82870;31/01/2003;0000;185.5;32.141935;21.380645;80.008065;
82870;28/02/2003;0000;166.2;32.007143;21.442857;77.678571;
82870;31/03/2003;0000;133.9;31.451613;21.451613;82.612903;
82870;30/04/2003;0000;62;33.226667;20.88;76.517857;
82870;31/05/2003;0000;49;33.883871;20.883871;73.370968;
82870;30/06/2003;0000;0;34.78;18.673333;65.733333;
82870;31/07/2003;0000;0;34.612903;18.277419;60.591667;
82870;31/08/2003;0000;4.4;36.819355;20.419355;45.677419;
82870;30/09/2003;0000;29.7;37.3;21.04;50.1;
82870;31/10/2003;0000;18.6;37.096774;22.648387;46.861111;
82870;30/11/2003;0000;91.5;35.6;22.1;57.896552;
82870;31/12/2003;0000;78.9;34.270968;21.906667;67.435484;
82870;31/01/2004;0000;542.2;30.967742;21.56129;80.741667;
82870;29/02/2004;0000;232.8;31.303448;21.4;80.232759;
82870;31/03/2004;0000;64.5;32.490323;21.451613;;
82870;30/04/2004;0000;82.8;33.366667;20.726667;71.034483;
82870;31/05/2004;0000;0;34.129032;19.748387;66.6;
82870;30/06/2004;0000;0;33.88;18.64;58.091667;
82870;31/07/2004;0000;0;34.533333;18.662069;;
82870;31/08/2004;0000;0;36.119355;19.619355;39.35;
82870;30/09/2004;0000;0;37.446667;21.14;32.026316;
82870;31/10/2004;0000;89.6;36.880645;22.11;46.427419;
82870;30/11/2004;0000;78.9;35.506667;21.896667;54.275862;
82870;31/12/2004;0000;116.7;33.993548;20.980645;70.05;
82870;31/01/2005;0000;206.6;31.829032;21.290323;75.116667;
82870;28/02/2005;0000;205.2;32.057143;21.642857;78.223214;
82870;31/03/2005;0000;168.5;31.458065;22.090323;81.653226;
82870;30/04/2005;0000;144.6;32.303333;21.266667;77.216667;
82870;31/05/2005;0000;25.5;32.03871;20.606452;77.016667;
82870;30/06/2005;0000;0;33.12;18.713333;;
82870;31/07/2005;0000;0;34.380645;17.864516;;
82870;31/08/2005;0000;0;36;19.335484;48.346774;
82870;30/09/2005;0000;10;37.544828;21.08;41.925;
82870;31/10/2005;0000;3;38.135484;22.354839;;
82870;30/11/2005;0000;118.4;35.5;22.186667;52.758333;
82870;31/12/2005;0000;76.5;32.890323;21.006452;71.314516;
82870;31/01/2006;0000;15.6;36.56129;21.551613;55.133333;
82870;28/02/2006;0000;170.5;31.171429;21.071429;81.75;
82870;31/03/2006;0000;137.5;31.354839;21.432258;83.370968;
82870;30/04/2006;0000;344.7;30.86;21.613333;83.991667;
82870;31/05/2006;0000;34.5;31.864516;20.251613;75.209677;
82870;30/06/2006;0000;0;32.2;17.866667;;
82870;31/07/2006;0000;0;33.825806;17.16129;53.580645;
82870;31/08/2006;0000;0;35.83871;19;39.308333;
82870;30/09/2006;0000;56.6;36.413333;;41.208333;
82870;31/10/2006;0000;81.9;35.141935;;58.177419;
82870;30/11/2006;0000;79.3;33.946667;21.822727;62.85;
82870;31/12/2006;0000;38.7;34.490323;22.148387;63.064516;
82870;31/01/2007;0000;72.1;34.883871;22.332258;63.133333;
82870;28/02/2007;0000;257.9;31.671429;21.714286;79.625;
82870;31/03/2007;0000;14;33.7;20.716129;67.645161;
82870;30/04/2007;0000;86.6;33.926667;20.633333;67.916667;
82870;31/05/2007;0000;0;35.748387;21.003226;51.677419;
82870;30/06/2007;0000;0;34.78;18.83;46.033333;
82870;31/07/2007;0000;0;35.845161;19.719355;41.379032;
82870;31/08/2007;0000;0;35.541935;20.732258;40.879032;
82870;30/09/2007;0000;0;36.913333;22.706667;35.858333;
82870;31/10/2007;0000;2.4;38.070968;23.451613;35.475806;
82870;30/11/2007;0000;92.8;36.675862;23.358621;50.732143;
82870;31/12/2007;0000;181.1;33.519355;21.270968;64.766129;
82870;31/01/2008;0000;128.8;32.741935;21.412903;72.370968;
82870;29/02/2008;0000;101.8;31.565517;21.368966;79.258621;
82870;31/03/2008;0000;404;29.554839;21.122581;85.774194;
82870;30/04/2008;0000;122.6;31.013333;21.42;82.830357;
82870;31/05/2008;0000;15;32.419355;20.551613;71.366667;
82870;30/06/2008;0000;0;33.003333;17.723333;;
82870;31/07/2008;0000;0;33.23871;17.722581;49.33871;
82870;31/08/2008;0000;0;35.464286;20.575;39.203704;
82870;30/09/2008;0000;2.5;37.726667;22.296667;36.065789;
82870;31/10/2008;0000;2;38.045161;23.851613;37.040323;
82870;30/11/2008;0000;69.2;35.796667;23.42;52.691667;
82870;31/12/2008;0000;177.4;33.296774;21.951613;71.442308;
82870;31/01/2009;0000;164.7;32.296774;21.116129;;
82870;28/02/2009;0000;147.2;31.157143;21.175;81.897727;
82870;31/03/2009;0000;109.4;32.212903;21.509677;80.775;
82870;30/04/2009;0000;243.6;30.64;22.186667;84.2;
82870;31/05/2009;0000;192.6;31.154839;21.470968;80.33871;
82870;30/06/2009;0000;23.8;32.393333;19.246667;69.041667;
82870;31/07/2009;0000;0;34.554839;18.212903;50.790323;
82870;31/08/2009;0000;17.8;35.993548;20.364516;42.427419;
82870;30/09/2009;0000;0;38.253333;22.58;36.266667;
82870;31/10/2009;0000;193.1;35.109677;23.119355;60.066667;
82870;30/11/2009;0000;19.6;35.286667;22.536667;58.316667;
82870;31/12/2009;0000;257.5;31.587097;22.129032;77.193548;
82870;31/01/2010;0000;70.8;32.787097;21.825806;72.685484;
82870;28/02/2010;0000;76.8;34.177778;22.878571;72.160714;
82870;31/03/2010;0000;214;33.077419;22.8;77.072581;
82870;30/04/2010;0000;198.2;32.733333;22.236667;77.508333;
82870;31/05/2010;0000;33.4;35.541935;21.303226;63.791667;
82870;30/06/2010;0000;0;34.773333;21.03;52.458333;
82870;31/07/2010;0000;0;34.903226;20.151613;46.580645;
82870;31/08/2010;0000;0;36.090323;20.656667;40.782258;
82870;30/09/2010;0000;0;37.286667;22.663333;40.108333;
82870;31/10/2010;0000;22.7;36.870968;23.532258;49.75;
82870;30/11/2010;0000;113.6;36.14;22.966667;58.35;
82870;31/12/2010;0000;136.3;32.767742;21.574194;71.387097;
82870;31/01/2011;0000;158.5;32.148387;21.66129;77.201613;
82870;28/02/2011;0000;180.2;30.271429;21.521429;84.919643;
82870;31/03/2011;0000;308.9;31.096774;21.796774;83.846774;
82870;30/04/2011;0000;87.3;31.993333;21.226667;78.825;
82870;31/05/2011;0000;25.5;32.980645;20.9;68.375;
82870;30/06/2011;0000;0;34.573333;18.093333;54.391667;
82870;31/07/2011;0000;0;34.432258;18.212903;48.065217;
82870;31/08/2011;0000;0;36.645161;19.609677;39.25;
82870;30/09/2011;0000;0;37.32;21.35;34.420455;
82870;31/10/2011;0000;68.7;36.174194;23.145161;51.733333;
82870;30/11/2011;0000;111.9;32.586667;22.153333;69.439655;
82870;31/12/2011;0000;22.5;35.032258;21.516129;59.533333;
82870;31/01/2012;0000;139.2;32.477419;21.903226;74.169355;
82870;29/02/2012;0000;244.5;30.931034;20.848276;;
82870;31/03/2012;0000;127.8;32.574194;20.903226;73.153226;
82870;30/04/2012;0000;9.8;35.406667;20.453333;59.776786;
82870;31/05/2012;0000;0;36.483871;20.33871;46.258065;
82870;30/06/2012;0000;0;36.293333;20.06;38.896552;
82870;31/07/2012;0000;0;35.870968;19.870968;37.775;
82870;31/08/2012;0000;0;35.322581;19.635484;;
82870;30/09/2012;0000;0;37.813333;20.853333;32.018519;
82870;31/10/2012;0000;0.6;38.76129;23.53871;;
82870;30/11/2012;0000;80.6;35.3;23.576667;60.655172;
82870;31/12/2012;0000;87;34.296774;22.251613;;
82870;31/01/2013;0000;144.1;32.367742;22.241935;77.620968;
82870;28/02/2013;0000;7.1;35.328571;21.975;61.607143;
82870;31/03/2013;0000;241.6;34.090323;22.319355;72.564516;
82870;30/04/2013;0000;68.9;32.006667;21.643333;77.853448;
