--------------------
BDMEP - INMET
--------------------
Esta?o           : VITORIA - ES (OMM: 83648)
Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Altitude  (metros): 36.20
Esta?o Operante
Inicio de opera?o: 20/11/1923
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83648;31/01/2000;0000;243.9;30.383871;23.425806;76.733871;
83648;29/02/2000;0000;116.3;30.844828;23.910345;77.12931;
83648;31/03/2000;0000;139.8;30.254839;23.458065;77.145161;
83648;30/04/2000;0000;283;28.883333;22.383333;75.6;
83648;31/05/2000;0000;29;27.229032;20.458065;75.145161;
83648;30/06/2000;0000;85;27.236667;19.68;76.283333;
83648;31/07/2000;0000;37.6;25.090323;19.109677;74.024194;
83648;31/08/2000;0000;46;26.383871;19.335484;74.112903;
83648;30/09/2000;0000;116;25.783333;19.943333;80.45;
83648;31/10/2000;0000;10.5;29.680645;21.383871;71.919355;
83648;30/11/2000;0000;198;28.816667;20.823333;79.508333;
83648;31/12/2000;0000;257.1;30.180645;21.922581;77.379032;
83648;31/01/2001;0000;53.5;31.687097;22.890323;71.33871;
83648;28/02/2001;0000;84.6;32.835714;23.557143;71.821429;
83648;31/03/2001;0000;82.1;32.070968;23.341935;73.58871;
83648;30/04/2001;0000;1.6;31.193333;22.723333;72.391667;
83648;31/05/2001;0000;84.8;28.46129;20.377419;76.91129;
83648;30/06/2001;0000;55.7;27.42;19.726667;77.966667;
83648;31/07/2001;0000;0;;;;
83648;30/09/2001;0000;;25.573684;18.944444;;
83648;31/10/2001;0000;;26.225806;20.511111;82.1;
83648;30/11/2001;0000;;28.29;22.466667;83.85;
83648;31/12/2001;0000;;29.403333;23.386667;78.23;
83648;31/01/2002;0000;;30.529032;23.583871;79.008621;
83648;28/02/2002;0000;;30.396429;23.532143;80.73;
83648;31/03/2002;0000;;31.925806;24.325806;77.672414;
83648;30/04/2002;0000;;30.293333;23.196667;78.85;
83648;31/05/2002;0000;70.9;29.203226;22.129032;75.653226;
83648;30/06/2002;0000;47.8;27.89;20.97;81.175;
83648;31/07/2002;0000;32.4;26.183871;20.158065;79.25;
83648;31/08/2002;0000;64.9;28.677419;20.803226;74.508065;
83648;30/09/2002;0000;145.6;26.373333;19.93;77.425;
83648;31/10/2002;0000;19.5;29.951613;22.458065;71.137097;
83648;30/11/2002;0000;112.3;29.776667;23.016667;73.325;
83648;31/12/2002;0000;212;30.912903;23.932258;76.548387;
83648;31/01/2003;0000;206.7;31.206452;24.287097;77.258065;
83648;28/02/2003;0000;11.8;32.807143;24.885714;70.776786;
83648;31/03/2003;0000;6.6;32.406452;24.583871;69.983871;
83648;30/04/2003;0000;160.7;30.573333;23.286667;76.333333;
83648;31/05/2003;0000;33.8;28.364516;21.3;76.048387;
83648;30/06/2003;0000;2.1;29.13;21.1;75.275;
83648;31/07/2003;0000;55.4;27.577419;19.867742;74.629032;
83648;31/08/2003;0000;27.3;26.016129;19.622581;74.072581;
83648;30/09/2003;0000;29.7;26.31;20.256667;77.325;
83648;31/10/2003;0000;105.3;27.803226;21.03871;72.483871;
83648;30/11/2003;0000;35.3;29.526667;22.71;74.333333;
83648;31/12/2003;0000;314.4;30.322581;23.4;77.491935;
83648;31/01/2004;0000;345.4;29.093548;23.267742;81.459677;
83648;29/02/2004;0000;115.7;30.372414;23.527586;77.948276;
83648;31/03/2004;0000;216.6;29.987097;22.93871;77.548387;
83648;30/04/2004;0000;125.7;29.503333;22.49;79.533333;
83648;31/05/2004;0000;75.1;28.206452;21.429032;75.217742;
83648;30/06/2004;0000;51.9;27.31;19.966667;76.675;
83648;31/07/2004;0000;141.8;25.490323;18.912903;78.701613;
83648;31/08/2004;0000;75.2;26.632258;19.416129;76.870968;
83648;30/09/2004;0000;26.6;28.236667;21.03;70.858333;
83648;31/10/2004;0000;126.1;28.5;21.529032;73.153226;
83648;30/11/2004;0000;107.1;28.8;22.403333;75;
83648;31/12/2004;0000;242.7;29.706897;23.096552;79.068966;
83648;31/01/2005;0000;115.7;31.222581;23.893548;76.25;
83648;28/02/2005;0000;219.8;30.532143;23.203571;78.232143;
83648;31/03/2005;0000;197;31.070968;23.76129;79.379032;
83648;30/04/2005;0000;43.7;30.816667;23.293333;75.008333;
83648;31/05/2005;0000;204;28.545161;21.551613;76.717742;
83648;30/06/2005;0000;194.1;26.86;19.96;80.783333;
83648;31/07/2005;0000;96.3;26.145161;18.967742;75.379032;
83648;31/08/2005;0000;84.1;27.796774;20.348387;75.298387;
83648;30/09/2005;0000;157.6;26.483333;20.43;78.725;
83648;31/10/2005;0000;20.4;30.177419;22.429032;70.774194;
83648;30/11/2005;0000;272;27.526667;21.346667;81.166667;
83648;31/12/2005;0000;185.8;29.635484;22.125806;76.705357;
83648;31/01/2006;0000;65;32.248387;23.793548;70.346774;
83648;28/02/2006;0000;29.9;34.128571;24.892857;69.776786;
83648;31/03/2006;0000;207;31.335484;23.645161;78.032258;
83648;30/04/2006;0000;214.6;29.466667;22.363333;76.233333;
83648;31/05/2006;0000;1.3;27.909677;20.222581;70.967742;
83648;30/06/2006;0000;65.1;26.246667;18.946667;76.283333;
83648;31/07/2006;0000;62.5;26.932258;18.422581;74.491935;
83648;31/08/2006;0000;84.2;27.325806;19.909677;73.879032;
83648;30/09/2006;0000;66.4;26.646667;19.32;75.941667;
83648;31/10/2006;0000;66.5;27.274194;21.051613;78.443548;
83648;30/11/2006;0000;195.4;28.256667;21.696667;79.833333;
83648;31/12/2006;0000;326.7;29.63871;22.751613;78.959677;
83648;31/01/2007;0000;173.4;30.906452;23.796774;79.604839;
83648;28/02/2007;0000;87.2;30.760714;23.192857;79.946429;
83648;31/03/2007;0000;48.3;32.412903;23.832258;78.33871;
83648;30/04/2007;0000;101.9;30.82;22.826667;81.862069;
83648;31/05/2007;0000;38.1;28.109677;20.212903;79.798387;
83648;30/06/2007;0000;13.6;28.276667;19.673333;81.108333;
83648;31/07/2007;0000;2;27.703226;20.080645;72;
83648;31/08/2007;0000;47.6;27.258065;19.43871;74.362903;
83648;30/09/2007;0000;75;26.883333;19.686667;73;
83648;31/10/2007;0000;32.1;28.980645;21.370968;73.040323;
83648;30/11/2007;0000;164.6;29.57;22.33;73.716667;
83648;31/12/2007;0000;94.2;30.66129;23.116129;77.145161;
83648;31/01/2008;0000;128.4;29.767742;22.448387;75.814516;
83648;29/02/2008;0000;173;31.448276;23.255172;75.698276;
83648;31/03/2008;0000;68.7;31.525806;23.419355;77.653226;
83648;30/04/2008;0000;73.3;31.48;23.393333;76.758333;
83648;31/05/2008;0000;47;27.951613;20.022581;74.572581;
83648;30/06/2008;0000;42.1;27.423333;19.76;74.283333;
83648;31/07/2008;0000;28.3;26.793548;19.109677;71.024194;
83648;31/08/2008;0000;26.8;27.932258;20.570968;73.532258;
83648;30/09/2008;0000;29.2;26.91;20.043333;73.516667;
