--------------------
BDMEP - INMET
--------------------
Esta?o           : VOTUPORANGA - SP (OMM: 83623)
Latitude  (graus) : -20.41
Longitude (graus) : -49.98
Altitude  (metros): 502.50
Esta?o Operante
Inicio de opera?o: 05/07/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83623;31/01/2000;0000;393.8;30.937931;21.235714;75.375;
83623;29/02/2000;0000;369.3;30.357143;21.042857;77.473214;
83623;31/03/2000;0000;145.2;29.990323;20.848387;79.483871;
83623;30/04/2000;0000;31.6;30.606667;19.14;62.45;
83623;31/05/2000;0000;17;28.219355;15.845161;63.209677;
83623;30/06/2000;0000;0;29.519048;16.793333;52.841667;
83623;31/07/2000;0000;27.3;26.393333;12.841935;53.056452;
83623;31/08/2000;0000;53.6;30.185185;17.103704;52.657407;
83623;30/09/2000;0000;250.5;30.037931;18.389655;64.37069;
83623;31/10/2000;0000;24.8;34.696774;21.7;50.040323;
83623;30/11/2000;0000;189.6;31.686667;20.866667;66.466667;
83623;31/12/2000;0000;189.5;31.168966;21.031034;71.607143;
83623;31/01/2001;0000;216.4;31.82069;21.472414;67.935185;
83623;28/02/2001;0000;131.7;32.02963;21.722222;71.104167;
83623;31/03/2001;0000;113.4;31.83871;21.241935;70.466667;
83623;30/04/2001;0000;78.8;32.006667;20.283333;61.325;
83623;31/05/2001;0000;67.2;27.048387;15.977419;66.008065;
83623;30/06/2001;0000;9.1;26.513333;14.283333;64.208333;
83623;31/07/2001;0000;10.4;29.174194;15.490323;55.330645;
83623;31/08/2001;0000;40.9;30.170968;17.658065;47.556452;
83623;30/09/2001;0000;46.8;31.786667;18.424138;51.233333;
83623;31/10/2001;0000;119.4;31.322581;19.577419;59.456897;
83623;30/11/2001;0000;226.1;31.96;21.53;69.327586;
83623;31/12/2001;0000;207.5;31.167742;20.825806;71.983871;
83623;31/01/2002;0000;155.6;31.148387;21.264516;;
83623;28/02/2002;0000;237;30.932143;21.175;78.445652;
83623;31/03/2002;0000;116.3;33;21.925806;66.201613;
83623;30/04/2002;0000;5.4;34.146667;21.176667;50.041667;
83623;31/05/2002;0000;54.1;30.329032;18.241935;60.016129;
83623;30/06/2002;0000;0;31.293333;17.44;46.858333;
83623;31/07/2002;0000;13.5;28.948387;15.232258;54.16129;
83623;31/08/2002;0000;19.7;32.741935;19.270968;44.870968;
83623;30/09/2002;0000;72.6;30.413333;17.636667;55.491667;
83623;31/10/2002;0000;55.7;36.8;22.374194;48.290323;
83623;30/11/2002;0000;279.5;32.566667;20.95;66.966667;
83623;31/12/2002;0000;113.6;33.722581;22.248387;71.443548;
83623;31/01/2003;0000;502.4;30.954839;22.206452;;
83623;28/02/2003;0000;100.6;32.721429;22.321429;;
83623;31/03/2003;0000;158.3;31.43871;21.077419;;
83623;30/04/2003;0000;125.8;30.6;19.963333;67.708333;
83623;31/05/2003;0000;77.8;27.896774;15.716129;60.548387;
83623;30/06/2003;0000;12.4;30.166667;17.733333;53.908333;
83623;31/07/2003;0000;5.6;29.677419;16.612903;46.153226;
83623;31/08/2003;0000;21.6;29.212903;15.070968;50.016129;
83623;30/09/2003;0000;7.1;32.52;18.023333;47.525;
83623;31/10/2003;0000;53.3;32.445161;19.516129;57.798387;
83623;30/11/2003;0000;108.2;32.32;20.17;65.575;
83623;31/12/2003;0000;165.9;32.735484;21.845161;;
83623;31/01/2004;0000;354.4;31.132258;21.464516;;
83623;29/02/2004;0000;219.5;31.165517;20.989655;73.327586;
83623;31/03/2004;0000;54.7;32.019355;20.241935;64.379032;
83623;30/04/2004;0000;73.9;31.54;20.45;69.683333;
83623;31/05/2004;0000;85.9;26.874194;15.896774;72.322581;
83623;30/06/2004;0000;34.2;27.47;15.6;61.733333;
83623;31/07/2004;0000;29.3;27.112903;15.316129;59.58871;
83623;31/08/2004;0000;1.4;31.36129;16.858065;40.491935;
83623;30/09/2004;0000;0;35.906667;21.17;30.766667;
