--------------------
BDMEP - INMET
--------------------
Esta?o           : ZE DOCA - MA (OMM: 82376)
Latitude  (graus) : -3.26
Longitude (graus) : -45.65
Altitude  (metros): 45.28
Esta?o Operante
Inicio de opera?o: 25/08/1970
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82376;31/01/2000;0000;221.8;32.467742;22.76129;81.612903;
82376;29/02/2000;0000;235.1;32.27931;22.703448;82.972222;
82376;31/03/2000;0000;444.7;31.525806;22.874194;87.862903;
82376;30/04/2000;0000;254.6;31.46;22.88;87.633333;
82376;31/05/2000;0000;216.9;32.193548;23.16129;84.66129;
82376;30/06/2000;0000;129.7;32.086667;22.356667;82.691667;
82376;31/07/2000;0000;87.5;32.290323;22.051613;82.645161;
82376;31/08/2000;0000;38.1;33.309677;21.948387;77.733871;
82376;30/09/2000;0000;36.3;33.886667;22.426667;75.966667;
82376;31/10/2000;0000;68.4;33.974194;22.477419;72.266129;
82376;30/11/2000;0000;17.9;35.073333;22.656667;67.016667;
82376;31/12/2000;0000;138.4;33.941935;23.009677;74.072581;
82376;31/01/2001;0000;235.6;31.535484;22.396774;87.024194;
82376;28/02/2001;0000;270.6;31.742857;22.217857;88.267857;
82376;31/03/2001;0000;367.3;31.832258;22.845161;87.556452;
82376;30/04/2001;0000;541.8;31.86;22.746667;87.566667;
82376;31/05/2001;0000;136.7;33.051613;23.177419;83.048387;
82376;30/06/2001;0000;159.7;31.893333;22.38;85.425;
82376;31/07/2001;0000;54.1;32.119355;21.803226;82.225806;
82376;31/08/2001;0000;0.4;33.725806;21.632258;72.830645;
82376;30/09/2001;0000;30.6;34.506667;22.253333;71.891667;
82376;31/10/2001;0000;12.7;34.854839;22.648387;66.370968;
82376;30/11/2001;0000;14.7;34.256667;23.993333;66.857143;
82376;31/12/2001;0000;58.6;33.829032;24.264516;71.879032;
82376;31/01/2002;0000;448.2;31.329032;23.290323;85.653226;
82376;28/02/2002;0000;224.8;32.067857;23.878571;81.285714;
82376;31/03/2002;0000;366.5;31.23871;23.422581;86.016129;
82376;30/04/2002;0000;385.6;31.243333;23.223333;86.366667;
82376;31/05/2002;0000;279.6;31.487097;23.770968;82.766129;
82376;30/06/2002;0000;100.6;31.29;23.09;82.191667;
82376;31/07/2002;0000;29.9;31.96129;22.951613;77.854839;
82376;31/08/2002;0000;5.6;32.877419;22.983871;73.637097;
82376;30/09/2002;0000;21;33.93;22.85;68.758333;
82376;31/10/2002;0000;2.9;34.429032;23.409677;66.120968;
82376;30/11/2002;0000;92.7;34.096667;23.756667;68.6;
82376;31/12/2002;0000;108.6;33.554839;23.687097;74.540323;
82376;31/01/2003;0000;68.7;33.003226;24.19;75.532258;
82376;28/02/2003;0000;369.3;31.214286;23.282143;86.830357;
82376;31/03/2003;0000;405.2;30.680645;23.580645;87.41129;
82376;30/04/2003;0000;412.7;31.783333;23.79;86.066667;
82376;31/05/2003;0000;123.7;32.2;23.893548;81.91129;
82376;30/06/2003;0000;170.5;31.526667;23.113333;81.483333;
82376;31/07/2003;0000;31.9;31.932258;22.716129;77.766129;
82376;31/08/2003;0000;21.3;33.080645;22.777419;74.629032;
82376;30/09/2003;0000;15.7;33.683333;23.16;70.325;
82376;31/10/2003;0000;2.3;34.306452;23.545161;68.467742;
82376;30/11/2003;0000;6.7;34.186207;24.041379;68.383333;
82376;31/12/2003;0000;60;34.174194;23.790323;69.217742;
82376;31/01/2004;0000;385.6;32.393548;23.851613;81.096774;
82376;29/02/2004;0000;426.5;30.844828;23.52069;86.87069;
82376;31/03/2004;0000;311.6;31.545161;24.035484;85.169355;
82376;30/04/2004;0000;301.8;31.506667;23.92;85.533333;
82376;31/05/2004;0000;89.9;32.225806;23.958065;80.596774;
82376;30/06/2004;0000;100.8;31.48;22.946429;80.666667;
82376;31/07/2004;0000;53.7;31.477419;22.706667;79.814516;
82376;31/08/2004;0000;63.6;32.448387;22.646667;77.532258;
82376;30/09/2004;0000;80.4;33.073333;22.98;74.883333;
82376;31/10/2004;0000;2.2;33.83871;23.183871;69.298387;
82376;30/11/2004;0000;2.2;34.556667;23.59;66.866667;
82376;31/12/2004;0000;47.1;33.768;24.036;70.96;
82376;31/01/2005;0000;149.2;;;;
82376;28/02/2005;0000;386.7;;;;
82376;31/03/2005;0000;249.3;;;;
82376;30/04/2005;0000;382.7;;;;
82376;31/05/2005;0000;161.3;31.471429;24.314286;82.776786;
82376;30/06/2005;0000;87.3;31.73;23.768966;79.2;
82376;31/07/2005;0000;32.8;32.06129;22.767742;76.879032;
82376;31/08/2005;0000;21.1;33.590323;23.083871;71.387097;
82376;30/09/2005;0000;0;34.71;23.176667;64.958333;
82376;31/10/2005;0000;7.1;35.02;23.496774;63.451613;
82376;30/11/2005;0000;9.1;35.416667;24.48;63.4;
82376;31/12/2005;0000;244;33.116129;23.948387;75.024194;
82376;31/01/2006;0000;290.6;32.232258;23.932258;81.5;
82376;28/02/2006;0000;126.1;32.278571;23.939286;80.107143;
82376;31/03/2006;0000;290.6;31.53871;23.726667;84.532258;
82376;30/04/2006;0000;444.9;31.623333;23.323333;84.675;
82376;31/05/2006;0000;239.9;31.635484;23.364516;82.685484;
82376;30/06/2006;0000;21.5;31.96;23.093333;74.233333;
82376;31/07/2006;0000;50.9;32.564516;23.016129;73.725806;
82376;31/08/2006;0000;0.6;34.132258;23.19;67.814516;
82376;30/09/2006;0000;18.3;34.693333;23.573333;66.433333;
82376;31/10/2006;0000;2.3;35.519355;23.958065;62.419355;
82376;30/11/2006;0000;47.2;34.736667;24.386667;67.308333;
82376;31/12/2006;0000;71.6;33.619355;24.322581;70.766129;
82376;31/01/2007;0000;98.7;33.980645;24.629032;73.943548;
82376;28/02/2007;0000;436.3;31.203571;23.617857;86.285714;
82376;31/03/2007;0000;333.1;31.635484;23.8;84.354839;
82376;30/04/2007;0000;409.5;31.476667;23.7;86.05;
82376;31/05/2007;0000;67.8;32.4;24.241935;80.483871;
82376;30/06/2007;0000;56.3;32.116667;23.356667;77.441667;
82376;31/07/2007;0000;28;32.7;23.367742;76.379032;
82376;31/08/2007;0000;21.9;33.7;23.264516;67.741935;
82376;30/09/2007;0000;0.6;34.983333;23.363333;63.658333;
82376;31/10/2007;0000;5;35.180645;23.877419;62.120968;
82376;30/11/2007;0000;5.3;35.186667;24.386667;62.391667;
82376;31/12/2007;0000;169.2;32.870968;24.177419;74.080645;
82376;31/01/2008;0000;352.6;31.408;23.674194;83.669355;
82376;29/02/2008;0000;222.8;;23.503448;82.456897;
82376;31/03/2008;0000;371.9;;23.351613;85.41129;
82376;30/04/2008;0000;413.3;;23.586667;87.283333;
82376;31/05/2008;0000;201.7;;23.735484;82.846774;
82376;30/06/2008;0000;60.6;;23.45;78.233333;
82376;31/07/2008;0000;31.3;;22.845161;72.403226;
82376;31/08/2008;0000;2.9;;23.131034;69.645161;
82376;30/09/2008;0000;40.9;;23.49;67.858333;
82376;31/10/2008;0000;5.4;35.280645;23.693548;64;
82376;30/11/2008;0000;29.1;35.05;23.943333;64.691667;
82376;31/12/2008;0000;75.5;34.164516;24.306452;69.096774;
82376;31/01/2009;0000;240.4;32.051613;24.022581;80.370968;
82376;28/02/2009;0000;205.7;31.317857;23.646429;85.633929;
82376;31/03/2009;0000;597.1;30.964516;23.825806;86.669355;
82376;30/04/2009;0000;344.3;30.996667;23.836667;86.958333;
82376;31/05/2009;0000;409.6;30.906452;23.580645;85.879032;
82376;30/06/2009;0000;158.8;31.62;23.556667;78.333333;
