"","Estacion","Latitud","Longitud","D1","D2","Cluster"
"1","[SEGREDO + DESVIO] ARTIFICIAL (75)","","","-1.24243969123482","-0.0226538856920538","1"
"2","14 DE JULHO (284)","-29.05","-51.6667","-0.743289489893759","-0.0889485918926903","1"
"3","ALTO TIETÊ (160)","-23.5769","-45.9725","-0.28182198799078","-0.223975703663801","1"
"4","BAIXO IGUAÇU (81)","","","-1.22490605221925","-0.0156756511937978","1"
"5","BARRA GRANDE (215)","-27.7667","-51.2167","-0.925922705738185","-0.195724024298396","1"
"6","BILLINGS (118)","-23.7894","-46.5461","-0.133617442562065","-0.19643504705574","1"
"7","BILLINGS+PEDRAS (119)","-23.85","-46.48333","-0.132222743088136","-0.195737455283292","1"
"8","CAMPOS NOVOS (216)","-27.6017","-51.3169","-1.04881375819155","-0.113650026151993","1"
"9","CASTRO ALVES (98)","-29.0081","-51.3789","-0.801728813353992","-0.0557871332174801","1"
"10","DESVIO JORDAO (73)","-25.7597","-52.0856","-1.2629800063171","-0.0865207418058378","1"
"11","DESVIO JORDÃO ARTIFICIAL (70)","","","-1.27599208114564","-0.267497858795908","1"
"12","DONA FRANCISCA (114)","-29.4269","-53.2725","-0.757567896907527","-0.201039189147992","1"
"13","FOZ DO AREIA (74)","-26.0139","-51.6644","-1.24489690210351","-0.108920348287369","1"
"14","FOZ DO CHAPECÓ (94)","-27.07","-53.04","-0.926263602099534","-0.112885473348895","1"
"15","FUNDÃO (72)","-25.7086","-51.9981","-1.2590497132068","-0.136291279429793","1"
"16","GARIBALDI (89)","-27.6214","-50.9881","-1.06549955033937","-0.119192991096776","1"
"17","ITÁ (92)","-27.2669","-52.3814","-0.937533272849299","-0.134946272374785","1"
"18","ITAUBA (113)","-29.25","-53.2364","-0.767395659805378","-0.170043239353892","1"
"19","JACUÍ (112)","-29.0667","-53.2","-0.757439563752388","-0.186877867294767","1"
"20","LAJES/P.PASSOS/FONTES NOVA (202)","-22.6919","-43.8639","-0.183064930641937","-0.169473822390527","1"
"21","MACHADINHO (217)","-27.5236","-51.7847","-0.957153840000211","-0.124170694690777","1"
"22","MAUÁ (57)","-24.0633","-50.7014","-1.27310356845593","-0.0156526814859265","1"
"23","MONJOLINHO (220)","-27.3289","-52.735","-0.852515441062673","-0.0527428899409842","1"
"24","MONTE CLARO (97)","-29.8636","-51.5206","-0.742582249480287","-0.0903176755739405","1"
"25","PASSO FUNDO (93)","-27.5525","-52.7314","-0.788905532561221","-0.143322037912503","1"
"26","PASSO REAL (111)","-29.0167","-53.1833","-0.756326596318384","-0.18752142725422","1"
"27","PASSO SÃO JOÃO (103)","-28.1289","-55.0492","-0.934352174124468","-0.0164471426548273","1"
"28","PEDRA DO CAVALO (254)","-12.5844","-38.9994","-0.931424482049455","-0.286061891615927","1"
"29","PEDRAS (116)","-23.8183","-46.6897","-0.15115235114701","-0.199252706046256","1"
"30","PEDREIRA (109)","","","-0.133617442562063","-0.196435047055748","1"
"31","PIMENTAL ARTIFICIAL (302)","","","0.10494405915088","-0.545599563651521","1"
"32","QUEBRA QUEIXO (286)","-26.6503","-52.5511","-1.0902189262278","-0.000678153184946379","1"
"33","SALTO CAXIAS (222)","-25.5433","-53.4925","-1.22195552236985","-0.0309581274781742","1"
"34","SALTO OSORIO (78)","-25.5372","-53.0089","-1.23796930667616","-0.0334278034581505","1"
"35","SALTO SANTIAGO (77)","-25.6211","-52.6089","-1.24054009991355","-0.0323715218363255","1"
"36","SANTA CLARA MG (283)","-17.8961","-40.2017","-0.637790811559875","-0.0357897333248127","1"
"37","SANTA CLARA PR (71)","-17.8961","-40.2017","-1.25885631854983","-0.139593450068247","1"
"38","SÃO JOSÉ (102)","-28.1769","-54.75","-0.935676311701676","-0.0173563421247706","1"
"39","SÃO ROQUE (88)","","","-1.10676058346843","-0.134023708593292","1"
"40","SEGREDO (76)","-25.7881","-52.1142","-1.24218416092424","-0.0402982225916621","1"
"41","TRAIÇÃO (104)","","","-0.151117517913424","-0.142215819045187","1"
"42","A.A. LAYDNER (47)","-23.2106","-49.2303","-0.684232601060804","0.102399358579896","2"
"43","CANOAS I (52)","-22.9411","-50.5172","-0.76769554728353","0.171150684365568","2"
"44","CANOAS II (51)","-22.9383","-50.2508","-0.767112247092788","0.161461361467144","2"
"45","CAPIVARA (61)","-22.6603","-51.3581","-1.08937267372271","0.152245907529","2"
"46","CHAVANTES (49)","-23.1289","-49.7317","-0.796256248564185","0.0909482425541821","2"
"47","ERNESTINA (110)","-28.5558","-52.5456","-0.890457777617544","0.149769301654648","2"
"48","GOVERNADOR PARIGOT DE SOUZA (115)","-25.1378","-48.8733","-0.962155678246055","0.092528623907381","2"
