--------------------
BDMEP - INMET
--------------------
Estação           : ACARAU - CE (OMM: 82294)
Latitude  (graus) : -2.88
Longitude (graus) : -40.14
Altitude  (metros): 16.50
Estação Desativada
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82294;31/01/2000;0000;97.5;31.374194;23.309677;;
82294;29/02/2000;0000;111.2;30.803448;23.431034;;
82294;31/03/2000;0000;188.8;30.825806;23.370968;;
82294;30/04/2000;0000;530.4;30.65;23.173333;;
82294;31/05/2000;0000;80.1;31.806452;23.280645;;
82294;30/06/2000;0000;87;31.946667;22.316667;;
82294;31/07/2000;0000;56;32.151613;22.603226;;
82294;31/08/2000;0000;10.4;32.83871;22.312903;;
82294;30/09/2000;0000;23.9;32.55;23.556667;;
82294;31/03/2001;0000;135.5;31.419355;23.493548;;
82294;30/09/2001;0000;0;;;;
82294;31/10/2001;0000;0.3;33.293548;23.406452;73.908333;
82294;30/11/2001;0000;0;33.33;24.27931;75.068966;
82294;31/12/2001;0000;9.7;33.992857;24.528571;76.105769;
82294;31/01/2002;0000;149.6;31.353333;23.574194;85.922414;
82294;28/02/2002;0000;44.3;32.314815;23.311538;82.8;
82294;31/03/2002;0000;292.4;31.325806;23.406667;89.25;
82294;30/04/2002;0000;248.5;30.775;23.510345;91.696429;
82294;31/05/2002;0000;148.2;31.551613;23.354839;90.427419;
82294;30/06/2002;0000;72;31.856667;22.843333;88.1;
82294;31/07/2002;0000;0;;;;
82294;31/08/2002;0000;6.1;33.413333;22.774194;78.733333;
82294;30/09/2002;0000;0.9;33.026667;22.98;74.866667;
82294;31/10/2002;0000;0.3;33.419355;24.048387;85.072581;
82294;30/11/2002;0000;2.1;33.246667;23.693333;77.533333;
82294;31/12/2002;0000;2;33.235484;24.066667;75.483871;
82294;31/01/2003;0000;111.8;31.983871;22.051613;79.83871;
82294;28/02/2003;0000;323.3;30.2;23.332143;90.580357;
82294;31/03/2003;0000;544.9;30.483871;23.29;91.677419;
82294;30/04/2003;0000;194.5;30.996667;23.433333;90.175;
82294;31/05/2003;0000;108.6;31.9;23.267742;87.064516;
82294;30/06/2003;0000;48.4;31.583333;22.406667;84.675;
82294;31/08/2003;0000;9.6;33.125806;22.503226;84.056452;
82294;30/09/2003;0000;0.2;33.813333;23.33;84.033333;
82294;31/10/2003;0000;1.6;33.732258;24.077419;84.387097;
82294;30/11/2003;0000;0.7;33.936667;24.113793;83.62069;
82294;31/12/2003;0000;1;33.758065;24.548387;81.612903;
82294;31/01/2004;0000;457.4;31.316129;24.070968;89.225806;
82294;29/02/2004;0000;354.6;30.717241;23.327586;89.793103;
82294;31/03/2004;0000;159.9;31.641935;23.612903;90.290323;
82294;30/04/2004;0000;138.1;31.94;23.383333;90.333333;
82294;31/05/2004;0000;49.4;32.796774;23.109677;90.322581;
82294;30/06/2004;0000;72.6;31.866667;22.041379;91.1;
82294;31/08/2004;0000;0.2;33.374194;22.59;79.766667;
82294;30/09/2004;0000;0;33.843333;23.523333;77;
82294;31/10/2004;0000;0;33.73871;23.353333;79.935484;
82294;30/11/2004;0000;0;33.656667;23.26;81.633333;
82294;31/12/2004;0000;0.2;33.280645;23.235484;83.774194;
82294;31/01/2005;0000;3;33.216129;23.735484;84.866667;
82294;28/02/2005;0000;61.2;33.178571;24.342857;87.464286;
82294;31/03/2005;0000;79;32.729032;24.029032;90;
82294;30/04/2005;0000;216;32.103333;23.686667;90.966667;
82294;31/05/2005;0000;184.7;32.187097;23.432258;92.193548;
82294;30/06/2005;0000;31.4;32.373333;22.71;89.833333;
82294;31/07/2005;0000;23.6;33.576667;22.57931;85.724138;
82294;30/09/2005;0000;0;33.936667;22.84;85.533333;
82294;31/10/2005;0000;0;33.56129;23.690323;82.096774;
82294;30/11/2005;0000;0;34.143333;23.503448;77.766667;
82294;31/12/2005;0000;0.2;33.996774;23.925806;72.666667;
82294;31/01/2006;0000;31.4;33.651613;24.306452;75.645161;
82294;28/02/2006;0000;91.8;31.653571;24.128571;80.5;
82294;31/03/2006;0000;268.6;31.070968;23.293548;86.258065;
82294;30/04/2006;0000;374.6;31.046667;23.31;89.7;
82294;31/05/2006;0000;196.3;31.558065;23.022581;87.709677;
82294;30/06/2006;0000;94.1;31.586667;22.710345;84.344828;
82294;31/08/2006;0000;2.5;33.2;22.412903;78.16129;
82294;30/09/2006;0000;2.1;33.713333;23.686667;76.133333;
82294;31/10/2006;0000;0.1;33.33871;23.42;76.096774;
82294;30/11/2006;0000;1.1;33.473333;23.676667;78.3;
82294;31/12/2006;0000;13.7;32.980645;24.003226;81.258065;
82294;31/01/2007;0000;17.4;33.167742;24.164516;81.612903;
82294;28/02/2007;0000;276.8;31.032143;23.692593;88.5;
82294;31/03/2007;0000;158.6;31.106452;23.345161;90.064516;
82294;30/04/2007;0000;193;31.146667;23.75;89.033333;
82294;31/05/2007;0000;40.5;32.351613;23.225806;86.903226;
82294;30/06/2007;0000;40.3;32.92;22.436667;82.766667;
82294;31/08/2007;0000;0.6;33.864516;23.1;77.83871;
82294;30/09/2007;0000;0.6;33.763333;23.54;77.233333;
82294;31/10/2007;0000;0;33.26129;23.835484;76.677419;
82294;30/11/2007;0000;0.4;33.31;24.42;78.766667;
82294;31/12/2007;0000;29.8;32.832258;24.232258;82.354839;
82294;31/01/2008;0000;161.7;30.748387;23.680645;87.870968;
82294;29/02/2008;0000;115.5;31.803448;23.486207;87.103448;
82294;31/03/2008;0000;358.6;29.964516;23.229032;92.483871;
82294;30/04/2008;0000;489.5;30.716667;23.356667;91.733333;
82294;31/05/2008;0000;154.2;31.596774;23.125806;90.032258;
82294;30/06/2008;0000;41.8;31.8;22.773333;87.266667;
82294;31/07/2008;0000;0.4;33.106452;22.503226;87.483871;
82294;30/09/2008;0000;0;33.506667;23.33;83.433333;
82294;31/10/2008;0000;0;33.974194;24.051613;85.548387;
82294;30/11/2008;0000;0.1;33.516667;23.366667;84.333333;
82294;31/12/2008;0000;0;33.470968;23.7;84.741935;
82294;31/01/2009;0000;161.1;31.941935;23.7;86.516129;
82294;28/02/2009;0000;414.6;30.132143;23.171429;90.535714;
82294;31/03/2009;0000;452.2;29.816129;23.441935;92.774194;
82294;30/04/2009;0000;698.3;29.627586;23.263333;93.266667;
82294;31/05/2009;0000;276.7;30.187097;23.296774;92.068966;
82294;30/06/2009;0000;138;31.51;22.756667;87.5;
82294;31/08/2009;0000;15.2;32.606667;22.289655;92.423077;
82294;30/09/2009;0000;0.6;32.866667;22.783333;92.758621;
82294;31/10/2009;0000;0.3;32.312903;22.396774;90.645161;
82294;30/11/2009;0000;1.6;32.87;23.476667;91.655172;
82294;31/12/2009;0000;4.2;33;24.135484;92.354839;
82294;31/01/2010;0000;36.1;32.558065;23.412903;91.516129;
82294;28/02/2010;0000;22.2;33.511538;24.942308;89.807692;
82294;31/03/2010;0000;105.9;32.93871;24.203226;92.967742;
82294;30/04/2010;0000;205.4;32.42;24.16;95.689655;
82294;31/05/2010;0000;89.6;32.674194;24.216667;95.419355;
82294;30/06/2010;0000;135.9;32.82;22.94;95.633333;
82294;31/07/2010;0000;1.1;33.432258;22.864516;94.290323;
82294;30/09/2010;0000;0;33.45;25.066667;81.692308;
82294;31/10/2010;0000;0;;;;
82294;31/12/2010;0000;0;;;;
82294;31/01/2011;0000;315.4;30.916129;23.27;82.467742;
82294;28/02/2011;0000;170.3;30.925926;23.388462;85.777778;
82294;31/03/2011;0000;175.4;29.96875;23.441176;91.338235;
