--------------------
BDMEP - INMET
--------------------
Estação           : AGUA BRANCA - AL (OMM: 82989)
Latitude  (graus) : -9.28
Longitude (graus) : -37.9
Altitude  (metros): 605.34
Estação Operante
Inicio de operação: 05/05/1928
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82989;31/01/2000;0000;50.1;29.893548;21.02;73.741935;
82989;29/02/2000;0000;289.6;29.517241;20.824138;78.275862;
82989;31/03/2000;0000;64.9;29.73871;20.945161;79.895161;
82989;30/04/2000;0000;69.1;29.026667;21.06;81.816667;
82989;31/05/2000;0000;95.1;27.080645;20.143333;83.83871;
82989;30/06/2000;0000;185.1;24.916667;19.266667;90.066667;
82989;31/07/2000;0000;146.5;24.187097;18.496667;88.154762;
82989;31/08/2000;0000;112.3;25.387097;18.216129;85.532258;
82989;30/09/2000;0000;66.7;26.973333;18.524138;80.767241;
82989;31/10/2000;0000;5.5;29.722581;19.116129;;
82989;30/11/2000;0000;56.2;30.503333;20.283333;69.362069;
82989;31/12/2000;0000;101.9;29.946667;20.029032;;
82989;31/01/2001;0000;8.8;30.096774;19.419355;68.024194;
82989;28/02/2001;0000;12.3;31.171429;20.639286;65.721154;
82989;31/03/2001;0000;251.2;30.219355;20.696774;73.577586;
82989;30/04/2001;0000;21.2;28.96;20.234483;73.172414;
82989;31/05/2001;0000;4.8;30.322581;20.21;71.782258;
82989;30/06/2001;0000;118.5;25.12;18.613333;87;
82989;31/07/2001;0000;183.3;23.69;18.036667;91.591667;
82989;31/08/2001;0000;141.2;23.909677;17.129032;88.225806;
82989;30/09/2001;0000;13.2;28.066667;18.334483;76.833333;
82989;31/10/2001;0000;88.1;29.432258;19.103333;74.284483;
82989;30/11/2001;0000;1.8;31.333333;19.446667;67.383333;
82989;31/12/2001;0000;156.4;30.648387;20.23871;73.620968;
82989;31/01/2002;0000;194.8;27.419355;20.13871;85.75;
82989;28/02/2002;0000;128.3;28.214286;19.867857;81.660714;
82989;31/03/2002;0000;101.4;29.351613;19.870968;77.612903;
82989;30/04/2002;0000;47.4;28.943333;20.143333;77.733333;
82989;31/05/2002;0000;114.9;26.654839;19.803226;86.645161;
82989;30/06/2002;0000;137.8;24.223333;18.946667;93.225;
82989;31/07/2002;0000;180.9;25.119355;18.332258;90.066667;
82989;31/08/2002;0000;76.8;25.148387;17.864516;91.166667;
82989;30/09/2002;0000;19.7;28.696667;18.293333;80.793103;
82989;31/10/2002;0000;7.6;30.193548;18.735484;73.933333;
82989;30/11/2002;0000;8.1;31.396667;19.833333;73.407407;
82989;31/12/2002;0000;24.1;31.748387;20.451613;75.3;
82989;31/01/2003;0000;0;;;;
82989;28/02/2003;0000;105.5;30;20.603571;80.346154;
82989;31/03/2003;0000;73.2;30.393548;20.880645;80.4;
82989;30/04/2003;0000;40.8;30.203333;20.733333;79.035714;
82989;30/06/2003;0000;51.2;25.366667;18.553333;88.344828;
82989;31/07/2003;0000;64.5;25.158065;17.754839;86.88;
82989;31/08/2003;0000;21.2;26.719355;18.029032;83.607143;
82989;30/09/2003;0000;30.2;28.336667;18.246667;78.103448;
82989;31/10/2003;0000;87.9;29.229032;18.745161;78.137931;
82989;30/11/2003;0000;40.9;29.79;19.543333;78.517241;
82989;31/12/2003;0000;0.3;31.690323;20.232258;70.965517;
82989;31/01/2004;0000;233.8;29.229032;20.496774;83.709677;
82989;29/02/2004;0000;43.8;28.672414;20.158621;88.172414;
82989;31/03/2004;0000;0;;;;
82989;30/04/2004;0000;8.8;30.096667;20.156667;88.733333;
82989;30/06/2004;0000;153.9;24.43;18.18;93.916667;
82989;31/07/2004;0000;83.7;24.358065;17.329032;92.451613;
82989;31/08/2004;0000;91.7;24.586207;17.145161;92.290323;
82989;30/09/2004;0000;59;26.483333;17.486667;87.133333;
82989;31/10/2004;0000;0;30.432258;18.432258;77.967742;
82989;30/11/2004;0000;87.7;31.506667;19.12;73.533333;
82989;31/12/2004;0000;35.2;31.587097;19.445161;72.870968;
82989;31/01/2005;0000;59;31.386667;20.345161;77.733333;
82989;31/03/2005;0000;147.9;30.655172;20.751724;82.275862;
82989;30/04/2005;0000;74.2;28.676667;20.331034;89.103448;
82989;31/05/2005;0000;283.6;25.651613;19.522581;95.322581;
82989;30/06/2005;0000;159.4;24.39;18.56;95.5;
82989;31/07/2005;0000;186.7;23.277419;17.274194;93.483871;
82989;31/08/2005;0000;154.7;23.954839;17.145161;94.258065;
82989;30/09/2005;0000;53.9;27.21;17.55;84.5;
82989;31/10/2005;0000;0.1;30.267742;18.229032;77.225806;
82989;30/11/2005;0000;7;31.72;18.99;75.166667;
82989;31/12/2005;0000;18.5;30.383871;19.587097;77.645161;
82989;31/01/2006;0000;0;31.090323;19.525806;72.806452;
82989;31/03/2006;0000;73.4;30.876667;21.110345;79.633333;
82989;30/04/2006;0000;60.3;29.493333;20.993333;83.566667;
82989;31/05/2006;0000;188.1;26.296774;19.477419;92.033333;
82989;30/06/2006;0000;241.6;23.676667;18.14;96.133333;
82989;31/07/2006;0000;308.6;23.067742;17.564516;95.548387;
82989;31/08/2006;0000;58;24.983871;17.354839;89.870968;
82989;30/09/2006;0000;95.8;26.983333;17.646667;82.2;
82989;31/10/2006;0000;28.8;30.235484;18.864516;78.064516;
82989;30/11/2006;0000;20.4;31.396667;19.423333;74.4;
82989;31/12/2006;0000;0;32.264516;19.983871;72.258065;
82989;31/01/2007;0000;2.9;32.632258;20.096774;72.733333;
82989;31/03/2007;0000;178.6;27.253333;19.527586;91.586207;
82989;30/04/2007;0000;63.2;28.143333;19.39;89.433333;
82989;31/05/2007;0000;207.7;25.745161;18.793548;94.096774;
82989;30/06/2007;0000;163.4;24.566667;17.653333;94.433333;
82989;31/07/2007;0000;135.7;24.429032;16.887097;93.774194;
82989;31/08/2007;0000;176.7;23.816129;16.433333;92.16129;
82989;30/09/2007;0000;73.6;25.666667;16.696667;87.466667;
82989;31/10/2007;0000;1.3;29.351613;17.219355;78.064516;
82989;30/11/2007;0000;1.8;31.33;18.382759;73.033333;
82989;31/12/2007;0000;7.7;31.516129;18.777419;73.225806;
82989;31/01/2008;0000;0.2;31.583871;18.854839;73.806452;
82989;31/03/2008;0000;175.4;29.02;19.273333;87.6;
82989;30/04/2008;0000;138.6;28.073333;19.23;90.766667;
82989;31/05/2008;0000;142.4;25.670968;18.348387;93.7;
82989;30/06/2008;0000;93.2;24.23;16.833333;93.9;
82989;31/07/2008;0000;260.3;23.4;16.012903;94.967742;
82989;31/08/2008;0000;72.7;24.932258;16.241935;92.516129;
82989;30/09/2008;0000;16.9;27.533333;16.813333;85.466667;
82989;31/10/2008;0000;10.8;29.848387;17.370968;80.096774;
82989;30/11/2008;0000;0;32.243333;17.983333;72.6;
82989;31/12/2008;0000;63.4;31.748387;18.729032;74.096774;
82989;31/01/2009;0000;5.4;31.909677;19.158065;72.935484;
82989;31/03/2009;0000;78.5;31.851724;19.531034;77.142857;
82989;30/04/2009;0000;217.7;28.866667;19.23;86.666667;
82989;31/05/2009;0000;454.5;25.493548;19.135484;95.903226;
82989;30/06/2009;0000;159.1;24.81;19.416667;96.5;
82989;31/07/2009;0000;130.9;24.716129;18.696774;96.645161;
82989;31/08/2009;0000;159.8;24.796774;18.451613;95.933333;
82989;30/09/2009;0000;23.2;28.02;18.69;89.6;
82989;31/10/2009;0000;23.9;30.348;19.952;84.125;
82989;30/11/2009;0000;0.8;30.896667;19.503333;83.8;
82989;31/12/2009;0000;27.3;30.125806;20.625806;85.870968;
82989;31/01/2010;0000;20.5;29.677419;20.441935;87.566667;
82989;31/03/2010;0000;46.9;30.396552;21.337931;90.827586;
82989;30/04/2010;0000;165.3;27.713333;21.103333;94.566667;
82989;31/05/2010;0000;79.9;26.5;20.403226;94.83871;
82989;30/06/2010;0000;293.5;23.16;19.056667;97.566667;
82989;31/07/2010;0000;13;;;;
82989;30/09/2010;0000;4.4;;;;
82989;31/10/2010;0000;21.5;29.890323;19.174194;94.225806;
82989;30/11/2010;0000;0;31.856667;19.233333;89.642857;
82989;31/12/2010;0000;69.1;31.367742;20.096774;90.032258;
82989;31/01/2011;0000;73.1;30.925806;20.480645;91.064516;
82989;31/03/2011;0000;178.4;30.275862;21.258621;93.586207;
82989;30/04/2011;0000;76.2;28.393333;20.84;96.433333;
82989;31/05/2011;0000;196.2;25.141935;19.693548;97.741935;
82989;30/06/2011;0000;124.8;25.306667;18.82;97.166667;
82989;31/07/2011;0000;211.1;23.748387;17.812903;97.966667;
82989;31/08/2011;0000;80.4;26.080645;17.767742;96.066667;
82989;30/09/2011;0000;150.7;25.846667;17.513333;95.966667;
82989;31/10/2011;0000;48.1;29.448387;19.096774;91.233333;
82989;30/11/2011;0000;101.2;29.296667;19.07;92.266667;
82989;31/12/2011;0000;0.3;31.987097;19.912903;90.096774;
82989;31/01/2012;0000;0.7;31.467742;19.990323;88.16129;
82989;31/03/2012;0000;9.8;31.13;19.953333;87.035714;
82989;30/04/2012;0000;6.7;30.8;19.826667;86;
82989;31/05/2012;0000;49.6;28.864516;19.264516;90.6;
82989;30/06/2012;0000;57.3;27.343333;18.876667;90.344828;
82989;31/07/2012;0000;167.8;24.022581;17.509677;96.266667;
82989;31/08/2012;0000;112.5;24.919355;16.967742;95.322581;
82989;30/09/2012;0000;29.3;27.92;17.353333;88.766667;
82989;31/10/2012;0000;17.9;29.267742;18.293548;88.741935;
82989;30/11/2012;0000;9.2;32.72;19.813333;70.4;
82989;31/12/2012;0000;0.4;32.293548;19.836667;68.677419;
82989;31/01/2013;0000;55.6;31.587097;20.358065;71.064516;
82989;31/03/2013;0000;5.8;32.210345;20.734483;66.931034;
82989;30/04/2013;0000;144.4;30.68;20.36;75.2;
82989;31/05/2013;0000;126.7;26.932258;19.490323;87.967742;
82989;30/06/2013;0000;54.8;26.83;18.686667;86.466667;
82989;31/07/2013;0000;193.5;24.825806;17.567742;90.8;
82989;31/08/2013;0000;88.6;25.770968;17.132258;87.741935;
82989;30/09/2013;0000;24;28.663333;17.416667;77.933333;
82989;31/10/2013;0000;151.2;29.467742;18.222581;76.806452;
82989;30/11/2013;0000;8.6;30.31;18.55;72.931034;
82989;31/12/2013;0000;73.1;31.196774;19.748387;72.064516;
82989;31/01/2014;0000;15.7;31.254839;19.016129;70.290323;
82989;31/03/2014;0000;55.9;31.176667;19.827586;73.8;
82989;30/04/2014;0000;102.2;29.793333;19.96;80.233333;
82989;31/05/2014;0000;169;26.019355;18.635484;87.870968;
82989;30/06/2014;0000;83.8;26.08;17.846667;88.724138;
82989;31/07/2014;0000;156.2;25.203226;16.996774;89.714286;
82989;31/08/2014;0000;116.2;25.429032;16.3;87.129032;
82989;30/09/2014;0000;120.3;27.968966;16.783333;81.413793;
82989;31/10/2014;0000;91.5;28.067742;17.309677;81;
82989;30/11/2014;0000;28.5;30.72;18.5;74.3;
82989;31/12/2014;0000;66.2;30.632258;18.654839;72.193548;
82989;31/01/2015;0000;5.7;31.674194;18.722581;67.612903;
82989;31/03/2015;0000;8.1;32.096552;19.317241;70.206897;
82989;30/04/2015;0000;19.4;32.226667;19.576667;70.733333;
82989;31/05/2015;0000;47.9;29.683871;18.929032;80.4;
82989;30/06/2015;0000;212.2;25.406667;17.646667;91.633333;
82989;31/07/2015;0000;180.1;24.493548;16.674194;91.935484;
82989;31/08/2015;0000;35.4;26.432258;15.806452;83.774194;
82989;30/09/2015;0000;11.8;29.726667;16.540741;74.633333;
82989;31/10/2015;0000;13.3;30.729032;17.287097;72.290323;
82989;30/11/2015;0000;2.6;32.105882;17.629412;66.882353;
82989;31/12/2015;0000;23.3;31.862069;18.821429;68.310345;
