--------------------
BDMEP - INMET
--------------------
Estação           : ARACUAI - MG (OMM: 83442)
Latitude  (graus) : -16.83
Longitude (graus) : -42.05
Altitude  (metros): 289.00
Estação Operante
Inicio de operação: 06/09/1918
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83442;31/01/2000;0000;117.8;32.322581;21.322581;76.185484;
83442;29/02/2000;0000;66.3;33.92069;21.641379;67.456897;
83442;31/03/2000;0000;150;31.945161;21.164516;78.266129;
83442;30/04/2000;0000;62.3;31.08;20.32;75.466667;
83442;31/05/2000;0000;22.2;30.990323;17.73871;67.427419;
83442;30/06/2000;0000;0;29.836667;15.48;63.258333;
83442;31/07/2000;0000;0.8;29.496552;16.627586;62.655172;
83442;31/08/2000;0000;56.7;31.093548;17.132258;55.701613;
83442;30/09/2000;0000;18;30.546667;19.723333;60.35;
83442;31/10/2000;0000;0;35.283871;21.493548;47.572581;
83442;30/11/2000;0000;280;32.723333;21.906667;66.466667;
83442;31/12/2000;0000;307.6;31.029032;21.854839;79.193548;
83442;31/01/2001;0000;28.1;33.141935;20.667742;66.137097;
83442;28/02/2001;0000;41.9;36.171429;21.75;57.633929;
83442;31/03/2001;0000;112.6;32.919355;21.551613;70.475;
83442;30/04/2001;0000;15.3;32.643333;20.156667;60.75;
83442;31/05/2001;0000;16.6;31.296774;19.354839;66.209677;
83442;30/06/2001;0000;10.3;29.586667;17.356667;62.75;
83442;31/07/2001;0000;0;29.583871;16.933333;58.895161;
83442;31/08/2001;0000;4;30.064516;17.690323;54.166667;
83442;30/09/2001;0000;6;31.496667;19.72;53.7;
83442;31/10/2001;0000;152.6;30.935484;20.741935;65.15;
83442;30/11/2001;0000;105.9;31.21;21.776667;75;
83442;31/12/2001;0000;143.4;32.187097;21.43871;69.830645;
83442;31/01/2002;0000;233.4;31.933333;21.851613;76.419355;
83442;28/02/2002;0000;134.9;32.278571;21.625;73.642857;
83442;31/03/2002;0000;115;32.96129;21.619355;68.629032;
83442;30/04/2002;0000;2.8;33.034483;20.34;62.825;
83442;31/05/2002;0000;2.4;31.243333;17.948387;65.983871;
83442;30/06/2002;0000;0.6;29.586667;17.44;65.983333;
83442;31/07/2002;0000;4;29.783333;17.54;64.683333;
83442;31/08/2002;0000;0.1;31.266667;17.819355;57.308333;
83442;30/09/2002;0000;43.4;30.513333;20.43;62.3;
83442;31/10/2002;0000;14.2;34.83871;21.346667;47.443548;
83442;30/11/2002;0000;173.1;32.726667;21.466667;63.891667;
83442;31/12/2002;0000;105.2;33.870968;22.503226;68.104839;
83442;31/01/2003;0000;149.5;32.474194;22.422581;78.758065;
83442;28/02/2003;0000;21;35.071429;21.867857;57.705357;
83442;31/03/2003;0000;12.4;34.864516;22.670968;58.145161;
83442;30/04/2003;0000;55.7;32.833333;21.146667;63.413793;
83442;31/05/2003;0000;4.8;31.219355;19.319355;60.483871;
83442;30/06/2003;0000;0;30.523333;14.506667;55.35;
83442;31/07/2003;0000;1.5;28.990323;16.31;54.491667;
83442;31/08/2003;0000;3.6;30.119355;18.519355;55.241935;
83442;30/09/2003;0000;10.7;32.183333;19.696667;54.116667;
83442;31/10/2003;0000;4.5;34.158065;20.925806;48.137097;
83442;30/11/2003;0000;56.4;33.596667;22.166667;57.525;
83442;31/12/2003;0000;56.3;34.954839;22.732258;60.653226;
83442;31/01/2004;0000;270.6;31.193548;22.222581;74.282258;
83442;29/02/2004;0000;124.5;31.675862;21.72069;77.473214;
83442;31/03/2004;0000;163.6;30.16129;21.106452;81.83871;
83442;30/04/2004;0000;50.3;30.18;20.523333;80.091667;
83442;31/05/2004;0000;30.1;29.096774;19.196774;79.153226;
83442;30/06/2004;0000;16.5;27.26;16.81;76.191667;
83442;31/07/2004;0000;10.6;27.119355;16.125806;67.137097;
83442;31/08/2004;0000;0;30.170968;15.493548;54.943548;
83442;30/09/2004;0000;0;32.436667;18.023333;47.45;
83442;31/10/2004;0000;117;33.583871;21.419355;51.572581;
83442;30/11/2004;0000;80.7;32.32;21.833333;63.708333;
83442;31/12/2004;0000;145.3;32.429032;21.196774;71.314516;
83442;31/01/2005;0000;142.1;33.790323;22.329032;71.330645;
83442;28/02/2005;0000;102.8;32.225;21.442857;74.607143;
83442;31/03/2005;0000;89.5;33.048387;22.141935;72.153226;
83442;30/04/2005;0000;0;33.586667;20.92;62.066667;
