--------------------
BDMEP - INMET
--------------------
Estação           : BARBALHA - CE (OMM: 82784)
Latitude  (graus) : -7.31
Longitude (graus) : -39.3
Altitude  (metros): 409.03
Estação Operante
Inicio de operação: 01/01/1948
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82784;31/01/2000;0000;158.7;30.829032;22.025806;76.08871;
82784;29/02/2000;0000;236.4;30.810345;21.765517;75.913793;
82784;31/03/2000;0000;85.3;30.354839;21.706452;77.416667;
82784;30/04/2000;0000;265.9;30.396667;21.533333;77.483333;
82784;31/05/2000;0000;37.9;30.73871;20.583871;70.516129;
82784;30/06/2000;0000;10.8;30.646667;21.35;;
82784;31/07/2000;0000;3.6;31.074194;20.26129;;
82784;31/08/2000;0000;14.9;32.43871;20.177419;;
82784;30/09/2000;0000;19.8;33.686667;21.436667;;
82784;31/03/2001;0000;284.4;30.86129;21.306452;;
82784;30/04/2001;0000;46.5;30.97;21.38;;
82784;30/09/2001;0000;1;;;;
82784;31/10/2001;0000;37.1;34.9;22.145161;52.370968;
82784;30/11/2001;0000;0;35.185714;23.703333;49.616071;
82784;31/12/2001;0000;208.4;33.722222;22.578571;62.13;
82784;31/01/2002;0000;280.1;29.896429;21.457692;79.956522;
82784;28/02/2002;0000;86;31.280769;21.296296;75.228261;
82784;31/03/2002;0000;134.6;30.87;21.83871;78.293103;
82784;30/04/2002;0000;107.8;30.813793;21.303333;76.724138;
82784;31/05/2002;0000;9.9;31.251724;21.434483;73.15;
82784;30/06/2002;0000;1;31.286667;20.89;62.666667;
82784;31/07/2002;0000;238.9;31.519355;20.322581;55.75;
82784;31/08/2002;0000;0.6;32.343333;20.393548;52.558333;
82784;30/09/2002;0000;11.2;34.317241;20.958621;44.896552;
82784;31/10/2002;0000;1.4;35.525806;22.425806;40.403226;
82784;30/11/2002;0000;69;35.423333;22.566667;43.933333;
82784;31/12/2002;0000;15.2;34.554839;24.016129;52.483871;
82784;31/01/2003;0000;248.4;33.512903;22.390323;58.25;
82784;28/02/2003;0000;141.8;31.210714;22;72.642857;
82784;31/03/2003;0000;286.3;31.051613;21.832258;76.983871;
82784;30/04/2003;0000;104.2;31.24;21.643333;74.925;
82784;31/05/2003;0000;50.3;31.064516;21.041935;72.483871;
82784;30/06/2003;0000;2.8;31.88;21.186667;56.108333;
82784;31/07/2003;0000;7.1;31.845161;20.129032;52.33871;
82784;31/08/2003;0000;3.4;33.941935;21.277419;48.427419;
82784;30/09/2003;0000;0;34.48;21.303333;46.883333;
82784;31/10/2003;0000;0.3;35.506452;22.416129;46.435484;
82784;30/11/2003;0000;37.3;35.606667;23.773333;57.866667;
82784;31/12/2003;0000;100.8;35.425806;23.525806;60.120968;
82784;31/01/2004;0000;513.3;30.977419;22.693548;80.370968;
82784;29/02/2004;0000;461.9;30.517241;21.817241;82.586207;
82784;31/03/2004;0000;213.1;30.36129;21.46129;83.008065;
82784;30/04/2004;0000;105.2;31.226667;21.653333;82.625;
82784;31/05/2004;0000;139.7;30.332258;21.087097;80.572581;
82784;30/06/2004;0000;7.3;29.733333;20.323333;73.391667;
82784;31/07/2004;0000;4.6;30.367742;19.406452;68.943548;
82784;31/08/2004;0000;6.9;32.319355;19.674194;62.177419;
82784;30/09/2004;0000;0;33.653333;20.626667;54.233333;
82784;31/10/2004;0000;0;35.435484;22.06129;55.782258;
82784;30/11/2004;0000;32.6;35.276667;21.706667;58.883333;
82784;31/12/2004;0000;6.6;35.125806;22.416129;56.459677;
82784;31/01/2005;0000;146.7;33.603226;22.912903;65.395161;
82784;28/02/2005;0000;98.3;32.960714;22.814815;70.294643;
82784;31/03/2005;0000;420.4;32.135484;22.412903;76.591667;
82784;30/04/2005;0000;79.7;31.436667;22.1;76.65;
82784;31/05/2005;0000;62.1;29.874194;21.393548;78.370968;
82784;30/06/2005;0000;18;29.883333;20.86;72.091667;
82784;31/07/2005;0000;1.7;30.435484;20.019355;65.774194;
82784;31/08/2005;0000;2.4;31.816129;19.609677;58.153226;
82784;30/09/2005;0000;0;34.356667;19.943333;52.125;
82784;31/10/2005;0000;0.4;36.016129;21.712903;47.532258;
82784;30/11/2005;0000;0;35.76;22.613333;52.083333;
82784;31/12/2005;0000;194;33.109677;22.009677;66.346774;
82784;31/01/2006;0000;41.7;34.574194;22.535484;63.008065;
82784;28/02/2006;0000;252.3;31.05;21.721429;84.964286;
82784;31/03/2006;0000;247.7;30.074194;21.774194;85.725806;
82784;30/04/2006;0000;226.7;30.113333;21.353333;86.875;
82784;31/05/2006;0000;23;29.883871;20.596774;81.491935;
82784;30/06/2006;0000;7.7;29.753333;20.193333;76.45;
82784;31/07/2006;0000;7.5;30.845161;19.322581;68.145161;
82784;31/08/2006;0000;0;32.658065;19.506452;63.104839;
82784;30/09/2006;0000;0;34.283333;20.306667;55.366667;
82784;31/10/2006;0000;14.3;35.264516;21.46129;60.177419;
82784;30/11/2006;0000;20.5;35.456667;22.253333;61.45;
82784;31/12/2006;0000;59.2;35.6;22.935484;57.467742;
82784;31/01/2007;0000;83.9;33.96129;22.325806;70.435484;
82784;28/02/2007;0000;372.4;30.814286;21.867857;84.446429;
82784;31/03/2007;0000;98.1;30.73871;21.219355;81.427419;
82784;30/04/2007;0000;165;31.886667;21.33;81.433333;
82784;31/05/2007;0000;57.9;30.706452;20.596774;78.604839;
82784;30/06/2007;0000;1.9;31.003333;20.233333;70.425;
82784;31/07/2007;0000;0;32.290323;19.396774;65.145161;
82784;31/08/2007;0000;0.2;32.296774;19.545161;64.83871;
82784;30/09/2007;0000;0.5;33.62;20.296667;63.566667;
82784;31/10/2007;0000;0.1;35.522581;21.583871;66.967742;
82784;30/11/2007;0000;25.7;36.086667;21.98;70.875;
82784;31/12/2007;0000;105.3;34.790323;22.36129;66.508065;
82784;31/01/2008;0000;232.7;32.364516;21.683871;77.943548;
82784;29/02/2008;0000;301.3;30.548276;20.5;83.172414;
82784;31/03/2008;0000;593.8;30.135484;20.53;87.870968;
82784;30/04/2008;0000;133.5;30.413333;20.606667;85.491667;
