--------------------
BDMEP - INMET
--------------------
Estação           : CARATINGA - MG (OMM: 83592)
Latitude  (graus) : -19.73
Longitude (graus) : -42.13
Altitude  (metros): 609.65
Estação Operante
Inicio de operação: 15/03/1924
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83592;31/01/2000;0000;193.4;28.709677;18.23871;80.145161;
83592;29/02/2000;0000;124;29.355172;18.12069;77.456897;
83592;31/03/2000;0000;196.2;28.125806;17.903226;82.508065;
83592;30/04/2000;0000;15.1;27.676667;15.31;79.441667;
83592;31/05/2000;0000;14.3;26.108;13.096;76.919355;
83592;30/06/2000;0000;0.6;;12.75;75.616667;
83592;31/07/2000;0000;0.8;;13.658065;73.403226;
83592;31/08/2000;0000;32.1;26.151613;14.135484;69.241935;
83592;31/10/2000;0000;34.4;30.696774;18.903226;64.5;
83592;30/11/2000;0000;201.4;27.43;19.05;77.075;
83592;31/12/2000;0000;236.6;28.977419;19.948387;77.427419;
83592;31/01/2001;0000;104.5;29.770968;19.848387;72.91129;
83592;28/02/2001;0000;56.1;32.360714;20.7;66.241071;
83592;31/03/2001;0000;125.8;30.277419;19.36129;73.395161;
83592;30/04/2001;0000;71.9;29.63;18.076667;71.933333;
83592;31/05/2001;0000;25.6;27.122581;15.596774;74.822581;
83592;30/06/2001;0000;12.9;26.173333;14.176667;77.9;
83592;31/07/2001;0000;4.9;26.306452;13.458065;72.33871;
83592;31/08/2001;0000;13.2;26.480645;15.125806;66.637097;
83592;30/09/2001;0000;37.6;26.423333;16.733333;68.991667;
83592;31/10/2001;0000;77.8;27.303226;17.577419;70.612903;
83592;30/11/2001;0000;370.6;28;19.383333;79.283333;
83592;31/12/2001;0000;197.6;27.941935;19.3;76.693548;
83592;31/01/2002;0000;346.4;29.193548;20.329032;78.91129;
83592;28/02/2002;0000;208.4;28.164286;20.121429;83.919643;
83592;31/03/2002;0000;51.1;29.709677;19.719355;78.048387;
83592;30/04/2002;0000;41.2;29.43;18.183333;77.466667;
83592;31/05/2002;0000;40.5;27.333333;16.280645;79.629032;
83592;30/06/2002;0000;4;26.51;14.83;78.85;
83592;31/07/2002;0000;2.3;25.583871;15.145161;77.685484;
83592;31/08/2002;0000;5.3;27.55;15.293333;69.783333;
83592;30/09/2002;0000;131.4;25.72;16.393333;72.683333;
83592;31/10/2002;0000;72.4;29.43871;18.183871;65.637097;
83592;30/11/2002;0000;300.5;27.85;19.056667;77.575;
83592;31/12/2002;0000;313.4;29.12;20.232258;80.458333;
83592;31/01/2003;0000;411.9;28.958065;20.483871;84.08871;
83592;28/02/2003;0000;15.2;31.107143;20.228571;70.348214;
83592;31/03/2003;0000;90.3;30.280645;20.051613;74.766129;
83592;30/04/2003;0000;37;28.943333;18.373333;77.191667;
83592;31/05/2003;0000;4.3;27.209677;14.606452;73.153226;
83592;30/06/2003;0000;0;27.923333;13.366667;72.791667;
83592;31/07/2003;0000;1.3;26.212903;12.348387;69.443548;
83592;31/08/2003;0000;19.8;26.064516;15.122581;70.83871;
83592;30/09/2003;0000;7.9;27.76;16.923333;66.641667;
83592;31/10/2003;0000;46.1;29.096774;17.564516;59.967742;
83592;30/11/2003;0000;68.6;28.903333;19.496667;71.383333;
83592;31/12/2003;0000;210.8;29.683871;19.587097;76.5;
83592;31/01/2004;0000;336;27.667742;20.022581;81.419355;
83592;29/02/2004;0000;187.6;27.789655;19.396552;82.5;
83592;31/03/2004;0000;116.8;27.951613;18.422581;81.41129;
83592;30/04/2004;0000;111;26.95;18.096667;83.525;
83592;31/05/2004;0000;27.2;25.312903;16.009677;83.879032;
83592;30/06/2004;0000;32;24.37;13.36;83.675;
83592;31/07/2004;0000;36.1;23.441935;13.083871;78.096774;
83592;31/08/2004;0000;0.5;26.06129;13.116129;72.080645;
83592;30/09/2004;0000;1.8;28.343333;15.75;62.341667;
83592;31/10/2004;0000;58.1;28.454839;18.916129;66.153226;
83592;30/11/2004;0000;93.6;29.15;19.147619;67.633333;
83592;31/12/2004;0000;422.3;28.316129;19.887097;80.298387;
83592;31/01/2005;0000;235.5;29.041935;20.380645;79.774194;
83592;28/02/2005;0000;365.7;28.939286;18.735714;80.821429;
83592;31/03/2005;0000;200.4;28.458065;;82.266129;
83592;30/04/2005;0000;61.4;28.59;;80.566667;
83592;31/05/2005;0000;53.2;26.167742;15.322581;81.596774;
83592;30/06/2005;0000;19.9;24.47;13.646667;82.758333;
83592;31/07/2005;0000;13.8;24.387097;12.032258;81.298387;
83592;31/08/2005;0000;1;26.422581;14.822581;74.629032;
83592;30/09/2005;0000;79.5;26.426667;16.566667;76.108333;
83592;31/10/2005;0000;63.1;29.874194;17.929032;67.048387;
83592;30/11/2005;0000;250.9;25.666667;18.113333;83.041667;
83592;31/12/2005;0000;223.1;27.4;17.819355;83.919355;
83592;31/01/2006;0000;1.6;30.158065;18.690323;73.798387;
83592;28/02/2006;0000;45.6;32.303571;20.046429;74.1875;
83592;31/03/2006;0000;128.7;28.990323;19.351613;84.41129;
83592;30/04/2006;0000;126.2;27.15;17.353333;87.258333;
83592;31/05/2006;0000;74.8;25.23871;13.154839;85.75;
83592;30/06/2006;0000;4.3;23.94;12.483333;83.675;
83592;31/07/2006;0000;1;25.535484;10.893548;78.604839;
83592;31/08/2006;0000;3;26.506452;14.2;76.169355;
83592;30/09/2006;0000;56.6;26.226667;14.43;70.925;
83592;31/10/2006;0000;92.1;26.341935;17.854839;78.177419;
83592;30/11/2006;0000;274.9;26.36;17.966667;84.091667;
83592;31/12/2006;0000;363;27.587097;19.141935;83.056452;
83592;31/01/2007;0000;264;28.245161;19.706452;83.975806;
83592;28/02/2007;0000;133.1;28.364286;18.914286;83.053571;
83592;31/03/2007;0000;72.2;30.222581;17.996774;78.491935;
83592;30/04/2007;0000;59.6;28.25;17.476667;83.266667;
83592;31/05/2007;0000;2.2;26.329032;12.941935;82.096774;
83592;30/06/2007;0000;1.5;26.396667;11.29;76.691667;
83592;31/07/2007;0000;1;26.483871;11.893548;72.653226;
83592;31/08/2007;0000;3.3;27.367742;12.412903;64.048387;
83592;30/09/2007;0000;25.7;28.296667;14.77;62.95;
83592;31/10/2007;0000;50;30.33871;17.574194;59.145161;
83592;30/11/2007;0000;204.4;30.113333;18.853333;68.933333;
83592;31/12/2007;0000;167.6;30.358065;19.241935;74.758065;
83592;31/01/2008;0000;168.5;28.335484;18.948387;76.104839;
83592;29/02/2008;0000;152.2;30.182759;19.127586;79.689655;
83592;31/03/2008;0000;172.7;29.641935;18.874194;77.580645;
83592;30/04/2008;0000;91.8;29.193333;18.376667;81.716667;
83592;31/05/2008;0000;7.3;26.76129;14.206452;77.459677;
83592;30/06/2008;0000;19.5;26.013333;13.133333;75.991667;
83592;31/07/2008;0000;2;26.154839;11.019355;68.395161;
83592;31/08/2008;0000;21.4;28.212903;14.503226;63.403226;
83592;30/09/2008;0000;30.7;27.616667;15.27;65.267241;
83592;31/10/2008;0000;32.9;30.196774;18.648387;64.798387;
83592;30/11/2008;0000;253.5;27.736667;18.886667;77.458333;
83592;31/12/2008;0000;260.6;27.596774;19.483871;80.83871;
83592;31/01/2009;0000;260.9;29.419355;19.587097;80.282258;
83592;28/02/2009;0000;87.9;30.478571;20.075;74.267857;
83592;31/03/2009;0000;152.2;30.625806;19.883871;79.733871;
83592;30/04/2009;0000;84.2;28.006667;17.496667;82.991667;
83592;31/05/2009;0000;29.4;26.6;14.722581;83.741935;
83592;30/06/2009;0000;31.9;25.133333;13.693333;84.091667;
83592;31/07/2009;0000;2.3;26.36129;13.322581;79.903226;
83592;31/08/2009;0000;9.4;27.080645;14.63871;73.637097;
83592;30/09/2009;0000;160.9;29.263333;16.973333;73.625;
83592;31/10/2009;0000;147.2;28.419355;18.635484;77.596774;
