--------------------
BDMEP - INMET
--------------------
Estação           : CATALAO - GO (OMM: 83526)
Latitude  (graus) : -18.18
Longitude (graus) : -47.95
Altitude  (metros): 840.47
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83526;31/01/2000;0000;317.9;28.858065;19.906452;75.604839;
83526;29/02/2000;0000;339.2;28.368966;19.734483;77.086207;
83526;31/03/2000;0000;216.8;28.303226;19.603226;77.241935;
83526;30/04/2000;0000;67.1;28.476667;17.756667;66.933333;
83526;31/05/2000;0000;0;27.309677;15.693548;61.225806;
83526;30/06/2000;0000;0;27.756667;14.526667;55.358333;
83526;31/07/2000;0000;16.7;26.351613;13.529032;55.717742;
83526;31/08/2000;0000;20.8;29.616129;16.8;47.379032;
83526;30/09/2000;0000;119.8;28.553333;18.086667;63.858333;
83526;31/10/2000;0000;50.9;32.43871;20.167742;51.959677;
83526;30/11/2000;0000;244.8;27.796667;18.956667;76.675;
83526;31/12/2000;0000;167.7;28.932258;19.593548;75.370968;
83526;31/01/2001;0000;262.7;29.712903;19.44;70.625;
83526;28/02/2001;0000;54.1;31.464286;20.385714;65.12963;
83526;31/03/2001;0000;317.6;29.516129;19.212903;73.91129;
83526;30/04/2001;0000;40.8;29.713333;18.793333;63.95;
83526;31/05/2001;0000;38.7;26.948387;16;65.25;
83526;30/06/2001;0000;0;26.95;14.983333;61.883333;
83526;31/07/2001;0000;0;28.435484;15.551613;52.16129;
83526;31/08/2001;0000;6;28.248387;15.506452;50.741935;
83526;30/09/2001;0000;61.9;30.3;17.936667;53.875;
83526;31/10/2001;0000;108.1;29.048387;18.867742;63.403226;
83526;30/11/2001;0000;231.1;29.096667;19.78;75.591667;
83526;31/12/2001;0000;275.8;28.390323;19.580645;75.024194;
83526;31/01/2002;0000;230.4;29.525806;20.209677;72.516129;
83526;28/02/2002;0000;351.6;28.457143;19.55;80.973214;
83526;31/03/2002;0000;168.9;29.980645;20.045161;69.201613;
83526;30/04/2002;0000;48.7;29.603571;19.05;63.891667;
83526;31/05/2002;0000;42.5;28.75;17.341935;64.83871;
83526;30/06/2002;0000;3.6;27.753333;15.566667;57.491667;
83526;31/07/2002;0000;1;28.154839;15.727586;53.774194;
83526;31/08/2002;0000;22.1;30.103226;17.751613;45.895161;
83526;30/09/2002;0000;27.1;30.146667;17.641379;50.966667;
83526;31/10/2002;0000;41.2;33.722581;21.312903;46.516129;
83526;30/11/2002;0000;44.8;30.91;20.546667;66.65;
83526;31/12/2002;0000;299.6;30.606452;20.651613;72.282258;
83526;31/01/2003;0000;427.4;28.564516;20.222581;83.008065;
83526;28/02/2003;0000;142.3;30.728571;20.042308;69.276786;
83526;31/03/2003;0000;181.6;28.754839;19.522581;77.241935;
83526;30/04/2003;0000;80.4;29.086667;19.006667;70.491667;
83526;31/05/2003;0000;8.1;27.045161;15.580645;62.782258;
83526;30/06/2003;0000;0;28.616667;15.253333;55.991667;
83526;31/07/2003;0000;0;27.616129;14.980645;53.919355;
83526;31/08/2003;0000;0.5;29.63871;16.109677;50.685484;
83526;30/09/2003;0000;57.9;30.723333;18.196552;54.233333;
83526;31/10/2003;0000;89.7;30.358065;19.419355;57.346774;
83526;30/11/2003;0000;164.9;29.073333;19.356667;71.383333;
83526;31/12/2003;0000;212.3;30.645161;20.263333;70.870968;
83526;31/01/2004;0000;219.5;28.254839;20.022581;81.403226;
83526;29/02/2004;0000;515.5;27.734483;19.262069;83.422414;
83526;31/03/2004;0000;158;28.880645;19.025806;73.282258;
83526;30/04/2004;0000;133.7;28.473333;18.65;74.375;
83526;31/05/2004;0000;4.8;27.696774;16.867742;68.572581;
83526;30/06/2004;0000;0;26.536667;14.94;62.025;
83526;31/07/2004;0000;20.4;26.087097;14.154839;60.556452;
83526;31/08/2004;0000;0.2;29.622581;15.535484;46.685484;
83526;30/09/2004;0000;2;33.09;19.216667;38.333333;
83526;31/10/2004;0000;52.7;31.56129;19.586667;59.524194;
83526;30/11/2004;0000;153.2;30.03;19.986667;67.4;
83526;31/12/2004;0000;220.1;;19.545161;75.508065;
83526;31/01/2005;0000;336.4;;19.754839;81.774194;
83526;28/02/2005;0000;95.4;;19.739286;68.196429;
83526;31/03/2005;0000;289.8;;20.122581;78.024194;
83526;30/04/2005;0000;22.9;;19.453333;64.533333;
83526;31/05/2005;0000;15.1;28.262069;16.654839;64.169355;
83526;30/06/2005;0000;16.3;26.82;15.733333;65.4;
83526;31/07/2005;0000;0;27.493548;15.03871;56.491935;
83526;31/08/2005;0000;16.1;29.8;16.348387;47.830645;
83526;30/09/2005;0000;47.4;31.16;19.403333;54.808333;
83526;31/10/2005;0000;75.1;33.409677;21.190323;50.66129;
83526;30/11/2005;0000;226.6;28.326667;19.316667;78.516667;
83526;31/12/2005;0000;315.7;28.103226;18.953333;78.580645;
83526;31/01/2006;0000;197.9;29.73871;19.6;66.491935;
83526;28/02/2006;0000;108.5;30.092857;20.171429;74.973214;
83526;31/03/2006;0000;297.5;29.054839;19.941935;80.145161;
83526;30/04/2006;0000;243.1;28.666667;19.006667;73.733333;
83526;31/05/2006;0000;16.9;27.551613;15.729032;61.967742;
83526;30/06/2006;0000;0.7;26.563333;14.586667;60.866667;
83526;31/07/2006;0000;0.2;27.558065;15.216129;56.209677;
83526;31/08/2006;0000;9.4;30.590323;17.312903;49.056452;
83526;30/09/2006;0000;20;30.753333;18.07;51.941667;
83526;31/10/2006;0000;162;28.645161;19.316129;73.725806;
83526;30/11/2006;0000;133.2;29.053333;19.413333;72.075;
83526;31/12/2006;0000;254.9;29.193548;20.248387;79.282258;
83526;31/01/2007;0000;563;29.403226;20.016129;81.016129;
83526;28/02/2007;0000;259.1;29.014286;19.757143;78.232143;
83526;31/03/2007;0000;43.7;31.23871;19.96129;64.322581;
83526;30/04/2007;0000;76.7;30.266667;19.123333;66.491667;
83526;31/05/2007;0000;4.1;28.3;16.16129;59.524194;
83526;30/06/2007;0000;0;28.386667;14.793333;54.091667;
83526;31/07/2007;0000;12.9;28.519355;15.748387;53.040323;
83526;31/08/2007;0000;0;30.122581;15.883871;42.645161;
83526;30/09/2007;0000;0;32.593333;18.746667;39.433333;
83526;31/10/2007;0000;73.3;;20.464516;51.016129;
83526;30/11/2007;0000;121.5;;19.923333;66.641667;
83526;31/12/2007;0000;245.5;;19.612903;72.637097;
83526;31/01/2008;0000;253.8;;19.419355;76.58871;
83526;29/02/2008;0000;377.6;;19.444828;77.181034;
83526;31/03/2008;0000;308.4;;19.187097;76.975806;
83526;30/04/2008;0000;111.7;;19.193333;72.083333;
83526;31/05/2008;0000;11.8;;15.870968;64.741935;
83526;30/06/2008;0000;0;;15.856667;60.691667;
83526;31/07/2008;0000;0;;13.987097;48.072581;
83526;31/08/2008;0000;0;;17.093548;42.741935;
83526;30/09/2008;0000;32;31.966667;18.17;46.95;
83526;31/10/2008;0000;67.9;31.787097;20.16129;54.717742;
83526;30/11/2008;0000;132.7;29.653333;19.633333;69.85;
83526;31/12/2008;0000;336.7;28.870968;19.53871;74.919355;
83526;31/01/2009;0000;365.6;29.125806;19.6;78.540323;
