--------------------
BDMEP - INMET
--------------------
Estação           : CONCEICAO DO ARAGUAIA - PA (OMM: 82861)
Latitude  (graus) : -8.26
Longitude (graus) : -49.26
Altitude  (metros): 156.85
Estação Operante
Inicio de operação: 19/03/1920
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82861;31/01/2000;0000;344.2;31.16129;22.725806;91.217742;
82861;29/02/2000;0000;351;31.048276;22.724138;90.87069;
82861;31/03/2000;0000;237;31.829032;22.951613;88.991935;
82861;30/04/2000;0000;320.5;32.073333;22.62;89.783333;
82861;31/05/2000;0000;88.2;34.035484;22.66129;80.217742;
82861;30/06/2000;0000;0;34.926667;21.736667;73.175;
82861;31/07/2000;0000;36.4;35.435484;21.693548;72.83871;
82861;31/08/2000;0000;4.4;36.922581;22.003226;77.225806;
82861;30/09/2000;0000;71.6;33.906667;22.48;89.175;
82861;31/10/2000;0000;232.6;33.416129;22.445161;91.653226;
82861;30/11/2000;0000;234;32.343333;22.246667;93.3;
82861;31/12/2000;0000;450.2;31.203226;22.393548;93.927419;
82861;31/01/2001;0000;118.1;31.693548;22.380645;92.725806;
82861;28/02/2001;0000;175;32.007143;22.214286;92.401786;
82861;31/03/2001;0000;259.2;31.848387;22.36129;94.524194;
82861;30/04/2001;0000;116.1;32.426667;22.376667;93.708333;
82861;31/05/2001;0000;140.6;33.580645;22.612903;91.266129;
82861;30/06/2001;0000;10.7;34.15;21.64;81.275;
82861;31/07/2001;0000;5.7;35.367742;20.522581;76.008065;
82861;31/08/2001;0000;0.4;36.23871;20.519355;69.91129;
82861;30/09/2001;0000;1.8;36.016667;22.756667;76.25;
82861;31/10/2001;0000;273.9;33.212903;21.987097;88.733871;
82861;30/11/2001;0000;264.6;32.75;22.3;87.241667;
82861;31/12/2001;0000;416;31.53871;22.193548;91.895161;
82861;31/01/2002;0000;433.4;31.264516;22.090323;91.524194;
82861;28/02/2002;0000;198.4;32.021429;22.171429;87.883929;
82861;31/03/2002;0000;184.1;31.719355;21.906452;90.314516;
82861;30/04/2002;0000;157.6;33.22;22.036667;81.758333;
82861;31/05/2002;0000;30.8;34.146667;22.633333;81.362903;
82861;30/06/2002;0000;0.1;34.673333;20.776667;71.666667;
82861;31/07/2002;0000;0.1;35.874194;20.880645;67.379032;
82861;31/08/2002;0000;0;36.964516;20.283871;64.612903;
82861;30/09/2002;0000;82.5;35.366667;21.826667;71.508333;
82861;31/10/2002;0000;50.9;33.319355;21.222581;82.83871;
82861;30/11/2002;0000;111.5;33.42;21.25;84.683333;
82861;31/12/2002;0000;312.2;31.780645;23.216129;82.540323;
82861;31/01/2003;0000;303.5;32.367742;23.554839;81.66129;
82861;28/02/2003;0000;151.9;31.407143;22.814286;82.767857;
82861;31/03/2003;0000;269.3;31.341935;23.048387;84.201613;
82861;30/04/2003;0000;195.5;32.683333;23.396667;80.7;
82861;31/05/2003;0000;62.2;33.6;23.306452;74.491935;
82861;30/06/2003;0000;1.1;35.193333;22.216667;61.625;
82861;31/07/2003;0000;0;35.745161;20.654839;52.298387;
82861;31/08/2003;0000;41.3;36.512903;21.964516;57.024194;
82861;30/09/2003;0000;79.1;35.78;22.633333;65.325;
82861;31/10/2003;0000;148.4;33.851613;23;75.653226;
82861;30/11/2003;0000;238.3;32.666667;22.646667;81.35;
82861;31/12/2003;0000;152;33.064516;22.667742;80.112903;
82861;31/01/2004;0000;414.7;30.970968;22.745161;86.032258;
82861;29/02/2004;0000;493.9;30.537931;22.758621;85.672414;
82861;31/03/2004;0000;289.2;31.616129;23.264516;83.435484;
82861;30/04/2004;0000;127;33.043333;23.32;79.141667;
82861;31/05/2004;0000;58.1;34.367742;23.416129;71.451613;
82861;30/06/2004;0000;19.9;34.353333;21.746667;64.333333;
82861;31/07/2004;0000;12.2;35.206452;21.019355;59.709677;
82861;31/08/2004;0000;19.6;36.567742;21.567742;57.41129;
82861;30/09/2004;0000;15.8;36.096667;22.313333;63.508333;
82861;31/10/2004;0000;114.9;33.66129;23.067742;76.620968;
82861;30/11/2004;0000;269;32.723333;22.95;81.441667;
82861;31/12/2004;0000;104.7;32.819355;23.270968;80.524194;
82861;31/01/2005;0000;301.3;32.151613;23.129032;83.080645;
82861;28/02/2005;0000;161.7;32.039286;23.296429;83.741071;
82861;31/03/2005;0000;393;31.225806;23.183871;86;
82861;30/04/2005;0000;122.7;33.156667;23.723333;78.991667;
82861;31/05/2005;0000;213.6;32.816129;23.154839;75.112903;
82861;30/06/2005;0000;11.2;34.31;22.623333;65.85;
82861;31/07/2005;0000;0;35.309677;20.906452;55.435484;
82861;31/08/2005;0000;0;37.509677;21.458065;51.314516;
82861;30/09/2005;0000;21.9;36.793333;22.656667;58.733333;
82861;31/10/2005;0000;97.1;35.387097;23.416129;69.137097;
82861;30/11/2005;0000;125.5;33.02;23.27;80.541667;
82861;31/12/2005;0000;225.5;31.577419;22.696774;83.08871;
82861;31/01/2006;0000;157.1;32.53871;22.993548;81.177419;
82861;28/02/2006;0000;220.1;31.439286;23.064286;82.982143;
82861;31/03/2006;0000;267.8;31.464516;23.183871;84.604839;
82861;30/04/2006;0000;371;30.643333;22.826667;87.058333;
82861;31/05/2006;0000;127.5;31.677419;23.187097;80.879032;
82861;30/06/2006;0000;0;33.54;21.823333;63.525;
82861;31/07/2006;0000;0;35.067742;21.36129;57.540323;
82861;31/08/2006;0000;15.1;36.554839;21.570968;52.790323;
82861;30/09/2006;0000;33.6;36.9;23.123333;60;
82861;31/10/2006;0000;237.4;34.03871;23.574194;75.685484;
82861;30/11/2006;0000;205.4;32.583333;23.383333;80.65;
82861;31/12/2006;0000;123.7;32.606452;23.322581;81.927419;
82861;31/01/2007;0000;87.5;32.990323;23.341935;81.435484;
82861;28/02/2007;0000;340.8;30.253571;22.703571;87.392857;
82861;31/03/2007;0000;113.5;32.541935;23.241935;81.16129;
82861;30/04/2007;0000;269.9;32.336667;23.38;81.483333;
82861;31/05/2007;0000;41.8;33.9;23.103226;74.032258;
82861;30/06/2007;0000;2.4;34.433333;21.69;62.183333;
82861;31/07/2007;0000;0;36.109677;21.725806;55.540323;
82861;31/08/2007;0000;0;36.819355;20.609677;50.919355;
82861;30/09/2007;0000;43.1;37.196667;22.013333;56.925;
82861;31/10/2007;0000;120.9;34.1;22.690323;74.862903;
82861;30/11/2007;0000;197;33.17;22.983333;79.733333;
82861;31/12/2007;0000;118.5;32.380645;23.045161;80.701613;
82861;31/01/2008;0000;387.2;31.212903;22.683871;83.685484;
82861;29/02/2008;0000;237.5;31.572414;22.572414;84.818966;
