--------------------
BDMEP - INMET
--------------------
Estação           : FORMOSO - MG (OMM: 83334)
Latitude  (graus) : -14.93
Longitude (graus) : -46.25
Altitude  (metros): 840.00
Estação Operante
Inicio de operação: 03/04/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83334;31/01/2000;0000;232.4;30.487097;19.503226;74.201613;
83334;29/02/2000;0000;218.7;30.368966;19.551724;74.87931;
83334;31/03/2000;0000;240.2;30.183871;19.554839;74.33871;
83334;30/04/2000;0000;55.4;30.993333;18.633333;68.35;
83334;31/05/2000;0000;0;30.919355;15.664516;57.419355;
83334;30/06/2000;0000;0;29.753333;14.786667;53.283333;
83334;31/07/2000;0000;1.6;29.33871;14.851613;52.306452;
83334;31/08/2000;0000;0.6;31.151613;16.032258;46.846774;
83334;31/10/2000;0000;89.3;33.922581;19.077419;48.596774;
83334;30/11/2000;0000;216;28.62;19.413333;75.475;
83334;31/12/2000;0000;214.2;29.741935;19.709677;78.153226;
83334;31/01/2001;0000;87.2;31.625806;18.677419;62.580645;
83334;28/02/2001;0000;75.7;32.442857;18.921429;62.6875;
83334;31/03/2001;0000;204.1;29.903226;18.845161;75.040323;
83334;30/04/2001;0000;17.2;31.426667;18.14;61.25;
83334;31/05/2001;0000;11.1;30.548387;17.374194;60.580645;
83334;30/06/2001;0000;0;29.466667;15.52;55.783333;
83334;31/07/2001;0000;0;;;;
83334;31/08/2001;0000;35;29.374194;15.125806;49.056452;
83334;30/09/2001;0000;4.5;32.8;18.12;45.816667;
83334;31/10/2001;0000;249.3;30.36129;18.974194;64.41129;
83334;30/11/2001;0000;294.1;29.966667;19.28;77.858333;
83334;31/12/2001;0000;136.7;29.509677;18.935484;74.741935;
83334;31/01/2002;0000;191.6;30.303226;19.212903;75.935484;
83334;28/02/2002;0000;143.9;30.721429;19.114286;73.848214;
83334;31/03/2002;0000;112.8;31.425806;19.019355;69.129032;
83334;30/04/2002;0000;22;31.9;18.88;62.616667;
83334;31/05/2002;0000;14;30.873333;16.506667;61.790323;
83334;30/06/2002;0000;0;29.241379;15.753333;60.45;
83334;31/07/2002;0000;1.3;30.503448;15.677419;56.715517;
83334;31/08/2002;0000;0;31.62;16;49.258333;
83334;30/09/2002;0000;15.7;32.378571;18.646667;50.525862;
83334;31/10/2002;0000;4.8;35.606452;19.929032;40.072581;
83334;30/11/2002;0000;271.2;32.36;19.853333;65.125;
83334;31/12/2002;0000;302.3;30.919355;20.470968;72.959677;
83334;31/01/2003;0000;191.8;30.122581;20.154839;79.475806;
83334;28/02/2003;0000;181.4;31.478571;19.571429;69.982143;
83334;31/03/2003;0000;311.1;30.483871;19.658065;77.032258;
83334;30/04/2003;0000;54.6;31.286667;19.546667;70.191667;
83334;31/05/2003;0000;22.1;29.548387;17.193548;65.024194;
83334;30/06/2003;0000;0.1;29.833333;15.473333;54.416667;
83334;31/08/2003;0000;10.5;30.529032;16.393548;55.233871;
83334;30/09/2003;0000;0;33.003333;17.92;48.3;
83334;31/10/2003;0000;3.4;32.780645;19.283871;50.08871;
83334;30/11/2003;0000;212.3;31.186667;19.643333;69.55;
83334;31/12/2003;0000;171.3;31.893333;20.290323;66.983871;
83334;31/01/2004;0000;391;28.722581;20.096774;82.072581;
83334;29/02/2004;0000;384.7;28.751724;19.551724;82.008621;
83334;31/03/2004;0000;298.6;29.709677;19.203226;78.443548;
83334;30/04/2004;0000;90.6;30.073333;18.506667;74.258333;
83334;31/05/2004;0000;3.7;30.513333;17.877419;65.693548;
83334;30/06/2004;0000;0;28.333333;15.126667;61.396552;
83334;31/07/2004;0000;6;27.806452;13.673333;57.875;
