--------------------
BDMEP - INMET
--------------------
Estação           : IMPERATRIZ - MA (OMM: 82564)
Latitude  (graus) : -5.53
Longitude (graus) : -47.48
Altitude  (metros): 123.30
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82564;31/05/2000;0000;28.1;33.942857;23.342857;73.190476;
82564;30/06/2000;0000;24.1;33.803333;22.733333;69.375;
82564;31/07/2000;0000;19.4;33.970968;21.874194;68.516129;
82564;31/08/2000;0000;0.3;35.5;21.232258;58.919355;
82564;30/09/2000;0000;113;34.153333;22.246667;70.083333;
82564;31/10/2000;0000;15.8;34.867742;22.729032;68.16129;
82564;30/11/2000;0000;76;34.406667;22.736667;72.008333;
82564;31/12/2000;0000;221.8;33.4;22.5;74.362903;
82564;31/01/2001;0000;191.9;32.125806;21.293548;80.346774;
82564;28/02/2001;0000;234.4;32.510714;21.260714;79.660714;
82564;31/03/2001;0000;216.5;32.370968;21.33871;82.572581;
82564;30/04/2001;0000;318.1;32.65;21.3;80.358333;
82564;31/05/2001;0000;81.1;33.641935;21.774194;75.983871;
82564;30/06/2001;0000;30.4;33.3;20.156667;71.175;
82564;31/07/2001;0000;4.4;34.4;18.96129;65.201613;
82564;31/08/2001;0000;0;35.893548;20.945161;47.685484;
82564;30/09/2001;0000;10.4;35.29;23.496667;61.691667;
82564;31/10/2001;0000;63.6;34.909677;24.523333;64.774194;
82564;30/11/2001;0000;184.8;33.189286;24.053333;74.616071;
82564;31/12/2001;0000;101.8;32.925806;23.858065;76.258065;
82564;31/01/2002;0000;356.3;31.635484;23.009677;81.693548;
82564;28/02/2002;0000;101.2;33.05;23.617857;75.830357;
82564;31/03/2002;0000;141.2;32.658065;23.5;79.927419;
82564;30/04/2002;0000;135.1;32.844828;23.948276;77.55;
82564;31/05/2002;0000;69.8;32.932258;23.741935;74.91129;
82564;30/06/2002;0000;7.2;33.58;23.707143;67.258333;
82564;31/07/2002;0000;11.8;34.570968;21.709677;63.629032;
82564;31/08/2002;0000;3.2;36.241935;20.819355;53.629032;
82564;30/09/2002;0000;49.4;35.666667;22.343333;58.408333;
82564;31/10/2002;0000;79.1;34.780645;22.654839;63.354839;
82564;30/11/2002;0000;72.6;33.27;22.226667;72.566667;
82564;31/12/2002;0000;233.2;32.535484;23.829032;76.790323;
82564;31/01/2003;0000;174.5;32.416129;23.809677;77.241935;
82564;28/02/2003;0000;262.6;32.071429;23.085714;79.303571;
82564;31/03/2003;0000;203.2;31.977419;23.019355;82.096774;
82564;30/04/2003;0000;196.6;33.24;23.31;77.458333;
82564;31/05/2003;0000;116.9;33.558065;23.077419;73.983871;
82564;30/06/2003;0000;2.8;34.093333;22.26;67.041667;
82564;31/07/2003;0000;0;35.564516;20.409677;55.975806;
82564;31/08/2003;0000;31.7;35.919355;21.551613;60.330645;
82564;30/09/2003;0000;32.2;35.853333;22.59;61.275;
82564;31/10/2003;0000;76.3;35.451613;23.619355;66.903226;
82564;30/11/2003;0000;66.2;33.692857;22.767857;75.089286;
82564;31/12/2003;0000;105.9;33.980645;22.745161;74.354839;
82564;31/01/2004;0000;350.3;32.435484;22.387097;81.145161;
82564;29/02/2004;0000;248.4;32.337931;22.468966;81.413793;
82564;31/03/2004;0000;367.4;32.554839;22.564516;80.935484;
82564;30/04/2004;0000;93.1;33.55;22.5;76.141667;
82564;31/05/2004;0000;27;34.348387;22.677419;69.258065;
82564;30/06/2004;0000;11.7;34.42;21.913333;63.275;
82564;31/07/2004;0000;3.4;34.854839;21.416667;59.072581;
82564;31/08/2004;0000;5.6;36.377419;21.790323;58.935484;
82564;30/09/2004;0000;57.9;36.14;22.343333;62.758333;
82564;31/10/2004;0000;83.6;35.303226;22.568966;69.298387;
82564;30/11/2004;0000;67.3;34.736667;23.99;71.341667;
82564;31/12/2004;0000;163.8;33.551613;23.641935;75.790323;
82564;31/01/2005;0000;187.4;33.290323;23.612903;78.096774;
82564;28/02/2005;0000;418.3;32.942857;23.428571;82.9375;
82564;31/03/2005;0000;305.7;32.890323;23.751613;80.854839;
82564;30/04/2005;0000;71.6;34.18;23.8;75.791667;
82564;31/05/2005;0000;54.6;34.070968;23.377419;72.08871;
82564;30/06/2005;0000;21.8;34.053333;22.336667;65.383333;
82564;31/07/2005;0000;2.9;35.248387;20.954839;54.903226;
82564;31/08/2005;0000;0;36.812903;21.525806;50.370968;
82564;30/09/2005;0000;28.9;36.943333;23.19;54.391667;
82564;31/10/2005;0000;39.5;36.254839;24.393548;59.5;
82564;30/11/2005;0000;124.2;34.47;24.103333;69.583333;
82564;31/12/2005;0000;146;32.922581;23.584615;76.354839;
82564;31/01/2006;0000;196.6;32.8;24.222581;78.556452;
82564;28/02/2006;0000;217;32.717857;23.85;78.410714;
82564;31/03/2006;0000;354.6;32.712903;23.886207;80.854839;
82564;30/04/2006;0000;566.8;30.84;22.826667;85.091667;
82564;31/05/2006;0000;162.2;32.167742;23.048387;79.782258;
82564;30/06/2006;0000;0.1;33.32;21.763333;65.741667;
82564;31/07/2006;0000;0;34.822581;20.84;57.798387;
82564;31/08/2006;0000;0.3;35.787097;;54.604839;
82564;30/09/2006;0000;24.5;36.556667;23.573333;57.133333;
82564;31/10/2006;0000;161.2;35.070968;24.143333;66.798387;
82564;30/11/2006;0000;87.3;33.543333;23.953333;73.533333;
82564;31/12/2006;0000;120.2;32.874194;23.654839;76.572581;
82564;31/01/2007;0000;204.3;33.735484;23.564516;77.08871;
82564;28/02/2007;0000;339.2;31.510714;22.496429;83.3125;
82564;31/03/2007;0000;168.4;32.916129;23.254839;79.137097;
82564;30/04/2007;0000;168.3;33.126667;23.63;80.308333;
82564;31/05/2007;0000;78.9;33.654839;23.343333;73.475806;
82564;30/06/2007;0000;12.1;33.68;21.236667;67.25;
82564;31/07/2007;0000;1.5;34.629032;21.083871;62.895161;
82564;31/08/2007;0000;16.8;36.687097;20.558065;53.056452;
82564;30/09/2007;0000;45.2;36.483333;22.583333;57.533333;
82564;31/10/2007;0000;19.5;35.212903;23.16;65.233871;
82564;30/11/2007;0000;48;34.803333;23.24;70.5;
