--------------------
BDMEP - INMET
--------------------
Estação           : INDAIAL - SC (OMM: 83872)
Latitude  (graus) : -26.9
Longitude (graus) : -49.21
Altitude  (metros): 86.13
Estação Operante
Inicio de operação: 14/10/1970
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83872;31/01/2000;0000;229.9;31.86129;20.303226;81.435484;
83872;29/02/2000;0000;231.4;31.365517;20.596552;81.275862;
83872;31/03/2000;0000;100.1;29.829032;18.987097;83.806452;
83872;30/04/2000;0000;70.6;28.84;17.216667;82.025;
83872;31/05/2000;0000;33.5;24.312903;13.193548;83.459677;
83872;30/06/2000;0000;86.7;22.656667;14.166667;90.175;
83872;31/07/2000;0000;48.8;20.506452;8.067742;80;
83872;31/08/2000;0000;64.7;24.764516;11.032258;84.556452;
83872;30/09/2000;0000;193.3;23.386667;14.453333;88.783333;
83872;31/10/2000;0000;176.5;28.845161;17.967742;83.5;
83872;30/11/2000;0000;109.3;29.353333;18.356667;83.416667;
83872;31/12/2000;0000;203.7;32.554839;19.332258;78.846774;
83872;30/09/2001;0000;77.3;;;;
83872;31/10/2001;0000;206.8;28.568182;16.536667;83.788462;
83872;30/11/2001;0000;149.2;31.041379;19.056667;85.836207;
83872;31/12/2001;0000;106.6;31.637037;19.128571;83.701923;
83872;31/01/2002;0000;306.3;33.506667;20.41;83.767857;
83872;28/02/2002;0000;116.3;32.553571;19.235714;83.296296;
83872;31/03/2002;0000;95.3;35.112903;21.706452;85.983871;
83872;30/04/2002;0000;173.9;29.913333;19.62;91.189655;
83872;31/05/2002;0000;74.7;27.387097;17.070968;90.483871;
83872;30/06/2002;0000;69.3;24.64;14.673333;91.141667;
83872;31/07/2002;0000;69.2;23.42;12.296667;88.653226;
83872;31/08/2002;0000;125.2;25.23871;14.774194;87.475806;
83872;30/09/2002;0000;189;24.413333;13.263333;82.883333;
83872;31/10/2002;0000;188.5;28.8;18.626667;86.209677;
