--------------------
BDMEP - INMET
--------------------
Estação           : IRATI - PR (OMM: 83836)
Latitude  (graus) : -25.46
Longitude (graus) : -50.63
Altitude  (metros): 836.95
Estação Operante
Inicio de operação: 24/09/1966
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83836;31/01/2000;0000;281.4;26.822581;16.712903;79.854839;
83836;29/02/2000;0000;193.3;26.224138;16.596552;81.534483;
83836;31/03/2000;0000;95;24.567742;16.016129;83.516129;
83836;30/04/2000;0000;23.6;24.856667;11.816667;76.991667;
83836;31/05/2000;0000;39.9;20.196774;8.332258;80.169355;
83836;30/06/2000;0000;160.4;21.313333;10.263333;82;
83836;31/07/2000;0000;82.9;17.690323;3.9;74.290323;
83836;31/08/2000;0000;71.6;21.609677;7.983871;73.451613;
83836;30/09/2000;0000;335;20.163333;11.38;82.65;
83836;31/10/2000;0000;167.4;26.177419;14.374194;75.104839;
83836;30/11/2000;0000;76.4;25.85;14.933333;77.375;
83836;31/12/2000;0000;162.7;27.129032;15.632258;76.524194;
83836;30/09/2001;0000;53.2;;;;
83836;31/10/2001;0000;135;24.907407;12.996667;72.5;
83836;30/11/2001;0000;130.9;26.666667;15.73;72.908333;
83836;31/12/2001;0000;97.3;26.421429;14.925;71.277778;
83836;31/01/2002;0000;290.8;27.258065;16.280645;70.158333;
83836;28/02/2002;0000;68.1;26.996429;15.432143;71.990741;
83836;31/03/2002;0000;80.9;29.474194;17.541935;74.612903;
83836;30/04/2002;0000;93.5;27.583333;16.216667;79.396552;
83836;31/05/2002;0000;150;21.770968;12.835484;87.193548;
83836;30/06/2002;0000;26.1;22.45;11.546667;83.691667;
83836;31/07/2002;0000;71.5;19.632258;7.703226;83.709677;
83836;31/08/2002;0000;127;22.929032;11.093548;78.814516;
83836;30/09/2002;0000;158.3;21.816667;9.31;78.9;
83836;31/10/2002;0000;196;25.796774;15.396774;79.927419;
83836;30/11/2002;0000;265.8;26.1;15.393333;69.008333;
83836;31/12/2002;0000;115;27.56129;17.358065;69.951613;
83836;31/01/2003;0000;241;26.983871;17.451613;71.725806;
83836;28/02/2003;0000;136.7;29.171429;17.807143;71.071429;
83836;31/03/2003;0000;78.1;27.209677;16.012903;74.782258;
83836;30/04/2003;0000;92.6;25.436667;12.633333;77.6;
83836;31/05/2003;0000;28.9;21.909677;7.587097;76.129032;
83836;30/06/2003;0000;104.2;22.456667;10.796667;84.741667;
83836;31/07/2003;0000;111;20.425806;9.193548;81.580645;
83836;31/08/2003;0000;27.8;20.216129;5.845161;70.483871;
83836;30/09/2003;0000;78.2;23.573333;10.326667;72.65;
83836;31/10/2003;0000;185.9;24.496774;13.345161;76.483871;
83836;30/11/2003;0000;172.5;25.776667;13.89;72.741667;
83836;31/12/2003;0000;245.6;26.406452;16.348387;78.08871;
83836;31/01/2004;0000;77.8;26.96129;15.745161;77.072581;
83836;29/02/2004;0000;64.8;27.582759;15.996552;73.956897;
83836;31/03/2004;0000;128.9;26.851613;14.664516;73.862903;
83836;30/04/2004;0000;134.1;25;15.393333;75.075;
83836;31/05/2004;0000;177.9;17.758065;9.480645;77.266129;
83836;30/06/2004;0000;82.7;19.846667;8.71;73.675;
83836;31/07/2004;0000;115.2;18.012903;9.212903;79.104839;
83836;31/08/2004;0000;21.9;23.151613;7.503226;65.709677;
83836;30/09/2004;0000;48.3;25.63;12.44;64.8;
83836;31/10/2004;0000;211.8;23.858065;12.112903;74.951613;
83836;30/11/2004;0000;159.6;25.343333;14.54;75.216667;
83836;31/12/2004;0000;91.4;26.474194;15.2;77.306452;
83836;31/01/2005;0000;157.2;26.370968;17.496774;81.524194;
83836;28/02/2005;0000;61.3;27.825;15.8;68.267857;
83836;31/03/2005;0000;37.8;28.035484;15.512903;70.395161;
83836;30/04/2005;0000;116.4;25.32;15.493333;82.816667;
83836;31/05/2005;0000;135;22.767742;11.112903;81.370968;
83836;30/06/2005;0000;143.5;21.206667;11.75;87.05;
83836;31/07/2005;0000;60.7;19.580645;7.090323;80.653226;
83836;31/08/2005;0000;113;23.5;9.670968;74.75;
83836;30/09/2005;0000;312.1;18.95;10.633333;83.141667;
83836;31/10/2005;0000;350.8;23.829032;15.306452;84.540323;
83836;30/11/2005;0000;76.2;26.13;14.106667;71.266667;
83836;31/12/2005;0000;51.4;26.951613;15.396774;72.612903;
83836;31/01/2006;0000;144.1;28.806452;17.46129;75.306452;
83836;28/02/2006;0000;52.6;27.867857;17.1;70.901786;
83836;31/03/2006;0000;169;27.512903;16.554839;73.112903;
83836;30/04/2006;0000;20.3;23.956667;11.623333;69.266667;
83836;31/05/2006;0000;12.3;20.503226;7.222581;67.201613;
83836;30/06/2006;0000;38.5;21.326667;9.393333;68.641667;
83836;31/07/2006;0000;53;22.067742;8.932258;72.717742;
83836;31/08/2006;0000;63.3;23.106452;9.325806;72.629032;
83836;30/09/2006;0000;226.3;21.636667;9.583333;87.233333;
83836;31/10/2006;0000;71.1;25.232258;14.522581;90.233871;
83836;30/11/2006;0000;178.3;25.746667;15.746667;89.6;
83836;31/12/2006;0000;75.5;27.803226;17.625806;90.637097;
83836;31/01/2007;0000;246.7;27.677419;18.141935;91.024194;
83836;28/02/2007;0000;117.3;27.785714;17.546429;90.241071;
83836;31/03/2007;0000;98.6;28.832258;16.396774;92.298387;
83836;30/04/2007;0000;128.8;25.12;14.85;93.708333;
83836;31/05/2007;0000;247.6;19.912903;9.519355;93.903226;
83836;30/06/2007;0000;14.9;22.193333;8.93;90.991667;
83836;31/07/2007;0000;135.3;19.377419;6.93871;90.016129;
83836;31/08/2007;0000;12.1;22.1;9.945161;79.677419;
83836;30/09/2007;0000;27.9;26.356667;12.69;74.266667;
83836;31/10/2007;0000;79;26.319355;14.406452;78.943548;
83836;30/11/2007;0000;202.6;26.043333;13.94;73.891667;
83836;31/12/2007;0000;140.8;27.932258;16.012903;77.75;
83836;31/01/2008;0000;201.8;25.354839;16.493548;87.177419;
83836;29/02/2008;0000;105.5;27.196552;16.07931;91.543103;
83836;31/03/2008;0000;160.3;25.974194;15.835484;92.008065;
