--------------------
BDMEP - INMET
--------------------
Estação           : IRECE - BA (OMM: 83182)
Latitude  (graus) : -11.3
Longitude (graus) : -41.86
Altitude  (metros): 747.16
Estação Operante
Inicio de operação: 01/12/1970
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83182;31/01/2000;0000;131.2;29.574194;19.164516;70.489583;
83182;29/02/2000;0000;83.5;29.62069;19.07931;;
83182;31/03/2000;0000;126.6;29.687097;18.970968;;
83182;30/04/2000;0000;75.3;29.883333;18.95;;
83182;31/05/2000;0000;4;28.954839;17.570968;;
83182;30/06/2000;0000;0.5;27.983333;16.26;66.275;
83182;31/07/2000;0000;0.9;28.26129;15.641935;60.854839;
83182;31/08/2000;0000;0;28.974194;15.848387;57.895161;
83182;30/09/2000;0000;15.7;29.63;17.363333;58.058333;
83182;31/10/2000;0000;0.3;32.03871;18.325806;44.677419;
83182;30/11/2000;0000;279.1;29.506667;19.223333;67.425;
83182;31/12/2000;0000;263.2;27.964516;18.948387;75.774194;
83182;31/01/2001;0000;2.2;29.574194;17.764516;63.604839;
83182;28/02/2001;0000;2.1;32.710714;19.378571;51.571429;
83182;31/03/2001;0000;94.6;30.322581;18.767742;66.403226;
83182;30/04/2001;0000;2.8;30.263333;18.183333;60.033333;
83182;31/05/2001;0000;6.4;31.229032;18.577419;55.854839;
83182;30/06/2001;0000;4.9;27.82;16.363333;66.383333;
83182;31/07/2001;0000;1.8;28.06129;15.416129;60.540323;
83182;31/08/2001;0000;1;27.177419;15.787097;62.008333;
83182;30/09/2001;0000;0;30.77;17.716667;53.066667;
83182;31/10/2001;0000;1.3;32.225806;18.834483;51.217742;
83182;30/11/2001;0000;34.1;33.156667;;48.5;
83182;31/12/2001;0000;104.1;31.393548;19.732258;59.306452;
83182;31/01/2002;0000;245;28.467742;19.06129;75.112903;
83182;28/02/2002;0000;135;29.371429;18.057143;68.732143;
83182;31/03/2002;0000;6.3;31.190323;18.496774;61.612903;
83182;30/04/2002;0000;8;30.47;18.67;63.108333;
83182;31/05/2002;0000;3;29.845161;17.303226;57.629032;
83182;30/06/2002;0000;0.2;27.443333;16.523333;63.291667;
83182;31/07/2002;0000;0;28.635484;16.403226;60.475806;
83182;31/08/2002;0000;1.4;28.654839;16.016129;56.870968;
83182;30/09/2002;0000;12.2;30.275862;17.773333;55.625;
