--------------------
BDMEP - INMET
--------------------
Estação           : ITABAIANINHA - SE (OMM: 83195)
Latitude  (graus) : -11.11
Longitude (graus) : -37.81
Altitude  (metros): 208.00
Estação Operante
Inicio de operação: 06/08/1923
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83195;31/01/2000;0000;95.5;31;22.016129;82.193548;
83195;29/02/2000;0000;106.9;30.586207;22.377273;83.741071;
83195;31/03/2000;0000;67;30.56129;21.680645;81.45;
83195;30/04/2000;0000;133.7;29.403333;21.903333;85.95;
83195;31/05/2000;0000;115.3;28.706452;20.864516;85.391667;
83195;30/06/2000;0000;154.5;27.496667;20.24;86.966667;
83195;31/07/2000;0000;68.6;27.006452;18.996774;81.908333;
83195;31/08/2000;0000;142;26.86129;19.680645;84.370968;
83195;30/09/2000;0000;210.4;27.346667;20.163333;82.058333;
83195;31/10/2000;0000;11.6;29.941935;20.629032;74.540323;
83195;30/11/2000;0000;82.7;30.623333;21.826667;76.783333;
83195;31/12/2000;0000;65.1;31.174194;21.887097;76.209677;
83195;31/01/2001;0000;28.1;31.158065;21.558065;72.516129;
83195;28/02/2001;0000;8;32.475;22.35;72.955357;
83195;31/03/2001;0000;105.2;31.283871;22.158065;79.919355;
83195;30/04/2001;0000;100.7;29.91;21.34;81.725;
83195;31/05/2001;0000;61.9;30.064516;21.606452;79.524194;
83195;30/06/2001;0000;194.8;27.643333;19.98;82.325;
83195;31/07/2001;0000;150.7;26.9;19.56129;83.717742;
83195;31/08/2001;0000;110.2;26.151613;18.993548;82.540323;
83195;30/09/2001;0000;137;28.083333;20.216667;80.975;
83195;31/10/2001;0000;140.4;29.23871;21.196774;77.314516;
83195;30/11/2001;0000;37.9;31.023333;21.256667;73.608333;
83195;31/12/2001;0000;56.3;30.912903;22.148387;76.346774;
83195;31/01/2002;0000;273.7;29.56129;22;80.298387;
83195;28/02/2002;0000;86.5;30.953571;21.4;76.348214;
83195;31/03/2002;0000;49.8;31.196774;22.164516;74.983871;
83195;30/04/2002;0000;44.2;30.756667;21.803333;72.875;
83195;31/05/2002;0000;130.2;28.603226;21.180645;80.822581;
83195;30/06/2002;0000;168.3;26.823333;20.176667;84.033333;
83195;31/07/2002;0000;98.2;;19.219355;82.830645;
83195;31/08/2002;0000;85.5;;19.232258;80.975806;
83195;30/09/2002;0000;58.4;;20.096667;77.933333;
83195;31/10/2002;0000;4.7;29.987097;21.103226;71.951613;
83195;30/11/2002;0000;36.1;31.23;21.69;72.458333;
83195;31/12/2002;0000;21.3;32.541935;22.535484;70.379032;
83195;31/01/2003;0000;25.2;33.577419;23.183871;70.241935;
83195;28/02/2003;0000;100.6;31.65;23.025;71.357143;
83195;31/03/2003;0000;88.8;31.429032;22.53871;74.741935;
83195;30/04/2003;0000;13.5;31.97;22.736667;71.858333;
83195;31/05/2003;0000;262;28.563333;21.890323;83.112903;
83195;30/06/2003;0000;165.3;27.15;20.163333;83.608333;
83195;31/07/2003;0000;218.2;26.458065;19.348387;81.709677;
83195;31/08/2003;0000;107;26.56129;19.567742;84.137097;
83195;30/09/2003;0000;126.8;28.003333;20.076667;78.3;
83195;31/10/2003;0000;50;29.083871;21.051613;76.346774;
83195;30/11/2003;0000;115.6;29.45;21.696667;79.766667;
83195;31/12/2003;0000;10.2;31.577419;22.26129;71.153226;
83195;31/01/2004;0000;382.3;30.319355;22.546667;79.830645;
83195;29/02/2004;0000;75.2;31.093103;22.610345;77.293103;
83195;31/03/2004;0000;24.2;30.970968;22.596774;76;
83195;30/04/2004;0000;54;30.506667;22.26;76.341667;
83195;31/05/2004;0000;104.4;28.76129;21.103226;79.766129;
83195;30/06/2004;0000;124.6;27.7;19.626667;79.916667;
83195;31/07/2004;0000;70.8;26.090323;18.793548;84.072581;
83195;31/08/2004;0000;154.4;26.506452;18.787097;82.798387;
83195;30/09/2004;0000;62.3;27.383333;18.893333;77.466667;
83195;31/10/2004;0000;7.6;30.048387;20.058065;73.604839;
83195;30/11/2004;0000;26.7;31.403333;20.703333;74.125;
83195;31/12/2004;0000;0.4;32.390323;21.003226;70.741935;
83195;31/01/2005;0000;36.5;32.932258;22.264516;72.459677;
83195;28/02/2005;0000;105.4;31.903571;;78.098214;
83195;31/03/2005;0000;73.4;32.390323;22.413636;75.322581;
83195;30/04/2005;0000;168.9;28.976667;22.196552;83.875;
83195;31/05/2005;0000;168.6;28.490323;21.558065;85.709677;
83195;30/06/2005;0000;120.9;27.2;20.443333;87.508333;
83195;31/07/2005;0000;238.1;26.048387;19.232258;84.91129;
83195;31/08/2005;0000;98.8;26.677419;18.922581;82.451613;
83195;30/09/2005;0000;19.9;28.71;20.21;79.1;
83195;31/10/2005;0000;3.8;30.619355;21.067742;74.879032;
83195;30/11/2005;0000;2.9;31.693333;22.253333;71.7;
